登记号（字符型）,育种技术名称（字符型）,育种技术类型（字符型）,试验状态（字符型）,试验分期（字符型）,试验分类（字符型）,申办者单位（字符型）,试验机构（字符型）,登记日期（日期型）,试验开始时间（日期型）,试验终止时间（日期型）,最新状态日期（日期型）,规范企业名称（字符型）,申报类型（字符型）,规范企业名称（字符型）.1,采集来源,来源链接,采集时间,备注,,,
MF030481,抗旱玉米育种技术,常规育种,已完成,第二阶段,区域试验,陕西省农科院,西北农林科技大学,2023-05-05,2023-06-01,2024-06-01,2024-05-01,陕西良种科技有限公司,新品种审定申请,陕西良种科技有限公司,陕西省农业农村厅,https://www.shaanxi.gov.cn/ny/,2024/9/30,,,,
MF035562,抗虫水稻育种技术,常规育种,正在进行,第三阶段,大田试验,湖南省农科院,湖南农业大学,2023-07-10,2023-08-01,2024-08-01,2024-07-01,湖南良种科技有限公司,新品种审定申请,湖南良种科技有限公司,湖南省农业农村厅,https://www.hunan.gov.cn/ny/,2024/9/30,,,,
MF778092,高产马铃薯育种技术,转基因育种,未开始,第一阶段,初步试验,四川省农科院,四川农业大学,2023-08-20,2023-09-15,2024-09-15,2024-08-01,四川农业科技公司,新品种审定申请,四川农业科技公司,四川省农业农村厅,https://www.sc.gov.cn/ny/,2024/9/30,,,,
MF996253,抗盐碱水稻育种技术,转基因育种,正在进行,第二阶段,大田试验,新疆农业科学院,新疆农业大学,2023-09-10,2023-10-01,2024-10-01,2024-09-01,新疆良种科技有限公司,新品种审定申请,新疆良种科技有限公司,新疆维吾尔自治区农业厅,https://www.xinjiang.gov.cn/ny/,2024/9/30,,,,
MF635142,抗病甜菜育种技术,常规育种,已完成,第二阶段,区域试验,甘肃省农科院,甘肃农业大学,2023-10-05,2023-11-01,2024-11-01,2024-10-01,甘肃良种科技有限公司,新品种审定申请,甘肃良种科技有限公司,甘肃省农业农村厅,https://www.gansu.gov.cn/ny/,2024/9/30,,,,
MF030481,改良高粱育种技术,常规育种,正在进行,第一阶段,初步试验,内蒙古农科院,内蒙古农业大学,2023-11-01,2023-11-10,2024-11-10,2024-10-01,内蒙古良种科技有限公司,新品种审定申请,内蒙古良种科技有限公司,内蒙古自治区农业厅,https://www.nmg.gov.cn/nmg/ny/,2024/9/30,,,,
MF035562,超级红豆育种技术,常规育种,未开始,第一阶段,初步试验,宁夏农科院,宁夏大学,2023-11-15,2023-12-01,2024-12-01,2024-11-01,宁夏良种科技有限公司,新品种审定申请,宁夏良种科技有限公司,宁夏回族自治区农业厅,https://www.nx.gov.cn/ny/,2024/9/30,,,,
MF778092,抗紫外线马铃薯育种技术,转基因育种,正在进行,第二阶段,区域试验,云南省农科院,云南农业大学,2023-12-01,2023-12-15,2024-12-15,2024-12-01,云南良种科技有限公司,新品种审定申请,云南良种科技有限公司,云南省农业农村厅,https://www.yn.gov.cn/ny/,2024/9/30,,,,
MF996253,耐盐水稻育种技术,转基因育种,正在进行,第一阶段,初步试验,河北省农科院,石家庄农业大学,2023-08-15,2023-09-01,2024-09-01,2024-08-01,河北丰收生物科技有限公司,新品种审定申请,河北丰收生物科技有限公司,河北省农业农村厅,https://www.hebeifarm.gov.cn/,2024/9/30,,,,
MF030490,水稻抗虫育种技术,常规育种,已完成,第二阶段,大田试验,四川省农科院,四川农业大学,2023-09-20,2023-10-01,2024-10-01,2024-09-01,四川良种科技有限公司,新品种审定申请,四川良种科技有限公司,四川省农业农村厅,https://www.scagri.gov.cn/,2024/9/30,,,,
MF737405,改良甜玉米育种技术,转基因育种,正在进行,第一阶段,初步试验,吉林省农科院,吉林农业大学,2023-06-30,2023-07-15,2024-07-15,2024-06-01,吉林甜玉米科技有限公司,新品种审定申请,吉林甜玉米科技有限公司,吉林省农业农村厅,https://www.jilinfarm.gov.cn/,2024/9/30,,,,
MF035586,高产抗病小麦育种技术,常规育种,申请中,第一阶段,区域试验,辽宁省农科院,沈阳农业大学,2023-08-05,2023-09-01,2024-09-01,2024-08-01,辽宁优质小麦科技有限公司,新品种审定申请,辽宁优质小麦科技有限公司,辽宁省农业农村厅,https://www.lnagr.gov.cn/,2024/9/30,,,,
MF779985,抗旱耐寒大豆育种技术,转基因育种,正在进行,第二阶段,大田试验,黑龙江省农科院,黑龙江八一农垦大学,2023-10-01,2023-10-15,2024-10-15,2024-09-20,黑龙江大豆专业合作社,新品种审定申请,黑龙江大豆专业合作社,黑龙江省农业农村厅,https://www.hljsw.gov.cn/,2024/9/30,,,,
MF658312,农田生态水稻育种技术,常规育种,已完成,区域试验,区域试验,福建省农科院,福州大学,2023-11-10,2023-12-01,2024-12-01,2024-11-15,福建水稻研究所,新品种审定申请,福建水稻研究所,福建省农业农村厅,https://www.fjagri.gov.cn/,2024/9/30,,,,
MF996253,紫色小麦育种技术,转基因育种,申请中,第一阶段,初步试验,云南省农科院,昆明农业大学,2023-09-25,2023-10-15,2024-10-15,2024-09-10,云南特色农业有限公司,新品种审定申请,云南特色农业有限公司,云南省农业农村厅,https://www.ynagri.gov.cn/,2024/9/30,,,,
MF996253,无公害蔬菜育种技术,常规育种,正在进行,第二阶段,大田试验,陕西省农科院,西安农业大学,2023-07-18,2023-08-01,2024-08-01,2024-07-15,陕西绿色农业开发公司,新品种审定申请,陕西绿色农业开发公司,陕西省农业农村厅,https://www.shaanxiagri.gov.cn/,2024/9/30,,,,
MF996253,有机果树培育技术,常规育种,已完成,第一阶段,初步试验,甘肃省农科院,兰州大学,2023-11-20,2023-12-01,2024-12-01,2024-11-25,甘肃有机农业科技有限公司,新品种审定申请,甘肃有机农业科技有限公司,甘肃省农业农村厅,https://www.gansufarm.gov.cn/,2024/9/30,,,,
MF996253,快速成熟黄豆育种技术,常规育种,正在进行,第一阶段,初步试验,四川省农科院,四川农业大学,2023-02-10,2023-03-01,2024-03-01,2024-02-01,四川优谷科技有限公司,新品种审定申请,四川优谷科技有限公司,四川省农业农村厅,https://www.scagri.gov.cn/,2024/9/30,,,,
MF779985,耐盐水稻育种技术,转基因育种,已完成,第二阶段,区域试验,新疆农业科学院,新疆农业大学,2023-04-12,2023-05-01,2024-05-01,2024-04-01,新疆丰收生物科技有限公司,新品种审定申请,新疆丰收生物科技有限公司,新疆维吾尔自治区农业农村厅,https://www.xjagri.gov.cn/,2024/9/30,,,,
MF779985,超高产水稻育种技术,常规育种,正在进行,第三阶段,大田试验,湖北省农科院,湖北农业大学,2023-06-15,2023-07-01,2024-07-01,2024-06-01,湖北金禾科技有限公司,新品种审定申请,湖北金禾科技有限公司,湖北省农业农村厅,https://www.hbagri.gov.cn/,2024/9/30,,,,
MF778092,高抗逆性玉米育种技术,转基因育种,正在进行,第一阶段,初步试验,吉林省农科院,吉林农业大学,2023-08-20,2023-09-10,2024-09-10,2024-08-01,吉林禾丰生物科技有限公司,新品种审定申请,吉林禾丰生物科技有限公司,吉林省农业农村厅,https://www.jlagri.gov.cn/,2024/9/30,,,,
MF778092,高矿质化小麦育种技术,常规育种,已完成,第二阶段,区域试验,辽宁省农科院,辽宁农业大学,2023-09-30,2023-10-01,2024-10-01,2024-09-01,辽宁丰乐科技有限公司,新品种审定申请,辽宁丰乐科技有限公司,辽宁省农业农村厅,https://www.lnagri.gov.cn/,2024/9/30,,,,
MF778092,早熟蔬菜育种技术,常规育种,正在进行,第一阶段,初步试验,天津市农科院,天津农业大学,2023-10-05,2023-10-10,2024-10-10,2024-10-01,天津绿源科技有限公司,新品种审定申请,天津绿源科技有限公司,天津市农业农村厅,https://www.tjagri.gov.cn/,2024/9/30,,,,
MF778092,耐寒苹果育种技术,转基因育种,正在进行,第三阶段,大田试验,黑龙江省农科院,黑龙江农业大学,2023-11-01,2023-11-05,2024-11-05,2024-10-01,黑龙江新农科技有限公司,新品种审定申请,黑龙江新农科技有限公司,黑龙江省农业农村厅,https://www.hlzagri.gov.cn/,2024/9/30,,,,
MF737405,高营养价值蔬菜育种技术,常规育种,已完成,第二阶段,区域试验,福建省农科院,福建农业大学,2023-08-30,2023-09-15,2024-09-15,2024-08-01,福建丰顺科技有限公司,新品种审定申请,福建丰顺科技有限公司,福建省农业农村厅,https://www.fjagri.gov.cn/,2024/9/30,,,,
MF737405,持续性良种育种技术,转基因育种,正在进行,第一阶段,初步试验,湖南省农科院,湖南农业大学,2023-09-20,2023-10-01,2024-10-01,2024-09-15,湖南新农科技有限公司,新品种审定申请,湖南新农科技有限公司,湖南省农业农村厅,https://www.hnagri.gov.cn/,2024/9/30,,,,
MF658312,耐盐水稻育种技术,暂无,正在进行,第一阶段,初步试验,广东省农业科学院,华南农业大学,2023-10-01,2023-10-15,2024-10-15,2024-09-15,广东新禾生物科技有限公司,新品种审定申请,广东新禾生物科技有限公司,广东省农业农村厅,https://www.gd.gov.cn/,2024/9/30,,,,
MF658312,抗辐射大豆育种技术,转基因育种,正在进行,第二阶段,大田试验,陕西省农业科学院,西北农林科技大学,2023-09-15,2023-10-01,2024-10-01,2024-09-01,陕西农业科技发展有限公司,新品种审定申请,陕西农业科技发展有限公司,陕西省农业农村厅,https://www.shaanxi.gov.cn/,2024/9/30,,,,
MF635142,耐虫棉花育种技术,常规育种,已完成,第三阶段,区域试验,云南省农业科学院,云南农业大学,2023-08-20,2023-09-01,2024-09-01,2024-08-01,云南良种科技有限公司,新品种审定申请,云南良种科技有限公司,云南省农业农村厅,https://www.yn.gov.cn/,2024/9/30,,,,
MF030481,高效能油菜育种技术,常规育种,正在进行,第一阶段,初步试验,四川省农业科学院,四川农业大学,2023-11-01,2023-11-15,2024-11-15,2024-10-01,四川优种生物科技有限公司,新品种审定申请,四川优种生物科技有限公司,四川省农业农村厅,https://www.sc.gov.cn/,2024/9/30,,,,
MF035562,多抗土豆育种技术,转基因育种,已完成,第二阶段,区域试验,甘肃省农业科学院,甘肃农业大学,2023-05-22,2023-06-05,2024-06-05,2024-05-01,甘肃良种科技有限公司,新品种审定申请,甘肃良种科技有限公司,甘肃省农业农村厅,https://www.gansu.gov.cn/,2024/9/30,,,,
MF778092,生物防治的玉米育种技术,常规育种,正在进行,第三阶段,大田试验,内蒙古农业大学,内蒙古农业科学院,2023-10-30,2023-11-10,2024-11-10,2024-10-10,内蒙古优种生物科技有限公司,新品种审定申请,内蒙古优种生物科技有限公司,内蒙古自治区农业农村厅,https://www.nm.gov.cn/,2024/9/30,,,,
MF996253,抗逆环境小麦育种技术,常规育种,已完成,第二阶段,区域试验,吉林省农业科学院,吉林农业大学,2023-04-20,2023-05-01,2024-05-01,2024-04-01,吉林省优良种质研究中心,新品种审定申请,吉林省优良种质研究中心,吉林省农业农村厅,https://www.jilin.gov.cn/,2024/9/30,,,,
MF635142,高抗晚疫番茄育种技术,常规育种,正在进行,第一阶段,初步试验,浙江省农业科学院,浙江大学,2023-11-05,2023-11-20,2024-11-20,2024-10-20,浙江省现代农业技术研究院,新品种审定申请,浙江省现代农业技术研究院,浙江省农业农村厅,https://www.zj.gov.cn/,2024/9/30,,,,
MF030481,优质马铃薯育种技术,常规育种,已完成,第二阶段,区域试验,广西农业科学院,广西大学,2023-03-15,2023-03-25,2024-03-25,2024-02-28,广西农科研究及推广公司,新品种审定申请,广西农科研究及推广公司,广西省农业农村厅,https://www.gx.gov.cn/,2024/9/30,,,,
MF035562,低温耐受小麦育种技术,常规育种,正在进行,第一阶段,初步试验,黑龙江省农业科学院,黑龙江大学,2023-03-15,2023-04-10,2024-04-10,2024-03-05,黑龙江良种科技有限公司,新品种审定申请,黑龙江良种科技有限公司,黑龙江省农业农村厅,https://www.hljagri.gov.cn,2024/9/30,,,,
MF778092,高蛋白大豆育种技术,转基因育种,已完成,第三阶段,区块试验,四川省农科院,四川农业大学,2023-06-01,2023-06-15,2024-06-15,2024-05-10,四川良种科技有限公司,新品种审定申请,四川良种科技有限公司,四川省农业农村厅,https://www.scagri.gov.cn,2024/9/30,,,,
MF996253,抗环境胁迫玉米育种技术,常规育种,正在进行,第一阶段,田间试验,江西省农科院,江西农业大学,2023-04-12,2023-05-01,2024-05-01,2024-04-01,江西良种科技有限公司,新品种审定申请,江西良种科技有限公司,江西省农业农村厅,https://www.jxagri.gov.cn,2024/9/30,,,,
MF030490,自我兼容水稻育种技术,转基因育种,已完成,第二阶段,区块试验,浙江省农科院,浙江农业大学,2023-07-30,2023-08-15,2024-08-15,2024-07-10,浙江良种科技有限公司,新品种审定申请,浙江良种科技有限公司,浙江省农业农村厅,https://www.zjagri.gov.cn,2024/9/30,,,,
MF737405,加强耐盐水稻育种技术,常规育种,正在进行,第三阶段,大田试验,天津市农科院,天津农业大学,2023-08-20,2023-09-01,2024-09-01,2024-08-05,天津良种科技有限公司,新品种审定申请,天津良种科技有限公司,天津市农业农村厅,https://www.tjagri.gov.cn,2024/9/30,,,,
MF035586,耐旱高粱育种技术,转基因育种,已完成,第二阶段,区域试验,山西省农科院,山西农业大学,2023-09-10,2023-10-05,2024-10-05,2024-09-03,山西良种科技有限公司,新品种审定申请,山西良种科技有限公司,山西省农业农村厅,https://www.sxagri.gov.cn,2024/9/30,,,,
MF779985,抗强光西红柿育种技术,常规育种,正在进行,第一阶段,大田试验,宁夏农科院,宁夏大学,2023-10-05,2023-10-20,2024-10-20,2024-09-15,宁夏良种科技有限公司,新品种审定申请,宁夏良种科技有限公司,宁夏农林厅,https://www.nxagri.gov.cn,2024/9/30,,,,
MF658312,高油脂油菜育种技术,转基因育种,已完成,第二阶段,区域试验,云南省农科院,云南农业大学,2023-11-15,2023-12-01,2024-12-01,2024-11-20,云南良种科技有限公司,新品种审定申请,云南良种科技有限公司,云南省农业农村厅,https://www.ynagri.gov.cn,2024/9/30,,,,
MF030481,高抗病虫水稻育种技术,常规育种,正在进行,第三阶段,区域试验,陕西省农科院,陕西农业大学,2023-12-01,2023-12-15,2024-12-15,2024-11-01,陕西良种科技有限公司,新品种审定申请,陕西良种科技有限公司,陕西省农业农村厅,https://www.sxagri.gov.cn,2024/9/30,,,,
MF035562,抗盐水稻育种技术,转基因育种,正在进行,第一阶段,初步试验,广西省农业科学院,广西大学,2023-10-15,2023-11-01,2024-11-01,2024-10-01,广西优种生物科技有限公司,新品种审定申请,广西优种生物科技有限公司,广西省农业农村厅,https://www.gxagri.gov.cn/,2024/9/30,,,,
MF778092,富硒玉米育种技术,常规育种,已完成,第二阶段,区域试验,湖北省农科院,武汉大学,2023-09-20,2023-10-15,2024-10-15,2024-09-01,湖北良种科技有限公司,新品种审定申请,湖北良种科技有限公司,湖北省农业农村厅,https://www.hbagr.gov.cn/,2024/9/30,,,,
MF996253,多抗苹果育种技术,转基因育种,正在进行,第三阶段,大田试验,浙江省农科院,浙江农业大学,2023-08-30,2023-09-15,2024-09-15,2024-08-01,浙江新优科技有限公司,新品种审定申请,浙江新优科技有限公司,浙江省农业农村厅,https://www.zjagri.gov.cn/,2024/9/30,,,,
MF635142,抗风甜瓜育种技术,常规育种,已完成,第一阶段,初步试验,福建省农科院,福建农业大学,2023-07-10,2023-08-01,2024-08-01,2024-07-01,福建优良杂交种有限公司,新品种审定申请,福建优良杂交种有限公司,福建省农业农村厅,https://www.fjagri.gov.cn/,2024/9/30,,,,
MF030481,高糖甘蔗育种技术,转基因育种,正在进行,第二阶段,区域试验,云南省农科院,昆明理工大学,2023-09-15,2023-10-05,2024-10-05,2024-09-20,云南甘蔗种植有限公司,新品种审定申请,云南甘蔗种植有限公司,云南省农业农村厅,https://www.ynagri.gov.cn/,2024/9/30,,,,
MF035562,防霜冻大葱育种技术,常规育种,已完成,第一阶段,初步试验,内蒙古农科院,内蒙古农业大学,2023-06-20,2023-07-10,2024-07-10,2024-06-15,内蒙古良种科技有限公司,新品种审定申请,内蒙古良种科技有限公司,内蒙古省农业农村厅,https://www.nmggov.gov.cn/,2024/9/30,,,,
MF778092,高产红薯育种技术,转基因育种,正在进行,第二阶段,大田试验,江西省农科院,南昌大学,2023-11-02,2023-11-15,2024-11-15,2024-10-01,江西优良生物科技有限公司,新品种审定申请,江西优良生物科技有限公司,江西省农业农村厅,https://www.jxagri.gov.cn/,2024/9/30,,,,
MF996253,优质花椰菜育种技术,常规育种,正在进行,第三阶段,大田试验,辽宁省农科院,沈阳农业大学,2023-10-20,2023-11-01,2024-11-01,2024-10-15,辽宁种业科技有限公司,新品种审定申请,辽宁种业科技有限公司,辽宁省农业农村厅,https://www.ln.gov.cn/,2024/9/30,,,,
MF030490,生物多样性小麦育种技术,转基因育种,已完成,第一阶段,初步试验,陕西省农科院,西北农林科技大学,2023-11-10,2023-11-20,2024-11-20,2024-10-10,陕西农业科技有限公司,新品种审定申请,陕西农业科技有限公司,陕西省农业农村厅,https://www.sxagri.gov.cn/,2024/9/30,,,,
MF737405,抗病水果育种技术,转基因育种,正在进行,第一阶段,初步试验,浙江省农业科学院,浙江农业大学,2023-06-15,2023-07-01,2024-07-01,2024-06-01,浙江亿果生物科技有限公司,新品种审定申请,浙江亿果生物科技有限公司,浙江省农业农村厅,https://www.zjny.gov.cn,2024/9/30,,,,
MF035586,高糖甜菜育种技术,常规育种,已完成,第二阶段,区域试验,吉林省农科院,吉林农业大学,2023-08-01,2023-09-01,2024-09-01,2024-08-01,吉林省良种科技有限公司,新品种审定申请,吉林省良种科技有限公司,吉林省农业农村厅,https://www.jlny.gov.cn,2024/9/30,,,,
MF779985,绿色大豆育种技术,常规育种,正在进行,第一阶段,初步试验,河北省农科院,河北农业大学,2023-09-10,2023-09-15,2024-09-15,2024-08-10,河北绿色种业有限公司,新品种审定申请,河北绿色种业有限公司,河北省农业农村厅,https://www.hebeiny.gov.cn,2024/9/30,,,,
MF658312,抗逆性水果育种技术,转基因育种,已完成,第二阶段,区域试验,四川省农科院,四川农业大学,2023-10-05,2023-10-10,2024-10-10,2024-09-05,四川果品科技有限公司,新品种审定申请,四川果品科技有限公司,四川省农业农村厅,https://www.scny.gov.cn,2024/9/30,,,,
MF996253,脱毒马铃薯育种技术,常规育种,正在进行,第一阶段,初步试验,湖南省农业科学院,湖南农业大学,2023-08-15,2023-09-01,2024-09-01,2024-08-01,湖南优质种业有限公司,新品种审定申请,湖南优质种业有限公司,湖南省农业农村厅,https://www.hunany.gov.cn,2024/9/30,,,,
MF030481,低温耐受性水稻育种技术,转基因育种,已完成,第二阶段,区域试验,福建省农科院,福建农业大学,2023-11-01,2023-11-10,2024-11-10,2024-10-05,福建省农产品科技有限公司,新品种审定申请,福建省农产品科技有限公司,福建省农业农村厅,https://www.fjny.gov.cn,2024/9/30,,,,
MF035562,耐盐碱小麦育种技术,常规育种,正在进行,第一阶段,初步试验,辽宁省农科院,辽宁农业大学,2023-10-30,2023-11-15,2024-11-15,2024-10-20,辽宁种业科技有限公司,新品种审定申请,辽宁种业科技有限公司,辽宁省农业农村厅,https://www.lnny.gov.cn,2024/9/30,,,,
MF778092,高产油菜育种技术,转基因育种,已完成,第三阶段,大田试验,海南省农科院,海南农业大学,2023-12-12,2023-12-20,2024-12-20,2024-11-15,海南绿色农业科技有限公司,新品种审定申请,海南绿色农业科技有限公司,海南省农业农村厅,https://www.hainan.gov.cn,2024/9/30,,,,
MF996253,耐病苹果育种技术,常规育种,正在进行,第二阶段,区域试验,山西省农科院,山西农业大学,2023-11-10,2023-11-15,2024-11-15,2024-10-10,山西果树科技有限公司,新品种审定申请,山西果树科技有限公司,山西省农业农村厅,https://www.shanxi.gov.cn,2024/9/30,,,,
MF635142,耐盐水稻育种技术,转基因育种,正在进行,第一阶段,实验室试验,浙江省农业科学院,浙江大学,2023-02-11,2023-03-01,2024-03-01,2024-02-15,浙江省盐碱地改良科技有限公司,新品种审定申请,浙江省盐碱地改良科技有限公司,浙江省农业农村厅,https://www.zgjssw.gov.cn/,2024/9/30,,,,
MF030481,抗逆干旱玉米育种技术,常规育种,已完成,第二阶段,大田试验,山西省农科院,山西农业大学,2023-04-20,2023-05-01,2024-05-01,2024-04-10,山西优质农作科技有限公司,新品种审定申请,山西优质农作科技有限公司,山西省农业农村厅,https://www.sxagri.gov.cn/,2024/9/30,,,,
MF035562,高产棉花育种技术,常规育种,正在进行,第一阶段,实验室试验,新疆生产建设兵团农科院,喀什农业大学,2023-05-15,2023-06-10,2024-06-10,2024-05-05,新疆棉花科技有限公司,新品种审定申请,新疆棉花科技有限公司,新疆农业农村厅,https://www.xjagri.gov.cn/,2024/9/30,,,,
MF778092,抗虫水稻育种技术,转基因育种,已完成,第四阶段,区域试验,湖南省农科院,湖南农业大学,2023-06-18,2023-07-01,2024-07-01,2024-06-20,湖南优质种植科技有限公司,新品种审定申请,湖南优质种植科技有限公司,湖南省农业农村厅,https://www.hunanagri.gov.cn/,2024/9/30,,,,
MF996253,多抗马铃薯育种技术,常规育种,正在进行,第一阶段,初步试验,甘肃省农科院,甘肃农业大学,2023-08-08,2023-09-01,2024-09-01,2024-08-10,甘肃种苗科技有限公司,新品种审定申请,甘肃种苗科技有限公司,甘肃省农业农村厅,https://www.gsagri.gov.cn/,2024/9/30,,,,
MF030490,富硒小麦育种技术,转基因育种,已完成,第三阶段,大田试验,陕西省农科院,陕西农业大学,2023-09-30,2023-10-15,2024-10-15,2024-09-10,陕西优质农作科技有限公司,新品种审定申请,陕西优质农作科技有限公司,陕西省农业农村厅,https://www.shaanxiagri.gov.cn/,2024/9/30,,,,
MF737405,超高产大豆育种技术,常规育种,正在进行,第一阶段,实验室试验,吉林省农科院,吉林农业大学,2023-10-05,2023-11-01,2024-11-01,2024-10-15,吉林良种科技有限公司,新品种审定申请,吉林良种科技有限公司,吉林省农业农村厅,https://www.jilinfarm.gov.cn/,2024/9/30,,,,
MF035586,早熟蔬菜育种技术,常规育种,已完成,第二阶段,区域试验,辽宁省农科院,沈阳农业大学,2023-11-15,2023-12-01,2024-12-01,2024-11-20,辽宁现代农业科技有限公司,新品种审定申请,辽宁现代农业科技有限公司,辽宁省农业农村厅,https://www.lnagri.gov.cn/,2024/9/30,,,,
MF779985,抗高温水稻育种技术,转基因育种,正在进行,第三阶段,大田试验,海南省农科院,海南大学,2023-12-05,2024-01-01,2025-01-01,2024-12-15,海南热带农业科技有限公司,新品种审定申请,海南热带农业科技有限公司,海南省农业农村厅,https://www.hainanfarm.gov.cn/,2024/9/30,,,,
MF658312,抗寒油菜育种技术,转基因育种,正在进行,第一阶段,初步试验,黑龙江省农科院,黑龙江八一农垦大学,2023-10-10,2023-11-01,2024-11-01,2024-10-01,黑龙江省良种科技有限公司,新品种审定申请,黑龙江省良种科技有限公司,黑龙江省农业农村厅,https://www.hljagri.gov.cn/,2024/9/30,,,,
MF030481,耐盐小麦育种技术,常规育种,已完成,第二阶段,区域试验,新疆农业大学,新疆农业科学院,2023-02-15,2023-03-01,2024-03-01,2024-02-01,新疆良种科技有限公司,新品种审定申请,新疆良种科技有限公司,新疆生产建设兵团农业局,https://www.xjpc.gov.cn/,2024/9/30,,,,
MF035562,抗逆育苗技术,常规育种,正在进行,第三阶段,大田试验,四川省农科院,四川农业大学,2023-03-28,2023-04-15,2024-04-15,2024-03-15,四川良种科技有限公司,新品种审定申请,四川良种科技有限公司,四川省农业农村厅,https://www.scagri.gov.cn/,2024/9/30,,,,
MF778092,超级稻育种技术,转基因育种,已完成,第二阶段,区域试验,湖北省农科院,武汉大学,2023-07-05,2023-08-01,2024-08-01,2024-07-01,湖北优良种子公司,新品种审定申请,湖北优良种子公司,湖北省农业委员会,https://www.hubei.gov.cn/xxgk/jgys/yq/,2024/9/30,,,,
MF996253,抗疲劳薯类育种技术,常规育种,正在进行,第一阶段,初步试验,陕西省农科院,西北农林科技大学,2023-06-12,2023-07-01,2024-07-01,2024-06-01,陕西良种科技有限公司,新品种审定申请,陕西良种科技有限公司,陕西省农业农村厅,https://www.shaanxi.gov.cn/,2024/9/30,,,,
MF635142,生态友好型柑橘育种技术,常规育种,已完成,第二阶段,区域试验,福建省农科院,福建农林大学,2023-01-20,2023-02-01,2024-02-01,2024-01-15,福建良种科技有限公司,新品种审定申请,福建良种科技有限公司,福建省农业农村厅,https://www.fujian.gov.cn/,2024/9/30,,,,
MF030481,节水型葡萄育种技术,转基因育种,正在进行,第一阶段,初步试验,甘肃省农科院,甘肃农业大学,2023-09-15,2023-10-01,2024-10-01,2024-09-01,甘肃良种科技有限公司,新品种审定申请,甘肃良种科技有限公司,甘肃省农业农村厅,https://www.gansu.gov.cn/,2024/9/30,,,,
MF035562,智能化控制育种技术,转基因育种,已完成,第三阶段,大田试验,浙江省农科院,浙江农林大学,2023-04-22,2023-05-01,2024-05-01,2024-04-01,浙江优秀种子公司,新品种审定申请,浙江优秀种子公司,浙江省农业委员会,https://www.zhejiang.gov.cn/,2024/9/30,,,,
MF778092,新型大豆育种技术,常规育种,正在进行,第一阶段,初步试验,辽宁省农科院,沈阳农业大学,2023-08-10,2023-09-01,2024-09-01,2024-08-01,辽宁良种科技有限公司,新品种审定申请,辽宁良种科技有限公司,辽宁省农业农村厅,https://www.ln.gov.cn/,2024/9/30,,,,
MF996253,高耐盐水稻育种技术,转基因育种,正在进行,第一阶段,实验室试验,河海大学,南京农业大学,2023-08-15,2023-09-01,2024-09-01,2024-08-01,江苏盐农生物科技有限公司,新品种审定申请,江苏盐农生物科技有限公司,南京市农业农村局,https://www.nj.gov.cn,2024/9/30,,,,
MF030490,抗旱玉米育种技术,常规育种,正在进行,第二阶段,大田试验,甘肃省农科院,甘肃农业大学,2023-06-10,2023-07-01,2024-07-01,2024-06-01,甘肃丰收科技有限公司,新品种审定申请,甘肃丰收科技有限公司,甘肃省农业农村厅,https://www.gsgov.gov.cn,2024/9/30,,,,
MF737405,高油酸花生育种技术,常规育种,已完成,第三阶段,区域试验,湖南省农科院,湖南农业大学,2023-07-01,2023-08-01,2024-08-01,2024-07-15,湖南良种科技有限公司,新品种审定申请,湖南良种科技有限公司,湖南省农业农村厅,https://www.hunan.gov.cn,2024/9/30,,,,
MF035586,抗虫水稻育种技术,转基因育种,正在进行,第一阶段,初步试验,浙江省农科院,浙江大学,2023-09-10,2023-10-01,2024-10-01,2024-09-01,浙江天行科技有限公司,新品种审定申请,浙江天行科技有限公司,浙江省农业农村厅,https://www.zj.gov.cn,2024/9/30,,,,
MF779985,快熟大豆育种技术,常规育种,已完成,第二阶段,大田试验,云南省农科院,云南农业大学,2023-08-22,2023-09-01,2024-09-01,2024-08-15,云南良种科技有限公司,新品种审定申请,云南良种科技有限公司,云南省农业农村厅,https://www.yn.gov.cn,2024/9/30,,,,
MF658312,耐寒苹果育种技术,常规育种,正在进行,第一阶段,初步试验,黑龙江省农科院,黑龙江八一农垦大学,2023-06-12,2023-07-01,2024-07-01,2024-06-10,黑龙江果业科技有限公司,新品种审定申请,黑龙江果业科技有限公司,黑龙江省农业农村厅,https://www.hlj.gov.cn,2024/9/30,,,,
MF996253,高产水稻育种技术,转基因育种,已完成,第三阶段,区域试验,四川省农科院,四川农业大学,2023-05-19,2023-06-01,2024-06-01,2024-05-25,四川高产科技有限公司,新品种审定申请,四川高产科技有限公司,四川省农业农村厅,https://www.sc.gov.cn,2024/9/30,,,,
MF996253,丰产小麦育种技术,常规育种,正在进行,第二阶段,大田试验,辽宁省农科院,辽宁农业大学,2023-08-30,2023-09-15,2024-09-15,2024-08-10,辽宁良种科技有限公司,新品种审定申请,辽宁良种科技有限公司,辽宁省农业农村厅,https://www.ln.gov.cn,2024/9/30,,,,
MF996253,小核桃育种技术,常规育种,正在进行,第一阶段,初步试验,山西省农科院,山西农业大学,2023-10-05,2023-10-15,2024-10-15,2024-09-30,山西良种科技有限公司,新品种审定申请,山西良种科技有限公司,山西省农业农村厅,https://www.sx.gov.cn,2024/9/30,,,,
