标准编号（字符型）,标准名称（字符型）,标准发布日期（日期型）,实施日期（日期型）,备案号（字符型）,标准属性（字符型）,实施范围（字符型）,标准范围（字符型）,制定部门（字符型）,制定依据（字符型）,采集来源,来源链接,采集时间,备注,,,,,,
DB H14/002-2021,省级营养标签标准,2021-08-15,2021-12-01,DB-H14-002,地方标准,湖南省食品生产、销售,地方食品安全标准,湖南省市场监督管理局,地方食品安全法,湖南日报,https://www.hunan.gov.cn/,2024-09-29,,,,,,,
GB/T 31238-2022,新兴食品安全标准,2022-10-05,2023-01-01,2022-006,推荐性标准,全国范围内，创新食品企业,食品质量标准,国家食品药品监督管理局,新兴食品安全法,食品科学杂志,https://www.foodscience.cn/,2024-09-29,,,,,,,
T/CNFC 003-2021,食品能量标识标准,2021-06-18,2022-01-01,T-CNFC-003,团体标准,企业食品标签,食品营养标准,中国营养学会,团体标准制定办法,营养学报,https://www.chinanutr.org/,2024-09-29,,,,,,,
DB S21/003-2022,地方标准：农产品安全标准,2022-11-01,2023-03-01,DB-S21-003,地方标准,广东省内农产品生产,地方食品安全标准,广东省农业农村厅,地方食品安全法,南方日报,https://www.nanfangdaily.com.cn/,2024-09-29,,,,,,,
GB 2771-2022,食品中有害物质限量标准,2022-08-15,2023-01-01,2022-004,强制性标准,食品生产、加工、销售,食品安全标准,国家市场监督管理总局,食品安全法,国家市场监督管理总局,https://www.samr.gov.cn/,2024-09-29,,,,,,,
GB 2763-2019,食品微生物限量标准,2019-11-11,2020-05-01,2019-005,强制性标准,食品制造、流通,食品安全标准,国家卫生健康委员会,食品安全法,食品安全国家标准信息网,http://www.nhc.gov.cn/,2024-09-29,,,,,,,
DB H44/002-2023,地方食品安全标准：鲜果处理,2023-04-20,2023-11-01,DB-H44-002,地方标准,湖南省食品生产、销售,地方食品安全标准,湖南省市场监督管理局,地方食品安全法,湖南省市场监督管理局,https://www.hunan.gov.cn/,2024-09-29,,,,,,,
T/CFAA 0003-2022,非转基因食品处理标准,2022-07-10,2023-01-01,T-CFAA-0003,团体标准,全国范围内食品生产企业,非转基因食品标准,中国非转基因食品协会,团体标准制定办法,中国非转基因食品协会,http://www.cngmos.org.cn/,2024-09-29,,,,,,,
GB 7718-2020,食品标签及营养成分标示标准,2020-09-30,2021-04-01,2020-006,强制性标准,食品生产、销售,食品安全标准,国家市场监督管理总局,食品安全法,国家食品安全信息网,http://www.cfda.gov.cn/,2024-09-29,,,,,,,
GB 2758-2021,保健食品安全标准,2021-10-01,2022-04-01,2021-007,强制性标准,保健食品生产、销售,食品安全标准,国家卫生健康委员会,食品安全法,国家卫生健康委员会官网,http://www.nhc.gov.cn/,2024-09-29,,,,,,,
DB J31/010-2023,地方食品安全标准：整鸡处理,2023-03-15,2023-09-01,DB-J31-010,地方标准,江苏省食品生产、销售,地方食品安全标准,江苏省卫生健康委员会,地方食品安全法,江苏省市场监督管理局,http://www.jiangsu.gov.cn/,2024-09-29,,,,,,,
GB 28300-2022,红酒生产安全标准,2022-12-01,2023-07-01,2022-003,强制性标准,全国范围内红酒生产企业,食品安全标准,农业农村部,食品安全法,农业农村部,http://www.moa.gov.cn/,2024-09-29,,,,,,,
GB 2780-2022,食品中重金属限量标准,2022-05-18,2022-12-01,2022-008,强制性标准,食品生产、加工、销售,食品安全标准,国家卫生健康委员会,食品安全法,国家食品安全局,http://www.cfs.gov.cn/,2024-09-29,,,,,,,
T/NAB 1001-2022,天然食品认证标准,2022-06-30,2023-02-01,T-NAB-1001,团体标准,全国范围内食品生产企业,天然食品安全标准,中国农业科学院,团体标准制定办法,中国农业科学院,http://www.caas.cn/,2024-09-29,,,,,,,
GB 2780-2023,全谷物食品标准,2023-02-10,2023-08-01,2023-001,强制性标准,全国范围内的食品生产和销售,食品安全标准,国家市场监督管理总局,食品安全法,国家食品药品监督管理局,https://www.nmpa.gov.cn,2024-09-29,,,,,,,
DB GZ/001-2020,地方食品安全标准：贵州酸汤,2020-04-12,2020-10-01,DB-GZ-001,地方标准,贵州省食品生产、销售,地方食品安全标准,贵州省市场监督管理局,地方食品安全法,贵州省食品药品监督管理局,https://www.gz.gov.cn,2024-09-29,,,,,,,
GB 2784-2019,食品过敏原标识标准,2019-11-25,2020-05-01,2019-002,强制性标准,食品生产、加工、销售,食品安全标准,国家卫生健康委员会,中华人民共和国食品安全法,国家市场监督管理总局,https://www.samr.gov.cn,2024-09-29,,,,,,,
T/CFA 0012-2022,食品可持续性标准,2022-07-01,2022-12-15,T-CFA-0012,团体标准,全国范围内食品行业相关企业,食品配料分类标准,中国食品安全促进会,团体标准制定办法,全国食品安全工作委员会,https://www.cfsma.org.cn,2024-09-29,,,,,,,
GB 2792-2021,农药残留限量标准,2021-05-20,2021-11-20,2021-005,强制性标准,全国范围内的农产品,食品安全标准,国家农药安全监督管理局,农药管理法,国家农业农村部,https://www.moa.gov.cn,2024-09-29,,,,,,,
DB ZJ/002-2023,地方食品安全标准：浙江黄酒,2023-01-15,2023-07-01,DB-ZJ-002,地方标准,浙江省食品生产、销售,地方食品安全标准,浙江省市场监督管理局,地方食品安全法,浙江省酒业协会,https://www.zj.gov.cn,2024-09-29,,,,,,,
GB 2801-2020,食品营养标签标准,2020-03-30,2020-09-01,2020-003,强制性标准,食品生产、加工,食品安全标准,国家市场监督管理局,食品安全法,国家标准化管理委员会,https://www.sac.gov.cn,2024-09-29,,,,,,,
T/CBPI 0023-2022,植物基食品安全标准,2022-06-10,2022-12-01,T-CBPI-0023,团体标准,全国范围内的植物基食品企业,食品行业标准,中国植物基食品协会,团体标准制定办法,中国食品协会,https://www.cfda.gov.cn,2024-09-29,,,,,,,
JYF 01-2023,智能食品安全监测标准,2023-05-05,2023-11-01,JYF-01,新兴标准,全国范围内高科技食品企业,食品监管标准,国家科技部,科技与食品安全相关法律,中国食品科技协会,https://www.most.gov.cn,2024-09-29,,,,,,,
DB XJ/003-2021,地方食品安全标准：新疆干果,2021-09-25,2022-03-01,DB-XJ-003,地方标准,新疆维吾尔自治区食品生产、销售,地方食品安全标准,新疆维吾尔自治区市场监督管理局,地方食品安全法,新疆食品协会,https://www.xinjiang.gov.cn,2024-09-29,,,,,,,
GB 40730-2023,植物源食品中重金属限量标准,2023-05-10,2023-11-01,2023-001,强制性标准,全国范围内的植物源食品生产、加工,食品安全标准,国家市场监督管理总局,食品安全法,国家市场监督管理总局,https://www.samr.gov.cn,2024-09-29,,,,,,,
GB 27766-2022,乳制品中微生物限度标准,2022-04-20,2022-10-01,2022-005,强制性标准,全国范围内的乳制品生产、销售,食品安全标准,国家卫生健康委员会,食品安全法,中华食品科技网,https://www.cfs.gov.cn,2024-09-29,,,,,,,
SL 408-2022,冷冻食品标准,2022-09-12,2023-03-01,2022-002,地方标准,全国范围内冷冻食品的生产、加工、销售,地方食品安全标准,各地市场监督管理局,地方食品安全法,城市市场管理局,https://www.nmpa.gov.cn,2024-09-29,,,,,,,
DB J10/004-2023,地方标准：有机食品认证,2023-01-15,2023-07-20,DB-J10-001,地方标准,江苏省有机产品生产,地方食品安全标准,江苏省市场监督管理局,地方食品安全法,江苏省市场监督管理局,https://jssj.gov.cn,2024-09-29,,,,,,,
T/CBC 001-2021,海鲜产品质量标准,2021-08-04,2022-01-15,T-CBC-001,团体标准,沿海地区海鲜产品，生产、贸易,食品质量标准,中国食品科学技术学会,团体标准制定办法,中国海洋食品协会,https://www.cofco.com,2024-09-29,,,,,,,
GB/T 32011-2020,食品中农药残留限量标准,2020-11-01,2021-05-15,2020-003,强制性标准,全国范围内的食品生产、销售,食品安全标准,国家卫生健康委员会,食品安全法,农业农村部,https://www.moa.gov.cn,2024-09-29,,,,,,,
GB 21950-2022,瓶装水质量标准,2022-07-08,2023-01-01,2022-007,强制性标准,全国范围内的瓶装水生产、销售,食品安全标准,国家市场监督管理总局,食品安全法,国家市场监督管理总局,https://www.samr.gov.cn,2024-09-29,,,,,,,
DBX 42/003-2023,地方食品添加剂使用标准,2023-02-20,2023-08-01,DBX-42-002,地方标准,广东省食品生产企业,地方食品安全标准,广东省市场监督管理局,地方食品安全法,广东省食品监督管理局,https://gdjgj.gov.cn,2024-09-29,,,,,,,
T/CFA 005-2022,醋类制品质量标准,2022-10-01,2023-04-01,T-CFA-005,团体标准,全国范围内的醋类生产、销售,食品质量标准,中国调味品协会,团体标准制定办法,全国食品行业协会,https://www.cnfg.org.cn,2024-09-29,,,,,,,
GB 28300-2023,食品中微生物限量标准,2023-06-15,2024-01-01,2023-004,强制性标准,食品生产、加工、销售,食品安全标准,国家卫生健康委员会,食品安全法,国家市场监督管理总局,https://www.samr.gov.cn,2024-09-29,,,,,,,
GB 5009.22-2020,食品检验法：重金属,2020-09-30,2021-05-01,2020-005,强制性标准,食品生产、检验,食品安全标准,国家市场监督管理委员会,食品安全法,国家市场监督管理总局,https://www.samr.gov.cn,2024-09-29,,,,,,,
DB N16/001-2022,地方食品安全标准：江浙地区特色食品,2022-05-01,2022-11-15,DB-N16-001,地方标准,江苏浙江省食品生产、销售,地方食品安全标准,江苏省卫健委,地方食品安全法,浙江省市场监督管理局,https://www.zjmq.gov.cn,2024-09-29,,,,,,,
T/CFAA 0005-2023,食品添加剂使用指南,2023-01-20,2023-07-01,T-CFAA-0005,团体标准,全国食品生产企业,食品添加剂标准,中国食品添加剂和配料协会,团体标准制定办法,中国食品科学技术学会,https://www.chinafoodscience.org,2024-09-29,,,,,,,
GB 7718-2020,食品标签规定,2020-08-01,2021-03-01,2020-006,强制性标准,食品生产、销售,食品安全标准,国家卫生健康委员会,食品安全法,北京市市场监督管理局,https://www.bjmd.gov.cn,2024-09-29,,,,,,,
GB 2763-2019,食品中农药残留限量标准,2019-09-25,2020-04-01,2019-007,强制性标准,食品生产、加工、销售,食品安全标准,国家市场监督管理委员会,食品安全法,全国农业部,https://www.moa.gov.cn,2024-09-29,,,,,,,
DB YX/002-2023,地方食品安全标准：燕麦,2023-03-10,2023-09-01,DB-YX-002,地方标准,云南省食品生产、销售,地方食品安全标准,云南省卫健委,地方食品安全法,云南省市场监督管理局,https://www.yn.gov.cn,2024-09-29,,,,,,,
GB 9661-2021,食品中含糖量标准,2021-12-15,2022-07-01,2021-008,强制性标准,食品生产、加工,食品安全标准,国家卫生健康委员会,食品安全法,全国食品监督管理局,https://www.fda.gov.cn,2024-09-29,,,,,,,
T/CFAA 0008-2024,新型植物基食品标准,2024-02-01,2024-08-01,T-CFAA-0008,团体标准,全国范围内食品生产企业,植物基食品标准,中国食品添加剂和配料协会,团体标准制定办法,中国农业大学食品科学学院,https://www.cau.edu.cn,2024-09-29,,,,,,,
GB 6631-2022,食品过敏源标识标准,2022-01-15,2022-06-01,2022-009,强制性标准,食品生产、销售,食品安全标准,国家市场监督管理委员会,食品标签法,上海市市场监督管理局,https://www.sh.gov.cn,2024-09-29,,,,,,,
GB 32282-2023,新型食品包装材料标准,2023-01-15,2023-07-01,2023-001,强制性标准,全国范围内食品包装材料生产,食品安全标准,国家市场监督管理总局,食品安全法,中国食品安全杂志,https://www.foodsafety.gov.cn,2024-09-29,,,,,,,
GB 4789.3-2022,食品微生物检测标准,2022-11-20,2023-01-01,2022-093,强制性标准,食品生产、加工企业,食品检验标准,国家卫生健康委员会,食品安全法,食品安全与健康网络,https://www.fsd.gov.cn,2024-09-29,,,,,,,
DB S64/002-2021,地方食品安全标准：大米,2021-08-12,2021-12-01,DB-S64-002,地方标准,甘肃省食品生产、销售,地方食品安全标准,甘肃省卫生健康委员会,地方食品安全法,甘肃省市场监督管理局,https://www.gansu.gov.cn,2024-09-29,,,,,,,
T/CFAA 0010-2022,食品安全快速检测标准,2022-05-06,2022-11-01,T-CFAA-0010,团体标准,全国范围内食品检测机构,食品安全检测标准,中国食品添加剂和配料协会,团体标准制定办法,中国食品新闻网,https://www.foodnews.com.cn,2024-09-29,,,,,,,
GB 28001-2021,食品安全风险管理标准,2021-03-11,2021-09-01,2021-004,强制性标准,食品生产企业,食品安全管理标准,国家市场监督管理总局,食品安全法,食品安全论坛,https://www.safefoodforum.com,2024-09-29,,,,,,,
GB/T 19103-2020,食品营养标识标准,2020-06-30,2021-03-01,2020-067,推荐性标准,食品生产、加工、销售企业,食品营养标准,国家卫生健康委员会,食品安全法,健康中国网站,https://www.healthchina.com,2024-09-29,,,,,,,
Q/CFFA 0025-2022,食品观感检测标准,2022-09-10,2023-03-01,Q-CFFA-0025,团体标准,全国范围内快餐业,食品质量检测标准,中国快餐行业协会,团体标准制定办法,中国快餐网,https://www.fastfood.cn,2024-09-29,,,,,,,
GB 28719-2023,食品添加剂使用安全标准,2023-04-01,2023-10-01,2023-005,强制性标准,全国范围内食品生产企业,食品安全标准,国家卫生健康委员会,食品安全法,国家食品安全网,https://www.nationalfoodsafety.cn,2024-09-29,,,,,,,
DB XZ01-2022,地方食品安全标准：水果,2022-02-18,2022-08-01,DB-XZ-001,地方标准,广东省水果销售,地方食品安全标准,广东省市场监督管理局,地方食品安全法,广东省食品安全网,https://www.guangdongfoodsafety.gov.cn,2024-09-29,,,,,,,
GB 26121-2021,食品生产企业haccp标准,2021-07-15,2022-01-01,2021-009,强制性标准,全国范围内食品生产企业,食品安全管理标准,国家市场监督管理总局,食品安全法,中国食品安全研究院,https://www.cfsri.org.cn,2024-09-29,,,,,,,
GB 31720-2023,食品中重金属污染物限量标准,2023-08-15,2024-01-01,2023-004,强制性标准,全国食品生产、加工、销售,食品安全标准,国家市场监督管理总局,食品安全法,国家食品安全风险评估中心,http://www.nhc.gov.cn,2024-09-29,,,,,,,
GB 4001-2022,在线食品销售安全标准,2022-06-10,2022-12-15,2022-005,强制性标准,电子商务平台食品交易,食品安全标准,国家市场监督管理总局,食品安全法,中国电子商务协会,http://www.ebnew.com,2024-09-29,,,,,,,
DB H11/002-2023,地方食品安全标准：黄河鲤鱼,2023-04-05,2024-02-01,DB-H11-002,地方标准,河南省食品生产、销售,地方食品安全标准,河南省卫健委,地方食品安全法,河南省市场监管局,http://www.henan.gov.cn,2024-09-29,,,,,,,
T/CFA 0003-2021,植物性食品配料使用标准,2021-10-20,2022-01-01,T-CFA-0003,团体标准,全国范围内植物性食品生产企业,植物性食品安全标准,中国食品行业协会,团体标准制定办法,食品研究所,http://www.cfa.org.cn,2024-09-29,,,,,,,
GB 12345-2022,食品天然成分标识标准,2022-07-01,2023-01-01,2022-006,强制性标准,全国食品生产、加工,食品安全标准,国家市场监督管理局,食品安全相关法律,北京食品质量监督管理局,http://www.bj.gov.cn,2024-09-29,,,,,,,
GB/T 2459-2023,有机食品生产标准,2023-02-10,2023-08-01,2023-007,国家标准,全国有机食品生产企业,食品安全标准,国家认证认可监督管理委员会,有机食品法,中国有机食品协会,http://www.cofco.com,2024-09-29,,,,,,,
DB J25/003-2023,地方食品认证标准：茶叶,2023-03-01,2023-09-01,DB-J25-003,地方标准,江苏省食品生产、销售,地方食品安全标准,江苏省市场监管局,地方食品安全法,江苏省农委,http://www.js.gov.cn,2024-09-29,,,,,,,
GB 4875-2022,乳制品安全标准,2022-11-12,2023-06-01,2022-008,强制性标准,全国乳制品生产、销售,食品安全标准,国家卫生健康委员会,食品安全法,中国乳制品工业协会,http://www.dairy.com.cn,2024-09-29,,,,,,,
T/FDA 0011-2023,食品防腐剂使用标准,2023-05-25,2023-11-01,T-FDA-0011,团体标准,全国范围内食品添加剂生产企业,食品添加剂安全标准,中国食品药品监督管理局,团体标准制定办法,中国食品添加剂第二协会,http://www.chinafood.com,2024-09-29,,,,,,,
GB 9208-2023,食品保质期标识标准,2023-07-15,2024-01-01,2023-009,强制性标准,全国食品生产、加工、销售,食品安全标准,国家市场监督管理局,食品安全法,国家质量监督检验检疫总局,http://www.aqsiq.gov.cn,2024-09-29,,,,,,,
GB 3841-2020,食品安全风险监测导则,2020-05-15,2020-11-01,2020-001,强制性标准,全国范围内食品生产、加工、销售,食品安全监测标准,国家市场监督管理总局,食品安全法,国家食品安全风险评估中心,http://www.cfsa.net.cn,2024-09-29,,,,,,,
GB 4789-2021,食品微生物检测标准,2021-07-20,2022-01-01,2021-002,强制性标准,食品生产企业及相关检测机构,食品安全标准,国家食品药品监督管理局,食品安全法,食品药品检验研究院,http://www.nmpa.gov.cn,2024-09-29,,,,,,,
DB D13/002-2023,地方食品安全标准：高原食品,2023-04-12,2023-10-01,DB-D13-002,地方标准,青海省食品生产、销售,地方食品安全标准,青海省卫生健康委员会,地方食品安全法,青海省市场监管局,http://www.qh.gov.cn,2024-09-29,,,,,,,
T/CIBM 0015-2022,有机食品认证标准,2022-09-05,2023-01-01,T-CIBM-0015,团体标准,有机食品生产企业,食品安全标准,中国有机食品认证中心,团体标准制定办法,全国人大法工委,http://www.organiccert.gov.cn,2024-09-29,,,,,,,
GB 5014-2019,冷链食品安全标准,2019-11-28,2020-04-01,2019-003,强制性标准,全国冷链物流企业,食品安全标准,国家发改委,食品安全法,中国冷链物流协会,http://www.chinalcl.org,2024-09-29,,,,,,,
GB/T 30720-2020,植物性食品安全标准,2020-08-10,2021-03-01,2020-004,推荐性标准,全国植物性食品生产企业,食品安全标准,国家标准化管理委员会,食品安全法,中国植物性食品促进会,http://www.vegfood.org.cn,2024-09-29,,,,,,,
DB A14/003-2023,地方食品安全标准：酸奶,2023-03-05,2023-09-01,DB-A14-003,地方标准,四川省食品生产、销售,地方食品安全标准,四川省市场监督管理局,地方食品安全法,四川省食品安全办公室,http://www.sc.gov.cn,2024-09-29,,,,,,,
GB 18401-2018,食品包装材料安全标准,2018-05-20,2018-11-01,2018-005,强制性标准,全国食品生产企业,食品安全标准,国家市场监督管理总局,食品安全法,国家包装材料公司的市场部,http://www.packaging.gov.cn,2024-09-29,,,,,,,
T/CIGC 0020-2022,食品营养成分标示标准,2022-12-15,2023-06-01,T-CIGC-0020,团体标准,全国范围内食品生产企业,食品安全标准,中国营养学会,团体标准制定办法,深圳市市场监督管理局,http://www.cnsoc.org,2024-09-29,,,,,,,
GB 20279-2021,肉类食品安全标准,2021-03-12,2021-10-01,2021-006,强制性标准,全国肉类生产加工企业,食品安全标准,农业农村部,食品安全法,中国肉类协会,http://www.chinareform.com,2024-09-29,,,,,,,
GB 2763-2023,食品中微生物限量标准,2023-05-10,2023-11-01,2023-001,强制性标准,全国食品生产、加工企业,食品安全标准,国家卫生健康委员会,食品安全法,国家市场监督管理总局,https://www.samr.gov.cn/,2024-09-29,,,,,,,
GB 2764-2020,食品营养成分标示标准,2020-10-15,2021-04-01,2020-002,强制性标准,加工食品生产、销售,食品安全标准,国家卫生健康委员会,营养法,中国营养学会,http://www.cnsoc.org/,2024-09-29,,,,,,,
GB/T 2226-2019,有机食品认证标准,2019-08-20,2020-01-01,2019-003,推荐性标准,全国有机食品生产企业,有机食品标准,国家市场监督管理总局,有机产品认证实施管理办法,农业农村部,http://www.moa.gov.cn/,2024-09-29,,,,,,,
DB H56/001-2022,地方食品安全标准：豆芽,2022-02-28,2022-09-01,DB-H56-001,地方标准,湖北省食品生产、加工,地方食品安全标准,湖北省卫生健康委员会,地方食品安全法,湖北省市场监督管理局,http://www.hubei.gov.cn/,2024-09-29,,,,,,,
GB/T 31000-2021,食品供应链安全管理标准,2021-07-15,2022-01-01,2021-004,推荐性标准,全国食品供应链企业,供应链安全标准,国家市场监督管理总局,食品供应链管理规范,全国食品安全风险评估中心,http://www.nifdc.org.cn/,2024-09-29,,,,,,,
T/CFAA 0005-2022,创新食品科技应用标准,2022-03-10,2022-09-01,T-CFAA-0005,团体标准,全国食品科技企业,食品科技标准,中国食品添加剂和配料协会,团体标准制定办法,中国科技网,http://www.std.gov.cn/,2024-09-29,,,,,,,
DB S36/002-2023,地方食品安全标准：水果,2023-01-15,2023-07-01,DB-S36-002,地方标准,广东省水果生产、销售,地方食品安全标准,广东省市场监督管理局,地方食品安全法,广东省卫生健康委员会,http://www.gd.gov.cn/,2024-09-29,,,,,,,
GB 2765-2023,食品中农药残留限量标准,2023-09-05,2024-03-01,2023-005,强制性标准,全国农产品生产、流通,食品安全标准,国家卫生健康委员会,食品安全法,农业农村部,http://www.moa.gov.cn/,2024-09-29,,,,,,,
GB/T 31001-2021,食品安全风险评估标准,2021-12-01,2022-06-01,2021-005,推荐性标准,全国食品生产、加工企业,风险评估标准,国家市场监督管理总局,食品安全风险评估规范,中国疾病预防控制中心,http://www.chinacdc.cn/,2024-09-29,,,,,,,
GB 2823-2020,食品中重金属限量标准,2020-08-15,2021-01-01,2020-004,强制性标准,食品生产、加工,食品安全标准,国家市场监管总局,食品安全法,国家市场监督管理局网站,https://www.samr.gov.cn/,2024-09-29,,,,,,,
GB/T 30979-2019,农产品食品安全标准,2019-05-10,2019-12-01,2019-005,推荐性标准,全国农产品生产企业,食品安全标准,农业农村部,农产品质量安全法,中国农业部官方网站,http://www.moa.gov.cn/,2024-09-29,,,,,,,
DBS 11/001-2021,地方食品安全标准：江苏省果蔬农药残留,2021-10-15,2022-05-01,DBS-JS-001,地方标准,江苏省食品生产、销售,地方食品安全标准,江苏省市场监督管理局,地方食品安全法,江苏省市场监督论坛,https://www.js.gov.cn/,2024-09-29,,,,,,,
T/CNFA 0010-2021,肉类产品添加剂使用标准,2021-11-20,2022-02-15,T-CNFA-0010,团体标准,全国肉类加工行业,食品添加剂标准,中国肉类协会,团体标准制定办法,中国肉类协会官方网站,http://www.china-meat.org/,2024-09-29,,,,,,,
GB 5749-2023,饮用水卫生标准,2023-01-01,2023-07-01,2023-006,强制性标准,饮用水生产、分销,公共卫生标准,国家卫生健康委员会,饮用水卫生法,国家卫生健康委员会官方网站,http://www.nhc.gov.cn/,2024-09-29,,,,,,,
GB/T 31276-2022,食品追溯系统标准,2022-04-12,2023-02-01,2022-003,推荐性标准,全国各类食品生产企业,食品追溯标准,国家市场监督管理局,食品追溯法,中国食品追溯网,http://www.foodtrace.org.cn/,2024-09-29,,,,,,,
DB M12/002-2022,地方食品安全标准：云南省茶叶品质,2022-10-05,2023-04-01,DB-M12-002,地方标准,云南省辖区内茶叶企业,地方食品安全标准,云南省市场监管局,云南省食品安全法,云南省政府官网,http://www.yn.gov.cn/,2024-09-29,,,,,,,
T/CGF 0041-2021,冷冻食品卫生标准,2021-09-30,2022-04-15,T-CGF-0041,团体标准,全国冷冻食品行业,食品安全标准,中国冷冻食品协会,行业标准制定办法,中国冷冻食品协会网站,http://www.china-freeze.org/,2024-09-29,,,,,,,
GB 6702-2021,食品接触材料安全标准,2021-06-25,2021-12-31,2021-002,强制性标准,食品包装材料制造,材料安全标准,国家质量监督检验检疫总局,食品接触材料法,国家标准化管理委员会,http://www.sac.gov.cn/,2024-09-29,,,,,,,
DB 25/003-2023,地方食品安全标准：山东省海产品质量,2023-03-20,2023-09-01,DB-25-003,地方标准,山东省海产品企业,地方食品安全标准,山东省市场监督管理局,省级食品安全法,山东省食品安全网站,http://www.sd.gov.cn/,2024-09-29,,,,,,,
GB 2763-2020,食品中重金属限量标准,2020-10-01,2021-01-01,2020-004,强制性标准,全国范围内食品生产、加工、销售,食品安全标准,国家市场监督管理总局,食品安全法,国家食品安全风险评估中心,https://www.nhc.gov.cn/,2024-09-29,,,,,,,
GB 2761-2019,食品中微生物限量标准,2019-05-15,2019-12-01,2019-002,强制性标准,食品生产、加工、销售,食品安全标准,国家卫生健康委员会,食品安全法,中国疾控中心,https://www.chinacdc.cn/,2024-09-29,,,,,,,
GB/T 3131-2021,食品污染物检测方法,2021-04-12,2021-10-01,2021-001,推荐性标准,食品检测机构,食品检测标准,国家市场监督管理总局,食品安全法,中国食品科技网,http://www.cift.org.cn/,2024-09-29,,,,,,,
DB S45/002-2023,地方食品安全标准：红枣,2023-01-15,2023-10-01,DB-S45-002,地方标准,甘肃省食品生产、销售,地方食品安全标准,甘肃省市场监督管理局,地方食品安全法,甘肃卫生健康委员会,http://gsswjc.gov.cn/,2024-09-29,,,,,,,
GB 2349-2022,乳制品质量安全标准,2022-08-05,2022-12-01,2022-003,强制性标准,全国范围内乳制品生产厂家,食品安全标准,国家卫生健康委员会,食品安全法,中国乳制品工业协会,https://www.cnnpi.org/,2024-09-29,,,,,,,
T/CIFA 0005-2023,植物油质量标准,2023-03-22,2023-09-01,T-CIFA-0005,团体标准,全国范围内植物油生产企业,食品安全标准,中国植物油协会,团体标准制定办法,中国农业产业信息网,http://www.cai.gov.cn/,2024-09-29,,,,,,,
DB S90/003-2022,地方食品安全标准：果蔬农残限量,2022-11-10,2023-05-01,DB-S90-003,地方标准,江苏省果蔬生产、销售,地方食品安全标准,江苏省市场监督管理局,地方食品安全法,江苏省农产品质量安全中心,http://www.jsagri.gov.cn/,2024-09-29,,,,,,,
GB/T 2509-2021,食品风险评估方法,2021-07-01,2022-01-01,2021-005,推荐性标准,食品监测机构,食品安全标准,国家市场监督管理总局,食品安全法,食品安全国家标准委员会,http://www.safety.org.cn/,2024-09-29,,,,,,,
GB 2920-2023,饮用水安全标准,2023-06-07,2024-01-01,2023-002,强制性标准,全国范围内饮用水供应系统,饮用水安全标准,国家卫生健康委员会,水污染防治法,中国水利部,http://www.mwr.gov.cn/,2024-09-29,,,,,,,
GB 2788-2023,食品保质期标注标准,2023-09-12,2024-04-01,2023-001,强制性标准,全国范围内食品生产、销售,食品安全标准,国家市场监督管理总局,食品安全法,中国消费者协会,http://www.cca.org.cn/,2024-09-29,,,,,,,
GB 2763-2023,有机食品标准,2023-10-01,2024-01-01,2023-004,强制性标准,全国范围内有机食品生产、销售,食品安全标准,国家市场监督管理总局,有机产品认证管理办法,国家粮食和物资储备局,https://www.cngrain.gov.cn/,2024-09-29,,,,,,,
GB 7719-2022,食品中重金属限量标准,2022-04-15,2022-10-01,2022-005,强制性标准,全国范围,食品安全标准,国家卫健委,食品安全法,中国科学院食品科学与营养研究所,https://www.casi.org.cn/,2024-09-29,,,,,,,
DB S64/002-2022,地方食品安全标准：蜂蜜,2022-06-20,2022-12-01,DB-S64-002,地方标准,甘肃省食品生产、销售,地方食品安全标准,甘肃省市场监督管理局,地方食品安全法,西北农林科技大学,https://www.nwafu.edu.cn/,2024-09-29,,,,,,,
T/CFAA 0003-2022,食品质量追溯体系标准,2022-03-10,2022-09-01,T-CFAA-0003,团体标准,食品供应链企业,食品质量管理标准,中国食品质量安全协会,团体标准制定办法,中国食品安全网,https://www.cfda.gov.cn/,2024-09-29,,,,,,,
GB 2767-2023,植物基食品安全标准,2023-05-05,2023-11-01,2023-006,强制性标准,全国植物基食品生产、销售,食品安全标准,国家茶叶局,食品安全法,中国植物基食品协会,https://www.pbaf.org.cn/,2024-09-29,,,,,,,
GB 7717-2020,食品标签与广告标准,2020-11-15,2021-05-01,2020-003,强制性标准,全国范围,食品安全标准,国家市场监督管理总局,广告法,中国广告协会,https://www.caan.org.cn/,2024-09-29,,,,,,,
DB H16/003-2023,地方食品安全标准：水产品,2023-03-25,2023-09-01,DB-H16-003,地方标准,海南省食品生产、销售,地方食品安全标准,海南省市场监督管理局,地方食品安全法,海南省农业厅,https://www.hainan.gov.cn/,2024-09-29,,,,,,,
T/CFAA 0004-2023,绿色食品认证标准,2023-08-30,2024-02-01,T-CFAA-0004,团体标准,全国绿色食品生产企业,绿色食品管理标准,中国食品质量安全协会,团体标准制定办法,中国绿色食品发展中心,https://www.greenfood.org.cn/,2024-09-29,,,,,,,
GB 2764-2023,食品中微生物限量标准,2023-07-22,2023-12-01,2023-007,强制性标准,全国范围,食品安全标准,国家卫生健康委员会,食品安全法,中国医学科学院,https://www.cams.ac.cn/,2024-09-29,,,,,,,
DB J28/006-2022,地方食品安全标准：米制品,2022-01-10,2022-07-01,DB-J28-006,地方标准,江苏省食品生产、销售,地方食品安全标准,江苏省市场监督管理局,地方食品安全法,江苏省农业厅,https://www.js.gov.cn/,2024-09-29,,,,,,,
