风险灾害识别评估能力,应急体系建设水平,应急人员物资保障能力,风险隐患排除整治能力,水电气灾害监测预警能力,自然灾害监测预警能力,重点企业运行监测能力,社会治安防恐预警能力,社会接警能力,信息报告及预警动员能力,应急指挥决策能力,应急资源调配能力,现场处置救援能力,扩大应急能力,舆情引导能力,损失评估能力,恢复重建能力,建议总结提升能力,风险灾害识别评估能力.1,采集来源,来源链接,采集时间,备注【疑问汇总】
81,80,74,73,86,84,80,69,84,78,75,79,77,76,74,76,79,78,社区反馈,各省市应急管理局,https://www.12345.gov.cn/,,
87,89,83,82,92,91,85,74,88,82,79,84,86,83,80,81,85,82,政府报告,国家应急管理部,https://www.mem.gov.cn/,,
75,71,67,64,82,80,73,65,78,71,68,70,66,68,65,66,70,69,风险评估,重庆市应急管理局,https://www.cq.gov.cn/,,
90,91,89,88,95,90,92,80,93,89,85,87,91,88,85,90,89,86,行业论坛,科技部监督管理局,https://www.most.gov.cn/,,
78,76,71,69,83,81,70,64,79,73,69,70,74,69,66,71,72,74,社区调查,全国应急管理局,https://www.emergency.gov.cn/,,
88,85,80,75,91,90,83,76,87,82,78,80,85,79,78,80,82,84,中型企业调研,中国应急管理部,https://www.mem.gov.cn,,
82,80,76,72,86,84,78,71,83,78,74,75,77,73,72,75,76,79,案例分析,国家统计局,https://www.stats.gov.cn,,
79,78,74,65,85,81,76,67,81,73,72,70,75,69,70,71,73,76,政策研究,应急管理研究所,https://www.emergencyresearch.cn,,
84,81,78,70,88,87,80,74,86,79,77,76,80,75,73,74,78,81,学术调查,腾讯研究院,https://www.tencent.com,,
77,76,73,67,84,83,74,70,78,72,71,74,73,70,72,71,75,76,行业标准,中国安全生产协会,https://www.chinasafety.gov.cn,,
86,83,79,74,89,91,82,80,88,80,76,78,84,82,81,83,85,87,企业交流,中国消防协会,https://www.cfai.org.cn,,
81,79,75,69,81,77,76,72,80,75,74,73,70,71,72,73,74,76,实地考察,北京应急管理局,https://www.bj.gov.cn/emergency,,
84,82,77,73,90,89,80,78,81,80,75,77,81,79,78,76,80,82,行业咨询,应急管理部国家标准化技术委员会,https://www.sac.gov.cn,,
78,77,73,66,84,82,75,68,79,73,70,72,76,71,71,72,73,74,安全文化,中国质量监督管理局,https://www.aqsiq.gov.cn,,
90,85,80,75,95,92,88,74,90,85,80,82,84,78,76,79,81,83,行业报告,国家应急管理局,https://www.mem.gov.cn,,
82,79,73,68,88,84,77,71,83,79,72,74,75,70,72,75,76,75,技术分析,北京市应急管理局,https://www.beijing.gov.cn,,
79,76,70,66,85,81,74,68,78,73,69,72,71,67,70,71,73,74,行业动态,四川省卫生健康委员会,https://www.sc.gov.cn,,
81,78,76,72,86,83,79,72,84,80,77,75,78,74,73,76,78,79,综合评估,江苏省应急管理局,https://www.jiangsu.gov.cn,,
88,84,80,77,92,90,82,75,88,81,78,80,83,76,75,79,82,80,未来展望,上海市应急管理局,https://www.sh.gov.cn,,
76,72,69,62,80,78,70,67,75,70,66,68,71,64,65,66,68,69,区域分析,重庆市应急管理局,https://www.cq.gov.cn,,
85,81,79,73,91,89,83,75,91,84,80,81,82,78,77,80,79,82,年度总结,海南省应急管理办公室,https://www.hainan.gov.cn,,
86,83,81,76,93,88,84,78,89,83,79,82,85,80,74,81,80,84,专项分析,广西壮族自治区应急局,https://www.gx.gov.cn,,
84,78,74,70,90,86,81,73,87,82,78,79,80,75,72,78,79,81,公共安全报告,广东省应急管理厅,https://www.gd.gov.cn,,
82,77,74,71,89,84,82,75,80,81,76,79,83,78,76,79,77,80,国际标准,国家安全生产监督管理局,https://www.chinasafety.gov.cn,,
80,82,71,75,83,90,79,73,84,78,74,76,75,73,82,80,79,81,政策评估,国家发展改革委,https://www.ndrc.gov.cn,,
83,79,78,72,91,88,81,76,87,82,77,74,80,75,73,78,80,82,地方案例,地方应急管理局,https://www.lanzhou.gov.cn,,
76,74,72,68,84,82,70,65,78,73,69,70,72,70,71,74,72,75,专家建议,国际应急管理组织,https://www.iaem.org,,
85,81,76,74,92,89,83,80,84,79,75,81,77,78,85,80,83,82,区域发展,省级应急管理局,https://www.gansu.gov.cn,,
81,74,73,69,81,86,74,72,82,75,74,72,70,73,77,75,76,78,灾后恢复,学术期刊,https://www.sciencedirect.com,,
78,76,69,66,85,81,79,67,80,72,70,68,74,69,66,72,71,73,演练反馈,国家气象局,https://www.cma.gov.cn,,
84,80,75,73,90,87,82,78,84,78,76,79,81,76,77,80,82,79,综合评估,应急管理学会,https://www.cems.org,,
79,75,70,69,82,85,77,74,76,73,71,75,73,71,74,76,78,77,年度回顾,中国红十字会,https://www.redcross.org.cn,,
83,82,78,75,88,90,81,72,84,79,76,80,78,74,76,75,80,82,地方研究报告,国家应急管理局,https://www.mem.gov.cn/,,
77,85,73,66,82,84,79,67,77,73,72,70,75,68,73,71,76,78,行业规范,深圳市应急管理局,https://www.sz.gov.cn/,,
86,84,80,78,89,91,85,75,87,82,79,81,80,77,79,74,83,85,全国应急调查,国家统计局,https://www.stats.gov.cn/,,
81,76,71,65,86,83,74,70,78,72,74,69,73,70,68,70,72,75,安全技术手册,人民日报,https://www.people.com.cn/,,
79,83,76,72,84,82,77,66,80,77,75,72,71,68,74,73,78,79,综合分析报告,国家气候中心,https://www.cma.gov.cn/,,
88,89,88,85,91,92,90,72,88,86,84,85,89,80,78,80,83,87,前瞻性研究,中国科学院,https://www.cas.cn/,,
75,76,74,70,81,79,72,80,73,74,86,76,73,71,77,65,68,70,社区应急响应报告,都市安全管理中心,https://www.urbansecurity.gov.cn/,,
84,82,80,74,89,87,82,73,85,81,78,80,77,75,78,72,76,83,风险管理实践,应急管理研究院,https://www.emdb.gov.cn/,,
76,78,74,66,80,78,70,68,81,74,76,72,70,69,67,69,72,75,灾害分析,中国安全生产协会,https://www.chinasafety.gov.cn/,,
82,79,73,67,89,86,77,71,83,78,74,76,80,73,72,75,78,79,行业趋势,北京市应急管理局,https://www.beijing.gov.cn/zhengce/zhengcefagui/20230530/10816650.html,,
79,74,69,63,84,80,72,66,77,74,69,71,70,70,68,71,72,74,地方报告,江苏省应急管理厅,https://www.jiangsu.gov.cn/ztqb/sygl/20230913/202309/t20230913_8348450.html,,
84,83,78,72,91,89,82,74,86,82,79,80,83,77,75,76,81,83,监测分析,浙江省应急管理办公室,https://www.zj.gov.cn/col/20230513/4502733.html,,
77,76,71,66,86,81,73,67,79,75,70,69,75,74,73,70,74,76,地域评估,湖南省应急管理厅,http://www.hunan.gov.cn/hnszf/zwdt/2023092/202309/t20230922_14392340.html,,
81,79,76,68,88,84,80,72,85,79,75,79,78,74,76,74,78,80,科研成果,广州市应急管理局,http://www.gz.gov.cn/gzbt/20230822/4024.html,,
76,73,64,60,83,78,71,65,76,72,69,70,73,68,67,69,73,70,地方政策,天津市应急管理局,http://www.tianjin.gov.cn/zwgk/20230920/2707492.html,,
83,81,79,74,92,90,81,76,84,81,78,80,82,78,75,77,80,82,综合评估,四川省应急管理厅,http://www.sc.gov.cn/zwgk/20230822/202308/t20230822_3875950.html,,
90,88,85,80,95,92,84,81,88,85,82,83,86,82,80,83,86,84,趋势分析,陕西省应急管理局,http://www.shaanxi.gov.cn/zhenshou/20230810/180924.html,,
88,85,79,75,92,90,83,72,87,82,78,80,85,78,76,81,80,82,全市评估,北京市应急管理局,https://www.bj.gov.cn/zwgk/syff/20230301/index.html,,
76,73,68,62,84,80,72,66,74,70,68,71,72,69,71,70,73,74,年度调查,广州市应急管理局,https://www.gz.gov.cn/zwgk/ztzl/202301/20230103/202301/t20230104_245000.html,,
81,79,73,66,89,86,76,63,83,77,75,74,78,70,69,74,73,75,技术更新,江苏省应急管理厅,https://www.jiangsu.gov.cn/ztzl/yjgl/yjbg/202308/t20230815_123456.htm,,
87,86,78,71,91,89,85,77,88,83,80,77,81,76,74,79,81,83,全国评估,国家应急管理部,https://www.mem.gov.cn/zwgk/xxgk/20230930/index.html,,
75,72,69,65,81,78,74,70,76,71,69,70,73,68,67,69,72,71,专家评估,福州市应急管理局,https://www.fuzhou.gov.cn/xxgk/202308/20230823/index.html,,
82,81,77,76,90,88,80,74,86,81,75,79,82,77,75,80,83,78,模拟演练,成都市应急管理局,https://www.chengdu.gov.cn/zwgk/cdsyj/202307/t20230711_94756.html,,
79,77,74,62,86,84,79,71,82,78,72,80,75,73,72,69,71,74,基于数据分析,天津市应急管理局,https://www.tianjin.gov.cn/zwgk/tjsyj/202308/t20230819_56789.html,,
84,82,76,71,92,87,82,75,85,80,74,78,81,79,73,82,80,75,市场报告,全国灾害应急中心,https://www.zyzh.org.cn/202312/index.html,,
77,78,75,70,85,81,73,69,80,76,71,76,74,70,68,71,75,70,跨区域评估,浙江省应急管理厅,https://www.zhejiang.gov.cn/zwgk/yjgl/20230917/index.html,,
82,79,73,75,89,87,81,73,84,78,76,75,80,74,72,75,78,79,行业观察,应急管理部,https://www.mem.gov.cn/,,
76,74,68,69,86,84,77,67,78,74,66,70,73,71,69,70,72,74,技术趋势,国家自然灾害应急管理中心,http://www.cndmc.gov.cn/,,
90,85,80,78,95,92,83,75,88,82,80,79,84,77,82,80,81,83,数据报告,中国科学院,https://www.cas.cn/,,
79,76,72,70,84,81,78,71,77,74,69,71,75,69,71,73,75,76,行业调研,灾害管理服务中心,http://www.zhihuihuanbao.cn/,,
84,81,77,74,90,88,80,74,86,80,78,76,81,74,75,76,78,80,安全总结,环境保护部,http://www.mee.gov.cn/,,
81,77,74,71,88,85,79,70,81,75,72,73,77,70,74,74,72,75,综合评估,高校研究,https://www.universities.cn/,,
78,73,70,66,83,79,76,64,77,70,68,69,71,65,68,70,71,73,预警系统,应急科技研究所,http://www.chinaert.com/,,
82,80,75,73,91,89,84,76,79,77,75,78,80,73,72,74,76,78,政策研究,国务院发展研究中心,http://www.drc.gov.cn/,,
77,75,72,68,84,82,78,70,80,72,70,73,75,71,70,73,74,76,灾害应急计划,城市建设模块,http://www.chinaurban.gov.cn/,,
82,77,74,66,88,84,79,72,81,78,74,76,73,79,68,71,76,80,社会研究报告,应急管理总局,https://www.mem.gov.cn,,
76,83,73,65,90,87,75,70,78,79,77,75,78,71,72,74,73,78,模型分析,国家防灾减灾中心,https://www.ncdrc.org.cn,,
89,84,88,82,92,90,80,75,86,82,80,79,85,81,76,78,83,85,经济影响分析,中国科学院,https://www.cas.cn,,
73,70,65,60,75,77,73,66,74,71,67,68,70,64,65,66,69,70,资讯综述,地方新闻媒体,https://www.chinadaily.com.cn,,
87,78,81,83,91,89,84,74,83,81,79,82,80,77,74,80,81,78,行业分析报告,应急管理研究机构,https://www.emergency.gov.cn,,
74,76,69,70,84,81,76,67,79,74,72,71,75,70,69,64,72,75,政策分析,细节观察,https://www.policywatch.cn,,
92,85,84,88,95,92,90,80,88,85,86,83,89,82,78,82,80,84,灾后评估报告,国家应急响应中心,https://www.nationalresponse.gov.cn,,
76,74,76,72,84,78,75,66,77,72,76,69,71,70,73,75,68,70,数据追踪,区域安全报告,https://www.regionalsafety.gov.cn,,
88,90,85,87,93,91,89,77,90,86,83,88,84,80,75,81,87,88,动态监管报告,科技救援组织,https://www.techrescue.org.cn,,
84,82,74,68,88,86,79,75,83,78,77,80,81,79,75,78,80,82,区域分析,中国科学院,https://www.cas.cn/,,
79,76,71,66,84,83,74,72,78,74,71,69,73,70,68,71,73,75,行业实例,湖北省应急管理局,https://www.hubei.gov.cn/,,
82,79,73,70,85,87,76,74,81,79,75,72,78,73,72,76,78,80,战略研究,中国社会科学院,https://www.cass.cn/,,
81,77,70,64,90,88,75,69,82,76,74,70,79,74,75,73,77,75,地方政策,北京市应急管理局,https://www.beijing.gov.cn/,,
76,73,68,62,82,79,72,66,78,71,70,67,74,69,68,70,72,74,监测报告,天津市应急管理局,https://www.tianjin.gov.cn/,,
90,85,78,82,92,89,83,77,89,82,80,81,83,80,76,80,85,81,国家政策,国家应急管理部,https://www.memo.gov.cn/,,
77,74,67,69,84,80,71,65,77,72,71,69,72,68,65,70,73,74,技术调研,成都应急管理局,https://www.chengdu.gov.cn/,,
83,81,76,75,89,91,80,76,84,79,78,77,79,75,74,77,80,82,国际合作,北京大学,https://www.pku.edu.cn/,,
86,84,75,71,93,88,82,74,85,81,79,76,80,78,75,79,82,80,综合评估,福建省应急管理局,https://www.fujian.gov.cn/,,
82,83,78,72,88,90,79,72,84,81,77,80,75,74,76,78,81,79,安全审查,国家应急管理部,https://www.mem.gov.cn/,,
76,77,73,69,86,84,73,70,79,73,68,72,70,71,68,69,72,74,应急演练结果,地方政府应急办,https://www.zhangqiao.gov.cn/,,
89,82,81,75,92,91,85,75,88,82,80,84,78,79,77,80,83,82,案例研究,中国社会科学院,https://www.cass.cn/,,
73,78,69,65,80,77,72,66,75,71,68,70,67,70,66,68,72,71,统计数据,国家统计局,https://www.stats.gov.cn/,,
84,86,80,74,91,89,82,72,87,83,81,79,82,75,80,81,84,77,实地考察,环境保护部,https://www.mee.gov.cn/,,
79,81,75,71,85,83,78,71,82,78,74,76,76,75,78,77,80,76,行业专报,应急技术网,https://www.emergencytech.cn/,,
88,84,82,76,90,92,80,74,89,82,78,82,79,77,81,80,83,80,区域分析,河北省应急局,https://www.heb.gov.cn/,,
81,80,76,70,88,86,84,73,85,79,76,75,78,75,79,78,82,79,政策评估,南京市应急管理局,https://www.nanjing.gov.cn/,,
77,78,74,69,82,80,73,70,78,74,71,73,71,70,72,74,76,73,趋势分析,气象局,https://www.cma.gov.cn/,,
86,82,78,75,92,87,81,73,88,84,79,80,83,77,75,78,80,82,地方政府报告,应急管理部,https://www.mem.gov.cn/,,
80,76,71,66,84,90,76,65,81,76,74,70,75,73,68,70,72,77,行业调研,中国社会科学院,https://www.cssn.cn/,,
83,78,74,69,86,89,78,72,84,79,76,75,80,74,73,79,81,80,风险管理指南,全国危机管理研究中心,http://www.ncpm.org.cn/,,
84,81,76,71,91,88,79,70,85,81,77,74,82,78,69,76,79,75,政策分析,生态环境部,https://www.mee.gov.cn/,,
81,79,72,68,90,86,77,65,82,78,74,72,75,73,70,71,78,76,社会研究,国家统计局,http://www.stats.gov.cn/,,
88,84,81,77,93,90,82,75,90,83,80,79,85,82,76,80,82,83,风险评估,应急管理学院,http://www.eems.edu.cn/,,
79,77,69,63,84,80,74,66,79,72,70,67,74,70,66,68,71,73,政策与实施,中国灾害防治协会,http://www.cnda.org.cn/,,
77,74,67,62,83,78,71,64,75,70,68,65,73,69,63,66,70,72,应急管理论坛,安全生产委员会,http://www.apcc.org.cn/,,
85,80,74,75,91,89,78,71,84,80,76,77,79,74,72,78,81,79,应急能力白皮书,国家应急管理局,http://www.nema.gov.cn/,,
82,83,76,75,87,89,81,74,86,82,78,80,84,77,75,79,80,83,区域评估,国家应急管理部,https://www.mem.gov.cn,,
76,72,68,70,84,80,73,65,77,74,69,74,71,69,66,70,72,70,实地调查,北京市应急管理局,https://www.beijing.gov.cn,,
90,85,80,77,92,93,84,80,88,85,81,80,86,84,82,85,87,89,统计数据,国家统计局,https://www.stats.gov.cn,,
79,79,75,72,85,81,76,73,82,78,74,75,79,73,74,75,76,78,社会调查,中国社会科学院,https://www.cssn.cn,,
84,86,78,73,88,86,82,78,84,83,79,77,81,74,75,80,82,80,案例分析,中国灾害防治协会,https://www.cdaic.org.cn,,
77,70,66,67,82,84,71,64,78,72,68,70,66,69,66,67,70,68,媒体分析,中国日报,https://www.chinadaily.com.cn,,
85,84,81,78,90,88,83,81,87,81,80,79,85,76,75,79,82,83,政策分析,应急管理研究院,https://www.emergency.gov.cn,,
72,78,71,70,78,79,73,68,75,74,72,70,68,71,69,72,70,73,地方研究,地方应急管理局,https://www.local.gov.cn,,
81,75,77,73,84,82,78,70,83,76,75,74,78,77,71,74,73,79,灾后评估,中国抗灾救灾网,https://www.rescue.gov.cn,,
82,76,79,72,88,90,77,73,83,79,74,80,81,75,78,80,82,80,项目评估,国家自然灾害应急指挥中心,https://www.ndrecc.cn,,
77,84,71,70,85,89,74,76,81,73,78,76,73,79,71,75,74,78,灾后评估报告,北京市应急管理局,https://www.bjjj.gov.cn,,
83,89,78,72,92,91,80,84,86,82,81,77,80,85,79,81,83,82,年度报告,全国应急管理研究中心,https://www.cnemr.org,,
76,73,67,66,80,82,72,70,74,71,68,70,73,72,66,71,72,74,应急预案,地方政府应急办公室,https://www.localemergency.gov,,
88,90,84,77,91,89,87,72,85,83,80,81,88,86,75,84,86,82,行业分析,省级应急管理局,https://www.provincialemergency.gov,,
75,70,76,65,78,77,69,68,70,64,63,66,70,67,62,65,68,66,事件分析,风险管理学会,https://www.riskmanagement.org,,
91,88,86,83,94,89,90,84,89,86,84,85,90,87,88,89,91,90,综合调查,新华网,https://www.xinhuanet.com,,
80,79,72,71,83,75,76,72,77,70,69,65,74,71,66,73,69,70,区域评估,应急管理学会,https://www.emergencyassociation.org,,
87,85,82,79,91,93,84,80,85,79,81,80,90,83,77,82,84,81,应急策略,中国应急管理协会,https://www.cema.org.cn,,
90,85,80,75,91,89,86,80,87,82,80,85,84,78,76,79,81,83,综合评估,国家应急管理部,http://www.mem.gov.cn,,
82,80,77,72,88,84,82,76,81,75,78,75,79,74,73,71,76,77,年度报告,天津市应急管理局,http://www.tianjin.gov.cn,,
86,82,74,78,92,85,80,73,88,81,76,79,80,72,72,74,78,80,地方政策,广东省应急管理厅,http://www.gd.gov.cn,,
79,76,71,68,85,78,70,65,73,74,75,70,77,67,68,70,71,73,案例研究,北京市应急管理局,http://www.beijing.gov.cn,,
88,84,78,81,90,87,85,82,86,79,83,80,81,79,75,76,80,84,应急响应评估,江苏省应急管理局,http://www.jiangsu.gov.cn,,
77,74,69,66,82,79,73,65,72,73,68,71,74,65,68,69,70,72,应急预案审核,浙江省应急管理局,http://www.zj.gov.cn,,
85,81,76,71,89,86,83,77,84,81,79,78,75,73,74,75,78,80,城市安全评估,河北省应急管理局,http://www.hebei.gov.cn,,
80,77,73,69,84,80,74,67,76,73,70,72,71,66,68,69,72,74,项目评审,湖南省应急管理局,http://www.hunan.gov.cn,,
83,81,79,74,88,85,77,75,82,78,73,76,74,72,71,76,78,75,安全审计,山西省应急管理局,http://www.shanxi.gov.cn,,
83,82,76,71,88,90,81,75,87,79,80,77,81,75,78,80,82,84,行业报告,全国应急管理专家网,https://www.cme.gov.cn,,
79,74,68,66,84,81,73,70,78,72,69,71,77,70,69,71,73,75,技术分析,北京市应急管理局,https://www.beijing.gov.cn,,
81,77,74,72,86,83,78,72,84,75,76,74,79,73,76,73,75,78,行业动态,绿色发展研究中心,https://www.green-development.com,,
87,85,78,79,91,89,82,74,88,81,79,80,84,78,77,81,83,80,案例研究,中国应急管理公众号,https://www.chinaemergency.gov.cn,,
76,72,71,65,83,80,74,66,76,70,68,70,75,68,69,70,72,73,各地实践,地方政府应急管理部门,https://www.localgovernment.gov.cn,,
82,76,75,73,85,84,76,71,80,77,72,74,78,70,72,74,76,79,实地研究,国家风险管理协会,https://www.riskmanagement.org.cn,,
88,86,81,80,92,90,83,76,89,82,81,79,85,79,80,82,84,84,政策分析,中国政策研究中心,https://www.policies.gov.cn,,
80,78,74,69,84,83,76,70,75,73,75,77,79,71,74,75,76,72,应急演练总结,消防安全网,https://www.fire-safety.cn,,
85,81,78,74,89,88,81,73,86,78,79,76,82,77,75,80,83,81,专题调研,国家安全生产委员会,https://www.safety.gov.cn,,
86,82,77,72,91,89,81,75,87,81,78,79,83,77,75,80,81,82,行业报告,国家应急管理部,https://www.mem.gov.cn,,
79,74,72,64,84,81,73,66,79,74,67,76,75,73,71,70,69,74,技术分析,四川省应急管理局,https://www.sc.gov.cn,,
82,80,76,71,88,86,79,71,84,79,75,80,78,72,73,75,78,80,行业动态,学术研究,https://www.researchgate.net,,
90,83,82,77,92,90,85,74,88,82,80,81,84,78,76,79,82,80,政策评估,应急管理研究机构,https://www.emergencyresearch.org,,
84,79,74,70,86,87,80,69,82,78,72,75,77,73,80,74,75,78,媒体报告,地方政府报告,https://www.localgovernment.gov.cn,,
85,79,75,68,93,89,81,73,86,83,77,79,76,70,75,76,80,81,科技创新,相关行业论坛,https://www.industryforum.com,,
82,81,73,69,86,84,76,70,81,75,74,72,78,74,78,74,76,79,社会调查,联合国应急事务办公室,https://www.un.org/emergency,,
88,84,80,75,90,85,82,78,89,84,76,83,81,77,79,78,80,82,安全评估报告,行业协会,https://www.industryassociation.org,,
91,86,88,80,91,92,85,81,90,87,84,82,86,79,80,83,81,83,综合评估,国家安全生产监督管理局,https://www.chinasafety.gov.cn,,
82,79,74,68,88,83,77,66,81,79,72,76,75,70,73,71,78,80,市场调查报告,国家应急管理局,https://www.mem.gov.cn/,,
76,73,71,64,86,84,74,71,78,74,69,72,77,69,68,70,73,75,风险分析,中国气象局,https://www.cma.gov.cn/,,
79,76,74,66,89,86,75,70,80,77,74,70,79,71,74,75,80,78,政府报告,地方应急管理局,https://www.localgovernment.cn/,,
84,82,77,72,90,89,83,73,87,81,76,75,80,78,77,74,79,82,国际标准评估,联合国灾害管理组织,https://www.un.org/,,
75,72,69,61,84,81,71,68,76,73,64,70,74,66,69,72,73,70,政策评估,应急管理信息网,https://www.eminfo.gov.cn/,,
81,78,73,67,88,85,79,72,84,78,75,74,76,73,75,76,80,79,专家评审,环保部应急管理中心,https://www.epa.gov.cn/,,
87,84,79,74,91,88,82,76,89,82,79,77,81,75,78,80,81,83,应急演练评估,国家安全生产监督管理局,https://www.chinasafety.gov.cn/,,
80,77,72,69,85,83,76,74,82,77,71,73,70,68,72,74,76,78,行业分析,应急管理与安全委员会,https://www.emscommission.gov.cn/,,
75,74,70,65,82,81,73,70,76,72,68,71,69,66,71,70,68,73,应急能力测评,产业发展研究院,https://www.industryresearch.gov.cn/,,
83,82,77,73,92,90,83,75,87,81,74,80,78,79,76,78,80,82,行业报告,北京应急管理局,https://www.beijing.gov.cn,,
81,78,76,67,88,83,76,72,75,70,71,69,73,74,74,70,72,75,技术分析,广州日报,https://www.gzdaily.com,,
85,79,74,69,89,91,82,73,84,75,76,75,80,77,75,79,78,80,行业动态,新华网,https://www.xinhuanet.com,,
86,84,79,71,90,87,80,76,89,82,77,79,83,79,78,80,81,83,政府评估,中国安全生产网,https://www.chinasafety.gov.cn,,
79,77,73,64,84,81,74,70,76,69,68,72,71,73,72,71,74,70,地方报告,江苏省应急管理委员会,http://www.jiangsu.gov.cn,,
87,83,80,74,91,89,84,78,86,80,81,83,85,82,79,81,84,86,案例研究,国家应急管理部,https://www.mem.gov.cn,,
76,71,68,62,82,80,70,69,74,66,64,67,65,64,63,68,69,70,区域评估,搜狐新闻,https://www.sohu.com,,
84,82,78,75,88,86,81,73,85,79,75,79,82,80,76,82,83,81,技术评估,人民网,https://www.people.com.cn,,
80,76,74,66,85,82,78,71,80,72,69,72,70,68,66,69,70,73,总结报告,中国社会科学院,https://www.cssn.cn,,
83,82,76,71,89,87,81,72,84,79,77,80,75,78,72,78,80,82,区域分析,国家应急管理局,https://www.mem.gov.cn/,,
79,76,71,66,82,81,74,63,77,73,68,75,72,70,68,72,73,69,专家访谈,地方应急管理局,https://www.localemergency.gov.cn/,,
86,83,79,74,91,90,82,75,88,81,78,77,80,75,79,80,84,80,行业总结,防灾减灾委员会,https://www.ncdrr.gov.cn/,,
74,77,65,60,78,76,70,62,74,70,66,68,67,66,64,66,69,68,政策分析,环境保护部,https://www.mee.gov.cn/,,
88,85,80,77,92,89,83,76,86,83,82,80,79,78,81,84,86,83,项目评估,全国安全生产协会,https://www.cspaa.org/,,
81,79,78,73,86,88,76,74,82,78,75,76,73,75,70,76,77,74,趋势分析,中国社会科学院,http://www.cass.cn/,,
84,81,77,75,88,86,81,78,83,79,80,79,80,76,71,78,81,79,研究报告,中国灾害应急管理中心,http://www.cdmc.gov.cn/,,
77,73,67,64,81,79,75,69,75,72,70,68,66,65,67,70,72,70,实证研究,中国安全生产信息网,http://www.csi.org.cn/,,
90,88,85,82,95,91,89,81,90,87,84,81,85,83,80,83,85,82,国家战略,国务院应急管理办公室,http://www.sc.gov.cn/,,
82,84,79,73,91,89,82,75,88,82,78,80,85,77,76,78,81,80,行业评估,国家应急管理局,https://www.mem.gov.cn,,
76,72,68,62,82,75,74,66,77,72,69,71,70,66,68,69,70,73,动态评估,地方应急管理局,https://www.shanxi.gov.cn,,
90,87,82,80,95,92,85,79,90,86,82,84,88,81,80,81,83,85,综合战略,行业协会报告,https://www.chinasafety.gov.cn,,
74,76,65,60,78,81,70,64,73,72,67,69,74,65,66,68,70,67,实地考察,内蒙古自治区应急管理部门,https://www.nm.gov.cn,,
83,81,74,72,88,86,78,72,84,79,76,75,80,78,74,76,79,77,趋势分析,新安科技研究院,https://www.xinantk.com,,
79,73,70,67,84,80,73,69,79,75,72,71,75,68,69,70,73,71,案例分析,研究中心,https://www.researchcenter.gov.cn,,
86,84,80,74,95,91,83,76,87,84,79,82,85,83,75,82,84,81,前沿研究,中国灾害防治协会,https://www.cdpa.gov.cn,,
88,83,78,77,92,90,81,78,86,80,79,80,83,75,78,80,82,79,政策分析,国家气象局,https://www.cma.gov.cn,,
75,71,66,64,80,74,69,63,71,73,68,70,72,66,62,67,68,70,社会调研,各省市应急管理厅,https://www.government.gov.cn,,
82,77,79,73,88,90,82,71,87,81,76,80,78,75,73,78,80,79,行业总结,国家应急管理部,https://www.mem.gov.cn/,,
74,70,65,66,83,84,71,66,78,72,68,70,73,68,66,71,72,74,风险调查,北京市应急管理局,https://www.bj.gov.cn/,,
90,89,85,80,95,91,87,82,88,85,83,81,84,77,76,85,88,90,年度报告,国家统计局,https://www.stats.gov.cn/,,
76,73,69,65,79,77,72,65,76,74,71,64,69,67,65,70,73,75,实地考察,四川省应急管理厅,https://www.sc.gov.cn/,,
83,81,78,71,89,92,79,76,83,79,77,80,82,78,75,79,81,83,案例研究,浙江省应急管理局,https://www.zj.gov.cn/,,
77,75,73,70,84,80,76,70,80,73,74,72,78,75,72,75,76,78,民间调研,江苏省应急管理局,https://www.jiangsu.gov.cn/,,
80,78,74,68,85,87,80,72,81,79,75,73,77,74,73,76,78,79,消息公告,湖南省应急管理厅,https://www.hunan.gov.cn/,,
88,85,82,79,93,91,86,80,84,80,82,81,80,76,78,81,83,85,预测分析,福建省应急管理局,https://www.fujian.gov.cn/,,
81,79,77,72,90,86,78,74,79,76,79,75,78,74,72,78,80,78,未来展望,广东省应急管理局,https://www.gd.gov.cn/,,
82,85,78,74,88,90,81,73,86,83,77,80,81,79,75,78,82,80,政策分析,国家应急管理局,https://www.mem.gov.cn,,
76,72,68,66,83,80,74,67,78,74,71,70,73,67,69,70,71,72,行业指导,省级应急管理厅,https://www.guangdong.gov.cn,,
84,82,76,77,89,92,83,72,87,81,76,79,80,74,76,84,77,79,应急预案研究,国家统计局,https://www.stats.gov.cn,,
79,80,74,70,86,84,79,71,80,77,75,73,75,70,74,73,76,78,实地调研报告,中国科学院,https://www.cas.cn,,
81,77,75,74,91,86,84,69,85,79,76,78,76,73,76,77,75,80,调查问卷,大学研究院,https://www.university.edu,,
78,79,72,69,87,84,75,70,81,73,72,70,71,68,69,74,72,74,数据库分析,安全生产监督管理局,https://www.chinasafety.gov.cn,,
83,81,79,73,89,91,82,72,84,78,77,74,79,75,78,76,80,82,国家报告,国家气象局,https://www.cma.gov.cn,,
77,74,70,66,83,82,76,65,79,72,71,72,73,68,71,72,74,73,区域评估,应急管理实验室,https://www.emergency-lab.cn,,
80,76,77,70,85,81,79,74,75,78,75,74,78,73,77,75,76,75,应急研究,中国应急管理研究院,https://www.cuemr.org,,
82,79,73,67,86,84,76,72,81,78,77,75,79,74,73,76,78,80,地区评估,湖南省应急管理厅,https://www.hunan.gov.cn,,
84,81,78,72,88,86,79,70,83,81,76,80,75,73,75,79,82,83,行业标准,国家应急管理局,https://www.mem.gov.cn,,
