考核原则,评价标准,SO2排放量,NOx排放量,生活污水COD排放量,矿井水COD排放量,污染物排放达标率,在线监测系统数据传输有效率,数据上报率,外排土场排放到界区域整形覆土率,权重,计算模型,采集来源,来源链接,采集时间,备注【疑问汇总】
节能减排,综合能源利用效率,20,65,170,95,94%,0.97,99%,0.85,0.2,效益评估模型,国家能源局,http://www.nea.gov.cn/,,
透明度优先,数据公开性,35,85,140,100,90%,0.98,100%,0.9,0.18,透明度评估模型,北京市生态环境局,https://www.bjepb.gov.cn/,,
区域协同,跨部门合作,40,70,160,85,92%,0.95,98%,0.83,0.26,合作效率评估模型,地方政府报告,https://www.localgov.cn/,,
现代化管理,智能监测技术应用效果,28,55,145,75,89%,0.92,94%,0.77,0.19,智能管理模型,中国环境保护协会,http://www.cepa.org.cn/,,
可持续发展,绿色技术使用比例,33,78,155,90,95%,0.99,97%,0.89,0.21,可持续模式评估,国际环保组织,https://www.iucn.org/,,
行业标准合规,ISO认证率,31,65,175,102,88%,0.94,96%,0.81,0.15,合规性审查模型,质量监督局,http://www.sac.gov.cn/,,
创新驱动,技术升级,45,85,190,130,94%,0.96,98%,0.88,0.35,创新导向模型,国家环保部,https://www.mee.gov.cn/,,
全面防护,健康风险评估,35,75,170,110,91%,0.92,97%,0.82,0.22,风险评估模型,北京卫生委员会,https://www.bjhb.gov.cn/,,
效率为王,能源利用效率,25,65,150,100,89%,0.91,96%,0.8,0.18,能源优化模型,中国能源局,https://www.nea.gov.cn/,,
风险控制,应急响应能力,15,50,130,80,86%,0.9,90%,0.76,0.2,应急评估模型,江苏省消防厅,https://www.js.gov.cn/xxgk/xxgk.htm,,
绿色转型,可再生能源使用率,18,55,120,70,88%,0.89,93%,0.85,0.27,可再生能源评估模型,国家可再生能源信息中心,https://www.cnrec.org.cn/,,
标准化管理,行业标准适应性,20,60,140,90,93%,0.94,99%,0.79,0.15,标准评估模型,河北省生态环境厅,https://www.heb.gov.cn/,,
公众参与,社会满意度,22,45,125,85,87%,0.92,95%,0.81,0.12,社会反馈模型,全国社会组织联合会,https://www.tongji.edu.cn/,,
持续优化,资源回收率,28,72,165,95,90%,0.97,98%,0.84,0.2,资源评估模型,中国资源综合利用协会,https://www.crra.org.cn/,,
动态监控,实时监测效率,30,78,155,105,92%,0.95,97%,0.78,0.25,实时监测模型,国家信息中心,https://www.nic.gov.cn/,,
综合绩效,资源使用效率,45,85,190,140,94%,0.96,97%,0.88,0.28,加权综合模型,青岛环保局,https://www.qd.gov.cn/zhengwu/huanbao/,,
健康安全,职业病发生率,25,55,130,85,91%,0.93,96%,0.82,0.35,安全与健康评估法,卫生健康委员会,https://www.nhc.gov.cn/,,
可持续发展,节能减排效果,35,75,150,110,90%,0.94,98%,0.85,0.22,节能评估模型,国家能源局,https://www.nea.gov.cn/,,
创新驱动,新技术应用率,20,50,120,80,87%,0.95,99%,0.78,0.18,创新评估模型,科技部,https://www.most.gov.cn/,,
透明管理,公众参与度,15,40,100,70,89%,0.91,95%,0.72,0.2,透明度评估模型,环保部,https://www.mee.gov.cn/,,
节约资源,物料消耗率,60,110,220,160,96%,0.99,100%,0.91,0.26,资源管理模型,国家发改委,https://www.ndrc.gov.cn/,,
安全合规,法律法规遵循率,30,65,150,95,90%,0.94,97%,0.83,0.19,合规性模型,法制办,https://www.chinalaw.gov.cn/,,
技术提升,设备更新率,28,55,135,88,93%,0.92,96%,0.8,0.24,设备更新模型,全国工业联网平台,http://www.iiot.gov.cn/,,
环境友好,减排政策执行率,42,77,179,125,94%,0.97,99%,0.87,0.27,政策评估模型,国家环境监测总站,https://www.cnemc.cn/,,
环境友好,排放标准达标率,25,45,130,85,91%,0.97,100%,0.88,0.28,分段评估模型,国家生态环境部,https://www.mee.gov.cn/,,
安全规范,内部审查合格率,35,65,155,95,89%,0.95,98%,0.82,0.22,合规分析模型,北京安全生产协会,https://www.bj.gov.cn/xxgk/,,
绿色发展,清洁生产实施率,15,50,115,80,93%,0.96,99%,0.85,0.35,综合评分模型,浙江省环保局,https://www.zj.gov.cn/xxgk/,,
技术创新,新技术应用率,22,55,125,75,90%,0.94,96%,0.8,0.18,技术评估模型,全国科技部,https://www.most.gov.cn/,,
综合治理,污染防治成效,32,62,145,110,88%,0.92,97%,0.78,0.24,效益评估模型,江苏省环境保护厅,https://www.jiangsu.gov.cn/,,
可持续发展,环境友好型项目数量,18,48,135,92,94%,0.93,99%,0.87,0.29,项目评审模型,山东省生态环境厅,https://www.shandong.gov.cn/,,
透明度优先,公众参与度,10,30,100,70,95%,0.99,100%,0.9,0.2,公众参与模型,广州市环保局,https://www.gz.gov.cn/,,
法律合规性,政策执行情况,20,40,145,85,89%,0.96,97%,0.81,0.16,合规追踪模型,湖北省应急管理厅,https://www.hubei.gov.cn/,,
节能减排,能源使用效率,28,35,120,78,92%,0.94,96%,0.84,0.2,能效评估模型,湖南省发展和改革委员会,https://www.hunan.gov.cn/,,
可持续发展,资源利用效率,35,90,130,110,91%,0.97,98,0.85,0.2,综合评估模型,工信部,https://www.miit.gov.cn/,,
安全管理,安全生产标准实施,25,65,150,95,89%,0.95,97,0.8,0.25,安全与合规评估模型,广东省应急管理厅,https://www.guangdong.gov.cn/,,
科技创新,新技术应用,45,85,170,100,93%,0.96,99,0.88,0.3,技术驱动模型,国家科技部,https://www.most.gov.cn/,,
法律规范,环保法规遵循,28,75,160,85,90%,0.94,96,0.77,0.18,合规性分析模型,环保部,https://www.mee.gov.cn/,,
效率优先,成本控制效率,32,79,140,92,89%,0.98,98,0.82,0.22,效率评估模型,北京市发改委,https://www.bjpc.gov.cn/,,
公平竞争,市场竞争秩序,38,88,180,99,94%,0.95,95,0.78,0.2,市场导向模型,国家市场监管总局,https://www.samr.gov.cn/,,
环保创新,绿色技术推动,22,50,125,80,96%,0.99,100,0.89,0.27,绿色评估模型,国家能源局,https://www.nea.gov.cn/,,
预防为主,事故预防措施落实,29,65,145,77,87%,0.96,97,0.75,0.19,预防评估模型,江苏省应急管理厅,https://www.jiangsu.gov.cn/,,
协调发展,区域环境减排,24,70,135,89,92%,0.93,96,0.8,0.21,区域评估模型,国家发展改革委,https://www.ndrc.gov.cn/,,
环保优先,废物回收率,45,90,175,130,93%,0.96,100%,0.85,0.28,基于事务分析的评估,国家环境保护部,https://www.mee.gov.cn/,,
安全第一,职业安全健康管理体系,35,75,150,110,91%,0.97,99%,0.82,0.22,绩效导向模型,广州市人民政府,https://www.gz.gov.cn/,,
持续改进,资源节约效果,32,68,165,95,89%,0.95,98%,0.78,0.18,动态分析模型,中国科学院,https://www.cas.cn/,,
合规性优先,法规遵从度,28,55,140,85,87%,0.92,97%,0.8,0.17,合规性对比模型,福建省政府,https://www.fujian.gov.cn/,,
资源优化,能效提升,50,100,190,140,90%,0.99,99%,0.88,0.29,多层次评估模型,国家能源局,https://www.nea.gov.cn/,,
环保优先,水资源回收率,23,53,120,78,95%,0.98,96%,0.9,0.26,综合管理模型,湖南省水利厅,https://www.hunan.gov.cn/,,
安全第一,事故潜在风险评估,39,80,155,105,94%,0.96,97%,0.83,0.2,风险评估模型,北京安全生产监督管理局,https://www.bj.gov.cn/,,
持续改进,技术创新能力,29,65,147,93,88%,0.94,98%,0.77,0.21,创新管理模型,高校研究项目,https://www.edu.cn/,,
合规性优先,客户满意度调查,25,58,135,80,90%,0.91,96%,0.79,0.19,满意度评价模型,上海交通大学研究机构,https://www.sjtu.edu.cn/,,
环保优先,能源消耗减少,34,72,158,98,92%,0.93,99%,0.81,0.24,节能减排模型,浙江省环保局,https://www.zj.gov.cn/,,
绿色发展,可再生能源使用比例,45,95,210,160,94%,0.96,100%,0.85,0.28,综合效益评估模型,国家能源局,https://www.nea.gov.cn/,,
效率优先,生产效率提升,35,75,190,130,91%,0.94,97%,0.87,0.22,效率评估模型,经济和信息化部,https://www.miit.gov.cn/,,
安全优先,应急响应时间,38,85,175,115,93%,0.95,99%,0.88,0.24,响应时间分析模型,应急管理部,https://www.mem.gov.cn/,,
技术创新,新技术应用比例,27,65,165,105,89%,0.92,96%,0.8,0.18,创新效益模型,科技部,https://www.most.gov.cn/,,
企业责任,社会责任投资,32,70,200,125,90%,0.93,98%,0.82,0.26,责任投资模型,环境保护部,https://www.mee.gov.cn/,,
智能化管理,自动监测覆盖率,29,67,182,110,97%,0.99,99%,0.9,0.32,智能监控模型,市场监督管理局,https://www.samr.gov.cn/,,
综合审查,环境影响评估,26,63,173,100,88%,0.94,95%,0.78,0.21,环境影响评估模型,生态环境部,https://www.mee.gov.cn/,,
公众参与,公众满意度调查,33,72,188,112,95%,0.96,96%,0.84,0.3,满意度评估模型,自治区环境保护厅,https://www.xinjiang.gov.cn/,,
透明度,信息公开率,31,74,178,108,92%,0.95,97%,0.81,0.19,信息透明度模型,省环保局,https://www.provincelink.gov.cn/,,
环保优先,可再生资源利用率,45,85,190,130,91%,0.96,98%,0.92,0.35,综合评估模型,国家发展和改革委员会,https://www.ndrc.gov.cn,,
安全第一,紧急响应时间,35,75,170,110,93%,0.97,97%,0.89,0.3,时效性评估模型,国务院安委会,https://www.government.cn/zhengce/zhengce.html,,
持续改进,能源消耗效率,28,65,150,95,90%,0.95,99%,0.86,0.25,能效评估模型,国际能源署,https://www.iea.org,,
合规性优先,行业标准遵循,22,58,130,85,89%,0.94,96%,0.8,0.15,合规评估模型,生态环境部,https://www.mee.gov.cn,,
可持续发展,温室气体减少,18,50,120,70,87%,0.92,93%,0.88,0.2,减排效果评估模型,全球气候变化平台,https://www.climate.gov,,
安全第一,员工安全培训覆盖率,33,92,165,100,90%,0.97,99%,0.85,0.28,覆盖率评估模型,职业安全健康管理局,https://www.osha.gov,,
环保优先,废物回收利用率,48,82,175,140,92%,0.95,90%,0.83,0.4,回收利用评估模型,中国废物管理协会,https://www.cwma.org.cn,,
合规性优先,年度审计合格率,19,55,125,65,88%,0.91,94%,0.79,0.12,审计合规模型,全国审计署,https://www.audit.gov.cn,,
持续改进,员工健康安全指标,26,72,155,85,89%,0.96,98%,0.91,0.23,健康安全评估模型,国家卫生健康委员会,https://www.nhc.gov.cn,,
安全第一,事故影响评估,15,45,110,60,90%,0.93,85%,0.84,0.18,事故评估模型,国家安全生产监督管理局,https://www.chinasafety.gov.cn,,
可持续发展,资源利用率,25,55,130,80,91%,0.96,98%,0.85,0.2,最优策略分析,国家发展改革委,https://www.ndrc.gov.cn/,,
社会责任,社区合作率,35,65,145,95,93%,0.94,97%,0.8,0.15,社会影响评估模型,中国社会科学院,https://www.cass.cn/,,
技术创新,新技术应用率,28,48,120,75,89%,0.97,99%,0.9,0.25,创新效益分析,科技部,https://www.most.gov.cn/,,
风险管理,风险事件发生率,45,90,175,110,87%,0.92,96%,0.7,0.3,风险评估模型,中国环境保护部,https://www.mee.gov.cn/,,
绿色制造,清洁生产实施情况,38,55,160,100,90%,0.91,95%,0.85,0.23,效益分析模型,工信部,https://www.miit.gov.cn/,,
责任追溯,责任事故调查率,32,77,165,110,85%,0.95,97%,0.65,0.18,责任追溯模型,全国安全生产监管局,https://www.chinasafety.gov.cn/,,
优先调改,技术改造效果,22,50,130,85,92%,0.98,100%,0.9,0.2,改造效果评估,地方生态环境局,https://www.sea.gov.cn/,,
信息透明,公开信息完整性,36,75,140,95,89%,0.96,99%,0.82,0.22,数据透明度模型,城市规划局,https://www.planning.gov.cn/,,
生态恢复,生态修复成效,29,60,155,105,90%,0.97,98%,0.89,0.25,生态影响评估,生态环境部,https://www.mee.gov.cn/,,
环保优先,碳排放总量,55,90,210,160,94%,0.97,100,0.85,0.35,加权平均法,江苏省生态环境厅,https://www.jiangsu.gov.cn/xxgk/2023/01/10/env-report.html,,
安全第一,设备故障率,45,75,175,130,91%,0.98,98,0.88,0.3,风险评估模型,重庆市应急管理局,https://www.cq.gov.cn/safety-management/emergency.html,,
持续改进,节能效率,25,65,150,95,89%,0.96,97,0.82,0.22,效率评估模型,国家能源局,https://www.nea.gov.cn/2023/02/20/energy-efficiency-improvement.html,,
合规性优先,安全培训合格率,35,88,165,110,90%,0.95,96,0.78,0.18,合规性检查模型,广东省安全生产监督管理局,https://www.gd.gov.cn/safety-checks.html,,
科学合理,废物再利用率,30,50,190,140,91%,0.94,95,0.85,0.25,资源回收模型,国家发展和改革委员会,https://www.ndrc.gov.cn/resource-recycling.html,,
透明公开,环境信息披露率,20,55,130,100,92%,0.96,99,0.8,0.2,信息透明模型,生态环境部,https://www.mee.gov.cn/public-information.html,,
管理改进,应急预案更新频率,22,67,145,85,90%,0.95,98,0.84,0.15,风险管理模型,山东省环境保护厅,https://www.shandong.gov.cn/environment.html,,
法治导向,合规性审计通过率,18,62,135,80,87%,0.92,94,0.76,0.1,合规性遵守模型,河南省应急管理厅,https://www.henan.gov.cn/regulations.html,,
健康安全,员工健康监测率,29,77,172,115,93%,0.99,100,0.81,0.2,健康评估模型,北京市疾病预防控制中心,https://www.bjcdc.org/health-monitoring.html,,
污染物控制优先,污染物减少率,35,85,175,110,91%,0.96,98%,0.88,0.28,减排效果模型,国家生态环境部,https://www.mee.gov.cn/,,
节能减排优先,单位产品能耗,45,95,190,130,93%,0.99,97%,0.92,0.35,能耗评估模型,工业和信息化部,https://www.miit.gov.cn/,,
可持续发展,资源循环利用率,25,65,155,85,89%,0.94,96%,0.84,0.15,循环经济模型,中国环境保护协会,https://www.cepa.org.cn/,,
安全优先,安全隐患整改率,30,75,165,105,90%,0.92,94%,0.81,0.22,风险评估模型,国务院安全生产委员会,https://www.chinasafety.gov.cn/,,
透明性优先,环境信息公开率,20,55,140,80,88%,0.91,97%,0.78,0.12,透明度评估模型,各省环境保护厅,https://www.gov.cn/zhengce/flfg/2023-01/01/,,
生态保护,生态恢复效果,15,50,135,70,92%,0.89,95%,0.85,0.2,生态评估模型,国家林业局,https://www.forestry.gov.cn/,,
智能化管理,数据安全性,32,68,160,95,91%,0.97,99%,0.9,0.27,信息安全评估模型,国家信息中心,https://www.sic.gov.cn/,,
行业标杆,最佳实践案例,10,40,120,60,95%,0.95,100%,0.97,0.3,案例评估模型,全国行业协会,https://www.nac.com.cn/,,
创新驱动,新技术应用率,28,58,145,75,87%,0.92,96%,0.83,0.25,技术评估模型,科技部,https://www.most.gov.cn/,,
清洁生产,资源回收率,25,55,130,85,91,0.96,97,82,0.28,环境影响评估模型,北京市生态环境局,https://www.bjepb.gov.cn/,,
安全运营,设备故障率,35,75,190,110,93,0.99,100,88,0.22,风险管理模型,广州市科学技术局,https://www.gz.gov.cn/,,
创新驱动,新技术应用率,15,40,120,70,95,0.97,98,90,0.18,前沿技术评估模型,国家科技部,http://www.most.gov.cn/,,
风险控制,意外事件响应时间,45,85,140,95,87,0.94,96,78,0.2,事件响应模型,深圳市生态环境局,https://www.sz.gov.cn/,,
节能减排,能耗降低率,10,30,100,65,96,0.98,99,92,0.3,能效评估模型,浙江省经济和信息化厅,https://www.zhejiang.gov.cn/,,
环境合规,审核通过率,20,65,150,80,90,0.95,97,74,0.25,合规性审查模型,福建省生态环境厅,https://www.fujian.gov.cn/,,
社区责任,公众满意度,28,58,110,75,92,0.96,95,86,0.27,社会效益评估模型,天津市环境保护局,https://www.tianjin.gov.cn/,,
可持续发展,生态恢复水平,18,50,135,92,94,0.97,99,89,0.23,生态模型,重庆市生态环境局,http://www.cq.gov.cn/,,
信息透明,数据共享率,33,73,165,105,89,0.94,98,81,0.19,信息披露模型,湖北省环境保护厅,http://www.hubei.gov.cn/,,
环保优先,噪声控制,55,95,210,160,94%,0.96,100%,0.88,0.28,综合评价模型,北京环境保护局,https://www.bjepb.gov.cn,,
安全第一,环境事故率,35,75,165,110,91%,0.95,98%,0.82,0.22,风险评估模型,江苏省生态环境厅,https://www.jsehb.gov.cn,,
持续改进,清洁生产效率,25,68,150,95,89%,0.97,99%,0.8,0.25,效益分析模型,山东省科技厅,https://www.sdmost.gov.cn,,
合规性优先,企业标准遵守,15,55,135,85,87%,0.94,96%,0.78,0.17,合规性检验模型,深圳市生态环境局,https://www.sz.gov.cn/zhengce,,
创新为先,绿色技术应用,20,50,145,90,85%,0.92,97%,0.76,0.2,技术审查模型,广东省环境保护厅,https://www.gdep.gov.cn,,
安全优先,事故频发率,45,85,175,130,93%,0.91,99%,0.83,0.3,安全评定模型,天津市应急管理局,https://www.tianjin.gov.cn,,
可持续发展,资源节约,33,77,155,115,90%,0.98,100%,0.79,0.23,节能评估模型,陕西省环境保护厅,https://www.snhc.gov.cn,,
节能优先,能耗控制,12,48,120,80,92%,0.99,98%,0.85,0.19,能耗评价模型,湖南省发改委,https://www.hunan.gov.cn,,
法规遵循,标准执行率,18,62,130,100,91%,0.95,97%,0.82,0.16,法规评估模型,四川省环境保护厅,https://www.sc.gov.cn,,
环境绩效提升,废物回收率,35,85,150,110,91,0.96,97,0.87,0.28,绩效评价模型,环境保护部,https://www.mee.gov.cn/,,
安全可持续性,事故响应时间,25,50,130,80,89,0.94,96,0.82,0.22,风险评估模型,北京市应急管理局,https://www.beijing.gov.cn/,,
资源节约,能源使用效率,45,75,195,140,92,0.97,99,0.86,0.32,综合评估模型,国家能源局,https://www.nea.gov.cn/,,
透明度优先,公众投诉率,50,95,210,160,93,0.99,100,0.91,0.2,透明度评价模型,省环境保护厅,https://www.sepa.gov.cn/,,
聚焦合规,政策遵循率,15,65,120,70,90,0.91,97,0.78,0.17,合规性分析模型,江苏省公安厅,https://www.js.gov.cn/,,
社会责任,社区参与度,38,58,135,85,87,0.93,95,0.79,0.24,参与度评估模型,生态环境部,https://www.mee.gov.cn/,,
技能提升,员工培训覆盖率,29,72,145,95,91,0.95,98,0.84,0.19,员工发展模型,国家人力资源与社会保障部,https://www.mohrss.gov.cn/,,
前瞻性创新,新技术应用率,22,42,125,60,88,0.9,96,0.8,0.23,技术评估模型,工业和信息化部,https://www.miit.gov.cn/,,
生态平衡,生态修复面积,18,55,115,50,92,0.92,94,0.76,0.26,生态系统评估模型,自然资源部,https://www.mnr.gov.cn/,,
环保优先,资源使用效率,35,90,175,110,93%,0.97,100%,0.85,0.2,综合评估模型,生态环境部,https://www.mee.gov.cn/,,
安全第一,职业病发生率,25,55,130,80,90%,0.96,98%,0.88,0.3,事件分析模型,国家卫生健康委员会,https://www.nhc.gov.cn/,,
持续改进,设备完好率,45,85,165,125,92%,0.94,99%,0.79,0.25,数据分析模型,工业和信息化部,https://www.miit.gov.cn/,,
合规性优先,设施安全检测,15,45,120,70,95%,0.98,100%,0.83,0.1,风险评估模型,北京市生态环境局,https://epb.beijing.gov.cn/,,
安全第一,消防安全指标,55,95,190,140,91%,0.95,97%,0.81,0.4,复合评分模型,消防救援局,https://www.msa.gov.cn/,,
持续改进,生产效率,50,100,205,155,87%,0.89,96%,0.84,0.28,动态调整模型,中国科学院,https://www.cas.cn/,,
合规性优先,环保设施完备情况,10,35,110,65,98%,0.99,99%,0.87,0.15,合规性监控模型,环保组织,https://www.ceep.org.cn/,,
环保优先,可再生能源利用,20,40,150,100,90%,0.96,98%,0.82,0.22,环境效益模型,国家可再生能源中心,https://www.nrel.gov.cn/,,
合规性优先,排放许可合规,30,80,170,115,94%,0.97,99%,0.78,0.18,合规性合规模型,地方政府环境管理局,https://www.environment.gov.cn/,,
资源节约,能耗标准达标率,45,90,185,115,91%,0.96,98%,0.88,0.28,能效跟踪模型,湖南省生态环境厅,https://www.hunan.gov.cn/xxgk/202331/153686.html,,
绿色生产,环保投资比例,35,75,170,130,93%,0.99,97%,0.92,0.22,投资回报分析模型,国家发改委,https://www.ndrc.gov.cn/,,
公众健康,有害物质排放监控,55,85,210,155,89%,0.97,99%,0.87,0.26,健康影响评估模型,北京市卫生健康委员会,http://wsjkw.beijing.gov.cn/,,
科技创新,环保技术应用率,42,77,175,140,94%,0.95,97%,0.9,0.21,技术评估模型,杭州科技局,http://www.hangzhou.gov.cn/,,
企业自律,内部审核发现率,38,68,160,110,90%,0.98,100%,0.85,0.19,自我评估模型,河北省环保局,http://www.hebei.gov.cn/,,
国际标准,ISO认证比例,29,65,135,95,92%,0.94,96%,0.78,0.2,认证合规性模型,国家质量监督检验检疫总局,http://www.aqsiq.gov.cn/,,
地区平衡,地方政策执行度,48,82,190,125,90%,0.91,98%,0.89,0.24,地区政策分析模型,天津市政府,http://www.tianjin.gov.cn/,,
创新科技,清洁能源应用比例,54,92,205,145,88%,0.87,97%,0.84,0.23,清洁能源评估模型,中国能源局,http://www.nea.gov.cn/,,
生态修复,土壤污染修复率,27,63,150,80,91%,0.96,99%,0.93,0.18,生态修复评估模型,生态环境部,https://www.mee.gov.cn/,,
绿色发展,资源利用效率,22,55,130,85,91%,0.96,97%,0.85,0.3,效益评估模型,国家生态环境部,https://www.mee.gov.cn/,,
安全优先,事故应急响应时间,35,72,150,95,89%,0.94,92%,0.82,0.28,风险评估模型,北京市应急管理局,https://www.beijing.gov.cn/,,
生态优先,生物多样性保护,25,68,140,80,93%,0.97,98%,0.88,0.25,综合绩效模型,自然资源部,https://www.mnr.gov.cn/,,
责任透明,社会责任履行,18,50,120,75,90%,0.95,93%,0.8,0.18,透明度评估模型,中国社会科学院,http://www.cass.cn/,,
持续创新,新技术应用率,28,66,135,78,92%,0.98,99%,0.84,0.27,技术应用评估模型,中国工程院,http://www.cae.cn/,,
法律遵从,法务审查合格率,17,62,115,70,89%,0.92,90%,0.77,0.2,合规性监测模型,煤矿安全监察局,http://www.chinacoal.gov.cn/,,
公众参与,环保意识提升,29,64,125,73,95%,0.96,94%,0.83,0.22,社会反馈模型,全国环境保护公众舆论调查中心,http://www.epb.gov.cn/,,
经济实用,成本控制效果,21,58,145,82,88%,0.91,92%,0.79,0.19,成本效益模型,财政部,http://www.mof.gov.cn/,,
国际标准,ISO认证达标率,34,74,110,67,96%,0.99,99%,0.86,0.24,国际评估模型,国际标准化组织,https://www.iso.org/,,
循环经济,资源回收率,45,85,190,125,91%,0.97,98%,0.88,0.28,综合评分模型,国家资源循环利用部,https://www.mnr.gov.cn/,,
降低排放,排放量年度对比,35,70,155,110,93%,0.95,97%,0.85,0.3,年度对比分析,中国环境保护部,http://www.mee.gov.cn/,,
安全优先,作业安全达标率,25,50,130,80,90%,0.9,94%,0.82,0.22,实时监测评估,全国安全生产监管局,http://www.chinasafety.gov.cn/,,
绿色发展,环保设施完备率,30,40,145,95,92%,0.96,99%,0.9,0.25,标准达成模型,生态环境部,http://www.mee.gov.cn/,,
节能减排,能源消耗效率,55,110,210,160,94%,0.99,100%,0.93,0.35,效率绩效模型,中国节能环保协会,http://www.chinaee.net/,,
创新驱动,新技术应用率,28,55,135,78,87%,0.88,96%,0.86,0.2,技术应用评估,国家科技部,http://www.most.gov.cn/,,
健康和安全,健康事故发生率,18,45,120,70,86%,0.91,98%,0.79,0.18,风险评估模型,国家卫生健康委员会,http://www.nhc.gov.cn/,,
透明度优先,信息披露及时性,22,58,135,76,89%,0.92,99%,0.83,0.16,信息透明度评估,国家统计局,http://www.stats.gov.cn/,,
社区影响,社会责任履行,24,62,142,88,92%,0.95,100%,0.89,0.3,社区影响模型,中国社会科学院,http://www.cssn.cn/,,
环保优先,能源消耗效率,45,85,190,130,93%,0.96,98,0.88,0.35,能效评估模型,国家能源局,https://www.nea.gov.cn/,,
安全第一,事故应急响应时间,35,75,175,110,91%,0.95,97,0.82,0.25,应急响应模型,广州安全生产监督管理局,https://www.gz.gov.cn/zwgk/xzcf/,,
持续改进,废物回收率,25,65,150,95,89%,0.94,96,0.78,0.2,回收率分析模型,国际环境保护组织,https://www.iucn.org/,,
合规性优先,审计合规报告提交率,20,55,140,80,87%,0.91,94,0.72,0.15,合规审计模型,北京环境保护局,https://www.bjepb.gov.cn/,,
智能化管理,实时数据分析效率,15,50,130,70,85%,0.9,95,0.7,0.3,大数据分析模型,工业和信息化部,http://www.miit.gov.cn/,,
环保优先,可再生能源使用率,10,40,120,60,95%,0.98,99,0.85,0.4,清洁能源评估模型,国家可再生能源中心,https://www.cnrec.org.cn/,,
安全第一,安全管理体系标准执行率,38,78,165,115,90%,0.92,97,0.8,0.28,管理标准评估模型,中国安全生产协会,http://www.cspm.org.cn/,,
持续改进,环境影响报告编制率,22,52,155,85,88%,0.89,96,0.74,0.18,环境影响评估模型,中国环境报,http://www.cenews.com.cn/,,
合规性优先,环境管理系统认证率,19,58,145,93,86%,0.88,94,0.73,0.14,认证合规模型,国家市场监督管理总局,http://www.samr.gov.cn/,,
智能化管理,自动化控制系统运行率,17,45,135,65,84%,0.9,92,0.69,0.32,自动控制评估模型,智能制造产业协会,http://www.cmie.org.cn/,,
法规遵循,废物处理合规率,35,90,175,110,91%,0.96,97%,0.85,0.28,合规模型,北京市生态环境局,https://www.bjepb.gov.cn,,
创新优先,绿色技术应用率,25,65,130,85,85%,0.94,100%,0.8,0.2,创新评估模型,上海市科学技术委员会,https://www.stcsm.gov.cn,,
经济有效,成本控制,45,75,190,130,89%,0.99,98%,0.9,0.22,成本效益模型,广东省发展改革委,https://www.gddrc.gov.cn,,
健康安全,职业健康事故率,28,55,145,95,87%,0.95,96%,0.78,0.17,安全管理模型,人民健康网,https://www.peoplehealth.cn,,
环境保护,水质污染物监测合规率,32,82,165,115,92%,0.97,99%,0.87,0.26,环境保护评估模型,江苏省生态环境厅,https://www.jsepb.gov.cn,,
可持续发展,能源使用效率,38,78,155,105,93%,0.98,97%,0.88,0.25,能源评估模型,国家能源局,https://www.nea.gov.cn,,
公众参与,公众反馈响应率,27,74,148,98,89%,0.9,95%,0.82,0.19,公众意见评估模型,国务院发展研究中心,http://www.drc.gov.cn,,
人才培养,环保教育普及率,30,67,160,105,90%,0.92,96%,0.84,0.21,教育影响评估模型,全国环境教育中心,http://www.ceea.org.cn,,
整个产业链管理,上下游环境责任落实率,33,79,170,112,86%,0.94,97%,0.81,0.23,产业链评价模型,工业和信息化部,https://www.miit.gov.cn,,
环保优先,废气处理效率,45,95,210,140,93%,0.97,99%,0.88,0.35,综合评估法,环境保护部,https://www.mee.gov.cn/,,
安全优先,安全监管合规率,35,75,170,110,91%,0.95,98%,0.82,0.3,风险评估模型,国家安全生产监督管理局,http://www.chinasafety.gov.cn/,,
持续改进,能源使用效率,30,65,150,80,89%,0.94,96%,0.78,0.2,数据分析模型,中国电力公司,http://www.sgcc.com.cn/,,
合规性优先,政策实施效果,25,55,130,85,87%,0.92,94%,0.72,0.15,政策效果评估模型,环保行业协会,http://www.chinahpa.org.cn/,,
环保优先,固废处理合规率,55,120,190,160,94%,0.99,100%,0.91,0.4,混合加权模型,国家统计局,http://www.stats.gov.cn/,,
安全第一,职业病发生率,40,90,160,100,92%,0.96,97%,0.85,0.25,安全管理模型,卫生健康委员会,http://www.nhc.gov.cn/,,
持续改进,设备优化程度,29,68,155,95,90%,0.93,95%,0.8,0.18,高效管理模型,机械工程学会,https://www.cmes.org/,,
合规性优先,产品环保认证率,22,50,135,75,86%,0.9,92%,0.7,0.15,企业合规性检验模型,质量监督局,http://www.aqsiq.gov.cn/,,
环保优先,水污染防控成效,48,105,210,145,91%,0.98,99%,0.86,0.33,水质管理模型,水利部,http://www.mwr.gov.cn/,,
安全第一,生产安全成本,32,85,165,90,88%,0.91,96%,0.83,0.28,成本效益分析模型,经济和信息化部,http://www.miit.gov.cn/,,
绿色发展,可再生资源利用率,35,80,150,110,91,0.96,98,0.88,0.28,综合评估模型,国家环保局,https://www.mee.gov.cn/,,
资源节约,综合能源消耗,45,90,170,130,89,0.94,97,0.85,0.2,节能降耗模型,北京市生态环境局,https://epb.bj.gov.cn/,,
技术创新,新技术应用率,25,50,130,80,93,0.97,99,0.92,0.35,技术评价模型,中国科学技术协会,https://www.cast.org.cn/,,
社区责任,公众满意度调查,15,40,120,70,94,0.95,100,0.95,0.18,反馈评估模型,社会责任研究中心,https://www.srrc.org.cn/,,
