品类（字符型）,体系结构（字符型）,层次结构（字符型）,设计机构（字符型）,实现结构（字符型）,采集来源,来源链接,采集时间,备注,,,,,,,,,,,
电流传感器,敏感电阻 + 处理单元,信号层、数据层,丰诺科技,模块式,丰诺科技,https://www.fengnuo.com,2024-09-14,,,,,,,,,,,,
磁力传感器,霍尔元件 + 信号调理电路,感知层、输出层,安恒科技,集成式,安恒科技,https://www.anhengtech.com,2024-09-14,,,,,,,,,,,,
超声波传感器,超声波发射器 + 接收器,探测层、处理层,声动科技,混合式,声动科技,https://www.soundtech.com,2024-09-14,,,,,,,,,,,,
气压传感器,敏感元件 + 信号处理电路,感知层、数据层,航天科技,集成式,航天科技,http://www.aerospace.com,2024-09-14,,,,,,,,,,,,
水质传感器,敏感元件 + 处理单元,检测层、分析层,水务局科技部,模块式,水务局科技部,http://www.waterbureau.com,2024-09-14,,,,,,,,,,,,
辐射传感器,敏感元件 + 数据处理单元,监控层、报表层,核能研究所,混合式,核能研究所,http://www.nuclearresearch.com,2024-09-14,,,,,,,,,,,,
运动传感器,敏感元件 + 微处理器 + 数据接口,输入层、分析层、输出层,动感科技,集成式,动感科技,https://www.dynamictech.com,2024-09-14,,,,,,,,,,,,
水位传感器,敏感元件 + 微控制器 + 信号调理电路,采集层、处理层、应用层,水务智能,集成式,水务智能,https://www.watertech.com/news/2021/tech-advancements,2024-09-14,,,,,,,,,,,,
振动传感器,敏感元件 + 模拟信号处理单元,传感层、信号处理层,震动科技,模块式,震动科技,https://www.vibrationscience.com/articles/sensor-innovation,2024-09-14,,,,,,,,,,,,
定位传感器,敏感元件 + 通信模块 + 数据处理单元,接口层、处理层、应用层,导航科技,混合式,导航科技,https://www.navitech.com/sensors,2024-09-14,,,,,,,,,,,,
能量传感器,敏感元件 + 超低功耗控制器,数据采集层、分析层,新能源科技,模块式,新能源科技,https://www.renewableenergy.com/news,2024-09-14,,,,,,,,,,,,
光照传感器,敏感元件 + ADC转换电路 + 信号处理,感应层、输出层,照明科技,集成式,照明科技,https://www.lightingtech.com/research,2024-09-14,,,,,,,,,,,,
磁场传感器,敏感元件 + 微控制器 + 滤波电路,数据层、应用层,磁性传感,混合式,磁性传感,https://www.magnetic-sensors.com/blog,2024-09-14,,,,,,,,,,,,
土壤传感器,敏感元件 + 传输模块 + 信号处理,数据层、反馈层,农业智能,集成式,农业智能,https://www.smartagriculture.com/updates,2024-09-14,,,,,,,,,,,,
身体传感器,敏感元件 + 数据处理单元 + 通信模块,监测层、反馈层,健康科技,模块式,健康科技,https://www.healthplus.com/news,2024-09-14,,,,,,,,,,,,
电流传感器,敏感元件 + 信号调节单元 + 安全监测,传感层、数据层,电力优化,集成式,电力优化,https://www.poweroptimization.com/trends,2024-09-14,,,,,,,,,,,,
振幅传感器,敏感元件 + DSP处理器 + 通信模块,信号层、控制层,动态监测,混合式,动态监测,https://www.dynamic-sensors.com/articles,2024-09-14,,,,,,,,,,,,
紫外线传感器,敏感元件 + 接口电路 + 转换元件,检测层、处理层、输出层,光谱科技,模块式,绿能科技,https://www.greenenergy.com/solutions/uv-sensors,2024-09-14,,,,,,,,,,,,
土壤湿度传感器,敏感元件 + 微处理器 + 信号调理电路,传感层、数据层、应用层,智慧农业,集成式,农业信息网,http://www.agriinfo.cn/news/soil-monitoring,2024-09-14,,,,,,,,,,,,
气压传感器,敏感元件 + 转换元件 + 数据接口,传感层、信号处理层、输出层,动态科技,混合式,传感器世界,https://www.sensorworld.com/resources/barometric-sensors,2024-09-14,,,,,,,,,,,,
电流传感器,敏感元件 + 信号调理电路 + 数据接口,检测层、处理层、输出层,电能管理,集成式,电气工程网,http://www.electricalengineeringnews.com/power-sensors,2024-09-14,,,,,,,,,,,,
红外传感器,敏感元件 + 转换电路 + 信号处理电路,信号采集层、识别层、输出层,创意科技,模块式,科技前沿,https://www.techfrontiers.com/articles/infrared-sensors,2024-09-14,,,,,,,,,,,,
心率传感器,敏感元件 + 数据处理单元 + 通信接口,采集层、分析层、应用层,健康科技,集成式,医疗设备资讯网,https://www.healthtechnews.com/wearable-sensors,2024-09-14,,,,,,,,,,,,
辐射传感器,敏感元件 + 转换电路 + 数据处理单元,检测层、通信层、输出层,核能研究院,混合式,核能在线,https://www.nuclearonline.com/articles/radiation-sensors,2024-09-14,,,,,,,,,,,,
流量传感器,敏感元件 + 微处理器 + 信号调理电路,采集层、处理层、输出层,流体力学实验室,集成式,工业传感器网,http://www.industrialsensors.com/news/flow-sensors,2024-09-14,,,,,,,,,,,,
电磁场传感器,敏感元件 + 转换电路 + 接口电路,信号采集层、处理层、输出层,物联网研究中心,混合式,IoT科技,https://www.iottech.com/articles/electromagnetic-sensors,2024-09-14,,,,,,,,,,,,
智能环境传感器,敏感元件 + 转换元件 + 信号处理单元,传感层、处理层、应用层,华为技术有限公司,模块式,华为技术有限公司,https://www.huawei.com/cn/solutions,2024-09-14,,,,,,,,,,,,
智能照明传感器,敏感元件 + 控制模块 + 电源管理,传感层、控制层,飞利浦照明,集成式,飞利浦照明,https://www.lighting.philips.cn/,2024-09-14,,,,,,,,,,,,
土壤湿度传感器,敏感元件 + 无线模块,传感层、云平台,中科院农业科学院,混合式,中国科学院,https://www.ihnst.cn,2024-09-14,,,,,,,,,,,,
工业振动传感器,敏感元件 + 数据采集器 + 通信模块,传感层、数据处理层,施耐德电气,集成式,施耐德电气,https://www.se.com/cn/,2024-09-14,,,,,,,,,,,,
流量传感器,敏感元件 + 微处理器 + 输出接口,输入层、处理层、输出层,洛克威尔自动化,模块式,洛克威尔自动化,https://www.rockwellautomation.com/,2024-09-14,,,,,,,,,,,,
气象监测传感器,敏感元件 + 数据处理单元 + 网络接口,数据层、云服务层,中国气象局,集成式,中国气象局,http://www.cma.gov.cn/,2024-09-14,,,,,,,,,,,,
智能家居传感器,敏感元件 + 逻辑控制单元 + 接口电路,感知层、控制层、执行层,小米科技,混合式,小米科技,https://www.mi.com/,2024-09-14,,,,,,,,,,,,
智能健康传感器,敏感元件 + 生物数据处理单元,数据采集层、分析层,Fitbit公司,集成式,Fitbit公司,https://www.fitbit.com/global/us/home,2024-09-14,,,,,,,,,,,,
无线电频率传感器,敏感元件 + 信号调制模块,原始数据层、服务层,高通,模块式,高通,https://www.qualcomm.com/,2024-09-14,,,,,,,,,,,,
智能交通传感器,敏感元件 + 数据分析模块 + 通讯接口,感知层、决策层,百度自动驾驶,混合式,百度自动驾驶,https://ai.baidu.com/tech/traffic,2024-09-14,,,,,,,,,,,,
震动传感器,敏感元件 + 信号调理电路 + 微控制器,物理层、处理层、应用层,阿里云,集成式,阿里云,https://www.aliyun.com/product/iot,2024-09-14,,,,,,,,,,,,
气压传感器,敏感元件 + 控制单元 + 通信模块,传感层、处理层、输出层,奥克斯电子,模块式,奥克斯电子,http://www.auxgroup.com,2024-09-14,,,,,,,,,,,,
土壤湿度传感器,敏感元件 + 信号处理电路 + 数据采集接口,传感层、监测层,智农科技,集成式,智农科技,https://www.agtech.com,2024-09-14,,,,,,,,,,,,
超声波传感器,超声波发射器 + 接收器 + 信号处理单元,数据采集层、控制层、应用层,长虹集团,模组化,长虹集团,https://www.changhong.com,2024-09-14,,,,,,,,,,,,
风速传感器,敏感元件 + 数据处理单元 + 通信模块,传感层、分析层,深圳维泽,集成式,维泽科技,https://www.wiz.com.cn,2024-09-14,,,,,,,,,,,,
红外传感器,敏感元件 + 信号放大器 + 微处理器,物理层、数据层、应用层,华为技术,混合式,华为技术,https://www.huawei.com,2024-09-14,,,,,,,,,,,,
水质传感器,敏感元件 + 数据采集电路 + 通信模块,采集层、控制层、监测层,海尔生物,模块式,海尔生物,https://www.haier.com/cn,2024-09-14,,,,,,,,,,,,
环境光传感器,敏感元件 + 调理电路 + 通信接口,物理层、数据层、输出层,京东科技,集成式,京东科技,https://www.jd.com,2024-09-14,,,,,,,,,,,,
色温传感器,敏感元件 + 信号处理单元 + 控制模块,传感层、处理层,光大技术,集成式,光大技术,https://www.gdtech.com,2024-09-14,,,,,,,,,,,,
生物识别传感器,敏感元件 + 转换元件 + 微处理器,分析层、应用层,易联科技,混合式,易联科技,https://www.yilian.com,2024-09-14,,,,,,,,,,,,
热流传感器,敏感元件 + 转换元件 + 接口模块,探测层、处理层、输出层,海思半导体,集成式,海思半导体,https://www.hisilicon.com/en/solutions/thermal_sensors,2024-09-14,,,,,,,,,,,,
光照传感器,敏感元件 + 模拟电路 + 数字信号处理单元,感知层、分析层、应用层,诺基亚,模块式,诺基亚,https://www.nokia.com/networks/tech-innovations/optical-sensors/,2024-09-14,,,,,,,,,,,,
水质传感器,敏感元件 + 电子校准电路,监测层、分析层,水务科技,集成式,水务科技,https://www.watertech.com/,2024-09-14,,,,,,,,,,,,
烟雾传感器,敏感元件 + 信号调理电路 + 微处理器,探测层、响应层、控制层,安防科技,模块式,安防科技,https://safety.com/,2024-09-14,,,,,,,,,,,,
心率传感器,敏感元件 + 信号调理电路 + 数据接口,监测层、传输层、应用层,健身科技,混合式,健身科技,https://www.fitness.com/,2024-09-14,,,,,,,,,,,,
振动传感器,敏感元件 + 放大电路 + 控制单元,传感层、处理层,振动科技,集成式,振动科技,https://www.vibrationtech.com/,2024-09-14,,,,,,,,,,,,
电流传感器,敏感元件 + 数字信号处理单元,监测层、中继层、控制层,能源科技,集成式,能源科技,https://www.energytech.com/,2024-09-14,,,,,,,,,,,,
火焰传感器,敏感元件 + 信号处理模块,探测层、响应层,安全科技,模块式,安全科技,https://safetytech.com/,2024-09-14,,,,,,,,,,,,
氧气传感器,敏感元件 + 信号调理电路 + 通信接口,感知层、分析层、应用层,医疗安全科技,混合式,医疗安全科技,https://www.medicalsafety.com/,2024-09-14,,,,,,,,,,,,
光纤传感器,敏感元件 + 光电转换单元 + 数据采集模块,探测层、分析层、输出层,光电技术,集成式,光电技术,https://www.opticaltech.com/,2024-09-14,,,,,,,,,,,,
温湿度传感器,敏感元件 + 微处理器 + 信号调理电路,环境层、数据层、控制层,李明科技,集成式,李明科技,https://www.limingtech.com,2024-09-14,,,,,,,,,,,,
光传感器,敏感元件 + 信号处理模块,采集层、分析层、输出层,科锐光电,模块式,科锐光电,http://www.creelights.com,2024-09-14,,,,,,,,,,,,
磁场传感器,敏感元件 + 转换电路 + 反馈机制,硬件层、软件层、控制层,北京电气研究所,混合式,北京电气研究所,http://www.bjresearch.com,2024-09-14,,,,,,,,,,,,
距离传感器,敏感元件 + 微控制器 + 接口电路,测量层、处理层、输出层,新时代科技,集成式,新时代科技,https://www.nxtechnology.com,2024-09-14,,,,,,,,,,,,
超声波传感器,敏感元件 + 信号处理模块 + 通信电路,采集层、处理层、控制层,瑞士传感,模块式,瑞士传感,https://www.swiss-sensors.com,2024-09-14,,,,,,,,,,,,
气压传感器,敏感元件 + 转换电路,硬件层、处理层,未来科技,集成式,未来科技,http://www.wtltech.com,2024-09-14,,,,,,,,,,,,
水质传感器,敏感元件 + 信号调理电路 + 数据分析模块,采集层、分析层,环境监测中心,混合式,环境监测中心,http://www.envmonitor.org,2024-09-14,,,,,,,,,,,,
震动传感器,敏感元件 + 微处理器 + 数据信号转换,测量层、数据处理层,新世纪传感器,模块式,新世纪传感器,https://www.newcenturysensors.com,2024-09-14,,,,,,,,,,,,
声纹传感器,敏感元件 + 人工智能处理单元,数据采集层、识别层,智能声学科技,集成式,智能声学科技,http://www.smartacoustics.com,2024-09-14,,,,,,,,,,,,
生物识别传感器,敏感元件 + 处理电路 + 通信接口,采集层、处理层、应用层,生物识别科技,集成式,生物识别科技,https://www.biometrictech.com,2024-09-14,,,,,,,,,,,,
红外温度传感器,敏感元件 + 模拟信号处理单元 + 输出电路,感知层、处理层、应用层,华为技术有限公司,集成式,华为开发者社区,https://developer.huawei.com/consumer/cn/,2024-09-14,,,,,,,,,,,,
土壤湿度传感器,敏感元件 + 处理电路 + 通信模块,感知层、网络层、应用层,北京农科院,模块化,农业科技网,http://www.agris.cn/,2024-09-14,,,,,,,,,,,,
振动传感器,敏感元件 + 放大电路 + 处理器,数据层、处理层、输入层,西安测控科技,混合式,测控技术网,http://www.cmas.org.cn/,2024-09-14,,,,,,,,,,,,
环境气候传感器,敏感元件 + 微处理器 + 数据通信接口,感知层、控制层、分析层,气象局自动化中心,集成式,中国气象局,http://www.cma.gov.cn/,2024-09-14,,,,,,,,,,,,
心率监测传感器,敏感元件 + 信号处理电路 + 输出接口,生理层、处理层、应用层,小米科技,集成式,小米官网,https://www.mi.com/,2024-09-14,,,,,,,,,,,,
辨识气体传感器,敏感元件 + 信号调理 + 数据处理单元,传感层、信号层、控制层,深圳市新风科技,模块化,中国传感网,http://www.chinasensor.org/,2024-09-14,,,,,,,,,,,,
水质传感器,敏感元件 + 数据分析单元 + 警报系统,采集层、分析层、报告层,环境保护局,混合式,中国环保网,http://www.mee.gov.cn/,2024-09-14,,,,,,,,,,,,
智能光照传感器,敏感元件 + 调节电路 + 输出模块,采集层、控制层、执行层,阿里巴巴云,集成式,阿里云官网,https://www.aliyun.com/,2024-09-14,,,,,,,,,,,,
水位传感器,敏感元件 + 通信模组 + 处理器,感知层、监控层、反馈层,智慧城市研发中心,模块化,智慧城市网,http://www.smartcity.org.cn/,2024-09-14,,,,,,,,,,,,
温度传感器,敏感元件 + 调理电路 + 通信接口,数据层、应用层,海尔集团,集成式,海尔智能家居,https://www.haier.com/cn/about/news/,2024-09-14,,,,,,,,,,,,
湿度传感器,敏感元件 + 信号调理电路 + 无线模块,采集层、发送层,京东方科技,模块式,京东方科技,https://www.boef.com/,2024-09-14,,,,,,,,,,,,
压力传感器,敏感元件 + 数据处理器,硬件层、应用层,中兴通讯,混合式,中兴研发中心,https://www.zte.com.cn/,2024-09-14,,,,,,,,,,,,
光疗传感器,敏感元件 + 数字转接器,数据收集层、用户交互层,光明科技,集成式,光明科技,https://www.brighttech.com/,2024-09-14,,,,,,,,,,,,
加速度传感器,敏感元件 + SOI电路,检测层、计算层,航天科技,模块式,中国航天科技,https://www.spacechina.com/,2024-09-14,,,,,,,,,,,,
声音传感器,敏感元件 + 数字信号处理器,数据采集层、处理层,华为技术,集成式,华为云,https://cloud.huawei.com/,2024-09-14,,,,,,,,,,,,
气体传感器,敏感元件 + 微控制器 + 通信模块,采集层、分析层,微创科技,混合式,微创科技,https://www.microrobotics.com/,2024-09-14,,,,,,,,,,,,
生物传感器,敏感元件 + 信号处理电路,研究层、应用层,华大基因,集成式,华大基因,https://www.bgitech.com/,2024-09-14,,,,,,,,,,,,
表面温度传感器,热电偶 + 模拟信号处理器,检测层、输出层,海信集团,模块式,海信技术,https://www.hisense.com/,2024-09-14,,,,,,,,,,,,
固态温湿度传感器,传感元件 + 处理模块,感知层、数据管理层,深圳沃特,集成式,沃特科技,https://www.wotetech.com/,2024-09-14,,,,,,,,,,,,
图像传感器,敏感元件 + 数字信号处理器 + 接口电路,感知层、处理层、展示层,华为,集成式,华为官网,https://www.huawei.com/cn/products,2024-09-14,,,,,,,,,,,,
流速传感器,敏感元件 + 微处理器 + 通信模块,物理层、传输层、应用层,西门子,模块式,全景前沿科技,https://www.pioneertec.com,2024-09-14,,,,,,,,,,,,
烟雾传感器,敏感元件 + 信号调理电路,感知层、监控层,博世集团,混合式,博世官网,https://www.bosch.com,2024-09-14,,,,,,,,,,,,
海洋传感器,敏感元件 + 数据传输单元 + 存储单元,环境层、数据层,美国海洋研究所,集成式,海洋技术期刊,https://www.oceanjournal.org,2024-09-14,,,,,,,,,,,,
温湿度传感器,敏感元件 + 无线模块 + 数字显示,反馈层、指示层,飞利浦,模块式,飞利浦科技,https://www.philips.com,2024-09-14,,,,,,,,,,,,
运动传感器,敏感元件 + 数据处理单元 + 接口电路,感知层、反馈层,亚马逊科技,集成式,亚马逊企业资讯,https://www.amazon.com,2024-09-14,,,,,,,,,,,,
探测传感器,敏感元件 + 嵌入式处理器 + 网络模块,监控层、分析层,思科系统,混合式,思科官网,https://www.cisco.com,2024-09-14,,,,,,,,,,,,
振动传感器,敏感元件 + 信号调理单元 + 数据存储,感知层、分析层,施耐德电气,模块式,施耐德电气官网,https://www.se.com,2024-09-14,,,,,,,,,,,,
水质传感器,敏感元件 + 测量电路 + 数据传输单元,监测层、分析层,环境保护局,集成式,环境科学期刊,https://www.environmentalscience.org,2024-09-14,,,,,,,,,,,,
磁场传感器,敏感元件 + 微处理器 + 信号调理电路,物理层、信号处理层,英特尔,混合式,英特尔技术网站,https://www.intel.com,2024-09-14,,,,,,,,,,,,
超声波传感器,敏感元件 + 信号调理电路 + 微处理器,物理层、数据传输层、控制层,南京森荣科技,集成式,南京森荣科技,https://www.senron.com/,2024-09-14,,,,,,,,,,,,
光纤传感器,敏感元件 + 光信号转换器 + 数据处理单元,环境感知层、信号处理层、输出层,新加坡科技公司,模块式,新加坡科技新闻,https://www.technews.sg/,2024-09-14,,,,,,,,,,,,
振动传感器,敏感元件 + 信号调理器,信号采集层、分析层、报警层,西安交通大学,集成式,西安交大研究中心,https://www.xjtu.edu.cn/,2024-09-14,,,,,,,,,,,,
智能温湿度传感器,敏感元件 + 无线通信模块 + 数据处理模块,物理层、云计算层、应用层,华为技术有限公司,集成式,华为云,https://www.huaweicloud.com/,2024-09-14,,,,,,,,,,,,
气压传感器,敏感元件 + 转换电路 + 处理单元,硬件层、应用层,国内航空航天研究院,混合式,航天科技,http://www.spacechina.com/,2024-09-14,,,,,,,,,,,,
电流传感器,敏感元件 + 微处理器 + 数据接口,感知层、处理层、输出层,福州电气公司,模块式,福州电气技术,https://www.fz-electric.com/,2024-09-14,,,,,,,,,,,,
生物识别传感器,敏感元件 + 数据处理单元 + 人机界面,采集层、分析层、应用层,医疗科技研发中心,集成式,医疗科技网,https://medicaltech.org/,2024-09-14,,,,,,,,,,,,
位置传感器,敏感元件 + 无线通信模块 + 软件接口,环境层、位置层、数据处理层,深圳高科有限公司,模块式,深圳高科新闻,https://www.shenzhenhightech.com/,2024-09-14,,,,,,,,,,,,
磁场传感器,敏感元件 + 转换电路 + 接口电路,物理层、数据层,北京大学,集成式,北大科技动态,https://www.pku.edu.cn/,2024-09-14,,,,,,,,,,,,
水质传感器,敏感元件 + 数据处理单元 + 监测接口,采集层、处理层、应用层,中国水利部,集成式,水利科技网,http://www.mwr.gov.cn/,2024-09-14,,,,,,,,,,,,
光温传感器,敏感元件 + 信号调理电路 + 数据处理单元,传感层、处理层、展示层,光智科技,集成式,光智科技,https://www.guangzhitech.com,2024-09-14,,,,,,,,,,,,
土壤湿度传感器,敏感元件 + 微处理器 + 无线传输模块,传感层、通信层、应用层,农业智能,模块式,农业智能,http://www.agricultureai.com,2024-09-14,,,,,,,,,,,,
火焰传感器,敏感元件 + 信号调理电路,检测层、响应层,安全科技,混合式,安全科技,https://www.safety-tech.com,2024-09-14,,,,,,,,,,,,
超声波传感器,敏感元件 + 数字信号处理器 + 接口电路,传感层、处理层,先进传感技术,集成式,先进传感技术,http://www.advan-sensing.com,2024-09-14,,,,,,,,,,,,
风速传感器,敏感元件 + 微处理器 + 通信电路,物理层、数据层、控制层,环境监测中心,模块式,环境监测中心,https://www.enviro-monitor.com,2024-09-14,,,,,,,,,,,,
流量传感器,敏感元件 + 转换单元 + 显示电路,检测层、处理层,流体动力学,混合式,流体动力学,http://www.fluiddynamics.com,2024-09-14,,,,,,,,,,,,
红外传感器,敏感元件 + 信号调理电路 + 输出模块,物理层、应用层,智慧家居科技,集成式,智慧家居科技,https://www.smart-home-tech.com,2024-09-14,,,,,,,,,,,,
振动传感器,敏感元件 + 微处理器 + 数据采集单元,采集层、分析层,工业传感科技,模块式,工业传感科技,http://www.industry-sensors.com,2024-09-14,,,,,,,,,,,,
位置传感器,敏感元件 + 信号转换单元 + 数据传输电路,传感层、数据层、应用层,定位技术研究所,集成式,定位技术研究所,http://www.positioning-tech.com,2024-09-14,,,,,,,,,,,,
噪声传感器,敏感元件 + 微处理器 + 信号调理电路,信号采集层、处理层,环境声音研究中心,混合式,环境声音研究中心,http://www.noise-research.org,2024-09-14,,,,,,,,,,,,
光传感器,敏感元件 + 信号放大器 + 数据采集电路,传感层、通信层、应用层,华为技术有限公司,集成式,华为技术,https://www.huawei.com,2024-09-14,,,,,,,,,,,,
近传感器,敏感元件 + 信号处理单元 + 通信模块,传感层、处理层、输出层,小米科技,模块式,小米技术,https://www.mi.com,2024-09-14,,,,,,,,,,,,
生物气体传感器,敏感元件 + 数据处理算法 + 无线传输模块,监测层、分析层、报告层,安信可科技,集成式,安信可科技,https://www.scienceX.com/news/2021-08-smart-biosensors-evolving-healthcare.html,2024-09-14,,,,,,,,,,,,
接触式温度传感器,敏感元件 + 转换电路 + 读数模块,物理层、处理层、显示层,飞利浦,混合式,飞利浦科技,https://www.philips.com,2024-09-14,,,,,,,,,,,,
磁传感器,敏感元件 + 处理电路 + 输出单元,传感层、处理层、监控层,英特尔,集成式,英特尔,https://www.intel.com,2024-09-14,,,,,,,,,,,,
水位传感器,敏感元件 + 信号调理电路 + 输出接口,采集层、传输层、显示层,水务科技,模块式,工程新闻,https://www.engineeringnews.co.za,2024-09-14,,,,,,,,,,,,
红外传感器,敏感元件 + 增强电路 + 通信接口,物理层、信号层、应用层,迈瑞医疗,集成式,迈瑞医疗,https://www.mindray.com,2024-09-14,,,,,,,,,,,,
负载传感器,敏感元件 + 信号调节电路 + 数据处理单元,采集层、处理层、输出层,中兴通讯,混合式,中兴科技,https://www.zte.com.cn,2024-09-14,,,,,,,,,,,,
挥发性有机物传感器,敏感元件 + 气体处理模块 + 无线传输系统,监测层、分析层、报警层,蓝思科技,模块式,蓝思科技,https://www.lansi.com,2024-09-14,,,,,,,,,,,,
超声波传感器,敏感元件 + 信号处理模块 + 数据输出单元,传感层、处理层、传输层,中联重科,集成式,中联重科,https://www.zoomlion.com,2024-09-14,,,,,,,,,,,,
温度-湿度传感器,敏感元件 + 转换电路 + 数据处理单元,感知层、传输层、应用层,华为技术,模块式,华为官网,https://www.huawei.com/cn/solutions/sensors,2024-09-14,,,,,,,,,,,,
酒精传感器,敏感元件 + 微处理器 + 通信模块,物理层、应用层、反馈层,博世,混合式,博世官网,https://www.bosch.com/innovation/sensors/,2024-09-14,,,,,,,,,,,,
心率传感器,敏感元件 + 信号调理 + 数据输出电路,采集层、处理层、数据层,苹果公司,集成式,苹果官网,https://www.apple.com/healthcare/sensors/,2024-09-14,,,,,,,,,,,,
土壤湿度传感器,敏感元件 + 数据转换器 + 输出接口,感知层、处理层、控制层,大疆科技,模块式,大疆官网,https://www.dji.com/cn/smart-farming,2024-09-14,,,,,,,,,,,,
距离传感器,敏感元件 + 信号调理 + 通信电路,物理层、计算层、输出层,恩智浦半导体,混合式,恩智浦官网,https://www.nxp.com/products/sensors,2024-09-14,,,,,,,,,,,,
电流传感器,敏感元件 + 数据调理 + 传输模块,测量层、处理层、输出层,通用电气,集成式,通用电气官网,https://www.ge.com/sensors,2024-09-14,,,,,,,,,,,,
声波传感器,敏感元件 + 放大电路 + 处理器,数据采集层、信号处理层、输出层,英特尔,模块式,英特尔官网,https://www.intel.com/content/www/us/en/focus/sensors.html,2024-09-14,,,,,,,,,,,,
激光传感器,敏感元件 + 处理模块 + 反馈电路,感知层、处理层、控制层,瑞士增益技术,集成式,增益官网,https://www.swissgain.com/sensors,2024-09-14,,,,,,,,,,,,
位移传感器,敏感元件 + 处理器 + 输出电路,信号采集层、处理层、控制层,斯伦贝谢,混合式,斯伦贝谢官网,https://www.slb.com/sensors,2024-09-14,,,,,,,,,,,,
磁场传感器,敏感元件 + 信号调理 + 输出接口,感知层、处理层、应用层,西门子,模块式,西门子官网,https://new.siemens.com/global/en/products/sensors.html,2024-09-14,,,,,,,,,,,,
红外传感器,敏感元件 + 信号调理电路 + 数据传输模块,感知层、传输层、应用层,嵌入式智能,集成式,智联科技,https://www.zhilian.com/tech/article/69728.html,2024-09-14,,,,,,,,,,,,
化学传感器,敏感元件 + 处理器 + 信号输出模块,检测层、分析层,环境监测科技,模块式,环境观察网,https://www.environmentwatch.com/news/12345.html,2024-09-14,,,,,,,,,,,,
光纤传感器,光纤传输线路 + 敏感元件 + 信号处理单元,传输层、处理层,光信号系统,混合式,中国科学院,https://www.cas.cn/tech/2023/05/01/technology.html,2024-09-14,,,,,,,,,,,,
雷达传感器,发射器 + 接收器 + 信号处理器,发射层、处理层、应用层,华为科技,集成式,华为研究所,https://www.huawei.com/cn/research/2023.html,2024-09-14,,,,,,,,,,,,
超声波传感器,敏感元件 + 转换器 + 控制电路,输入层、处理层、输出层,声学科技,模块式,现代声学,https://www.acoustics.cn/news/2023-release.html,2024-09-14,,,,,,,,,,,,
温湿度共用传感器,温度敏感元件 + 湿度敏感元件 + 控制模块,感知层、处理层,物联网时代,集成式,智能生活网,https://www.smartliving.cn/popular/2023.html,2024-09-14,,,,,,,,,,,,
水质传感器,敏感元件 + 处理模块 + 数据接口,监测层、数据层,水环境监测,混合式,水资源保护协会,https://www.waterprotection.org/tech/2023-04.html,2024-09-14,,,,,,,,,,,,
位移传感器,位置追踪元件 + 信号转换器,感知层、驱动层,精密仪器,模块式,仪器科学网,https://www.instrument.com/articles/2022.html,2024-09-14,,,,,,,,,,,,
光照传感器,光敏元件 + 信号处理电路,输入层、应用层,新能源科技,集成式,绿色能源,https://www.greenenergy.org/technology/2023-03.html,2024-09-14,,,,,,,,,,,,
位置传感器,敏感元件 + 数据传输模块,传感层、应用层,自动化系统,混合式,自动化新闻,https://www.automationnews.cn/industry/2023.html,2024-09-14,,,,,,,,,,,,
距离传感器,敏感元件 + 转换电路 + 接口模块,传感层、处理层、用户界面层,禾望科技,模块式,禾望科技,https://www.hgtech.com/,2024-09-14,,,,,,,,,,,,
红外传感器,敏感元件 + 信号处理电路,物理层、服务层、应用层,中兴通讯,集成式,中兴通讯,https://www.zte.com.cn/,2024-09-14,,,,,,,,,,,,
光纤传感器,敏感元件 + 光电转换器 + 信号调理电路,信号层、传输层、分析层,光明科技,混合式,光明科技,http://www.gmt.com/,2024-09-14,,,,,,,,,,,,
运动传感器,敏感元件 + 微处理器 + 输出电路,采集层、处理层、应用层,飞利浦,模块式,飞利浦,https://www.philips.com/,2024-09-14,,,,,,,,,,,,
磁场传感器,敏感元件 + 转换电路 + 接口电路,数据采集层、信号处理层,安森美半导体,集成式,安森美半导体,https://www.onsemi.com/,2024-09-14,,,,,,,,,,,,
水质传感器,敏感元件 + 微控制器 + 数据处理模块,感知层、网络层、应用层,海康威视,集成式,海康威视,https://www.hikvision.com/,2024-09-14,,,,,,,,,,,,
心率传感器,敏感元件 + 数据处理单元 + 输出接口,生理层、信号层、应用层,小米科技,模块式,小米科技,https://www.mi.com/,2024-09-14,,,,,,,,,,,,
智能手环传感器,敏感元件 + 通信模块 + 软件接口,采集层、分析层、应用层,华为,混合式,华为,https://www.huawei.com/,2024-09-14,,,,,,,,,,,,
烟雾传感器,敏感元件 + 信号调理电路 + 报警系统,检测层、处理层、报警层,施耐德电气,集成式,施耐德电气,https://www.se.com/,2024-09-14,,,,,,,,,,,,
血糖传感器,敏感元件 + 数据处理组件 + 无线传输模块,生物层、处理层、用户层,罗氏诊断,集成式,罗氏诊断,https://www.roche.com/,2024-09-14,,,,,,,,,,,,
光温传感器,敏感元件 + 转换器 + 接口电路,感知层、处理层、展示层,海尔智能,混合式,海尔集团,https://www.haier.com/cn/,2024-09-14,,,,,,,,,,,,
电流传感器,敏感元件 + 信号调理电路 + 存储模块,物理层、数据层、应用层,深圳芯链科技,模块式,芯链科技,http://www.chiplink.cn/,2024-09-14,,,,,,,,,,,,
水质传感器,敏感元件 + 微处理器 + 数据传输模块,监测层、分析层、报告层,环保科技有限公司,集成式,环保在线,https://www.epb.gov.cn/,2024-09-14,,,,,,,,,,,,
