传感器名称（字符型）,传感器类型（字符型）,标识符合（字符型）,传感器地址（字符型）,鲁棒性（字符型）,功能码（字符型）,数据类型（字符型）,接口协议（字符型）,平台协议（字符型）,采集来源,来源链接,采集时间,备注,,,,,,,
无线温度传感器,化学传感器,SS-013,/dev/smoke,高,4,数字,Zigbee,MQTT,家庭安全,https://www.homeadvisor.com/r/home-smoke-detector/,2024-09-14,,,,,,,,
旋转编码器,化学传感器,FS-016,/dev/smoke,中,1,模拟,I2C,MQTT,安全监测,https://www.tuya.com/cn/industry-details/Kan40tan9xc2d,2024-09-14,,,,,,,,
旋转传感器,化学传感器,FS-016,/dev/smoke,中,1,数字,I2C,MQTT,火灾预警系统,https://www.nfpa.org/,2024-09-14,,,,,,,,
压力传感器,气象传感器,CL-018,/dev/climate,高,,数字,UART,HTTP,气象监测,https://www.weather.gov/,2024-09-14,,,,,,,,
液体流量传感器,气象传感器,WM-015,/dev/weather,高,6,数字,I2C,MQTT,气象服务,https://www.weatherservices.com,2024-09-14,,,,,,,,
液位传感器,全球定位传感器,GPS-012,/dev/gps,高,3,数字,UART,HTTP,物流跟踪,https://www.gpsworld.com/,2024-09-14,,,,,,,,
运动捕捉传感器,生物传感器,GS-017,/dev/gait,中,6,数字,UART,HTTP,运动追踪,https://www.fitnessmonitor.com,2024-09-14,,,,,,,,
运动传感器,生物传感器,SpO2-015,/dev/spo2,高,16,数字,I2C,CoAP,医疗监测,https://www.oximeter.com/,2024-09-14,,,,,,,,
噪声传感器,生物传感器,ST-017,/dev/skin_temp,中,6,数字,I2C,MQTT,健康监测,https://www.healthmonitor.com/,2024-09-14,,,,,,,,
噪声级传感器,生物传感器,SK-016,/dev/skincare,中,6,模拟,UART,HTTP,美容健康,https://www.skincaretech.com,2024-09-14,,,,,,,,
噪声水平传感器,生物传感器,P-018,/dev/step,高,16,数字,BLE,MQTT,健康监测,https://www.health.com/,2024-09-14,,,,,,,,
噪声污染传感器,生物传感器,BP-015,/dev/pulse,高,6,模拟,SPI,HTTP,医疗设备,https://www.healthcaretechnologies.com,2024-09-14,,,,,,,,
噪音传感器,生物传感器,ES-015,/dev/eeg,高,16,模拟,SPI,CoAP,医疗监测,https://www.medicaldevices.com,2024-09-14,,,,,,,,
照明传感器,生物传感器,UA-016,/dev/urinalysis,中,16,数字,SPI,CoAP,医疗监测,https://www.medicalmonitoring.com,2024-09-14,,,,,,,,
振动传感器,生物传感器,CH-018,/dev/crop_health,高,16,数字,I2C,CoAP,农业监测,https://www.smartagriculture.com,2024-09-14,,,,,,,,
震动传感器,生物传感器,FD-017,/dev/fatigue_detection,高,3,数字,BLE,HTTP,智能交通,https://www.smarttraffic.com,2024-09-14,,,,,,,,
振动分析传感器,生物传感器,FR-016,/dev/facerecognition,高,15,数字,I2C,MQTT,安全监控,https://www.facialrecognitiontech.com,2024-09-14,,,,,,,,
帧速传感器,生物传感器,BT-017,/dev/human_temp,高,2,模拟,SPI,CoAP,医疗监测,https://www.who.int/,2024-09-14,,,,,,,,
智能灯光传感器,生物传感器,DO-019,/dev/dissolved_oxygen,高,3,模拟,I2C,MQTT,水质监测,https://www.waterquality.com/,2024-09-14,,,,,,,,
智能气象仪,生物传感器,BS-019,/dev/physiological,高,6,模拟,I2C,MQTT,健康管理,https://www.healthmonitoring.com,2024-09-14,,,,,,,,
智能水位传感器,生物传感器,BM-016,/dev/physiol,高,16,模拟,SPI,CoAP,医疗健康,https://www.healthcare.com,2024-09-14,,,,,,,,
智能停车传感器,生物传感器,BS-019,/dev/vital_signs,高,15,模拟,SPI,CoAP,医疗监测,https://www.healthtech.com,2024-09-14,,,,,,,,
智能温室传感器,生物传感器,SV-019,/dev/voiceprint,高,6,数字,I2C,CoAP,安防监控,https://www.securitymagazine.com/,2024-09-14,,,,,,,,
智能温湿度传感器,生物传感器,BS-008,/dev/bio,高,1,模拟,SPI,CoAP,医疗监测,https://www.iot101.com/mobile/news/785.html,2024-09-14,,,,,,,,
智能运动传感器,生物传感器,BR-014,/dev/bio_recognition,高,2,数字,SPI,CoAP,安全监控,https://www.biometricssecurity.com,2024-09-14,,,,,,,,
转速传感器,生物传感器,BR-016,/dev/biometrics,高,3,数字,I2C,MQTT,安防系统,https://www.securitytech.com/,2024-09-14,,,,,,,,
姿态传感器,生物传感器,BR-015,/dev/bio_recog,高,15,模拟,I2C,MQTT,安全监控,https://www.securitytech.com/biometrics,2024-09-14,,,,,,,,
紫外线传感器,生物传感器,BR-018,/dev/bioid,高,5,模拟,UART,CoAP,智能识别,https://www.biometrics.com/,2024-09-14,,,,,,,,
NFC传感器,生物传感器,DB-018,/dev/diabetes,高,3,数字,UART,HTTP,医疗监测,https://www.healthcare.com,2024-09-14,,,,,,,,
动静态传感器,生物传感器,SS-014,/dev/soil,高,3,模拟,SPI,CoAP,农业监测,https://www.agriculture.com/,2024-09-14,,,,,,,,
