评价方式（字符型）,评价单位（字符型）,评价日期（字符型）,评价报告编号（字符型）,采集来源,来源链接,采集时间,备注,,,,,,,,,,,,
量子计算机功耗,瓦特,2023-10-05,POWER-2023-009,可持续科技杂志,http://www.sustainabletechjournal.com,2024-10-21,,,,,,,,,,,,,
量子信息处理错误率,%,2023-04-15,ERROR-2023-010,新科学家,http://www.newscientist.com,2024-10-21,,,,,,,,,,,,,
量子纠缠度,个,2023-09-15,ENTANGLE-2023-001,量子科技日报,http://www.quantumdaily.cn,2024-10-21,,,,,,,,,,,,,
量子计算速度,FLOPS,2023-08-30,QCSPEED-2023-002,国际量子计算论坛,http://www.iqcf.org,2024-10-21,,,,,,,,,,,,,
量子密钥分发成功率,%,2023-07-05,QKD-2023-003,科学技术部,http://www.most.gov.cn,2024-10-21,,,,,,,,,,,,,
量子传输延迟,毫秒,2022-12-10,QUANTUM-2022-004,中国科学院,http://www.cas.cn,2024-10-21,,,,,,,,,,,,,
量子存储容量,TB,2023-10-20,QSTORE-2023-005,物理评论,http://www.physreview.com,2024-10-21,,,,,,,,,,,,,
量子算法优化效率,%,2023-01-25,ALGO-2023-006,中国计算机学会,http://www.ccf.org.cn,2024-10-21,,,,,,,,,,,,,
量子抗干扰能力,%,2022-09-15,RESILIENCE-2022-007,《量子通信》杂志,http://www.quantumcommunication.com,2024-10-21,,,,,,,,,,,,,
量子网络覆盖范围,平方公里,2023-11-02,QNCOVER-2023-008,网络安全研究中心,http://www.cybersecurity.org.cn,2024-10-21,,,,,,,,,,,,,
量子计算资源共享量,个体,2023-04-12,SHARE-2023-009,量子合作网络,http://www.qnetwork.org,2024-10-21,,,,,,,,,,,,,
量子网络延迟,毫秒,2022-10-08,QNETDELAY-2022-010,全球量子研究联盟,http://www.qrealliance.org,2024-10-21,,,,,,,,,,,,,
量子计算效率,%,2023-08-15,EFFIC-2023-008,量子计算世界,https://www.quantumworld.com,2024-10-21,,,,,,,,,,,,,
量子通信协议测试,个,2023-07-05,QCPROTOCOL-2023-009,中国通信网,http://www.ctwn.com.cn,2024-10-21,,,,,,,,,,,,,
量子密钥分发成功率,%,2022-12-01,QKD-2022-010,国际信息安全杂志,https://www.internetsafetyjournal.com,2024-10-21,,,,,,,,,,,,,
量子计算芯片能耗,瓦特,2023-03-12,POWER-2023-011,电子技术应用,http://www.elecfans.com,2024-10-21,,,,,,,,,,,,,
量子误差纠正能力,%,2023-09-25,ECC-2023-012,科学杂志,https://www.sciencemag.org,2024-10-21,,,,,,,,,,,,,
量子算法执行时间,秒,2023-05-22,ALGO-2023-013,量子前沿,https://www.quantumfrontiers.com,2024-10-21,,,,,,,,,,,,,
量子比特保真度,%,2023-06-30,FIDELITY-2023-014,国家自然科学基金,https://www.nsfc.gov.cn,2024-10-21,,,,,,,,,,,,,
量子研讨会参与人数,人,2022-10-10,SEMINAR-2022-015,中国量子学会,http://www.quantumsociety.cn,2024-10-21,,,,,,,,,,,,,
量子计算资源可用性,%,2023-11-15,RESOURCES-2023-016,技术前沿,https://www.techfrontiers.com,2024-10-21,,,,,,,,,,,,,
量子网络连接稳定性,小时,2023-02-28,STABILITY-2023-017,量子通信周刊,http://www.qcweekly.com,2024-10-21,,,,,,,,,,,,,
量子计算能力,个量子比特,2023-07-20,QCAP-2023-008,量子科技日报,http://www.quantumtechdaily.com,2024-10-21,,,,,,,,,,,,,
量子抗干扰能力,%,2023-08-05,QINTER-2023-009,科技前沿,http://www.techfrontier.cn,2024-10-21,,,,,,,,,,,,,
量子资源优化率,%,2023-09-01,QOPT-2023-010,国际量子技术论坛,http://www.iqtf.org,2024-10-21,,,,,,,,,,,,,
量子加密技术评分,分,2023-06-15,QCRYPT-2023-011,网络安全周刊,http://www.cybersecurityweekly.com,2024-10-21,,,,,,,,,,,,,
量子算法效率,指令数,2023-10-12,QAEFF-2023-012,人工智能研究中心,http://www.ai-research.org,2024-10-21,,,,,,,,,,,,,
量子信号噪声比,dB,2023-07-30,QSNR-2023-013,量子通信实验室,http://www.quantumcomm-lab.cn,2024-10-21,,,,,,,,,,,,,
量子传输延迟,微秒,2023-09-25,QTRAN-2023-014,现代信息技术,http://www.moderninfotech.com,2024-10-21,,,,,,,,,,,,,
量子液体冷却效率,%,2023-08-18,QLIQ-2023-015,科学技术会议,http://www.sciencetechconf.org,2024-10-21,,,,,,,,,,,,,
量子态制备时间,毫秒,2023-10-05,QPREP-2023-016,量子计算研究院,http://www.quantumresearchinst.cn,2024-10-21,,,,,,,,,,,,,
量子计算错误率,%,2023-09-15,QERROR-2023-017,量子信息技术评论,http://www.qtreview.com,2024-10-21,,,,,,,,,,,,,
量子纠缠测试,个,2023-07-15,ENTANGLE-2023-001,量子科技前沿,http://www.quantumtechfrontier.com,2024-10-21,,,,,,,,,,,,,
量子算法效率,%,2023-08-05,ALGO-2023-002,科技日报,http://www.stdaily.com,2024-10-21,,,,,,,,,,,,,
量子传输距离,公里,2023-09-01,TRANS-2023-003,物理学杂志,http://www.journalofphysics.com,2024-10-21,,,,,,,,,,,,,
量子硬件稳定性,%,2023-09-10,HARDWARE-2023-004,中央电视台,http://www.cctv.com,2024-10-21,,,,,,,,,,,,,
量子网络延迟,微秒,2023-09-20,LATENCY-2023-005,电子竞技日报,http://www.egdaily.com,2024-10-21,,,,,,,,,,,,,
量子12级安全标准,级,2023-10-01,SECURITY-2023-006,网络安全杂志,http://www.cybersecuritymagazine.com,2024-10-21,,,,,,,,,,,,,
量子计算规模,个量子比特,2022-11-30,QBSCALE-2022-007,科学美国人,http://www.scientificamerican.com,2024-10-21,,,,,,,,,,,,,
量子阈值性能,%,2023-10-10,THRESHOLD-2023-008,量子信息论坛,http://www.quantumforum.com,2024-10-21,,,,,,,,,,,,,
量子模拟精度,%,2023-10-15,SIMULATION-2023-009,自然科学杂志,http://www.nature.com,2024-10-21,,,,,,,,,,,,,
量子计算机耗电量,瓦特,2023-10-20,POWER-2023-010,绿色科技,http://www.greentech.com,2024-10-21,,,,,,,,,,,,,
量子密钥分发能力,个,2023-07-15,QKD-2023-008,量子通讯国际,http://www.qci.com/articles/2023/qkd,2024-10-21,,,,,,,,,,,,,
量子计算机运算速度,比特/秒,2022-11-01,QC-SPEED-2022-009,科学技术部,http://www.most.gov.cn/news/2022/2022-qc,2024-10-21,,,,,,,,,,,,,
量子纠缠粒子数,对,2022-09-10,ENTANGLE-2022-010,中国物理学会,https://www.cps.edu.cn/2022-entanglement,2024-10-21,,,,,,,,,,,,,
量子计算能耗,瓦特,2023-03-22,QC-POWER-2023-011,科技日报,http://www.stdaily.com/news/2023/qc_power,2024-10-21,,,,,,,,,,,,,
量子记忆持久性,小时,2023-01-30,QMEM-2023-012,Nature期刊,https://www.nature.com/articles/nature2023-memory,2024-10-21,,,,,,,,,,,,,
量子算法性能评级,分,2021-12-20,QALGO-2021-013,MIT科技评论,https://www.technologyreview.com/2021/quantum-algorithm,2024-10-21,,,,,,,,,,,,,
量子网络稳定性, %,2022-08-12,QNET-STABILITY-2022-014,量子计算前沿,http://www.qcomfront.com/topics/network_stability,2024-10-21,,,,,,,,,,,,,
量子态复原精度, % ,2023-04-25,STATE-RESTORE-2023-015,量子前沿技术,http://www.qft.com/news/state_restore,2024-10-21,,,,,,,,,,,,,
量子机器学习应用案例,个,2023-02-18,QML-2023-016,IEEE量子计算期刊,https://ieeexplore.ieee.org/document/2023-qml,2024-10-21,,,,,,,,,,,,,
量子通信速率,Gbps,2023-06-05,QCOMM-2023-017,量子科技研究中心,http://www.qsrc.org/research/2023-quantum-communication,2024-10-21,,,,,,,,,,,,,
量子态保真度,%,2023-07-22,FIDELITY-2023-001,量子科技日报,http://www.quantumdaily.com,2024-10-21,,,,,,,,,,,,,
量子算法效率,倍,2023-08-10,ALGORITHM-2023-002,科学进展,http://www.scienceprogress.com,2024-10-21,,,,,,,,,,,,,
量子通信安全性,比特,2023-05-05,SECURITY-2023-003,网络安全观察,http://www.securitywatch.com,2024-10-21,,,,,,,,,,,,,
集成电路适配性,个,2023-09-12,ICADAPT-2023-004,半导体周刊,http://www.semiconductormag.com,2024-10-21,,,,,,,,,,,,,
量子网络带宽,Gbps,2023-02-28,BANDWIDTH-2023-005,通迅研究,http://www.comresearch.com,2024-10-21,,,,,,,,,,,,,
量子纠缠维护周期,秒,2023-03-15,ENTANGLING-2023-006,新科技联盟,http://www.newtechnology.org,2024-10-21,,,,,,,,,,,,,
量子计算综合评分,分,2022-12-10,QCOMP-2022-007,量子计算中心,http://www.qc-center.com,2024-10-21,,,,,,,,,,,,,
量子信号传输延迟,微秒,2022-09-25,SIGNAL-2022-008,全球量子网络,http://www.globalquantumnetwork.com,2024-10-21,,,,,,,,,,,,,
量子错误纠正率,%,2021-11-20,QEC-2021-009,未来科技,http://www.futuretech.com,2024-10-21,,,,,,,,,,,,,
量子处理器功耗,瓦特,2023-01-30,POWER-2023-010,能源研究库,http://www.energyresearch.com,2024-10-21,,,,,,,,,,,,,
量子误差纠正,个,2023-07-01,QEC-2023-008,量子星期刊,http://www.quantumweekly.com,2024-10-21,,,,,,,,,,,,,
量子算法效率,%,2023-07-15,QAE-2023-009,计算机科学评论,http://www.csreview.com,2024-10-21,,,,,,,,,,,,,
量子计算机数量,台,2023-08-10,QCNUM-2023-010,科技发展报告,http://www.scitechreport.com,2024-10-21,,,,,,,,,,,,,
量子芯片尺寸,纳米,2023-09-05,QCSIZE-2023-011,半导体技术协会,http://www.siaonline.org,2024-10-21,,,,,,,,,,,,,
量子密码学标准,个,2023-09-20,QCS-2023-012,国际电信联盟,http://www.itu.int,2024-10-21,,,,,,,,,,,,,
量子互联网节点数量,个,2023-10-01,QINODE-2023-013,量子网络论坛,http://www.quantumnetworksforum.com,2024-10-21,,,,,,,,,,,,,
量子技术投资额,亿美元,2023-10-15,QTINVEST-2023-014,全球投资报告,http://www.globalinvestmentreport.com,2024-10-21,,,,,,,,,,,,,
量子态制备成功率,%,2023-11-01,QPREP-2023-015,物理学前沿,http://www.frontiersinphysics.com,2024-10-21,,,,,,,,,,,,,
量子抗干扰能力,秒,2023-11-10,QRESIST-2023-016,量子抗干扰研究所,http://www.qrri.org,2024-10-21,,,,,,,,,,,,,
量子汇聚节能率,%,2023-11-20,QENERGY-2023-017,绿色能源科技,http://www.greenenergytech.com,2024-10-21,,,,,,,,,,,,,
量子安全通信能力,个,2023-07-15,QSEC-2023-008,量子科技网,http://www.quantum-tech.cn/,2024-10-21,,,,,,,,,,,,,
量子算法性能评估,次,2023-06-20,QALG-2023-009,科学日报,http://www.sciencenews.cn/,2024-10-21,,,,,,,,,,,,,
量子纠缠度量,%,2022-12-05,ENTANGLE-2022-010,量子通讯研究所,http://www.qcrresearch.org/,2024-10-21,,,,,,,,,,,,,
量子状态重建精度,个,2023-05-10,STATE-2023-011,物理学报,http://www.physica.cn/,2024-10-21,,,,,,,,,,,,,
量子计算机规模,量子比特数目,2023-08-01,QCOMP-2023-012,高能物理,http://www.hep.cn/,2024-10-21,,,,,,,,,,,,,
量子信息传输速度,公里/秒,2023-03-22,QTRANS-2023-013,中国计算机学会,http://www.ccf.org.cn/,2024-10-21,,,,,,,,,,,,,
量子系统错误率,%,2022-11-18,ERROR-2022-014,IEEE Xplore,http://ieeexplore.ieee.org/,2024-10-21,,,,,,,,,,,,,
量子模拟效率,维度,2023-04-30,QSIM-2023-015,自然科学论坛,http://www.natureforum.cn/,2024-10-21,,,,,,,,,,,,,
量子激光精度,赫兹,2023-09-05,QLASER-2023-016,光学工程,http://www.opticalengineering.cn/,2024-10-21,,,,,,,,,,,,,
量子计算算法开发进展,项,2023-10-12,QDEV-2023-017,计算机世界,http://www.ccw.net.cn/,2024-10-21,,,,,,,,,,,,,
量子纠缠检测,个,2022-11-05,ENTANGLE-2022-008,科学美国人,https://www.scientificamerican.com/,2024-10-21,,,,,,,,,,,,,
量子计算机稳定性,%,2023-01-20,STABILITY-2023-009,科技日报,https://www.stdaily.com/,2024-10-21,,,,,,,,,,,,,
量子信息安全性评分,分,2023-07-15,SECURITY-2023-010,国际信息通讯,http://www.iiotnews.com/,2024-10-21,,,,,,,,,,,,,
量子算法运行效率,次/秒,2023-02-28,ALGORITHM-2023-011,清华大学研究院,https://www.tsinghua.edu.cn/,2024-10-21,,,,,,,,,,,,,
量子网络延迟,毫秒,2022-06-30,DELAY-2022-012,电子前沿网,https://www.electronicfrontierfoundation.org/,2024-10-21,,,,,,,,,,,,,
量子存储器容量,个量子比特,2023-03-12,STORAGE_CAPACITY-2023-013,自然科学杂志,https://www.nature.com/,2024-10-21,,,,,,,,,,,,,
量子密钥分配速率,KB/秒,2022-09-18,QKD_RATE-2022-014,钱学森科技研究院,http://www.qxstm.org/,2024-10-21,,,,,,,,,,,,,
量子计算机能源消耗,KW,2023-08-07,ENERGY-2023-015,能源科技与环保,https://www.economicscience.com/,2024-10-21,,,,,,,,,,,,,
量子传感器灵敏度,Hz,2022-10-25,SENSITIVITY-2022-016,前沿科技,http://www.frontiersci.com/,2024-10-21,,,,,,,,,,,,,
量子博弈策略有效性,%,2023-04-14,GAME_STRATEGY-2023-017,国际量子信息协会,http://www.iqia.org/,2024-10-21,,,,,,,,,,,,,
量子计算算法效率,次/秒,2022-03-09,ALGO-2022-008,量子计算研究院,http://www.quantumresearch.org,2024-10-21,,,,,,,,,,,,,
量子纠缠度,%,2023-02-22,ENTANGLE-2023-009,国际量子科技期刊,https://www.intlqtjournal.org,2024-10-21,,,,,,,,,,,,,
量子门保真度,%,2022-09-11,FIDELITY-2022-010,物理学报,http://www.physrev.cn,2024-10-21,,,,,,,,,,,,,
量子通道容量,比特,2023-07-14,CHANNEL-2023-011,科技日报,http://www.stdaily.com,2024-10-21,,,,,,,,,,,,,
量子计算机峰值计算能力,浮点运算次数,2023-01-28,PEAK-2023-012,新华网,http://www.xinhuanet.com,2024-10-21,,,,,,,,,,,,,
量子密钥分发距离,公里,2023-08-19,QKD-2023-013,中国科学技术协会,http://www.cast.org.cn,2024-10-21,,,,,,,,,,,,,
量子态重构精度,%,2023-05-06,RECONSTRUCT-2023-014,量子物理学论坛,http://www.qphilosophyforum.cn,2024-10-21,,,,,,,,,,,,,
量子算法并行度,任务数,2023-04-30,PARALLEL-2023-015,量子信息技术协会,http://www.qitassociation.cn,2024-10-21,,,,,,,,,,,,,
量子态保持时间,毫秒,2023-10-01,COHERENCE-2023-016,物理学研究网络,http://www.physresnet.org,2024-10-21,,,,,,,,,,,,,
量子通信系统稳定性,小时,2023-09-15,STABILITY-2023-017,量子科技创新中心,http://www.qinnovation.cn,2024-10-21,,,,,,,,,,,,,
量子纠缠生成效率,%,2022-10-15,ENTANGLE-2022-008,量子科技通讯,http://www.quantumtechnews.com,2024-10-21,,,,,,,,,,,,,
量子相干时间,微秒,2023-07-25,COHERENCE-2023-009,科学日报,http://www.sciencedaily.com,2024-10-21,,,,,,,,,,,,,
量子计算机逻辑深度,层级,2023-01-12,LOGDEPTH-2023-010,国际量子计算研究中心,http://www.iqcrc.org,2024-10-21,,,,,,,,,,,,,
量子密钥分发通道数,个,2023-09-05,QKDCHANNEL-2023-011,信息安全杂志,http://www.infosecjournal.com,2024-10-21,,,,,,,,,,,,,
量子硬件集成度,%,2024-03-08,HWINTEGRATE-2024-012,量子工程期刊,http://www.quantumengineeringjournal.com,2024-10-21,,,,,,,,,,,,,
特定量子算法成功率,%,2024-02-21,ALGOEVAL-2024-013,计算机科学协会,http://www.acm.org,2024-10-21,,,,,,,,,,,,,
量子态保真度,%,2022-12-30,FIDELITY-2022-014,量子信息研究所,http://www.qi-research.org,2024-10-21,,,,,,,,,,,,,
量子资源消耗,J,2023-04-18,RESOURCE-2023-015,绿色科技论坛,http://www.greentechforum.com,2024-10-21,,,,,,,,,,,,,
量子态转移时间,微秒,2023-11-12,STATETRANSFER-2023-016,自然物理,http://www.nature.com/nphys,2024-10-21,,,,,,,,,,,,,
量子纠缠实验成功率,%,2022-09-15,ENTANGLE-2022-008,量子科技前沿,http://www.quantumfrontier.cn/,2024-10-21,,,,,,,,,,,,,
量子计算机峰值性能,FLOPS,2023-03-01,QCPERF-2023-009,科技日报,http://www.stdaily.com/,2024-10-21,,,,,,,,,,,,,
量子密钥分发安全性评估,%,2023-07-22,QKD-2023-010,中国电子学会,https://www.cecis.org.cn/,2024-10-21,,,,,,,,,,,,,
量子算法优化测试,次,2023-08-13,OPTIMIZE-2023-011,国际量子计算大会,http://www.iqcc.org/,2024-10-21,,,,,,,,,,,,,
量子态重构精度,%,2022-12-10,RECOVER-2022-012,华南理工大学,http://www.scut.edu.cn/,2024-10-21,,,,,,,,,,,,,
量子通信传输距离,公里,2023-04-05,DISTANCE-2023-013,物理学报,http://www.cpt.science.org/,2024-10-21,,,,,,,,,,,,,
量子计算资源分配效率,%,2023-06-18,RESOURCE-2023-014,量子计算研究中心,https://www.qcrc.org/,2024-10-21,,,,,,,,,,,,,
量子算法复杂度评估,O(n),2023-02-20,COMPLEXITY-2023-015,全球量子中心,http://www.globalquantumcenter.org/,2024-10-21,,,,,,,,,,,,,
量子通道保真度,%,2022-11-05,FIDELITY-2022-016,量子信息网络联合实验室,http://www.qinlab.org/,2024-10-21,,,,,,,,,,,,,
量子存储稳定性,小时,2023-09-30,STABILITY-2023-017,中国科学院量子信息研究所,http://www. квнс .cn/,2024-10-21,,,,,,,,,,,,,
量子纠缠度,%,2023-09-01,ENT-2023-001,量子科技前沿,https://www.quantumfrontier.org,2024-10-21,,,,,,,,,,,,,
量子算法效率,次,2023-10-05,ALGO-2023-002,信息技术与应用,https://www.techapp.org,2024-10-21,,,,,,,,,,,,,
误差率,%,2023-08-15,ERR-2023-003,中国物理学报,https://www.cps.org.cn,2024-10-21,,,,,,,,,,,,,
量子位存储时间,毫秒,2023-07-22,STORETIME-2023-004,电子科学技术,https://www.electronicsci.tech,2024-10-21,,,,,,,,,,,,,
复杂问题求解能力,个,2023-04-18,CPSOL-2023-005,国际量子计算大会,https://www.quantumconf.org,2024-10-21,,,,,,,,,,,,,
量子网络覆盖率,平方公里,2023-06-30,QNCOVER-2023-006,国家通信网络,https://www.ncn.gov.cn,2024-10-21,,,,,,,,,,,,,
量子密钥分发速率,千比特/秒,2023-08-10,QKD-2023-007,中国网络安全杂志,https://www.chinacybersecurity.com,2024-10-21,,,,,,,,,,,,,
集成光子学损耗,dB,2023-07-05,PHOTONIC-2023-008,光子技术国际论坛,https://www.photonictechforum.com,2024-10-21,,,,,,,,,,,,,
量子纠缠研究论文数量,篇,2023-03-01,RESEARCH-2023-009,量子通信研究院,https://www.quantumresearch.cn,2024-10-21,,,,,,,,,,,,,
抗噪声能力,%,2023-05-20,NOISE-2023-010,应用量子信息期刊,https://www.appquantuminfo.com,2024-10-21,,,,,,,,,,,,,
量子纠缠度,个,2022-01-15,ENTANGLE-2022-001,量子科技前沿,http://www.quantumtechfrontier.com,2024-10-21,,,,,,,,,,,,,
量子计算性能,FLOPS,2022-03-21,QCPERF-2022-002,科技日报,http://www.stdaily.com,2024-10-21,,,,,,,,,,,,,
量子安全通信评估,个,2023-08-05,QSEC-2023-003,计算机安全,http://www.csec.com,2024-10-21,,,,,,,,,,,,,
量子算法效率,%,2023-09-12,ALGO-2023-004,人工智能周刊,http://www.aimagazine.com,2024-10-21,,,,,,,,,,,,,
量子芯片稳定性,小时,2023-10-02,QCSTAB-2023-005,微电子科技,http://www.microelectronics.com,2024-10-21,,,,,,,,,,,,,
量子遥控技术成熟度,%,2022-12-25,QCREMOTE-2022-006,电信世界,http://www.telecomworld.com,2024-10-21,,,,,,,,,,,,,
量子算法创新数量,个,2023-11-18,ALGOINNO-2023-007,清华科技,http://www.tsinghuatech.com,2024-10-21,,,,,,,,,,,,,
量子网络拓扑优化,个,2023-03-05,QTPOPT-2023-008,量子通信,http://www.quantumcommunication.com,2024-10-21,,,,,,,,,,,,,
量子误差修正效率,小时,2022-04-30,QEC-2022-009,科学技术发展,http://www.sciencedevelopment.com,2024-10-21,,,,,,,,,,,,,
量子干涉实验成功率,%,2023-05-19,QINTERF-2023-010,物理学报,http://www.journalofphysics.com,2024-10-21,,,,,,,,,,,,,
量子密钥分发效率,Mbps,2023-09-05,QKD-2023-008,量子通信杂志,https://www.quantumcommjournal.com,2024-10-21,,,,,,,,,,,,,
量子算法执行时间,秒,2023-10-10,QALG-2023-009,计算机科学技术网,http://www.cstnet.cn,2024-10-21,,,,,,,,,,,,,
量子纠缠比率,%,2022-12-15,ENT-2022-010,科学日报,http://www.sciencenews.cn,2024-10-21,,,,,,,,,,,,,
量子比特稳定性,小时,2023-03-18,QBS-2023-011,量子世界,http://www.quantumworld.com,2024-10-21,,,,,,,,,,,,,
量子计算机处理能力,FLOPS,2022-07-30,QP-2022-012,未来科技,http://www.futuretechnology.com,2024-10-21,,,,,,,,,,,,,
量子信道损耗,dB/km,2023-01-22,QCHANNEL-2023-013,国际量子信息协会,http://www.iqia.net,2024-10-21,,,,,,,,,,,,,
量子隧穿效率,%,2022-05-11,TUNNEL-2022-014,现代物理学报,http://www.modernphysicsjournal.com,2024-10-21,,,,,,,,,,,,,
量子设备集成度,%,2023-08-28,QDEV-2023-015,电子科技大学,http://www.uestc.edu.cn,2024-10-21,,,,,,,,,,,,,
量子网络延迟,毫秒,2023-02-17,QNET-2023-016,信息与通信工程杂志,http://www.icjournal.com,2024-10-21,,,,,,,,,,,,,
量子测量不确定性,量子单位,2022-06-06,UNCERT-2022-017,量子资讯网,http://www.quantumnetwork.com,2024-10-21,,,,,,,,,,,,,
量子算法效率,次,2022-01-15,ALGO-2022-001,量子计算杂志,http://www.quantumcomputingjournal.com,2024-10-21,,,,,,,,,,,,,
量子态保真度,%,2023-02-18,FIDELITY-2023-002,自然科学周刊,http://www.nature.com/scienceweekly,2024-10-21,,,,,,,,,,,,,
量子通信容量,比特/秒,2023-07-21,QCAPACITY-2023-003,量子信息发展中心,http://www.qidc.org,2024-10-21,,,,,,,,,,,,,
量子噪声特性,db,2022-09-30,NOISE-2022-004,信息技术研究所,http://www.itr.ac.cn,2024-10-21,,,,,,,,,,,,,
量子网络拓扑结构,个节点,2022-11-05,NETTOPOLOGY-2022-005,中国科学院,http://www.cas.cn,2024-10-21,,,,,,,,,,,,,
量子芯片散热性能,℃,2023-03-10,CHIPHEAT-2023-006,电子科技大学,http://www.ustc.edu.cn,2024-10-21,,,,,,,,,,,,,
量子抗干扰能力,%,2023-01-25,RESILIENCE-2023-007,现代物理学报,http://www.modernphysics.org,2024-10-21,,,,,,,,,,,,,
量子计算机数量,台,2023-08-14,QCOMPS-2023-008,量子通讯与计算联合会,http://www.qccuj.org,2024-10-21,,,,,,,,,,,,,
量子纠缠距离,公里,2023-05-15,ENTANGLE-2023-009,中国量子科技论坛,http://www.quantumforum.cn,2024-10-21,,,,,,,,,,,,,
量子存储器容量,GB,2022-12-22,STORAGECAP-2022-010,计算机科学期刊,http://www.compscijournal.org,2024-10-21,,,,,,,,,,,,,
量子计算效率,次/秒,2023-07-12,QCE-2023-008,量子计算杂志,http://www.quantumcomputingjournal.com,2024-10-21,,,,,,,,,,,,,
量子纠缠时间,秒,2023-08-25,ENTANGLE-2023-009,新科学家,https://www.newscientist.com,2024-10-21,,,,,,,,,,,,,
量子点制备成功率,%,2023-09-05,QD-2023-010,中国科技日报,http://www.stdaily.com,2024-10-21,,,,,,,,,,,,,
量子算法执行时间,微秒,2023-09-21,ALGO-2023-011,量子科技最新研究,http://www.quantumtechresearch.org,2024-10-21,,,,,,,,,,,,,
量子网络拓扑评估,个,2023-10-10,NET-2023-012,国际量子通信委员会,http://www.iqcc.org,2024-10-21,,,,,,,,,,,,,
量子搜索算法效果,%,2023-06-05,SEARCH-2023-013,Computer Science Review,https://www.computersciencereview.com,2024-10-21,,,,,,,,,,,,,
量子噪声抑制技术,分贝,2023-01-15,NOISE-2023-014,量子物理学论坛,http://www.quantumphysicsforum.com,2024-10-21,,,,,,,,,,,,,
量子存取速率,Gbps,2023-11-01,ACCESS-2023-015,中国电子科技集团,http://www.cetc.com.cn,2024-10-21,,,,,,,,,,,,,
量子计算机体积,立方米,2023-05-20,SIZE-2023-016,科学美国人,https://www.scientificamerican.com,2024-10-21,,,,,,,,,,,,,
量子态保真度,%,2023-08-30,FIDELITY-2023-017,前沿科技杂志,http://www.frontierscientificjournal.com,2024-10-21,,,,,,,,,,,,,
量子比特数目,个,2022-01-15,QBT-2022-001,量子时报,http://www.quantumtimes.com,2024-10-21,,,,,,,,,,,,,
量子纠缠深度,个,2022-03-27,ENT-2022-002,量子技术论坛,http://www.quantumforum.com,2024-10-21,,,,,,,,,,,,,
容错率,%,2023-07-22,FT-2023-003,中国科学院,http://www.cas.cn,2024-10-21,,,,,,,,,,,,,
量子算法效率,次/秒,2023-09-10,QAE-2023-004,IEEE量子计算期刊,http://www.ieee.org/quantum-computing,2024-10-21,,,,,,,,,,,,,
量子系统稳定性,小时,2023-08-05,QSSTAB-2023-005,科技日报,http://www.stdaily.com,2024-10-21,,,,,,,,,,,,,
量子通信延迟,毫秒,2023-10-12,QCD-2023-006,光子通讯杂志,http://www.photonics.com,2024-10-21,,,,,,,,,,,,,
量子密钥分发量,Mbit,2023-11-01,QKD-2023-007,网络安全周刊,http://www.cybersecurityweekly.com,2024-10-21,,,,,,,,,,,,,
量子算法复杂度,量级,2022-12-14,QCPL-2022-008,国际计算机协会,http://www.icca.org,2024-10-21,,,,,,,,,,,,,
量子传感器精度,ppm,2023-09-30,QSP-2023-009,量子技术前沿,http://www.quantumtechfrontier.com,2024-10-21,,,,,,,,,,,,,
量子计算功耗,瓦特,2023-10-20,QCPOW-2023-010,能源科技国际,http://www.energytechinternational.com,2024-10-21,,,,,,,,,,,,,
量子算法优化,次,2023-07-01,ALGO-2023-008,量子技术前沿,http://www.quantumtechfrontier.com,2024-10-21,,,,,,,,,,,,,
量子通信保密性,%,2023-08-15,SECURE-2023-009,网络安全观察,http://www.cybersecuritywatch.com,2024-10-21,,,,,,,,,,,,,
纠缠粒子数量,个,2023-09-10,ENTANGLE-2023-010,物理评论,http://www.physrev.com,2024-10-21,,,,,,,,,,,,,
量子干涉实验数量,个,2023-09-20,INTERFERE-2023-011,科学时报,http://www.sciencetimes.com,2024-10-21,,,,,,,,,,,,,
量子计算机计算能力,FLOPS,2023-09-25,CALC-2023-012,计算机世界,http://www.computerworld.com,2024-10-21,,,,,,,,,,,,,
量子电路复杂度,层,2023-10-05,CIRCUIT-2023-013,电子信息世纪,http://www.electronicinfoworld.com,2024-10-21,,,,,,,,,,,,,
量子态制备准确率,%,2023-10-12,PREP-2023-014,量子信息与技术,http://www.qitjournal.com,2024-10-21,,,,,,,,,,,,,
量子纠错效果,%,2023-10-15,ERROR-2023-015,前沿物理研究,http://www.frontphysresearch.com,2024-10-21,,,,,,,,,,,,,
量子算法开发时长,小时,2023-10-20,DEV-2023-016,科技创新观察,http://www.techinnovationwatch.com,2024-10-21,,,,,,,,,,,,,
量子网络稳定性,天,2023-10-25,NETSTABILITY-2023-017,国际量子网,http://www.internationalquantumnet.com,2024-10-21,,,,,,,,,,,,,
量子比特数目,个,2023-03-12,QBT-2023-008,IEEE量子社区,https://quantum.ieee.org,2024-10-21,,,,,,,,,,,,,
门操作速度,纳秒,2023-07-25,GATE-2023-009,科技日报,http://www.stardaily.com,2024-10-21,,,,,,,,,,,,,
测量速度,纳秒,2023-08-05,MEASURE-2023-010,量子计算评论,https://quantumreview.com,2024-10-21,,,,,,,,,,,,,
量子网络稳定性,个,2023-09-15,QNET-2023-011,国际量子论坛,https://www.quantumforum.org,2024-10-21,,,,,,,,,,,,,
量子存储效能,%,2023-10-01,STORAGE-2023-012,科学新闻,https://www.sciencenews.com,2024-10-21,,,,,,,,,,,,,
