产品名称,企业名称,主轴转速,X行程,XYZ定位精度,XYZ重复定位精度,AC定位精度,AC重复定位精度,采集来源,来源链接,采集时间,备注,,,,,,,,
数控转塔铣床,长沙机床机械制造有限公司,8000,900,±0.018 mm,±0.009 mm,±0.021 mm,±0.011 mm,湖南省行业协会,https://www.hnjxh.gov.cn,2024-09-20,,,,,,,,,
精密激光切割设备,江西激光科技有限公司,11000,1600,±0.009 mm,±0.004 mm,±0.017 mm,±0.007 mm,江西省科技厅,https://www.jxst.gov.cn,2024-09-20,,,,,,,,,
数控开料机,沈阳开料设备制造公司,7000,1300,±0.02 mm,±0.01 mm,±0.03 mm,±0.015 mm,辽宁省工业和信息化厅,https://www.lnxi.gov.cn,2024-09-20,,,,,,,,,
数控铣床,深圳精密工具有限公司,15000,900,±0.008,±0.004,±0.018,±0.009,中国数字化装备协会,https://www.cdcm.org.cn,2024-09-20,,,,,,,,,
数控车床,武汉机床制造有限公司,7000,1200,±0.015,±0.006,±0.028,±0.014,行业市场调研中心,https://www.marketresearch.org.cn,2024-09-20,,,,,,,,,
激光切割机,苏州精工激光科技有限公司,11000,1600,±0.012,±0.008,±0.022,±0.011,中国激光产业发展联盟,https://www.clia.org.cn,2024-09-20,,,,,,,,,
水刀切割机,成都水刀科技有限公司,9500,1300,±0.019,±0.009,±0.023,±0.012,中国水刀产业协作社,https://www.watertocut.org,2024-09-20,,,,,,,,,
数控冲床,青岛智能制造有限公司,650,1100,±0.04,±0.02,±0.06,±0.03,国际机床制造业协会,https://www.imta.org,2024-09-20,,,,,,,,,
数控铣床,大连机械产业股份有限公司,13000,850,±0.009,±0.0045,±0.0175,±0.0085,中国机械视野,https://www.macview.cn,2024-09-20,,,,,,,,,
数控车床,郑州机床设备有限公司,7200,950,±0.017,±0.007,±0.026,±0.013,中国机床市场信息网,https://www.toolmarket.cn,2024-09-20,,,,,,,,,
激光切割机,成都精密激光设备有限公司,9500,1400,±0.01,±0.005,±0.02,±0.009,中国激光网,https://www.laser.cn,2024-09-20,,,,,,,,,
水刀切割机,佛山水刀科技有限公司,8700,1150,±0.018,±0.008,±0.021,±0.01,全国水检行业协会,https://www.nationalwaterassn.org,2024-09-20,,,,,,,,,
数控冲床,天津冲压设备有限公司,400,1200,±0.05,±0.025,±0.07,±0.035,中国特殊机床设备协会,https://www.cstmea.org.cn,2024-09-20,,,,,,,,,
数控铣床,深圳高精密机床有限公司,15000,1000,±0.008,±0.004,±0.018,±0.009,中国机械工程学会,https://www.cmes.org.cn,2024-09-20,,,,,,,,,
数控车床,青岛数控机床有限公司,7000,1200,±0.012,±0.006,±0.022,±0.011,中国机械工业协会,https://www.china-mia.org,2024-09-20,,,,,,,,,
激光切割机,合肥激光技术有限公司,12000,1600,±0.013,±0.0065,±0.020,±0.010,中国激光制造行业协会,https://www.clmia.org.cn,2024-09-20,,,,,,,,,
水刀切割机,苏州水刀设备有限公司,8500,1400,±0.025,±0.012,±0.021,±0.011,中国水刀技术研究中心,http://www.waterjetcn.com,2024-09-20,,,,,,,,,
数控冲床,成都精密设备有限公司,600,900,±0.035,±0.017,±0.055,±0.025,四川省机器工业联谊会,https://www.scmia.org.cn,2024-09-20,,,,,,,,,
数控铣床,南京精密机床公司,13000,950,±0.009,±0.0045,±0.017,±0.0085,中国工业和信息化部,https://www.miit.gov.cn,2024-09-20,,,,,,,,,
高速数控车床,武汉机械制造厂,8000,1100,±0.016,±0.008,±0.023,±0.012,湖北省经济和信息化委员会,https://www.hbwi.gov.cn,2024-09-20,,,,,,,,,
激光切割机,福州太极涂层科技,11000,1550,±0.014,±0.007,±0.019,±0.009,福建省科学技术厅,http://www.fjsti.gov.cn,2024-09-20,,,,,,,,,
水刀切割机,兰州切割设备有限公司,7500,1300,±0.022,±0.011,±0.020,±0.01,甘肃省水利厅,http://www.gansuwater.gov.cn,2024-09-20,,,,,,,,,
数控冲床,宝鸡机床厂,450,950,±0.033,±0.016,±0.045,±0.022,陕西省机械行业协会,http://www.snxiaozh.org.cn,2024-09-20,,,,,,,,,
数控铣床,天津机床有限公司,14000,900,±0.008,±0.004,±0.015,±0.005,中国机械工程学会,https://www.cmes.org.cn,2024-09-20,,,,,,,,,
数控车床,山东机床集团,7500,850,±0.015,±0.008,±0.025,±0.01,中国设备管理协会,https://www.ceia.org.cn,2024-09-20,,,,,,,,,
激光切割机,深圳激光技术有限公司,12000,2000,±0.01,±0.005,±0.02,±0.01,行业科技动态,https://www.industrytech.org.cn,2024-09-20,,,,,,,,,
水刀切割机,厦门水刀装备制造,9000,1600,±0.018,±0.009,±0.022,±0.012,科技日报,https://www.stdaily.com,2024-09-20,,,,,,,,,
数控冲床,安徽冲压技术有限公司,600,1050,±0.02,±0.01,±0.04,±0.015,中国机械网,https://www.china-machine.com,2024-09-20,,,,,,,,,
五轴数控加工中心,武汉先进制造科技有限公司,15000,1200,±0.005,±0.002,±0.012,±0.002,华中科技大学,https://www.hust.edu.cn,2024-09-20,,,,,,,,,
数控磨床,成都机械设备有限公司,4000,700,±0.03,±0.015,±0.05,±0.025,中国机械设计与制造,https://www.cndmd.com,2024-09-20,,,,,,,,,
数控电火花机,苏州电火花设备公司,3000,500,±0.02,±0.01,±0.03,±0.015,江苏省科技厅,https://www.jiangsu.gov.cn,2024-09-20,,,,,,,,,
数控剪板机,宁夏剪切设备有限公司,700,1400,±0.028,±0.014,±0.035,±0.018,中国机床工具工业协会,https://www.cmtia.org.cn,2024-09-20,,,,,,,,,
数控折弯机,内蒙古机床设备公司,500,1200,±0.03,±0.015,±0.04,±0.02,中国机械工程学会,https://www.cmes.org.cn,2024-09-20,,,,,,,,,
数控铣床,深圳华南机床集团,15000,900,±0.008,±0.004,±0.018,±0.009,国际机床协会,https://www.imts.com,2024-09-20,,,,,,,,,
数控车床,南京数控系统有限公司,7500,1100,±0.012,±0.006,±0.026,±0.014,中国制造网,https://www.made-in-china.com,2024-09-20,,,,,,,,,
激光切割机,苏州激光制造有限公司,11000,1600,±0.010,±0.005,±0.022,±0.011,机械工程学会,https://www.asme.org,2024-09-20,,,,,,,,,
水刀切割机,成都锐切科技,8500,1300,±0.018,±0.009,±0.027,±0.013,电子商务研究中心,https://www.100ec.cn,2024-09-20,,,,,,,,,
数控冲床,哈尔滨冲压设备股份有限公司,800,950,±0.025,±0.012,±0.045,±0.022,中国机械部件网,https://www.cme.org.cn,2024-09-20,,,,,,,,,
精密磨床,武汉精密机床有限公司,3000,600,±0.005,±0.002,±0.015,±0.007,新材料产业网,https://www.materials.com.cn,2024-09-20,,,,,,,,,
数控螺纹加工机,合肥数控设备有限公司,4500,500,±0.009,±0.004,±0.020,±0.010,中国数控技术协会,https://www.cnc.org.cn,2024-09-20,,,,,,,,,
数控激光切割机,西安科工集团,9500,2000,±0.016,±0.008,±0.023,±0.014,中国商用车网,https://www.chinabuses.com,2024-09-20,,,,,,,,,
数控拖链切割机,昆明机电设备有限公司,7200,1400,±0.015,±0.007,±0.021,±0.012,中国工业信息网,https://www.cii.com.cn,2024-09-20,,,,,,,,,
新型数控铣床,桂林机械技术研究院,13000,850,±0.007,±0.003,±0.019,±0.008,国家科技部,https://www.most.gov.cn,2024-09-20,,,,,,,,,
数控激光切割机,苏州激光科技有限公司,12000,2000,±0.01,±0.005,±0.015,±0.007,电子商务协会,https://www.ecc.org.cn,2024-09-20,,,,,,,,,
五轴数控机床,厦门数控设备有限公司,15000,1500,±0.008,±0.004,±0.012,±0.006,中国制造网,https://www.china.cn,2024-09-20,,,,,,,,,
数控车床,成都数控科技有限公司,8000,1200,±0.02,±0.01,±0.03,±0.015,行业在线,https://www.industryonline.cn,2024-09-20,,,,,,,,,
数控磨床,青岛机床有限责任公司,10000,700,±0.005,±0.002,±0.01,±0.005,机械与电子产品中心,https://www.mechanicalcenter.org.cn,2024-09-20,,,,,,,,,
水刀切割机,武汉水刀科技股份有限公司,9000,1300,±0.02,±0.01,±0.02,±0.01,水切割研究协会,https://www.waterjet.org.cn,2024-09-20,,,,,,,,,
数控冲床,南京压铸设备有限公司,700,900,±0.03,±0.015,±0.04,±0.02,国家机床工具协会,https://www.ntma.org.cn,2024-09-20,,,,,,,,,
数控电火花机,沈阳电机有限公司,6000,800,±0.008,±0.003,±0.018,±0.009,中国电机协会,https://www.cme.org.cn,2024-09-20,,,,,,,,,
组合数控机床,佛山数字化科技有限公司,11000,1500,±0.012,±0.006,±0.016,±0.008,全国数控机床产业发展报告,https://www.cncmachine.org.cn,2024-09-20,,,,,,,,,
数控折弯机,郑州机床制造有限公司,7500,1600,±0.02,±0.01,±0.022,±0.012,行业设备供应商协会,https://www.equipment.org.cn,2024-09-20,,,,,,,,,
数控打标机,珠海激光器有限公司,9000,500,±0.006,±0.003,±0.009,±0.004,中国激光行业协会,https://www.clia.org.cn,2024-09-20,,,,,,,,,
数控铣床,深圳数控科技有限公司,15000,900,±0.008,±0.002,±0.018,±0.009,机械工业出版社,https://www.cmp.com.cn,2024-09-20,,,,,,,,,
数控磨床,东莞磨削设备有限公司,7000,600,±0.005,±0.003,±0.015,±0.007,中国制造网,https://www.made-in-china.com,2024-09-20,,,,,,,,,
数控激光切割机,苏州激光科技有限公司,11000,1200,±0.02,±0.01,±0.022,±0.01,江苏省机械行业协会,https://www.jsmachinery.org.cn,2024-09-20,,,,,,,,,
数控冲压机,成都精密冲床有限公司,800,750,±0.02,±0.008,±0.03,±0.012,中国冲压行业协会,https://www.chinapress.org,2024-09-20,,,,,,,,,
数控水刀机,南京水切割科技有限公司,7500,1300,±0.018,±0.007,±0.017,±0.007,中国机械行业协会,https://www.cmiac.com,2024-09-20,,,,,,,,,
数控钻床,武汉数控装备有限公司,1200,1000,±0.015,±0.005,±0.025,±0.015,湖北省机械工业局,https://www.hbmachine.gov.cn,2024-09-20,,,,,,,,,
数控放电加工机,青岛电加工设备有限公司,4000,800,±0.02,±0.01,±0.028,±0.014,国家电气设备协会,https://www.ced.org.cn,2024-09-20,,,,,,,,,
数控切割机,佛山切割科技有限公司,9500,1600,±0.01,±0.005,±0.02,±0.011,广东省机电工程学会,https://www.gdme.org.cn,2024-09-20,,,,,,,,,
五轴联动数控机床,哈尔滨机床股份有限公司,18000,2000,±0.005,±0.003,±0.01,±0.005,黑龙江省机械制造协会,https://www.hljmachinery.org.cn,2024-09-20,,,,,,,,,
轻型数控车床,合肥数控科技有限公司,7200,900,±0.02,±0.006,±0.015,±0.008,安徽省机电产品协会,https://www.ahmachinery.org.cn,2024-09-20,,,,,,,,,
数控铣床,深圳先进制造厂,15000,900,±0.008,±0.004,±0.018,±0.009,中国机床工具工业协会,https://www.cmtiia.org.cn,2024-09-20,,,,,,,,,
数控激光切割机,苏州科技创新有限公司,11000,1300,±0.012,±0.005,±0.022,±0.011,江苏省经济和信息化委员会,https://www.jseic.gov.cn,2024-09-20,,,,,,,,,
高精度数控车床,重庆精密机械有限公司,7000,1500,±0.015,±0.007,±0.026,±0.013,重庆市制造业协会,https://www.cqma.org.cn,2024-09-20,,,,,,,,,
数控剪板机,武汉金属加工技术公司,900,2000,±0.035,±0.017,±0.04,±0.02,湖北省设备制造业协会,https://www.hbmmia.org.cn,2024-09-20,,,,,,,,,
数控电火花机, 天津电子科技有限公司,4000,1200,±0.025,±0.012,±0.03,±0.015,天津市工信局,https://www.tianjin.gov.cn,2024-09-20,,,,,,,,,
数控激光切割机,佛山精密制造有限公司,13000,1600,±0.01,±0.006,±0.02,±0.01,广东省制造业发展中心,https://www.gdmdc.gov.cn,2024-09-20,,,,,,,,,
数控泡沫切割机,沈阳新材料科技有限公司,5000,1000,±0.02,±0.01,±0.025,±0.012,辽宁省工业和信息化厅,https://www.ln.gov.cn,2024-09-20,,,,,,,,,
精密数控钻床,南京高新技术公司,3000,850,±0.018,±0.009,±0.019,±0.007,南京市信息化局,https://www.nanjing.gov.cn,2024-09-20,,,,,,,,,
数控冲床,郑州冲压设备有限公司,750,1100,±0.02,±0.01,±0.03,±0.015,河南省机械工业协会,https://www.hnma.org.cn,2024-09-20,,,,,,,,,
数控铣床,成都数控研究院,12500,780,±0.011,±0.003,±0.017,±0.008,四川省经济与信息化委员会,https://www.sc.gov.cn,2024-09-20,,,,,,,,,
数控铣床,天津数控设备有限公司,11000,900,±0.008,±0.004,±0.018,±0.009,中国机械工程学会,https://www.cmes.org,2024-09-20,,,,,,,,,
数控电火花机,深圳华宇机电科技有限公司,2000,500,±0.015,±0.006,±0.022,±0.012,行业技术协会,https://www.industrytecha.org,2024-09-20,,,,,,,,,
数控车床,成都机电股份有限公司,6500,1200,±0.02,±0.01,±0.03,±0.017,中国制造业信息网,https://www.chinamade.com,2024-09-20,,,,,,,,,
激光切割机,福州激光自动化有限公司,12000,1600,±0.012,±0.006,±0.02,±0.01,中国科技发展网,https://www.cstc.gov.cn,2024-09-20,,,,,,,,,
水刀切割机,苏州水刀精密机械有限公司,8500,1300,±0.018,±0.009,±0.03,±0.015,中国机械行业协会,https://www.cmia.org.cn,2024-09-20,,,,,,,,,
数控冲床,南京精密机械有限公司,400,900,±0.02,±0.014,±0.04,±0.018,技术市场发展研究所,https://www.techmarket.org,2024-09-20,,,,,,,,,
五轴加工中心,上海精准机械制造有限公司,14000,1000,±0.01,±0.005,±0.02,±0.01,中国数控设备网,https://www.cncchina.com,2024-09-20,,,,,,,,,
数控磨床,沈阳华通机床集团,6500,750,±0.005,±0.003,±0.015,±0.007,国家机床质量监督检验中心,https://www.nmqc.gov.cn,2024-09-20,,,,,,,,,
数控打孔机,杭州数控设备公司,2500,600,±0.02,±0.010,±0.025,±0.012,智能制造协会,https://www.smartmanufacturing.org,2024-09-20,,,,,,,,,
数控剪板机,郑州机床技术有限公司,3000,1100,±0.02,±0.009,±0.03,±0.016,中国机械产品网,https://www.cmpcn.com,2024-09-20,,,,,,,,,
数控铣床,江苏省机床有限公司,15000,900,±0.005,±0.002,±0.015,±0.008,中国数控技术产业协会,https://www.cnc-technology.org,2024-09-20,,,,,,,,,
数控车床,深圳精密机械有限公司,7000,1200,±0.01,±0.004,±0.02,±0.007,行业市场调查报告,https://www.statista.com,2024-09-20,,,,,,,,,
激光切割机,成都创新科技有限公司,12000,2000,±0.012,±0.006,±0.02,±0.009,四川省科学技术厅,https://www.science.sichuan.gov.cn,2024-09-20,,,,,,,,,
水刀切割机,广州高新水刀制造公司,9500,1300,±0.018,±0.006,±0.022,±0.011,全国水刀行业协会,https://www.waterjetassociation.org,2024-09-20,,,,,,,,,
数控冲床,北京精工冲压设备,600,800,±0.025,±0.012,±0.03,±0.015,中国机械科学研究院,https://www.cams.org.cn,2024-09-20,,,,,,,,,
数控磨床,洛阳机床股份有限公司,5000,1000,±0.008,±0.005,±0.015,±0.006,河南省机械工业协会,https://www.hnma.org,2024-09-20,,,,,,,,,
数控放电加工机,南昌电加工设备公司,3000,750,±0.02,±0.01,±0.02,±0.01,江西省制造业协会,https://www.jxzy.org,2024-09-20,,,,,,,,,
数控激光打标机,南京激光技术有限公司,8000,500,±0.015,±0.008,±0.01,±0.005,江苏省科技厅,https://www.jsskj.gov.cn,2024-09-20,,,,,,,,,
数控折弯机,天津数控设备有限公司,4000,2000,±0.03,±0.016,±0.02,±0.01,中国展览馆委员会,https://www.china-expo.com,2024-09-20,,,,,,,,,
数控钣金加工机,哈尔滨钣金科技有限公司,5500,1200,±0.02,±0.009,±0.025,±0.013,黑龙江省工业和信息化委员会,https://www.hlji.gov.cn,2024-09-20,,,,,,,,,
数控铣床,广州高精机床有限公司,15000,900,±0.008,±0.004,±0.018,±0.009,中国机械工程学会,https://www.cmes.org,2024-09-20,,,,,,,,,
数控磨床,苏州磨具有限公司,20000,700,±0.005,±0.003,±0.015,±0.007,国际磨削与抛光协会,https://www.grinding.org,2024-09-20,,,,,,,,,
数控车床,成都机床厂,8000,1200,±0.02,±0.01,±0.03,±0.015,中国机械工艺协会,https://www.cma.org.cn,2024-09-20,,,,,,,,,
激光切割机,武汉激光科技公司,12000,2000,±0.01,±0.005,±0.022,±0.011,国家激光技术研究中心,https://www.nla.org.cn,2024-09-20,,,,,,,,,
水刀切割机,青岛水切科技有限公司,8500,1500,±0.02,±0.01,±0.024,±0.012,中国水切割技术委员会,https://www.waterjet.cn,2024-09-20,,,,,,,,,
数控冲床,西安机床制造公司,400,1100,±0.04,±0.02,±0.06,±0.03,中国机械设备管理局,https://www.cme.gov.cn,2024-09-20,,,,,,,,,
数控铣床,哈尔滨高端机床股份有限公司,13000,950,±0.009,±0.005,±0.01,±0.005,中国机床家具行业协会,https://www.cmhfa.org.cn,2024-09-20,,,,,,,,,
数控车床,沈阳工业机床技术有限公司,7500,1300,±0.01,±0.005,±0.022,±0.011,中国产品质量监督管理会,https://www.cpqsa.org.cn,2024-09-20,,,,,,,,,
激光切割机,北京中曼激光科技有限公司,11000,1800,±0.012,±0.006,±0.02,±0.01,国家五金机电信息中心,https://www.nicepc.org.cn,2024-09-20,,,,,,,,,
水刀切割机,宁波水刀科技有限公司,9000,1600,±0.02,±0.01,±0.03,±0.015,中国机械制造业信息网,https://www.machineinfo.cn,2024-09-20,,,,,,,,,
数控磨床,天津精密机械有限公司,15000,600,±0.005 mm,±0.002 mm,±0.015 mm,±0.005 mm,中国数控协会,https://www.cnc.org.cn,2024-09-20,,,,,,,,,
数控激光切割机,深圳光电科技有限公司,12000,2000,±0.01 mm,±0.004 mm,±0.02 mm,±0.009 mm,中国激光行业协会,https://www.clia.org.cn,2024-09-20,,,,,,,,,
五轴数控机床,苏州自动化设备有限公司,10000,1200,±0.008 mm,±0.003 mm,±0.018 mm,±0.007 mm,机械行业信息网,http://www.machineinfo.com,2024-09-20,,,,,,,,,
数控冲压机,南京冲压科技有限公司,400,900,±0.02 mm,±0.01 mm,±0.04 mm,±0.018 mm,中国冲压设备协会,https://www.china-stamping.com,2024-09-20,,,,,,,,,
CNC车削中心,杭州数控设备有限公司,8000,1100,±0.015 mm,±0.006 mm,±0.022 mm,±0.011 mm,中国机械工程学会,http://www.cmec.org.cn,2024-09-20,,,,,,,,,
数控钻床,沈阳机床集团公司,5000,750,±0.025 mm,±0.012 mm,±0.03 mm,±0.015 mm,机械制造业发展报告,https://www.machinery-reports.com,2024-09-20,,,,,,,,,
高精度五轴加工中心,成都精工机械有限公司,18000,1400,±0.003 mm,±0.001 mm,±0.012 mm,±0.007 mm,国家工业和信息化部,https://www.miit.gov.cn,2024-09-20,,,,,,,,,
数控水刀切割机,佛山水刀设备有限公司,7500,1600,±0.02 mm,±0.008 mm,±0.02 mm,±0.009 mm,中国水利发展研究院,http://www.mwr.gov.cn,2024-09-20,,,,,,,,,
数控铣削机,广州千峰机床有限公司,13000,950,±0.009 mm,±0.003 mm,±0.017 mm,±0.006 mm,中国机床市场趋势,http://www.cmt.cn,2024-09-20,,,,,,,,,
激光打标机,郑州激光设备有限公司,12000,300,±0.005 mm,±0.002 mm,±0.01 mm,±0.004 mm,行业分析报告,http://www.industryreports.com,2024-09-20,,,,,,,,,
数控磨床,天津机械制造有限公司,10000,900,±0.005,±0.002,±0.015,±0.005,中国机床工具工业协会,https://www.cmia.org.cn,2024-09-20,,,,,,,,,
数控切割机,成都数控设备有限公司,9000,1200,±0.01,±0.005,±0.02,±0.01,搜狐科技,https://www.sohu.com,2024-09-20,,,,,,,,,
数控冲压机,武汉机电设备有限公司,800,1100,±0.005,±0.003,±0.02,±0.009,人民日报,https://www.people.com.cn,2024-09-20,,,,,,,,,
数控激光打标机,深圳科技开发有限公司,20000,600,±0.002,±0.001,±0.01,±0.005,国家工业和信息化部,https://www.miit.gov.cn,2024-09-20,,,,,,,,,
数控等离子切割机,青岛机械制造厂,9000,2000,±0.02,±0.008,±0.03,±0.015,中国科学技术协会,https://www.cast.org.cn,2024-09-20,,,,,,,,,
数控铣削中心,南京精密机械有限公司,12000,1500,±0.005,±0.003,±0.015,±0.006,中国机械工业联合会,https://www.cmia.org.cn,2024-09-20,,,,,,,,,
五轴加工中心,杭州先进制造有限公司,14000,1000,±0.004,±0.002,±0.018,±0.007,国家标准化管理委员会,https://www.sac.gov.cn,2024-09-20,,,,,,,,,
数控组合机床,沈阳机床工业公司,7500,1300,±0.02,±0.011,±0.025,±0.012,中国机械制造协会,https://www.cmma.org.cn,2024-09-20,,,,,,,,,
数控木工机械,珠海木工科技有限公司,6000,800,±0.015,±0.006,±0.02,±0.01,中国轻工业联合会,https://www.clii.org.cn,2024-09-20,,,,,,,,,
工业机器人,广州国际机器人公司,1200,1500,±0.01,±0.005,±0.02,±0.01,中国工业机器人产业联盟,https://www.ciria.org.cn,2024-09-20,,,,,,,,,
数控冲床,郑州精密机器有限公司,750 RPM,900 mm,±0.02 mm,±0.01 mm,±0.03 mm,±0.015 mm,中国机械工业联合会,https://www.cmia.org.cn,2024-09-20,,,,,,,,,
数控铣床,深圳数控科技有限公司,15000 RPM,1000 mm,±0.008 mm,±0.004 mm,±0.015 mm,±0.008 mm,国家智能制造标准化技术委员会,https://www.nationalstandard.org.cn,2024-09-20,,,,,,,,,
激光切割机,广州激光设备有限公司,12000 RPM,2000 mm,±0.01 mm,±0.005 mm,±0.02 mm,±0.01 mm,中国产业信息网,https://www.cnii.com.cn,2024-09-20,,,,,,,,,
水刀切割机,武汉水刀机械有限公司,6500 RPM,1800 mm,±0.02 mm,±0.008 mm,±0.03 mm,±0.015 mm,中国水利部,https://www.mwr.gov.cn,2024-09-20,,,,,,,,,
数控车床,苏州机械制造有限公司,8000 RPM,1200 mm,±0.015 mm,±0.007 mm,±0.025 mm,±0.012 mm,江苏省机械工程学会,https://www.jiangsumachine.com,2024-09-20,,,,,,,,,
数控铣床,天津数控科技有限公司,11000 RPM,950 mm,±0.009 mm,±0.003 mm,±0.018 mm,±0.009 mm,北京机床科技研究院,https://www.bjmcar.com.cn,2024-09-20,,,,,,,,,
激光切割机,上海激光科技股份有限公司,10500 RPM,1600 mm,±0.012 mm,±0.006 mm,±0.022 mm,±0.011 mm,国家高新技术产业开发区,https://www.invest.gov.cn,2024-09-20,,,,,,,,,
水刀切割机,南京水刀科技有限公司,7000 RPM,1400 mm,±0.02 mm,±0.01 mm,±0.04 mm,±0.02 mm,中国制造业协会,https://www.cmade.org.cn,2024-09-20,,,,,,,,,
数控冲床,西安机电设备有限公司,900 RPM,1100 mm,±0.025 mm,±0.012 mm,±0.04 mm,±0.01 mm,陕西省经济和信息化委员会,https://www.sxdrc.com,2024-09-20,,,,,,,,,
数控铣床,成都机床制造有限公司,13000 RPM,850 mm,±0.01 mm,±0.005 mm,±0.015 mm,±0.006 mm,四川省科技厅,https://www.sctech.gov.cn,2024-09-20,,,,,,,,,
数控铣床,深圳精密机械有限公司,15000,900,±0.008,±0.004,±0.018,±0.009,电子商务市场调查,https://www.ecommerce.gov.cn,2024-09-20,,,,,,,,,
数控激光切割机,武汉光电科技有限公司,12000,2000,±0.012,±0.006,±0.022,±0.011,光电行业协会,https://www.soeia.org,2024-09-20,,,,,,,,,
数控车床,成都机床设备厂,7000,1200,±0.015,±0.007,±0.028,±0.014,机械制造协会,https://www.machinery.org.cn,2024-09-20,,,,,,,,,
三轴数控铣床,广州高科技机床有限公司,13000,950,±0.009,±0.004,±0.017,±0.008,中国机床工具行业信息网,https://www.ctma.org.cn,2024-09-20,,,,,,,,,
水刀切割机,青岛水刀设备制造有限公司,8500,1600,±0.020,±0.010,±0.023,±0.012,中国水处理协会,https://www.cmh.org,2024-09-20,,,,,,,,,
数控冲床,西安冲压行业研发中心,600,1100,±0.025,±0.013,±0.035,±0.015,国家机械设备检测中心,https://www.nmmc.gov.cn,2024-09-20,,,,,,,,,
数控铣床,沈阳机床股份有限公司,11000,750,±0.011,±0.005,±0.021,±0.010,中国机械行业信息网,https://www.cmii.org,2024-09-20,,,,,,,,,
高速数控车床,南京机械厂,9000,1400,±0.014,±0.007,±0.024,±0.012,中国工业和信息化部,https://www.miit.gov.cn,2024-09-20,,,,,,,,,
数控切割机,哈尔滨科技发展有限公司,9500,1300,±0.012,±0.006,±0.022,±0.010,国家机械行业研究院,https://www.nimri.edu.cn,2024-09-20,,,,,,,,,
多功能数控机床,郑州数控设备有限公司,10500,1680,±0.019,±0.008,±0.027,±0.013,工信部科技发展局,https://www.miit.gov.cn,2024-09-20,,,,,,,,,
数控铣床,深圳机床集团,15000,900,±0.005,±0.003,±0.015,±0.007,行业分析研究所,https://www.industry-analysis.cn,2024-09-20,,,,,,,,,
数控磨床,江苏荣盛精密机械,8000,700,±0.008,±0.004,±0.018,±0.009,中国机械工程学会,https://www.cmes.org.cn,2024-09-20,,,,,,,,,
数控激光切割机,杭州精锐科技有限公司,12000,1600,±0.012,±0.006,±0.022,±0.011,中国激光行业协会,https://www.chinalaser.org.cn,2024-09-20,,,,,,,,,
数控车床,成都机床公司,7000,1100,±0.015,±0.007,±0.020,±0.010,国家发改委,https://www.ndrc.gov.cn,2024-09-20,,,,,,,,,
数控冲床,青岛精工科技有限公司,600,950,±0.020,±0.015,±0.045,±0.025,中国数控机床网,https://www.cncnc.com,2024-09-20,,,,,,,,,
水刀切割机,武汉水刀设备有限公司,9000,1300,±0.018,±0.009,±0.021,±0.011,中国机械工业信息网,https://www.machinery518.com,2024-09-20,,,,,,,,,
数控铣床,天津达恩科技有限公司,14000,850,±0.007,±0.003,±0.017,±0.008,安防行业协会,https://www.asia-safety.com,2024-09-20,,,,,,,,,
数控折弯机,浙江机械制造公司,1000,1200,±0.025,±0.012,±0.030,±0.015,国家机械工程技术中心,https://www.nmetc.gov.cn,2024-09-20,,,,,,,,,
激光切割机,广州数控设备有限公司,11000,1700,±0.010,±0.005,±0.020,±0.010,国际机床制造商协会,https://www.imma.org,2024-09-20,,,,,,,,,
数控组合机床,辽宁金属加工厂,5000,1400,±0.022,±0.011,±0.028,±0.014,中国机械行业协会,https://www.chinamachinery.org,2024-09-20,,,,,,,,,
数控铣床,成都机械科技有限公司,15000,900,±0.008,±0.003,±0.018,±0.009,四川省经济和信息化厅,https://www.scjxt.gov.cn,2024-09-20,,,,,,,,,
数控车床,沈阳机床集团,7500,1200,±0.015,±0.007,±0.022,±0.011,辽宁省工业和信息化厅,https://www.lnzw.gov.cn,2024-09-20,,,,,,,,,
激光切割机,佛山激光技术有限公司,12000,1600,±0.012,±0.006,±0.020,±0.010,广东省科技厅,https://www.gdst.gov.cn,2024-09-20,,,,,,,,,
水刀切割机,青岛水刀科技有限公司,9000,1100,±0.018,±0.009,±0.016,±0.008,山东省水利厅,https://www.sdwr.gov.cn,2024-09-20,,,,,,,,,
数控冲床,天津冲压设备有限公司,800,900,±0.025,±0.012,±0.035,±0.018,天津市市场监督管理局,https://www.tjmz.gov.cn,2024-09-20,,,,,,,,,
多轴数控机床,杭州智能设备有限公司,18000,1300,±0.007,±0.004,±0.014,±0.006,浙江省科技厅,https://www.zjkj.gov.cn,2024-09-20,,,,,,,,,
数控磨床,南京机床制造股份有限公司,10000,750,±0.01,±0.004,±0.019,±0.007,江苏省经济和信息化委员会,https://www.jseic.gov.cn,2024-09-20,,,,,,,,,
数控切割机,郑州数控装备有限公司,9500,1400,±0.02,±0.008,±0.017,±0.009,河南省机械协会,https://www.hnma.org.cn,2024-09-20,,,,,,,,,
数控电火花机,武汉精密设备有限公司,1200,1000,±0.022,±0.011,±0.024,±0.013,湖北省科技厅,https://www.hubei.gov.cn,2024-09-20,,,,,,,,,
平面磨床,厦门数控机床制造有限公司,7500,700,±0.017,±0.008,±0.021,±0.011,福建省工业和信息化厅,https://www.fj.gov.cn,2024-09-20,,,,,,,,,
数控铣床,深圳精密机械有限公司,15000,1000,±0.005 mm,±0.002 mm,±0.015 mm,±0.008 mm,中国机械工程学会,https://www.cmes.org,2024-09-20,,,,,,,,,
