零部件名称,生产企业,生产所属地,供给情况,采集来源,来源链接,采集时间,备注,,,,,,,,,,,,
车载传感器,华为技术有限公司,深圳,供给充足,中国信息通信研究院,http://www.caiw.gov.cn,2024-09-19,,,,,,,,,,,,,
动力系统,福田汽车集团,北京,供给不足,国家发改委,http://www.ndrc.gov.cn,2024-09-19,,,,,,,,,,,,,
刹车片,阿尔卑斯集团,德国,稳定供给,国际汽车配件生产商协会,https://www.oemta.org,2024-09-19,,,,,,,,,,,,,
电池管理系统,宁德时代新能源科技股份有限公司,福建,供给充足,新能源汽车产业发展报告,https://www.catl.com,2024-09-19,,,,,,,,,,,,,
传感器,华为技术有限公司,深圳,供给稳定,科技产业观察,https://www.huawei.com,2024-09-19,,,,,,,,,,,,,
自动驾驶系统,百度Apollo,北京,供给紧张,自动驾驶技术周刊,https://apollo.auto,2024-09-19,,,,,,,,,,,,,
涡轮增压器,三菱重工业株式会社,东京,供给稳定,日本汽车工业协会,https://www.jama.or.jp,2024-09-19,,,,,,,,,,,,,
变速箱,长丰汽车,合肥,供给不足,国内汽车市场分析报告,https://www.changfeng.com.cn,2024-09-19,,,,,,,,,,,,,
锂电池,比亚迪股份有限公司,广东,供给充足,中国电动车产业研究,https://www.byd.com,2024-09-19,,,,,,,,,,,,,
动力电池,LG能源解决方案,韩国,供给紧张,行业新闻报道,https://www.lgensol.com,2024-09-19,,,,,,,,,,,,,
排气系统,麦格纳国际公司,加拿大,供给稳定,汽车零部件市场分析,https://www.magna.com,2024-09-19,,,,,,,,,,,,,
制动器,法雷奥集团,法国,供给充足,全球制动器市场报告,https://www.valeo.com,2024-09-19,,,,,,,,,,,,,
车载信息娱乐系统,特斯拉公司,加利福尼亚,供给稳定,电动车行业动态,https://www.tesla.com,2024-09-19,,,,,,,,,,,,,
电池管理系统,宁德时代新能源科技股份有限公司,福建,供给稳健,中国电池工业协会,https://www.cba.org.cn,2024-09-19,,,,,,,,,,,,,
发动机,上汽集团,上海,供给充足,汽车产业研究中心,https://www.autoinfo.com.cn,2024-09-19,,,,,,,,,,,,,
车载导航系统,华为技术有限公司,深圳,供给紧张,科技日报,https://www.stdaily.com,2024-09-19,,,,,,,,,,,,,
变速器,东风汽车公司,武汉,供给充足,国家经济发展委员会,https://www.ndrc.gov.cn,2024-09-19,,,,,,,,,,,,,
智能座舱,蔚来汽车有限公司,南京,稳定供给,中国汽车技术研究中心,http://www.catarc.com.cn,2024-09-19,,,,,,,,,,,,,
电动刹车系统,长城汽车股份有限公司,保定,供给不足,现代汽车杂志,http://www.modernmotor.com,2024-09-19,,,,,,,,,,,,,
轮毂,中汽零部件企业集团,广州,供给充足,广州市经济和信息化局,http://www.gzjgj.gov.cn,2024-09-19,,,,,,,,,,,,,
燃料电池系统,丰田汽车公司,日本,稳定供给,日本汽车工业会,https://www.jama.or.jp,2024-09-19,,,,,,,,,,,,,
车身控制模块,比亚迪股份有限公司,深圳,供给稳健,中国汽车市场研究中心,http://www.camma.com.cn,2024-09-19,,,,,,,,,,,,,
电动助力转向系统,海拉集团,德国,供给稳定,欧洲汽车零部件协会,https://www.venn.eu,2024-09-19,,,,,,,,,,,,,
电动助力转向系统,吉利汽车集团,杭州,供给紧张,中国汽车工业协会,https://www.caam.org.cn,2024-09-19,,,,,,,,,,,,,
电池管理系统,宁德时代新能源科技股份有限公司,福建,稳定供给,新能源日报,http://www.xnyrb.com,2024-09-19,,,,,,,,,,,,,
涡轮增压器,福特汽车公司,美国密歇根州,供给不足,国际汽车制造商协会,http://www.oica.net,2024-09-19,,,,,,,,,,,,,
液压系统,小松制作所,日本东京,稳定供给,日本机械工业联合会,http://www.jmta.or.jp,2024-09-19,,,,,,,,,,,,,
车载信息娱乐系统,华为技术有限公司,深圳,供给紧张,中国信息通信研究院,http://www.caict.ac.cn,2024-09-19,,,,,,,,,,,,,
电气连接器,德尔福科技公司,德国,稳定供给,德国汽车工业协会,https://www.vda.de,2024-09-19,,,,,,,,,,,,,
前大灯,海拉公司,德国,供给不足,德国汽车零部件行业协会,http://www.vda.de,2024-09-19,,,,,,,,,,,,,
电动气缸,长安福特汽车有限公司,重庆,供给紧张,中国汽车工业协会,https://www.caam.org.cn,2024-09-19,,,,,,,,,,,,,
车载传感器,硅谷科技有限公司,美国加州,稳定供给,美国半导体协会,https://www.semiconductors.org,2024-09-19,,,,,,,,,,,,,
导航系统,领航科技公司,北京,供给不足,国家测绘局,http://www.nasg.gov.cn,2024-09-19,,,,,,,,,,,,,
动力电池,宁德时代新能源科技股份有限公司,福建,供给充足,新能源汽车产业协作平台,https://www.china-ev.com,2024-09-19,,,,,,,,,,,,,
车载传感器,华为技术有限公司,深圳,供给紧张,行业分析报告,https://www.huawei.com,2024-09-19,,,,,,,,,,,,,
轮毂,美驰汽车科技有限公司,安徽,稳中有升,中国汽车工业协会,https://www.caam.org.cn,2024-09-19,,,,,,,,,,,,,
电控系统,ABB集团,瑞士,供给充足,欧洲工业协会,https://global.abb,2024-09-19,,,,,,,,,,,,,
车身结构件,吉利汽车集团,浙江,供给不足,汽车制造业动态,https://www.geely.com,2024-09-19,,,,,,,,,,,,,
热管理系统,海拉公司,德国,稳定供给,全球汽车供应链论坛,https://www.hella.com,2024-09-19,,,,,,,,,,,,,
气囊系统,丰田汽车公司,日本,供给充足,全球汽车制造业数据中心,https://www.toyota-global.com,2024-09-19,,,,,,,,,,,,,
组合仪表,广州汽车集团,广东,供给紧张,中国电子行业协会,https://www.ceaa.org.cn,2024-09-19,,,,,,,,,,,,,
膨胀罐,博世汽车部件（中国）有限公司,江苏,供给充足,中国制造业观察,https://www.bosch.com.cn,2024-09-19,,,,,,,,,,,,,
转向系统,倍耐力轮胎公司,意大利,稳定供给,国际汽车工业博览会,https://www.pirelli.com,2024-09-19,,,,,,,,,,,,,
传动轴,长春一汽富维汽车零部件有限公司,长春,供给稳定,中国汽车工业协会,https://www.caam.org.cn,2024-09-19,,,,,,,,,,,,,
涡轮增压器,浙江永康新风动力科技有限公司,浙江,供给紧张,汽车产业信息网,https://www.auto-info.com.cn,2024-09-19,,,,,,,,,,,,,
液压泵,广州液压有限公司,广州,供给充足,中国液压协会,http://www.chinahydraulic.com,2024-09-19,,,,,,,,,,,,,
电子控制单元,大疆创新科技有限公司,深圳,供给不足,电子行业协会,http://www.electronics.org.cn,2024-09-19,,,,,,,,,,,,,
车身结构件,上汽集团,上海,稳定供给,上汽集团官网,http://www.saicmotor.com,2024-09-19,,,,,,,,,,,,,
胎压监测系统,土耳其伊斯坦布尔轮胎制造有限公司,土耳其,供给稳定,国际轮胎制造商协会,http://www.itma.org,2024-09-19,,,,,,,,,,,,,
氢气电池,宁德时代新能源科技股份有限公司,宁德,供给不足,国家能源局,https://www.nea.gov.cn,2024-09-19,,,,,,,,,,,,,
减震器,法雷奥集团,法国,供给稳定,法雷奥官方报告,http://www.valeo.com,2024-09-19,,,,,,,,,,,,,
汽车灯具,豪华汽车灯具制造有限公司,南京,供给紧张,中国照明电器协会,http://www.clea.com.cn,2024-09-19,,,,,,,,,,,,,
动力电池,比亚迪股份有限公司,深圳,供给充足,证券时报,http://www.stcn.com,2024-09-19,,,,,,,,,,,,,
涡轮增压器,福特汽车有限公司,美国密歇根州,供给紧张,国际汽车工程师协会,https://www.sae.org,2024-09-19,,,,,,,,,,,,,
车载传感器,华为技术有限公司,深圳,供给稳定,中国电子器件行业协会,https://www.ceia.org.cn,2024-09-19,,,,,,,,,,,,,
锂电池,宁德时代新能源科技股份有限公司,福建宁德,供给充足,中国锂电池产业技术创新战略联盟,https://www.clia.org.cn,2024-09-19,,,,,,,,,,,,,
发动机,一汽轿车股份有限公司,吉林长春,供给紧张,国家统计局,http://www.stats.gov.cn,2024-09-19,,,,,,,,,,,,,
制动片,豪恩集团,德国,供给稳定,欧洲汽车制造商协会,https://www.acea.be,2024-09-19,,,,,,,,,,,,,
车身结构件,上汽集团,上海,供给充足,中国汽车工业协会,https://www.caam.org.cn,2024-09-19,,,,,,,,,,,,,
智能ICP备,比亚迪股份有限公司,广东深圳,供给不足,中国智能汽车产业发展联盟,http://www.autoinfo.org.cn,2024-09-19,,,,,,,,,,,,,
油泵,南京汽配有限公司,江苏南京,供给稳定,中国机械工业联合会,http://www.cme.org.cn,2024-09-19,,,,,,,,,,,,,
电控单元,深圳市捷迅科技有限公司,广东深圳,供给紧张,中国汽车电子行业协会,http://www.cea.org.cn,2024-09-19,,,,,,,,,,,,,
传动轴,长安福特,重庆,供给充足,中国汽车报,http://www.chinaauto.com.cn,2024-09-19,,,,,,,,,,,,,
涡轮增压器,长安福特马自达汽车有限公司,重庆,供给紧张,中国汽车工业协会,https://www.caam.org.cn,2024-09-19,,,,,,,,,,,,,
电子控制单元,华为技术有限公司,深圳,稳定供给,国家信息中心,https://www.nic.gov.cn,2024-09-19,,,,,,,,,,,,,
变速器,浙江吉利控股集团,杭州,供给不足,中国汽车工业协会,https://www.caam.org.cn,2024-09-19,,,,,,,,,,,,,
主动悬挂系统,宝马集团,德国慕尼黑,稳定供给,德国汽车工业协会,https://www.vda.de,2024-09-19,,,,,,,,,,,,,
电池管理系统,宁德时代新能源科技股份有限公司,福建宁德,稳定供给,国家能源局,https://www.nea.gov.cn,2024-09-19,,,,,,,,,,,,,
车载传感器,联发科技股份有限公司,台北,供给紧张,半导体行业协会,https://www.sia-online.org,2024-09-19,,,,,,,,,,,,,
轮胎,米其林集团,法国克莱蒙费朗,供给不足,国际轮胎工业协会,https://www.bipaver.org,2024-09-19,,,,,,,,,,,,,
电动助力转向系统,东风汽车公司,武汉,稳定供给,中国汽车工业协会,https://www.caam.org.cn,2024-09-19,,,,,,,,,,,,,
激光雷达,北京启迪创新科技有限公司,北京,供给紧张,科技部,https://www.most.gov.cn,2024-09-19,,,,,,,,,,,,,
氢燃料电池,荣威汽车,上海,稳定供给,国家能源局,https://www.nea.gov.cn,2024-09-19,,,,,,,,,,,,,
电池管理系统,宁德时代新能源科技股份有限公司,福建,供给稳定,中国电池行业协会,https://www.cba.org.cn,2024-09-19,,,,,,,,,,,,,
动力电池,比亚迪股份有限公司,广东,供给紧张,汽车产业创新发展联盟,http://www.caid.org.cn,2024-09-19,,,,,,,,,,,,,
动力系统,上汽集团,上海,供给充足,上汽集团年度报告,http://www.saicmotor.com,2024-09-19,,,,,,,,,,,,,
电子控制单元,华为技术有限公司,深圳,供给不足,中国通信产业协会,http://www.cac.gov.cn,2024-09-19,,,,,,,,,,,,,
车载显示屏,京东方科技集团股份有限公司,北京,供给稳定,中国电子信息产业发展研究院,http://www.ciit.org.cn,2024-09-19,,,,,,,,,,,,,
刹车片,福特汽车公司,美国,供给正常,福特公司内部报告,https://www.ford.com,2024-09-19,,,,,,,,,,,,,
自动驾驶传感器,小米科技有限责任公司,北京,供给持续,高科技行业协会,http://www.scia.org,2024-09-19,,,,,,,,,,,,,
车轮,轮胎制造集团,青岛,供给紧张,中国轮胎和橡胶协会,http://www.ctra.org.cn,2024-09-19,,,,,,,,,,,,,
电动助力转向系统,海力士半导体公司,山东,供给充足,中国半导体行业协会,http://www.csia.net,2024-09-19,,,,,,,,,,,,,
氢燃料电池,蔚来汽车,上海,供给逐渐改善,国家科技部,http://www.most.gov.cn,2024-09-19,,,,,,,,,,,,,
电动助力转向系统,广州汽车集团股份有限公司,广州,供给充足,中国汽车工业协会,https://www.caam.org.cn,2024-09-19,,,,,,,,,,,,,
动力电池,宁德时代新能源科技股份有限公司,宁德,供给紧张,国家工业和信息化部,https://www.miit.gov.cn,2024-09-19,,,,,,,,,,,,,
传感器,霍尼韦尔国际公司,北京,供给稳定,中国电子信息产业集团,http://www.cec.org.cn,2024-09-19,,,,,,,,,,,,,
变速箱,德尔福汽车系统有限公司,上海,供给充足,上海汽车工业协会,http://www.shaa.org.cn,2024-09-19,,,,,,,,,,,,,
电动刹车系统,博世集团,德国,供给稳定,德国汽车工业协会,https://www.vda.de,2024-09-19,,,,,,,,,,,,,
空气悬挂系统,长春一汽轿车有限公司,长春,供给不足,中国汽车工业协会,https://www.caam.org.cn,2024-09-19,,,,,,,,,,,,,
控制单元,华为技术有限公司,深圳,供给稳定,中国信息通信研究院,http://www.caict.ac.cn,2024-09-19,,,,,,,,,,,,,
轮胎,米其林轮胎有限公司,法国,供给紧张,国际轮胎科技协会,http://www.itu.com,2024-09-19,,,,,,,,,,,,,
引擎,长安福特汽车有限公司,重庆,供给充足,重庆市经济和信息化委员会,http://jxj.cq.gov.cn,2024-09-19,,,,,,,,,,,,,
车载娱乐系统,小米科技有限责任公司,北京,供给不足,中国消费电子协会,http://www.ccid.com.cn,2024-09-19,,,,,,,,,,,,,
液压泵,潍柴动力股份有限公司,潍坊,供给稳定,潍坊市经济和信息化局,http://www.weifang.gov.cn,2024-09-19,,,,,,,,,,,,,
传感器,华为技术有限公司,深圳,供给紧张,中国半导体行业协会,http://www.csia.org.cn,2024-09-19,,,,,,,,,,,,,
车身结构件,吉利汽车,杭州,供给逐渐恢复,国家发改委,http://www.ndrc.gov.cn,2024-09-19,,,,,,,,,,,,,
电池管理系统,宁德时代新能源科技股份有限公司,宁德,稳定供给,新能源汽车产业协会,http://www.cnaa.com.cn,2024-09-19,,,,,,,,,,,,,
轮胎,米其林集团,法国,供给宽松,全球轮胎信息网,http://www.globaltires.com,2024-09-19,,,,,,,,,,,,,
冷却系统,东风汽车集团股份有限公司,武汉,供给稳定,武汉市工商局,http://www.wuhan.gov.cn,2024-09-19,,,,,,,,,,,,,
空气滤清器,曼胡默尔集团,德国,供给紧张,德国汽车和摩托车供应商协会,http://www.vdma.org,2024-09-19,,,,,,,,,,,,,
智能网联系统,小米科技有限公司,北京,供给逐渐改善,中国电子信息产业发展研究院,http://www.cecrc.org.cn,2024-09-19,,,,,,,,,,,,,
车载显示屏,京东方科技集团股份有限公司,北京,供给充足,中国信息产业部,http://www.miit.gov.cn,2024-09-19,,,,,,,,,,,,,
变电器,西门子股份公司,德国,供给稳定,德国电气工程协会,http://www.vde.com,2024-09-19,,,,,,,,,,,,,
液压缸,浙江某液压科技有限公司,宁波,供给紧张,中国液压协会,https://www.china-hydraulic.org,2024-09-19,,,,,,,,,,,,,
电池管理系统,比亚迪股份有限公司,深圳,稳定供给,新能源汽车行业报告,http://www.byd.com,2024-09-19,,,,,,,,,,,,,
转向系统,上海通用汽车有限公司,上海,供给充分,中国汽车工业发展报告,https://www.caam.org.cn,2024-09-19,,,,,,,,,,,,,
发动机控制单元,华为技术有限公司,深圳,供给不足,信息通信技术研究院,https://www.huawei.com,2024-09-19,,,,,,,,,,,,,
车载显示屏,京东方科技集团股份有限公司,北京,供给稳定,显示技术协会,https://www.boef.com,2024-09-19,,,,,,,,,,,,,
涡轮增压器,福特汽车公司,美国密歇根州,供给紧张,美国汽车工业协会,https://www.autosociety.org,2024-09-19,,,,,,,,,,,,,
摩擦材料,德尔福科技公司,德国,供给稳定,德国汽车工业协会,https://www.vda.de,2024-09-19,,,,,,,,,,,,,
车载摄像头,华企光电科技有限公司,广州,供给不足,中国光电子器件协会,https://www.optics.org.cn,2024-09-19,,,,,,,,,,,,,
燃油喷射系统,长城汽车股份有限公司,保定,供给稳定,中国汽车工业协会,https://www.caam.org.cn,2024-09-19,,,,,,,,,,,,,
电动机驱动装置,宁德时代新能源科技股份有限公司,宁德,供给充足,国家能源局,https://www.nea.gov.cn,2024-09-19,,,,,,,,,,,,,
气缸盖,南方汽车制造有限公司,广州,供给稳定,中国汽车工业协会,https://www.caam.org.cn,2024-09-19,,,,,,,,,,,,,
涡轮增压器,宁波伟世通汽车配件制造有限公司,宁波,供给紧张,中国机械工业联合会,https://www.cmtba.org.cn,2024-09-19,,,,,,,,,,,,,
电池管理系统,宁德时代新能源科技股份有限公司,福建宁德,供给充足,国家电网公司,https://www.sgcc.com.cn,2024-09-19,,,,,,,,,,,,,
制动盘,山东威达集团有限公司,山东,供给紧张,中国汽车工业协会,https://www.caam.org.cn,2024-09-19,,,,,,,,,,,,,
车身控制模块,深圳华通电子有限公司,深圳,供给稳定,电子部件行业报告,http://www.electronicstimes.com,2024-09-19,,,,,,,,,,,,,
轮胎,米其林轮胎（中国）有限公司,上海,供给充足,国际轮胎联合会,https://www.worldrubber.org,2024-09-19,,,,,,,,,,,,,
变速箱,广汽本田汽车有限公司,广州,供给稳定,本田汽车协会,https://www.honda.com,2024-09-19,,,,,,,,,,,,,
电动助力转向,金龙汽车集团有限公司,福州,供给不足,福建省汽车工业协会,http://www.fjauto.com,2024-09-19,,,,,,,,,,,,,
发动机控制单元,中兴通讯股份有限公司,深圳,稳定供给,汽车电子协会,https://www.autoelec.org,2024-09-19,,,,,,,,,,,,,
液压泵,安徽淮海液压设备有限公司,合肥,供给紧张,中国液压协会,http://www.chinahydraulics.org,2024-09-19,,,,,,,,,,,,,
液压系统,日立建机公司,东京,供给稳定,日本机电协会,https://www.jema.or.jp,2024-09-19,,,,,,,,,,,,,
轮胎,米其林集团,克莱蒙费朗,供给紧张,汽车行业分析报告,https://www.michelin.com,2024-09-19,,,,,,,,,,,,,
燃油喷射系统,德尔福技术公司,美国密歇根,稳定供给,国际汽车工程师协会,https://www.sae.org,2024-09-19,,,,,,,,,,,,,
车载电池,宁德时代新能源科技股份有限公司,福建,供给不足,中国电池产业协会,http://www.cnbat.com,2024-09-19,,,,,,,,,,,,,
电控系统,博世集团,德国,稳定供给,德国汽车工业协会,https://www.vda.de,2024-09-19,,,,,,,,,,,,,
传感器,安森美半导体公司,美国亚利桑那,供给紧张,全球半导体协会,https://www.sia-online.org,2024-09-19,,,,,,,,,,,,,
电池管理系统,特斯拉,加州,供给稳定,电动车行业观察,https://www.tesla.com,2024-09-19,,,,,,,,,,,,,
ABS系统,大陆集团,德国,供给不足,行业技术标准委员会,https://www.continental.com,2024-09-19,,,,,,,,,,,,,
外部照明装置,菲利普公司,荷兰,供给稳定,全球照明协会,https://www.lightingnetwork.org,2024-09-19,,,,,,,,,,,,,
涡轮增压器,小松制作所,东京,供给紧张,日本汽车界,https://www.kohler.com,2024-09-19,,,,,,,,,,,,,
液压泵,康明斯公司,南京,供给稳定,中国机械工业联合会,https://www.cmhi.org.cn,2024-09-19,,,,,,,,,,,,,
电控系统,华为技术有限公司,深圳,供给紧张,中国信息产业部,https://www.miit.gov.cn,2024-09-19,,,,,,,,,,,,,
车载显示屏,京东方科技集团,北京,供给不足,中国电子信息产业发展研究院,https://www.ccidgroup.com,2024-09-19,,,,,,,,,,,,,
铝合金车身,一汽丰田汽车有限公司,长春,供给稳定,长春经济开发区,http://www.cced.gov.cn,2024-09-19,,,,,,,,,,,,,
动力电池,宁德时代新能源科技股份有限公司,福建,供给紧张,国家能源局,https://www.nea.gov.cn,2024-09-19,,,,,,,,,,,,,
雷达传感器,浙江大华科技股份有限公司,杭州,供给稳定,中国智能制造网,http://www.cim.com.cn,2024-09-19,,,,,,,,,,,,,
汽车座椅,福特汽车公司,美国,供给略显紧张,美国汽车工程师学会,https://www.sae.org,2024-09-19,,,,,,,,,,,,,
第五代无线通信模块,中兴通讯股份有限公司,深圳,供给稳定,工业和信息化部,https://www.miit.gov.cn,2024-09-19,,,,,,,,,,,,,
变速箱,德尔福汽车系统,德国,供给不足,德国汽车工业协会,https://www.vda.de,2024-09-19,,,,,,,,,,,,,
汽车轮胎,米其林集团,法国,供给稳定,国际轮胎协会,https://www.bipaver.org,2024-09-19,,,,,,,,,,,,,
车载音响,华扬音响科技有限公司,深圳,供给稳定,电子音响行业协会,https://www.electronicsound.org,2024-09-19,,,,,,,,,,,,,
自动驾驶传感器,深圳市高精度科技有限公司,深圳,供给紧张,智能驾驶研究中心,https://www.smartdrive.org,2024-09-19,,,,,,,,,,,,,
油泵,福州油泵制造厂,福州,供给充足,福建省机械制造行业协会,http://fjmachinery.org,2024-09-19,,,,,,,,,,,,,
电池管理系统,宁德时代新能源科技股份有限公司,宁德,供给充足,新能源行业研究院,https://www.energydata.org,2024-09-19,,,,,,,,,,,,,
仪表盘,长城汽车公司,保定,供给稳定,中国汽车工程学会,https://www.cae.org.cn,2024-09-19,,,,,,,,,,,,,
LED大灯,欧司朗有限公司,德国,供给不足,全球照明行业协会,https://www.lightingglobal.org,2024-09-19,,,,,,,,,,,,,
车载导航系统,东风汽车电子有限公司,武汉,供给紧张,车联网技术研究中心,https://www.vehiclelink.org,2024-09-19,,,,,,,,,,,,,
燃油喷射系统,广汽集团,广州,供给稳定,中国汽车技术研究中心,https://www.catrc.org.cn,2024-09-19,,,,,,,,,,,,,
电控单元,博世汽车零部件有限公司,苏州,供给不足,工业和信息化部,https://www.miit.gov.cn,2024-09-19,,,,,,,,,,,,,
制动助力器,日立汽车系统有限公司,日本,供给稳定,日本汽车工业协会,https://www.jama.or.jp,2024-09-19,,,,,,,,,,,,,
液压泵,江苏南方液压有限公司,南京,供给稳定,行业协会新闻,http://www.jshy.org/news,2024-09-19,,,,,,,,,,,,,
转向机,广州汽车集团公司,广州,供给紧张,中国汽车产业协会,http://www.caiac.org.cn,2024-09-19,,,,,,,,,,,,,
电池管理系统,宁德时代新能源科技股份有限公司,宁德,供给充足,国家能源局,https://www.nea.gov.cn,2024-09-19,,,,,,,,,,,,,
汽车灯具,飞利浦照明,荷兰,供给稳定,全球照明行业分析,https://www.lighting.philips.cn,2024-09-19,,,,,,,,,,,,,
车载电脑,华为技术有限公司,深圳,供给不足,华为官方发布,https://www.huawei.com/cn,2024-09-19,,,,,,,,,,,,,
增压器,博世汽车部件（中国）有限公司,上海,供给紧张,汽车零部件观察,http://www.autopartsobserver.cn,2024-09-19,,,,,,,,,,,,,
发动机,一汽解放汽车有限公司,长春,供给稳定,中国汽车工业协会,https://www.caam.org.cn,2024-09-19,,,,,,,,,,,,,
电气系统,伟创力集团有限公司,香港,供给充足,全球电子制造服务报告,https://www.flex.com,2024-09-19,,,,,,,,,,,,,
轮胎,米其林集团,法国,供给稳定,全球轮胎市场分析,https://www.michelin.com,2024-09-19,,,,,,,,,,,,,
车身结构,长城汽车股份有限公司,保定,供给充足,中国汽车制造商协会,http://www.cama.org.cn,2024-09-19,,,,,,,,,,,,,
电子控制单元,华为技术有限公司,深圳,供给紧张,中国信息产业部,https://www.miit.gov.cn,2024-09-19,,,,,,,,,,,,,
动力电池,宁德时代新能源科技股份有限公司,福建,稳定供给,国家能源局,https://www.nea.gov.cn,2024-09-19,,,,,,,,,,,,,
车载摄像头,海康威视数字技术股份有限公司,杭州,供给不足,中国电子技术标准研究院,http://www.cesi.com.cn,2024-09-19,,,,,,,,,,,,,
涡轮增压器,美驰创新科技有限公司,长春,稳定供给,汽车动力系统技术委员会,https://www.engineering.org.cn,2024-09-19,,,,,,,,,,,,,
燃油喷射系统,德尔福汽车系统有限公司,上海,供给紧张,中国汽车工业协会,https://www.caam.org.cn,2024-09-19,,,,,,,,,,,,,
轮毂,力帆集团,重庆,稳定供给,全国金属材料市场信息中心,http://www.metalonline.cn,2024-09-19,,,,,,,,,,,,,
电池管理系统,厦门新能源科技有限公司,厦门,供给不足,国家发改委,https://www.ndrc.gov.cn,2024-09-19,,,,,,,,,,,,,
车窗玻璃,福耀玻璃工业集团股份有限公司,福州,稳定供给,中国玻璃工业协会,https://www.cgia.org.cn,2024-09-19,,,,,,,,,,,,,
底盘系统,东风汽车公司,武汉,稳定供给,中国汽车工程学会,http://www.cae.org.cn,2024-09-19,,,,,,,,,,,,,
气囊系统,江淮汽车集团,合肥,供给紧张,国家质量监督检验检疫总局,https://www.aqsiq.gov.cn,2024-09-19,,,,,,,,,,,,,
电池管理系统,宁德时代新能源科技股份有限公司,宁德,供给稳定,中国电池网,https://www.chinabattery.com,2024-09-19,,,,,,,,,,,,,
发电机,江苏黄河电机有限公司,江苏,供给充足,电力设备协会,https://www.ep.org.cn,2024-09-19,,,,,,,,,,,,,
空气滤清器,马来西亚普森汽车配件公司,马来西亚,供给不足,国际汽车零部件杂志,https://www.auto-components-international.com,2024-09-19,,,,,,,,,,,,,
控制器,华为技术有限公司,深圳,供给稳定,科技日报,https://www.stdaily.com,2024-09-19,,,,,,,,,,,,,
车灯,欧司朗光电有限公司,德国,供给充足,德国照明协会,https://www.german-lighting-association.de,2024-09-19,,,,,,,,,,,,,
动力系统,南汽集团,南京,供给紧张,汽车工业分析平台,https://www.autotrends.com,2024-09-19,,,,,,,,,,,,,
变电器,特变电工股份有限公司,新疆,供给稳定,中国电网公司,https://www.sgcc.com.cn,2024-09-19,,,,,,,,,,,,,
车载传感器,博世汽车部件（中国）有限公司,苏州,供给不足,全球汽车零部件报告,https://www.globalautopartsreport.com,2024-09-19,,,,,,,,,,,,,
氢气罐,中石化炼化工程公司,北京,供给稳定,国家能源局,https://www.nea.gov.cn,2024-09-19,,,,,,,,,,,,,
电子稳定控制系统,丰田汽车公司,日本,供给稳定,日本汽车制造商协会,https://www.jama.or.jp,2024-09-19,,,,,,,,,,,,,
电池管理系统,宁德时代新能源科技股份有限公司,福建,供给稳定,工信部,https://www.miit.gov.cn,2024-09-19,,,,,,,,,,,,,
仿真控制器,多元科技有限公司,深圳,供给紧张,电子行业协会,https://www.eia.org.cn,2024-09-19,,,,,,,,,,,,,
调节阀,华北阀门制造有限公司,北京,供给不足,中国机械工业联合会,https://www.cmfei.org.cn,2024-09-19,,,,,,,,,,,,,
热交换器,江苏新南工有限公司,江苏,供给稳定,清华大学机械工程系,https://www.tsinghua.edu.cn,2024-09-19,,,,,,,,,,,,,
动力电池,比亚迪股份有限公司,广东,供给充足,新能源汽车产业协会,https://www.nev.org.cn,2024-09-19,,,,,,,,,,,,,
电子控制单位,恩智浦半导体公司,荷兰,供给稳定,全球半导体协会,https://www.sia-online.org,2024-09-19,,,,,,,,,,,,,
喷油器,上海大众汽车有限公司,上海,供给紧张,国务院发展研究中心,https://www.drc.gov.cn,2024-09-19,,,,,,,,,,,,,
车载传感器,华为技术有限公司,深圳,供给稳定,中国信息通信研究院,https://www.caict.ac.cn,2024-09-19,,,,,,,,,,,,,
安全气囊,日本丰田汽车公司,日本,供给充足,日本汽车工业协会,https://www.jama.or.jp,2024-09-19,,,,,,,,,,,,,
传动轴,东风汽车集团有限公司,武汉,供给不足,中国汽车动力总成工程学会,https://www.capd.org.cn,2024-09-19,,,,,,,,,,,,,
电子控制单元,华为技术有限公司,深圳,供给稳定,中国电子行业协会,https://www.cecc.org.cn,2024-09-19,,,,,,,,,,,,,
轮胎,米其林集团,法国,供给紧张,全球轮胎行业报告,https://www.michelin.com,2024-09-19,,,,,,,,,,,,,
电池管理系统,宁德时代新能源科技股份有限公司,福建,供给紧张,国家新能源技术发展中心,https://www.nvdcc.gov.cn,2024-09-19,,,,,,,,,,,,,
车载导航系统,高通公司,美国,稳定供给,全球半导体市场报告,https://www.qualcomm.com,2024-09-19,,,,,,,,,,,,,
涡轮增压器,三菱重工,日本,供给不足,国际汽车制造业数据库,https://www.mhi.com,2024-09-19,,,,,,,,,,,,,
车身控制模块,安波福公司,美国,供给稳定,汽车电子协会,https://www.automotive-electronics.com,2024-09-19,,,,,,,,,,,,,
引擎电子控制单元,博世汽车部件（苏州）有限公司,苏州,供给紧张,中国汽车技术研究中心,https://www.catarc.ac.cn,2024-09-19,,,,,,,,,,,,,
氢燃料电池,丰田汽车公司,日本,供给稳定,国际汽车科技协会,https://www.jama.or.jp,2024-09-19,,,,,,,,,,,,,
汽车传感器,德尔福科技公司,美国,供给不足,全球汽车零部件供应链会议,https://www.delphi.com,2024-09-19,,,,,,,,,,,,,
车载音响系统,哈曼国际工业公司,美国,供给稳定,汽车音响行业报告,https://www.harman.com,2024-09-19,,,,,,,,,,,,,
电子控制单元,华为技术有限公司,深圳,稳定供给,中国信息通信研究院,https://www.caict.ac.cn,2024-09-19,,,,,,,,,,,,,
