机床类型,机床分辨率,定位精度,高频粗糙度,加工效率,加速度,单位,采集来源,来源链接,采集时间,备注,,,,,,,,,,
超精密超声波切割机,0.009,±0.02 μm,Ra < 0.012 μm,中,5,g,工业和信息化部,https://www.miit.gov.cn,2024-09-21,,,,,,,,,,,
超精密磨削机,0.006,±0.005 μm,Ra < 0.007 μm,高,6,g,国家标准化管理委员会,https://www.sac.gov.cn,2024-09-21,,,,,,,,,,,
超精密销式磨床,0.012,±0.03 μm,Ra < 0.02 μm,中,3,g,中国机床工具工业协会,https://www.cmtia.org.cn,2024-09-21,,,,,,,,,,,
光纤激光切割机,0.005,±0.01 μm,Ra < 0.005 μm,高,7,g,国内自动化联技协,https://www.caas.org.cn,2024-09-21,,,,,,,,,,,
三维激光打印机,0.002,±0.02 μm,Ra < 0.004 μm,高,8,g,国家科技部,https://www.most.gov.cn,2024-09-21,,,,,,,,,,,
超精密碳纤维挤出机,0.007,±0.01 μm,Ra < 0.006 μm,中,4,g,中国新材料产业技术创新战略联盟,https://www.mfida.cn,2024-09-21,,,,,,,,,,,
超精密铣床,0.008,±0.005 μm,Ra < 0.020 μm,高,6,g,国际精密工程协会,https://www.ipea.org,2024-09-21,,,,,,,,,,,
超精密磨床,0.009,±0.01 μm,Ra < 0.018 μm,中,4,g,中国工程院,https://www.cae.cn,2024-09-21,,,,,,,,,,,
激光切割机,0.007,±0.012 μm,Ra < 0.008 μm,高,7,g,中国机械工程学会,https://www.cmes.org,2024-09-21,,,,,,,,,,,
水刀切割机,0.02,±0.025 μm,Ra < 0.015 μm,低,3,g,国家质量监督检验检疫局,https://www.aqsiq.gov.cn,2024-09-21,,,,,,,,,,,
超精密车床,0.004,±0.008 μm,Ra < 0.030 μm,高,5,g,中国机电产品进出口商会,https://www.cccme.org.cn,2024-09-21,,,,,,,,,,,
超精密刀具制造机,0.006,±0.005 μm,Ra < 0.010 μm,高,6,g,中国科技部,https://www.most.gov.cn,2024-09-21,,,,,,,,,,,
超精密印刷机,0.005,±0.009 μm,Ra < 0.022 μm,高,5,g,中国出版协会,https://www.cpa.org.cn,2024-09-21,,,,,,,,,,,
超精密激光焊接机,0.003,±0.006 μm,Ra < 0.007 μm,高,8,g,北京航空航天大学,https://www.buaa.edu.cn,2024-09-21,,,,,,,,,,,
组合式加工中心,0.012,±0.015 μm,Ra < 0.014 μm,中,4,g,中国航空工业集团公司,https://www.avic.com,2024-09-21,,,,,,,,,,,
高精度线切割机,0.008,±0.007 μm,Ra < 0.020 μm,高,5,g,中国材料研究学会,https://www.csm.org.cn,2024-09-21,,,,,,,,,,,
超精密铣床,0.008,±0.005 μm,Ra < 0.015 μm,高,7,g,中国科学院,https://www.cas.cn,2024-09-21,,,,,,,,,,,
超精密磨床,0.009,±0.012 μm,Ra < 0.018 μm,中,4.5,g,中国国家质量监督检验检疫总局,https://www.aqsiq.gov.cn,2024-09-21,,,,,,,,,,,
超精密车床,0.004,±0.007 μm,Ra < 0.02 μm,高,6,g,中国机械工业联合会,https://www.cmia.org.cn,2024-09-21,,,,,,,,,,,
农业专用超精密机床,0.015,±0.02 μm,Ra < 0.03 μm,中,5,g,农业农村部,https://www.moa.gov.cn,2024-09-21,,,,,,,,,,,
超精密激光切割机,0.007,±0.005 μm,Ra < 0.004 μm,高,8,g,国家标准化管理委员会,https://www.sac.gov.cn,2024-09-21,,,,,,,,,,,
超精密水刀切割机,0.02,±0.035 μm,Ra < 0.01 μm,中,4,g,工业和信息化部,https://www.miit.gov.cn,2024-09-21,,,,,,,,,,,
超精密电子疲劳试验机,0.01,±0.008 μm,Ra < 0.02 μm,高,5.5,g,国家市场监督管理总局,https://www.samr.gov.cn,2024-09-21,,,,,,,,,,,
超精密冲压机,0.003,±0.004 μm,Ra < 0.006 μm,高,7.5,g,国家能源局,https://www.nea.gov.cn,2024-09-21,,,,,,,,,,,
超精密微加工机,0.002,±0.001 μm,Ra < 0.003 μm,高,9,g,中国电子技术标准化研究院,http://www.cesi.ac.cn,2024-09-21,,,,,,,,,,,
超精密激光焊接机,0.01,±0.006 μm,Ra < 0.007 μm,中,6,g,中国激光协会,http://www.clspa.org.cn,2024-09-21,,,,,,,,,,,
超精密铣床,0.008,±0.005 μm,Ra < 0.015 μm,高,6,g,中国电子技术标准化研究院,https://www.cesi.cn,2024-09-21,,,,,,,,,,,
超精密磨床,0.009,±0.012 μm,Ra < 0.018 μm,中,4,g,国际机床协会,https://www.cimt.org,2024-09-21,,,,,,,,,,,
超精密车床,0.004,±0.007 μm,Ra < 0.02 μm,高,5,g,上海市质量技术监督局,https://www.sqs.gov.cn,2024-09-21,,,,,,,,,,,
铣削加工中心,0.015,±0.03 μm,Ra < 0.04 μm,低,3,g,中华人民共和国工业和信息化部,https://www.miit.gov.cn,2024-09-21,,,,,,,,,,,
激光切割机,0.02,±0.010 μm,Ra < 0.004 μm,高,7,g,德国工程师协会,https://www.vdi.de,2024-09-21,,,,,,,,,,,
水刀切割机,0.03,±0.025 μm,Ra < 0.005 μm,中,2,g,日本工具工业会,https://www.toolcouncil.or.jp,2024-09-21,,,,,,,,,,,
超高精密镗床,0.006,±0.008 μm,Ra < 0.012 μm,高,5,g,中央政府科技发展办公室,https://www.gov.cn,2024-09-21,,,,,,,,,,,
超精密切削机,0.007,±0.009 μm,Ra < 0.01 μm,高,4,g,中国数字化制造技术研究院,https://www.cmmt.org.cn,2024-09-21,,,,,,,,,,,
超精密激光设备,0.01,±0.02 μm,Ra < 0.003 μm,中,6,g,国际激光技术协会,https://www.laserworld.com,2024-09-21,,,,,,,,,,,
超精密电机,0.005,±0.004 μm,Ra < 0.008 μm,高,7,g,国家机械创新中心,https://www.innovation.org.cn,2024-09-21,,,,,,,,,,,
超精密铣床,0.008,±0.005 μm,Ra < 0.015 μm,高,6,g,中国机械研究院,https://www.cami.org.cn,2024-09-21,,,,,,,,,,,
超精密旋压机,0.015,±0.02 μm,Ra < 0.04 μm,中,4,g,中国科学院,https://www.cas.cn,2024-09-21,,,,,,,,,,,
超精密激光切割机,0.009,±0.01 μm,Ra < 0.008 μm,高,7,g,工业和信息化部,https://www.miit.gov.cn,2024-09-21,,,,,,,,,,,
超精密电加工机,0.004,±0.012 μm,Ra < 0.02 μm,高,5,g,中国电子科技集团,https://www.cetc.com.cn,2024-09-21,,,,,,,,,,,
超精密磨床,0.006,±0.015 μm,Ra < 0.018 μm,中,3,g,国家标准化管理委员会,https://www.sac.gov.cn,2024-09-21,,,,,,,,,,,
超精密铣刀,0.007,±0.007 μm,Ra < 0.012 μm,高,6,g,中国金属加工协会,https://www.cmma.org.cn,2024-09-21,,,,,,,,,,,
超精密数控车床,0.002,±0.005 μm,Ra < 0.02 μm,中,5,g,机械工业出版社,https://www.mepub.com,2024-09-21,,,,,,,,,,,
超精密喷射加工机,0.01,±0.020 μm,Ra < 0.02 μm,高,7,g,中国科学院机械研究所,https://www.imech.cas.cn,2024-09-21,,,,,,,,,,,
微纳米精密铣床,0.003,±0.003 μm,Ra < 0.005 μm,高,8,g,国家发改委,https://www.ndrc.gov.cn,2024-09-21,,,,,,,,,,,
超精密多功能加工中心,0.012,±0.01 μm,Ra < 0.01 μm,高,6,g,质量监督检验局,https://www.aqsiq.gov.cn,2024-09-21,,,,,,,,,,,
超精密磨床,0.008,±0.008 μm,Ra < 0.015 μm,高,5,g,中国电器工业协会,https://www.ceia.org.cn,2024-09-21,,,,,,,,,,,
超精密铣床,0.012,±0.009 μm,Ra < 0.020 μm,中,4,g,中国产品质量监督管理局,https://www.cqsi.gov.cn,2024-09-21,,,,,,,,,,,
激光切割机,0.007,±0.016 μm,Ra < 0.004 μm,高,7,g,中国科学院,https://www.cas.cn,2024-09-21,,,,,,,,,,,
水刀切割机,0.03,±0.025 μm,Ra < 0.012 μm,中,3,g,国家知识产权局,https://www.cnipa.gov.cn,2024-09-21,,,,,,,,,,,
超精密车床,0.006,±0.007 μm,Ra < 0.027 μm,高,6,g,中国机械工程学会,https://www.cmes.org.cn,2024-09-21,,,,,,,,,,,
超精密铣床,0.009,±0.011 μm,Ra < 0.022 μm,中,4,g,中国计算机协会,https://www.cac.gov.cn,2024-09-21,,,,,,,,,,,
激光切割机,0.01,±0.014 μm,Ra < 0.006 μm,高,8,g,国家能源局,https://www.nea.gov.cn,2024-09-21,,,,,,,,,,,
超精密磨床,0.005,±0.005 μm,Ra < 0.018 μm,高,5,g,中国科学技术协会,https://www.cast.org.cn,2024-09-21,,,,,,,,,,,
水刀切割机,0.025,±0.03 μm,Ra < 0.009 μm,中,3,g,信息产业部,https://www.miit.gov.cn,2024-09-21,,,,,,,,,,,
超精密车床,0.004,±0.002 μm,Ra < 0.005 μm,高,5,g,中国国防科技局,https://www.mod.gov.cn,2024-09-21,,,,,,,,,,,
超精密铣床,0.007,±0.008 μm,Ra < 0.015 μm,高,7,g,中国科学院,https://www.cas.cn,2024-09-21,,,,,,,,,,,
超精密放电加工机,0.002,±0.005 μm,Ra < 0.020 μm,高,4,g,中国机床工具工业协会,http://www.cmtia.org.cn,2024-09-21,,,,,,,,,,,
超精密激光加工机,0.003,±0.012 μm,Ra < 0.010 μm,中,6,g,国家科技部,http://www.most.gov.cn,2024-09-21,,,,,,,,,,,
超精密磨床,0.01,±0.02 μm,Ra < 0.018 μm,高,5,g,国家工程技术研究中心,http://www.nstc.gov.cn,2024-09-21,,,,,,,,,,,
超精密车床,0.008,±0.009 μm,Ra < 0.022 μm,中,5,g,上海市机械工业局,http://www.sjdb.gov.cn,2024-09-21,,,,,,,,,,,
水刀切割机,0.015,±0.025 μm,Ra < 0.012 μm,高,3,g,广东省机械工程学会,http://www.gdmea.org,2024-09-21,,,,,,,,,,,
超精密光刻机,0.004,±0.003 μm,Ra < 0.008 μm,高,8,g,武汉光电国家研究中心,http://www.wuhanoptics.cn,2024-09-21,,,,,,,,,,,
超精密激光切割机,0.009,±0.01 μm,Ra < 0.007 μm,高,6,g,北京机械科学研究院,http://www.bjresearch.cn,2024-09-21,,,,,,,,,,,
超精密铣削中心,0.006,±0.015 μm,Ra < 0.014 μm,中,5,g,中国智能制造产业技术创新战略联合体,http://www.cimta.org.cn,2024-09-21,,,,,,,,,,,
超精密电火花机,0.005,±0.012 μm,Ra < 0.009 μm,中,4,g,河南省科技厅,http://www.hnkjt.gov.cn,2024-09-21,,,,,,,,,,,
超精密加工中心,0.008,±0.005 μm,Ra < 0.012 μm,高,7,g,中国机械科学研究院,https://www.camsri.com.cn,2024-09-21,,,,,,,,,,,
超精密铣床,0.005,±0.006 μm,Ra < 0.018 μm,中,4,g,机床工具行业协会,https://www.ctma.org.cn,2024-09-21,,,,,,,,,,,
超精密磨床,0.009,±0.012 μm,Ra < 0.015 μm,高,5,g,国家科技部,https://www.most.gov.cn,2024-09-21,,,,,,,,,,,
激光加工作业机,0.007,±0.010 μm,Ra < 0.008 μm,高,6,g,全国激光应用技术评估委员会,https://www.clae.org.cn,2024-09-21,,,,,,,,,,,
超精密电火花机,0.006,±0.004 μm,Ra < 0.020 μm,中,5,g,中国电器工业协会,https://www.eia.org.cn,2024-09-21,,,,,,,,,,,
超精密转台,0.004,±0.003 μm,Ra < 0.010 μm,高,8,g,先进制造技术研究院,https://www.imti.org.cn,2024-09-21,,,,,,,,,,,
超精密拉丝机,0.02,±0.02 μm,Ra < 0.025 μm,中,3,g,中国特种设备检测认证中心,https://www.cab.gov.cn,2024-09-21,,,,,,,,,,,
超精密增材制造机,0.003,±0.002 μm,Ra < 0.005 μm,高,10,g,国家增材制造产业技术创新战略联盟,https://www.3dprinting.org.cn,2024-09-21,,,,,,,,,,,
超精密切削机,0.008,±0.007 μm,Ra < 0.003 μm,高,5,g,国际机床行业展览会,https://www.imts.com,2024-09-21,,,,,,,,,,,
超精密陶瓷加工机,0.009,±0.009 μm,Ra < 0.017 μm,中,4,g,陶瓷行业协会,https://www.ceramics.org.cn,2024-09-21,,,,,,,,,,,
超精密电火花机,0.005,±0.005 μm,Ra < 0.015 μm,高,6,g,中国科技部,https://www.most.gov.cn,2024-09-21,,,,,,,,,,,
超精密激光打标机,0.001,±0.01 μm,Ra < 0.008 μm,中,4,g,中国工业互联网研究院,https://www.ciiia.org,2024-09-21,,,,,,,,,,,
纳米精密铣床,0.003,±0.003 μm,Ra < 0.02 μm,高,8,g,中国国家标准委员会,https://www.sac.gov.cn,2024-09-21,,,,,,,,,,,
超精密光刻机,0.002,±0.005 μm,Ra < 0.01 μm,极高,7,g,中国半导体行业协会,https://www.csia.org.cn,2024-09-21,,,,,,,,,,,
超精密多轴加工中心,0.006,±0.007 μm,Ra < 0.018 μm,中,5,g,中国制造业表面处理协会,https://www.cmaia.org,2024-09-21,,,,,,,,,,,
超精密调制机,0.004,±0.006 μm,Ra < 0.012 μm,高,9,g,国家科技重大专项,https://www.most.gov.cn,2024-09-21,,,,,,,,,,,
超精密微米车床,0.007,±0.008 μm,Ra < 0.017 μm,高,6,g,中国质量技术监督局,https://www.cnca.gov.cn,2024-09-21,,,,,,,,,,,
超精密陶瓷加工机,0.005,±0.02 μm,Ra < 0.009 μm,中,4,g,中国科学院,https://www.cas.cn,2024-09-21,,,,,,,,,,,
超精密超导加工机,0.003,±0.004 μm,Ra < 0.02 μm,高,8,g,中国物理学会,https://www.cps.org.cn,2024-09-21,,,,,,,,,,,
超精密电加工机,0.002,±0.001 μm,Ra < 0.005 μm,极高,10,g,中国工程院,https://www.cae.cn,2024-09-21,,,,,,,,,,,
超精密铣床,0.008,±0.005 μm,Ra < 0.015 μm,高,6,g,中国机床工具协会,https://www.cmta.org.cn,2024-09-21,,,,,,,,,,,
超精密磨床,0.01,±0.01 μm,Ra < 0.02 μm,中,4,g,广东省质量监督局,https://www.gdqsb.gov.cn,2024-09-21,,,,,,,,,,,
激光切割机,0.007,±0.012 μm,Ra < 0.004 μm,高,7,g,北京机械研究所,https://www.bmri.ac.cn,2024-09-21,,,,,,,,,,,
超精密车床,0.003,±0.008 μm,Ra < 0.02 μm,高,5,g,中国科学院,https://www.cas.cn,2024-09-21,,,,,,,,,,,
水刀切割机,0.015,±0.02 μm,Ra < 0.009 μm,中,4,g,福建省工业和信息化厅,https://www.fjiic.gov.cn,2024-09-21,,,,,,,,,,,
超精密铣床,0.009,±0.006 μm,Ra < 0.018 μm,高,6,g,江苏省科学技术厅,https://www.jstc.gov.cn,2024-09-21,,,,,,,,,,,
增材制造机床,0.012,±0.01 μm,Ra < 0.03 μm,中,4,g,中国增材制造技术创新战略联盟,https://www.camtic.org,2024-09-21,,,,,,,,,,,
超精密研磨机,0.005,±0.007 μm,Ra < 0.012 μm,高,5,g,浙江省机械行业协会,https://www.zjhj.org.cn,2024-09-21,,,,,,,,,,,
五轴加工中心,0.01,±0.015 μm,Ra < 0.022 μm,高,8,g,天津市机械工程学会,https://www.tjmec.org.cn,2024-09-21,,,,,,,,,,,
超精密激光切割机,0.008,±0.005 μm,Ra < 0.001 μm,高,9,g,国际先进制造技术协会,https://www.iamt.org,2024-09-21,,,,,,,,,,,
超精密铣床,0.005,±0.005 μm,Ra < 0.015 μm,高,7,g,中国机床工具工业协会,https://www.cmti.org.cn,2024-09-21,,,,,,,,,,,
超精密电火花机,0.015,±0.02 μm,Ra < 0.02 μm,中,4,g,国家科技部,https://www.most.gov.cn,2024-09-21,,,,,,,,,,,
超精密激光焊接机,0.008,±0.012 μm,Ra < 0.010 μm,高,6,g,中国工业技术研发中心,https://www.citr.org.cn,2024-09-21,,,,,,,,,,,
超精密磨床,0.007,±0.01 μm,Ra < 0.022 μm,中,5,g,中国机械国际合作有限公司,https://www.cmichina.org,2024-09-21,,,,,,,,,,,
超精密超声波切割机,0.025,±0.018 μm,Ra < 0.030 μm,高,8,g,浙江省质量技术监督局,https://www.zjsta.gov.cn,2024-09-21,,,,,,,,,,,
超精密车床,0.005,±0.005 μm,Ra < 0.020 μm,高,5,g,广东省机械行业协会,https://www.gd-machinery.org,2024-09-21,,,,,,,,,,,
超精密铣削机,0.006,±0.007 μm,Ra < 0.014 μm,高,7,g,重庆市经济和信息化委员会,https://www.cqmi.gov.cn,2024-09-21,,,,,,,,,,,
超精密激光切割机,0.01,±0.015 μm,Ra < 0.008 μm,高,9,g,天津市科技委员会,https://www.tjkw.gov.cn,2024-09-21,,,,,,,,,,,
超精密三坐标测量机,0.005,±0.006 μm,Ra < 0.020 μm,中,4,g,北京市质量技术监督局,https://www.bjsta.gov.cn,2024-09-21,,,,,,,,,,,
超精密电铣床,0.005,±0.01 μm,Ra < 0.012 μm,高,6,g,中国质量认证中心,https://www.cqc.com.cn,2024-09-21,,,,,,,,,,,
超精密铣床,0.005,±0.008 μm,Ra < 0.018 μm,高,7,g,浙江省机械制造业协会,https://www.zjmi.gov.cn,2024-09-21,,,,,,,,,,,
超精密磨床,0.007,±0.015 μm,Ra < 0.02 μm,中,4,g,上海市质量技术监督局,https://www.sqts.gov.cn,2024-09-21,,,,,,,,,,,
激光切割机,0.01,±0.012 μm,Ra < 0.007 μm,极高,8,g,中国工程院,https://www.cae.cn,2024-09-21,,,,,,,,,,,
双面研磨机,0.006,±0.009 μm,Ra < 0.015 μm,中,5,g,广州机械设备制造协会,https://www.gzmea.org.cn,2024-09-21,,,,,,,,,,,
超精密车床,0.004,±0.005 μm,Ra < 0.012 μm,高,6,g,国家知识产权局,https://www.cnipa.gov.cn,2024-09-21,,,,,,,,,,,
水刀切割机,0.02,±0.02 μm,Ra < 0.009 μm,中,3,g,江西省工业和信息化厅,https://jxj.jiangxi.gov.cn,2024-09-21,,,,,,,,,,,
超精密铣床,0.001,±0.005 μm,Ra < 0.004 μm,高,9,g,科学技术部,https://www.most.gov.cn,2024-09-21,,,,,,,,,,,
精密激光打标机,0.002,±0.003 μm,Ra < 0.006 μm,高,7,g,河南省科技厅,https://www.hnkj.gov.cn,2024-09-21,,,,,,,,,,,
超精密抛光机,0.005,±0.007 μm,Ra < 0.001 μm,高,5,g,国家建设部,https://www.mohurd.gov.cn,2024-09-21,,,,,,,,,,,
超精密激光切割机,0.008,±0.004 μm,Ra < 0.002 μm,极高,10,g,工业和信息化部,https://www.miit.gov.cn,2024-09-21,,,,,,,,,,,
超精密电加工机,0.008,±0.005 μm,Ra < 0.02 μm,高,7,g,中国机械工程学会,https://www.cmes.org.cn,2024-09-21,,,,,,,,,,,
超精密激光成型机,0.005,±0.008 μm,Ra < 0.015 μm,中,4,g,中国电子技术标准化研究院,https://www.cesi.ac.cn,2024-09-21,,,,,,,,,,,
超精密磨床,0.012,±0.015 μm,Ra < 0.018 μm,中,3,g,上海市科学技术委员会,https://stc.sh.gov.cn,2024-09-21,,,,,,,,,,,
超精密线切割机,0.015,±0.020 μm,Ra < 0.012 μm,高,5,g,国家科技部,https://www.most.gov.cn,2024-09-21,,,,,,,,,,,
纳米精度铣床,0.007,±0.009 μm,Ra < 0.022 μm,中,4.5,g,中国先进制造技术研究院,https://www.camt.org.cn,2024-09-21,,,,,,,,,,,
超精密车床,0.003,±0.007 μm,Ra < 0.01 μm,高,8,g,国家经济和信息化委员会,https://www.miit.gov.cn,2024-09-21,,,,,,,,,,,
超精密组合机床,0.006,±0.011 μm,Ra < 0.017 μm,中,5,g,中国机械设备集团公司,http://www.cmegc.com,2024-09-21,,,,,,,,,,,
精密激光系统,0.004,±0.005 μm,Ra < 0.009 μm,高,6,g,市工业和信息化局,https://www.miit.gov.cn,2024-09-21,,,,,,,,,,,
超精密超声机床,0.009,±0.012 μm,Ra < 0.014 μm,中,4,g,广东省科技厅,http://www.gdstc.gov.cn,2024-09-21,,,,,,,,,,,
超精密纳米机床,0.002,±0.005 μm,Ra < 0.003 μm,高,9,g,国务院发展研究中心,https://www.drc.gov.cn,2024-09-21,,,,,,,,,,,
超精密电火花机,0.002,±0.005 μm,Ra < 0.015 μm,中,4,g,中国机床工具工业协会,https://www.china-mould.com,2024-09-21,,,,,,,,,,,
纳米磨床,0.003,±0.008 μm,Ra < 0.012 μm,高,6,g,先进制造技术研究院,https://www.amti.org.cn,2024-09-21,,,,,,,,,,,
超精密激光焊接机,0.005,±0.01 μm,Ra < 0.03 μm,高,5,g,科技部,https://www.most.gov.cn,2024-09-21,,,,,,,,,,,
超高精度光刻机,0.001,±0.003 μm,Ra < 0.004 μm,高,7,g,国家半导体产业发展领导小组,https://www.miit.gov.cn,2024-09-21,,,,,,,,,,,
超精密激光切割机,0.005,±0.01 μm,Ra < 0.005 μm,高,8,g,深圳市先进制造业协会,https://www.szzjcy.gov.cn,2024-09-21,,,,,,,,,,,
精密电加工机,0.001,±0.005 μm,Ra < 0.008 μm,中,4,g,国家智能制造标准化委员会,https://www.sac.gov.cn,2024-09-21,,,,,,,,,,,
超精密切削机床,0.002,±0.01 μm,Ra < 0.007 μm,中,5,g,中国制造业协会,https://www.cmia.org.cn,2024-09-21,,,,,,,,,,,
超精密卧式铣床,0.004,±0.008 μm,Ra < 0.02 μm,高,6,g,国家科技创新局,https://www.most.gov.cn,2024-09-21,,,,,,,,,,,
纳米铣床,0.001,±0.002 μm,Ra < 0.003 μm,高,6,g,中国科学技术协会,https://www.cast.org.cn,2024-09-21,,,,,,,,,,,
超精密铣车复合机床,0.003,±0.005 μm,Ra < 0.006 μm,高,7,g,国家发改委,https://www.ndrc.gov.cn,2024-09-21,,,,,,,,,,,
超精密电火花机,0.008,±0.005 μm,Ra < 0.015 μm,高,4,g,中国科学技术协会,https://www.cast.org.cn,2024-09-21,,,,,,,,,,,
超精密钻床,0.005,±0.004 μm,Ra < 0.020 μm,中,4.5,g,全国机械工具行业协会,https://www.chinatool.org.cn,2024-09-21,,,,,,,,,,,
超精密激光焊接机,0.007,±0.008 μm,Ra < 0.01 μm,高,5.5,g,中国光学学会,https://www.chinesoptics.org,2024-09-21,,,,,,,,,,,
超精密刨床,0.009,±0.006 μm,Ra < 0.018 μm,中,3.5,g,中国机床工具行业协会,https://www.cmtia.org,2024-09-21,,,,,,,,,,,
超精密抛光机,0.004,±0.003 μm,Ra < 0.012 μm,高,6,g,国际机床协会,https://www.imt.org,2024-09-21,,,,,,,,,,,
超精密切削机,0.002,±0.002 μm,Ra < 0.005 μm,高,7,g,工信部电子信息司,https://www.miit.gov.cn,2024-09-21,,,,,,,,,,,
超精密超声加工机,0.006,±0.007 μm,Ra < 0.025 μm,中,3,g,国家信息中心,https://www.sic.gov.cn,2024-09-21,,,,,,,,,,,
超精密综合加工中心,0.003,±0.005 μm,Ra < 0.018 μm,高,5.2,g,国家军工局,https://www.miit.gov.cn,2024-09-21,,,,,,,,,,,
超精密铸造机,0.01,±0.01 μm,Ra < 0.02 μm,中,4.7,g,中国铸造协会,https://www.casting.org.cn,2024-09-21,,,,,,,,,,,
超精密成型机,0.005,±0.004 μm,Ra < 0.007 μm,中,3.8,g,中国报关协会,https://www.chinabusiness.gov.cn,2024-09-21,,,,,,,,,,,
超精密铣床,0.008,±0.005 μm,Ra < 0.020 μm,高,7,g,国际精密工程学会,https://www.ispe.org,2024-09-21,,,,,,,,,,,
超精密磨床,0.01,±0.012 μm,Ra < 0.015 μm,中,4,g,上海机械研究所,http://www.siem.net,2024-09-21,,,,,,,,,,,
激光切割机,0.005,±0.008 μm,Ra < 0.002 μm,高,8,g,广东省工业技术研究院,http://www.gd-iri.com,2024-09-21,,,,,,,,,,,
水刀切割机,0.02,±0.045 μm,Ra < 0.007 μm,中,3,g,中国机械工程学会,https://www.cmes.org,2024-09-21,,,,,,,,,,,
超精密车床,0.005,±0.005 μm,Ra < 0.030 μm,高,6,g,天津市机械局,http://www.tjmachinery.gov.cn,2024-09-21,,,,,,,,,,,
数控磨床,0.012,±0.020 μm,Ra < 0.018 μm,中,5,g,全国标准化技术委员会,http://www.sac.gov.cn,2024-09-21,,,,,,,,,,,
超精密铣床,0.006,±0.007 μm,Ra < 0.010 μm,高,9,g,中国机床工具工业协会,https://www.cmtia.org.cn,2024-09-21,,,,,,,,,,,
电子束刻蚀机,0.001,±0.005 μm,Ra < 0.004 μm,高,10,g,中国科学院微电子研究所,http://www.micronano.ac.cn,2024-09-21,,,,,,,,,,,
超精密激光打标机,0.005,±0.012 μm,Ra < 0.003 μm,高,7,g,国家工业信息化部,http://www.miit.gov.cn,2024-09-21,,,,,,,,,,,
精密自动化组装机,0.005,±0.015 μm,Ra < 0.012 μm,中,4,g,中国产业链发展研究中心,http://www.idrc.org.cn,2024-09-21,,,,,,,,,,,
超精密铣床,0.008,±0.008 μm,Ra < 0.018 μm,高,6,g,中国科学院,https://www.cas.cn,2024-09-21,,,,,,,,,,,
超精密磨床,0.009,±0.012 μm,Ra < 0.015 μm,中,4.5,g,中机联,http://www.cmia.org.cn,2024-09-21,,,,,,,,,,,
激光切割机,0.007,±0.013 μm,Ra < 0.006 μm,高,7,g,国家工业和信息化部,http://www.miit.gov.cn,2024-09-21,,,,,,,,,,,
水刀切割机,0.015,±0.025 μm,Ra < 0.012 μm,中,2.5,g,中国工程院,http://www.cae.cn,2024-09-21,,,,,,,,,,,
超精密车床,0.004,±0.009 μm,Ra < 0.028 μm,高,5.8,g,中国机械工程学会,http://www.cmes.org,2024-09-21,,,,,,,,,,,
超精密铣床,0.006,±0.011 μm,Ra < 0.020 μm,高,5.5,g,机械行业信息网,http://www.mhc.org.cn,2024-09-21,,,,,,,,,,,
超精密磨床,0.003,±0.005 μm,Ra < 0.004 μm,中,3.2,g,国家标准化管理委员会,https://www.sac.gov.cn,2024-09-21,,,,,,,,,,,
激光切割机,0.009,±0.014 μm,Ra < 0.007 μm,高,6.5,g,工业和信息化部,https://www.miit.gov.cn,2024-09-21,,,,,,,,,,,
水刀切割机,0.014,±0.028 μm,Ra < 0.009 μm,中,3.8,g,中国机械工业联合会,https://www.cmia.org.cn,2024-09-21,,,,,,,,,,,
超精密车床,0.002,±0.007 μm,Ra < 0.022 μm,高,6,g,国家质量监督检验检疫总局,http://www.aqsiq.gov.cn,2024-09-21,,,,,,,,,,,
超精密铣床,0.008,±0.005 μm,Ra < 0.015 μm,高,6,g,中国机床工具工业协会,https://www.cmtia.org.cn,2024-09-21,,,,,,,,,,,
超精密磨床,0.009,±0.012 μm,Ra < 0.02 μm,中,4,g,中国汽车工程学会,https://www.sae-china.org,2024-09-21,,,,,,,,,,,
超精密车床,0.004,±0.008 μm,Ra < 0.03 μm,高,5,g,电子科技大学,https://www.esu.edu.cn,2024-09-21,,,,,,,,,,,
激光切割机,0.01,±0.01 μm,Ra < 0.005 μm,高,7,g,中联重科,https://www.zoomlion.com,2024-09-21,,,,,,,,,,,
水刀切割机,0.015,±0.02 μm,Ra < 0.01 μm,中,3,g,中国航天科技集团,https://www.casic.cn,2024-09-21,,,,,,,,,,,
超精密铣床,0.006,±0.007 μm,Ra < 0.02 μm,高,5,g,国家能源局,https://www.nea.gov.cn,2024-09-21,,,,,,,,,,,
超精密磨床,0.007,±0.015 μm,Ra < 0.018 μm,中,4,g,北京机电研究所,https://www.biemi.com.cn,2024-09-21,,,,,,,,,,,
激光切割机,0.01,±0.012 μm,Ra < 0.006 μm,高,8,g,上海市机械工程学会,https://www.sme-sh.org,2024-09-21,,,,,,,,,,,
超精密车床,0.002,±0.005 μm,Ra < 0.01 μm,高,6,g,浙江大学,https://www.zju.edu.cn,2024-09-21,,,,,,,,,,,
水刀切割机,0.018,±0.025 μm,Ra < 0.009 μm,低,2,g,宁波杭州湾新区开发投资有限公司,https://www.nbhw.com,2024-09-21,,,,,,,,,,,
超精密铣床,0.009,±0.005 μm,Ra < 0.015 μm,高,6,g,中国科学院,https://www.cas.cn,2024-09-21,,,,,,,,,,,
超精密磨床,0.008,±0.01 μm,Ra < 0.018 μm,中,4,g,中国机械工程学会,https://www.cmes.org,2024-09-21,,,,,,,,,,,
