受理号,合成生物技术名称,合成生物技术类型,注册分类,申请类型,承办日期,企业名称,联合申报企业名称,办理状态,状态开始时间,审评结论,规范企业名称,技术构成,企业名称(CDE),试验登记号,适用领域,规范企业名称.1,注册版本,采集来源,来源链接,采集时间,备注
32891457MB3D48763Q/2024-00068,合成生物气体生产技术,生物能源,清洁能源,初审,2023-09-25,沈阳生物燃气公司,东北大学化工学院,审核中,2023-09-26,待审,沈阳生物燃气公司,微生物厌氧消化,沈阳生物燃气公司,T20230812,新能源、环保,沈阳生物燃气公司,V1.0,辽宁省科学技术厅,http://www.ln.gov.cn/,2024-09-23,
75920348MB5E21479M/2024-00049,细胞基础的免疫疗法,细胞治疗,新药研发,初审,2023-09-10,深圳先进生物科技公司,深圳医疗集团,审核中,2023-09-11,待审,深圳先进生物科技公司,CAR-T细胞治疗,深圳先进生物科技公司,T20230805,医疗、肿瘤,深圳先进生物科技公司,V1.0,深圳市科技创新委员会,https://www.sz.gov.cn/,2024-09-23,
61237890MB1A13620L/2024-00064,合成生物肥料研发,农业生物技术,新技术,初审,2023-09-12,武汉农业生物科技公司,武汉市农业科学院,审核中,2023-09-13,待审,武汉农业生物科技公司,微生物复合肥料,武汉农业生物科技公司,T20230806,农业,武汉农业生物科技公司,V1.0,武汉市商务局,https://www.wuhan.gov.cn/,2024-09-23,
47382905MB4F23468S/2024-00080,合成植物疫苗技术,植物保护,新技术,初审,2023-09-15,南京农业科技有限公司,南京林业大学,审核中,2023-09-16,待审,南京农业科技有限公司,转基因植物疫苗,南京农业科技有限公司,T20230807,农业、植物保护,南京农业科技有限公司,V1.0,江苏省科技厅,https://www.jiangsu.gov.cn/,2024-09-23,
19204836MB3C65721X/2024-00071,微生物屏障技术,环境工程,环境保护,初审,2023-09-18,青岛环境保护科技有限公司,青岛海洋科学研究所,审核中,2023-09-19,待审,青岛环境保护科技有限公司,生物修复微生物,青岛环境保护科技有限公司,T20230808,环境修复,青岛环境保护科技有限公司,V1.0,青岛市科技局,https://www.qd.gov.cn/,2024-09-23,
"14320201MB3D38593Q/2024-00076,12450150MB4D48274R/2024-00081,11540310MB2D24866M/2024-00092,13760123MB5D37285K/2024-00067,14580204MB6D98134T/2024-00088",基因驱动技术,基因工程,新技术,初审,2023-09-20,天津基因生物公司,天津科技大学,审核中,2023-09-21,待审,天津基因生物公司,基因编辑技术应用,天津基因生物公司,T20230809,农业、生态,天津基因生物公司,V1.0,天津市科技委员会,https://www.tianjin.gov.cn/,2024-09-23,
11440300MB2D27883P/2024-00061,合成生物防治技术,生态农业,新技术,初审,2023-09-22,杭州生态农业科技公司,浙江大学,审核中,2023-09-23,待审,杭州生态农业科技公司,益生菌防治技术,杭州生态农业科技公司,T20230810,农业、环保,杭州生态农业科技公司,V1.0,浙江省农业厅,https://www.zj.gov.cn/,2024-09-23,
11440300MB2D27884P/2024-00062,基因表达调控系统,合成生物学,新技术,初审,2023-09-25,厦门生物技术集团,厦门大学,审核中,2023-09-26,待审,厦门生物技术集团,基因调控元件,厦门生物技术集团,T20230811,研究、医药,厦门生物技术集团,V1.0,厦门市科技局,https://www.xm.gov.cn/,2024-09-23,
11440300MB2D27885P/2024-00063,人造器官构建技术,生物医学,新药研发,初审,2023-09-30,上海再生医学研究中心,复旦大学,审核中,2023-10-01,待审,上海再生医学研究中心,3D生物打印,上海再生医学研究中心,T20230812,医疗、再生医学,上海再生医学研究中心,V1.0,上海市卫生健康委员会,https://wsjkw.sh.gov.cn/,2024-09-23,
11440300MB2D27886P/2024-00064,植物基因组编辑与改良技术,基因编辑,新技术,初审,2023-09-01,武汉农业科技公司,武汉高校生物研究中心,审核中,2023-09-02,待审,武汉农业科技公司,CRISPR基因剪切,武汉农业科技公司,T20230805,农业、食品,武汉农业科技公司,V1.0,中国农业科学院,http://caas.cn,2024-09-23,
11440300MB2D27887P/2024-00065,基于深度学习的疫苗设计技术,药物研发,新药研发,初审,2023-09-05,上海疫苗科技公司,上海科技大学,审核中,2023-09-06,待审,上海疫苗科技公司,计算机辅助药物设计,上海疫苗科技公司,T20230806,医疗、疫苗,上海疫苗科技公司,V1.0,中国食品药品监督管理局,https://www.nmpa.gov.cn,2024-09-23,
11440300MB2D27888P/2024-00066,新型生物传感器系统,生物传感器,技术创新,初审,2023-09-10,青岛智能技术公司,青岛大学生物学院,审核中,2023-09-11,待审,青岛智能技术公司,纳米材料与生物结合,青岛智能技术公司,T20230807,医疗、环境监测,青岛智能技术公司,V1.0,国家自然科学基金委员会,http://nsfc.gov.cn,2024-09-23,
11440300MB2D27889P/2024-00067,基因驱动技术,基因工程,新技术,初审,2023-09-15,深圳基因科技公司,深圳大学生物技术研究中心,审核中,2023-09-16,待审,深圳基因科技公司,基因驱动系统构建,深圳基因科技公司,T20230808,农业、生态,深圳基因科技公司,V1.0,地方农业管理部门,http://da.gov.cn,2024-09-23,
11440300MB2D27890P/2024-00068,合成生物材料开发技术,生物材料,技术创新,初审,2023-09-20,杭州生物材料科技公司,浙江大学材料科学与工程学院,审核中,2023-09-21,待审,杭州生物材料科技公司,可降解聚合物合成,杭州生物材料科技公司,T20230809,医疗、环境,杭州生物材料科技公司,V1.0,中国材料研究学会,http://www.cmse.gov.cn,2024-09-23,
11440300MB2D27891P/2024-00069,合成生物催化剂研发技术,催化剂开发,新技术,初审,2023-09-25,南京生物催化公司,南京农业大学,审核中,2023-09-26,待审,南京生物催化公司,酶类催化机制探索,南京生物催化公司,T20230810,制药、化工,南京生物催化公司,V1.0,国家化学材料管理局,http://chemicals.gov.cn,2024-09-23,
11440300MB2D27892P/2024-00070,微生物合成技术,微生物工程,新技术,初审,2023-09-30,西安微生物科技公司,西安交通大学生命科学学院,审核中,2023-10-01,待审,西安微生物科技公司,微生物代谢路径优化,西安微生物科技公司,T20230811,环境、工业,西安微生物科技公司,V1.0,国家生物技术管理局,http://biotech.gov.cn,2024-09-23,
"12850101MB3D38972Q/2024-00061,13570802MB4D49083R/2024-00062,14291303MB5D59194S/2024-00063,15002504MB6D70205T/2024-00064,15718905MB7D81316U/2024-00065,16430206MB8D92427V/2024-00066,17140507MB9D03538W/2024-00067,17851608MB0D14649X/2024-00068,18567809MB1D25750Y/2024-00069,19289010MB2D36861Z/2024-00070",干细胞合成与应用技术,细胞工程,新药研发,初审,2023-10-05,佛山细胞研究所,华南理工大学,审核中,2023-10-06,待审,佛山细胞研究所,干细胞分化机制研究,佛山细胞研究所,T20230812,医疗、再生医学,佛山细胞研究所,V1.0,中国科学院,http://cas.cn,2024-09-23,
"22750411MB3C38293Q/2024-00013,33580622MB1A47984R/2024-00045,44390733MB5E56485S/2024-00009,55100844MB7F64396T/2024-00029,66810955MB2G75907U/2024-00022,77921066MB8H87518V/2024-00037,88431177MB9J98429W/2024-00011,99341288MB3K19530X/2024-00004",合成生物燃料开发技术,生物能源,新技术,初审,2023-09-05,深圳生物能源科技公司,深圳局部生物研究院,审核中,2023-09-06,待审,深圳生物能源科技公司,微生物发酵技术,深圳生物能源科技公司,T20230805,能源、环保,深圳生物能源科技公司,V1.0,深圳市科技创新委员会,https://stc.gov.cn,2024-09-23,
56230112MB9F23596D/2024-00042,新型疫苗胶囊技术,疫苗创新,新药研发,初审,2023-09-10,武汉生物制药有限公司,华中科技大学,审核中,2023-09-11,待审,武汉生物制药有限公司,疫苗载体胶囊技术,武汉生物制药有限公司,T20230806,医疗、疫苗,武汉生物制药有限公司,V1.0,武汉市科学技术局,https://wuhan.gov.cn,2024-09-23,
83710285MB3G13545K/2024-00014,合成重组蛋白技术,重组技术,新技术,初审,2023-09-15,杭州生物工艺有限公司,浙江大学生物技术研究中心,审核中,2023-09-16,待审,杭州生物工艺有限公司,重组DNA技术,杭州生物工艺有限公司,T20230807,生物制药、治疗,杭州生物工艺有限公司,V1.0,浙江省科学技术厅,https://zj.gov.cn,2024-09-23,
48250710MB1H34625T/2024-00077,合成生物材料开发技术,生物材料,新技术,初审,2023-09-20,南京生物材料公司,南京大学,审核中,2023-09-21,待审,南京生物材料公司,生物降解聚合物,南京生物材料公司,T20230808,医疗、环境,南京生物材料公司,V1.0,南京市科学技术局,https://nanjing.gov.cn,2024-09-23,
29360458MB8K96543H/2024-00029,微生物污水处理技术,环境生物,环境保护,初审,2023-09-25,重庆环保技术有限公司,重庆大学生态环境研究院,审核中,2023-09-26,待审,重庆环保技术有限公司,活性污泥法,重庆环保技术有限公司,T20230809,环境、污水处理,重庆环保技术有限公司,V1.0,重庆市科学技术委员会,https://chongqing.gov.cn,2024-09-23,
41785630MB4E42892F/2024-00088,智能合成抗体技术,生物制药,新药研发,初审,2023-09-30,西安生物医药公司,西安交通大学生物研究所,审核中,2023-10-01,待审,西安生物医药公司,基于AI的抗体设计,西安生物医药公司,T20230810,医疗、抗体治疗,西安生物医药公司,V1.0,西安市科学技术局,https://xian.gov.cn,2024-09-23,
17893264MB0J65139R/2024-00032,生物基材料合成技术,绿色化学,新技术,初审,2023-10-05,天津可再生资源公司,天津大学材料工程系,审核中,2023-10-06,待审,天津可再生资源公司,可再生聚合物合成,天津可再生资源公司,T20230811,环保、材料科学,天津可再生资源公司,V1.0,天津市科学技术委员会,https://tianjin.gov.cn,2024-09-23,
65094723MB5T59283Y/2024-00053,3D生物打印技术,生物制造,新技术,初审,2023-10-10,青岛生物科技公司,青岛科技大学,审核中,2023-10-11,待审,青岛生物科技公司,生物材料与生物墨水,青岛生物科技公司,T20230812,医疗、制造业,青岛生物科技公司,V1.0,青岛市科技局,https://qd.gov.cn,2024-09-23,
91450708MB6N17425W/2024-00009,微生物塑料降解技术,环境技术,环境保护,初审,2023-09-10,深圳绿色科技有限公司,深圳环保研究所,审核中,2023-09-11,待审,深圳绿色科技有限公司,微生物诱导降解,深圳绿色科技有限公司,T20230805,环境修复、塑料回收,深圳绿色科技有限公司,V1.0,深圳市科技创新委员会,https://www.sz.gov.cn,2024-09-23,
77634829MB7R12840Y/2024-00005,腺苷酸转运体优化技术,基因工程,新技术,审查,2023-09-12,西安生物科技有限公司,西北大学生物研究所,审核通过,2023-09-13,通过,西安生物科技有限公司,基因重组与优化,西安生物科技有限公司,T20230806,医疗、药物研发,西安生物科技有限公司,V1.0,陕西省科学技术厅,https://www.shaanxi.gov.cn,2024-09-23,
34521876MB2Q80657U/2024-00021,海洋生物合成抗生素技术,生物制药,药物开发,初审,2023-09-14,南京海洋生物科技有限公司,南京环湖研究院,审核中,2023-09-15,待审,南京海洋生物科技有限公司,海洋微生物筛选,南京海洋生物科技有限公司,T20230807,医疗、抗生素,南京海洋生物科技有限公司,V1.0,江苏省科技厅,https://www.jiangsu.gov.cn,2024-09-23,
11890547MB1D38994Q/2024-00012,植物基因组编辑技术改良,农业生物技术,新农业技术,审查,2023-09-16,杭州农科技术有限公司,浙江大学农业研究院,审核通过,2023-09-17,通过,杭州农科技术有限公司,CRISPR技术应用,杭州农科技术有限公司,T20230808,农业、食品安全,杭州农科技术有限公司,V1.0,浙江省生物技术与产业化协会,https://www.zhejiang.gov.cn,2024-09-23,
11725642MB2D49572X/2024-00107,智能合成生物反应器,生物工程,新设备,初审,2023-09-18,北京创新科技有限公司,清华大学生物科学院,审核中,2023-09-19,待审,北京创新科技有限公司,智能控制与优化,北京创新科技有限公司,T20230809,工业生物技术,北京创新科技有限公司,V1.0,北京市科技委员会,https://www.beijing.gov.cn,2024-09-23,
11567891MB3D41836R/2024-00089,细胞治疗用合成代谢途径,细胞治疗,新药研发,审查,2023-09-20,武汉生物制药公司,华中科技大学生命科学学院,审核通过,2023-09-21,通过,武汉生物制药公司,合成代谢网络,武汉生物制药公司,T20230810,医疗、细胞治疗,武汉生物制药公司,V1.0,湖北省科学技术厅,https://www.hubei.gov.cn,2024-09-23,
11984376MB4D22834K/2024-00034,新型疫苗平台技术,疫苗研发,新药研发,初审,2023-09-22,厦门生物科技有限公司,厦门大学医学院,审核中,2023-09-23,待审,厦门生物科技有限公司,多肽疫苗设计,厦门生物科技有限公司,T20230811,疫苗、公共健康,厦门生物科技有限公司,V1.0,福建省科技厅,https://www.fujian.gov.cn,2024-09-23,
11643287MB5D56722T/2024-00078,生物乙醇合成技术,能源生物技术,可再生资源,审查,2023-09-24,长沙新能源科技有限公司,中南大学化工学院,审核通过,2023-09-25,通过,长沙新能源科技有限公司,生物转化过程,长沙新能源科技有限公司,T20230812,能源、环保,长沙新能源科技有限公司,V1.0,湖南省科学技术厅,https://www.hunan.gov.cn,2024-09-23,
11359024MB6D32457L/2024-00102,合成微生物合成绿色燃料技术,微生物工程,新技术,初审,2023-10-01,深圳绿色能源有限公司,深圳生物科技研究院,审核中,2023-10-02,待审,深圳绿色能源有限公司,微生物发酵技术,深圳绿色能源有限公司,T20230805,能源、环境,深圳绿色能源有限公司,V1.0,中国生物技术发展中心,http://www.nmpa.gov.cn,2024-09-23,
11234567MB7D45063M/2024-00091,海洋微生物资源的合成利用技术,微生物工程,海洋技术,初审,2023-10-01,厦门海洋科技有限公司,厦门大学海洋研究所,审核中,2023-10-02,待审,厦门海洋科技有限公司,基因合成与重组,厦门海洋科技有限公司,T20230806,海洋资源,厦门海洋科技有限公司,V1.0,福建省科技厅,http://www.fjst.gov.cn,2024-09-23,
11467892MB8D18347N/2024-00115,基因驱动技术在害虫控制中的应用,基因编辑,新技术,初审,2023-10-01,南京农业生物技术公司,南京农业大学,审核中,2023-10-02,待审,南京农业生物技术公司,CRISPR-Cas9应用,南京农业生物技术公司,T20230807,农业、生态,南京农业生物技术公司,V1.0,江苏省农业厅,http://www.jsagri.gov.cn,2024-09-23,
11987653MB9D08745S/2024-00046,安全且高效的细胞培养基技术,细胞工程,生物制药,初审,2023-10-01,杭州生物医药科技有限公司,浙江大学生物实验室,审核中,2023-10-02,待审,杭州生物医药科技有限公司,优化的细胞培养配方,杭州生物医药科技有限公司,T20230808,制药、工业,杭州生物医药科技有限公司,V1.0,浙江省科技局,http://www.zjkj.gov.cn,2024-09-23,
11543210MB0D50488F/2024-00055,新型疫苗的合成生物技术研发,疫苗研发,新药开发,初审,2023-10-01,武汉生物药品有限公司,华中科技大学,审核中,2023-10-02,待审,武汉生物药品有限公司,重组蛋白疫苗,武汉生物药品有限公司,T20230809,医疗、公共卫生,武汉生物药品有限公司,V1.0,湖北省科技厅,http://www.hbkj.gov.cn,2024-09-23,
18270523MB3E49217Q/2024-00075,智能化生物反应器设计技术,生物反应堆,工业应用,初审,2023-10-01,重庆生物工程有限公司,重庆大学,审核中,2023-10-02,待审,重庆生物工程有限公司,自动化监控系统,重庆生物工程有限公司,T20230810,工业、农业技术,重庆生物工程有限公司,V1.0,重庆市科技局,http://www.cqkj.gov.cn,2024-09-23,
22381264MB9A30564G/2024-00123,病毒载体在基因治疗中的应用,基因治疗,新药开发,初审,2023/10/1,沈阳生物科技有限公司,东北大学,审核中,2023-10-02,待审,沈阳生物科技有限公司,腺病毒载体,沈阳生物科技有限公司,T20230811,医疗、基因治疗,沈阳生物科技有限公司,V1.0,辽宁省科技厅,http://www.lnkj.gov.cn,2024-09-23,
33540547MB1C79492R/2024-00089,合成生物学在农业可持续发展中的应用,合成生物学,新技术,初审,2023/10/1,天津农业科技公司,天津大学,审核中,2023-10-02,待审,天津农业科技公司,代谢工程,天津农业科技公司,T20230812,农业、环保,天津农业科技公司,V1.0,天津市科学技术委员会,http://www.tjkj.gov.cn,2024-09-23,
44721909MB7B64237H/2024-00014,使用合成生物技术的水污染治理,环保技术,环境保护,初审,2023/10/1,青岛环保科技有限公司,青岛大学,审核中,2023-10-02,待审,青岛环保科技有限公司,微生物净化技术,青岛环保科技有限公司,T20230813,环境、污染治理,青岛环保科技有限公司,V1.0,山东省科技厅,http://www.sdstc.gov.cn,2024-09-23,
55640385MB6F48642K/2024-00037,合成生物驱动的植物育种技术,植物生物技术,新技术,初审,2023/9/2,苏州农业科技公司,江苏省农科院,审核中,2023-09-03,待审,苏州农业科技公司,基因组编辑与筛选,苏州农业科技公司,T20230805,农业、食品安全,苏州农业科技公司,V1.0,江苏省科学技术厅,https://jst.jiangsu.gov.cn,2024-09-23,
66588211MB8D56890T/2024-00048,合成生物药物生产的细胞工厂,合成生物学,新药研发,初审,2023/9/2,深圳生物制药公司,华南理工大学,审核中,2023-09-03,待审,深圳生物制药公司,细胞工厂优化,深圳生物制药公司,T20230806,制药、医疗,深圳生物制药公司,V1.0,广东省科学技术厅,https://gdstc.gd.gov.cn,2024-09-23,
78801932MB5E81256Y/2024-00021,合成微生物用于环境监测,微生物工程,环境保护,初审,2023/9/2,浙江环境科技有限公司,浙江大学,审核中,2023-09-03,待审,浙江环境科技有限公司,新型微生物筛选,浙江环境科技有限公司,T20230807,环境监测、修复,浙江环境科技有限公司,V1.0,浙江省科技厅,https://www.zj.gov.cn,2024-09-23,
89573240MB2A90385J/2024-00111,基于AI的蛋白质设计工具,计算生物学,研发工具,初审,2023/9/2,北京计算机生物公司,清华大学,审核中,2023-09-03,待审,北京计算机生物公司,算法优化与模型训练,北京计算机生物公司,T20230808,生物研发、医疗,北京计算机生物公司,V1.0,北京市科学技术委员会,http://www.bjsts.org.cn,2024-09-23,
99785461MB4B65233M/2024-00093,合成疫苗研发技术,疫苗研发,新药研发,初审,2023/9/2,武汉生物科技有限公司,华中科技大学,审核中,2023-09-03,待审,武汉生物科技有限公司,重组蛋白制备,武汉生物科技有限公司,T20230809,生物医药、免疫,武汉生物科技有限公司,V1.0,湖北省科学技术厅,https://www.hbkj.gov.cn,2024-09-23,
11874026MB0C01749F/2024-00062,智能合成的癌症治疗技术,精准医疗,新技术,初审,2023/9/2,天津精密医药公司,南开大学,审核中,2023-09-03,待审,天津精密医药公司,靶向药物开发,天津精密医药公司,T20230810,医疗、肿瘤,天津精密医药公司,V1.0,天津市科学技术委员会,http://www.tj.gov.cn,2024-09-23,
"12560812MB3D38973Q/2024-00075,13890234MB1D45691R/2024-00089,14232678MB5D23984F/2024-00053,15984736MB4D12856K/2024-00082,17432054MB6D73412T/2024-00094,16791245MB2D98763W/2024-00067",基于合成生物学的食品防腐技术,食品科技,新技术,初审,2023/9/2,重庆食品科技公司,西南大学,审核中,2023-09-03,待审,重庆食品科技公司,合成防腐剂开发,重庆食品科技公司,T20230811,食品、农业,重庆食品科技公司,V1.0,重庆市科学技术局,http://www.cq.gov.cn,2024-09-23,
22350122MC8J46931W/2024-00084,基于CRISPR技术的诊断试剂盒,生物诊断,医疗器械,初审,2023/9/2,南京生物诊断公司,南京医科大学,审核中,2023-09-03,待审,南京生物诊断公司,核酸检测技术,南京生物诊断公司,T20230812,医疗、检验,南京生物诊断公司,V1.0,江苏省卫生健康委员会,https://jswjw.gov.cn,2024-09-23,
33460233MA8D57294X/2024-00045,合成生物燃料生产技术,生物能源,新技术,初审,2023/9/10,北京绿色能源公司,清华大学环境科学研究所,审核中,2023-09-11,待审,北京绿色能源公司,藻类发酵与转化,北京绿色能源公司,T20230901,能源、生物技术,北京绿色能源公司,V1.0,中国生物能源协会,https://www.chinabioenergy.org.cn/,2024-09-23,
44570344MB4K69784T/2024-00012,合成微生物用于水体净化技术,环境修复,新技术,初审,2023/9/11,深圳水科技有限公司,深圳市生态环境局,审核中,2023-09-12,待审,深圳水科技有限公司,定向改造微生物,深圳水科技有限公司,T20230902,环境保护,深圳水科技有限公司,V1.0,深圳市科技创新委员会,https://www.szsti.gov.cn/,2024-09-23,
55680455MC2L82305Y/2024-00099,基于合成生物技术的个性化疫苗研发,免疫治疗,新药研发,初审,2023/9/15,武汉生物制药公司,武汉大学医学部,审核中,2023-09-16,待审,武汉生物制药公司,抗原设计与合成,武汉生物制药公司,T20230903,疫苗开发,武汉生物制药公司,V1.0,国家药品监督管理局,https://www.nmpa.gov.cn/,2024-09-23,
66790566MA1M93416Z/2024-00077,合成生物技术在农业中的应用,农业生物技术,新技术,初审,2023/9/20,南京农业科技有限公司,中国农业大学,审核中,2023-09-21,待审,南京农业科技有限公司,改良植物基因,南京农业科技有限公司,T20230904,农业,南京农业科技有限公司,V1.0,江苏省科技厅,https://kjt.jiangsu.gov.cn/,2024-09-23,
23451200MB5C34921Q/2024-00123,细胞治疗用合成基因载体,基因治疗,新技术,初审,2023/9/25,重庆基因科技有限公司,重庆医科大学,审核中,2023-09-26,待审,重庆基因科技有限公司,合成基因载体设计,重庆基因科技有限公司,T20230905,医疗,重庆基因科技有限公司,V1.0,重庆市科学技术局,http://kjs.cq.gov.cn/,2024-09-23,
34567890MB7D45984R/2024-00234,合成生物技术在食品安全检测中的应用,生物检测,新技术,初审,2023/9/28,杭州食品科技公司,浙江大学,审核中,2023-09-29,待审,杭州食品科技公司,合成生物传感器,杭州食品科技公司,T20230906,食品安全,杭州食品科技公司,V1.0,浙江省食品药品监督管理局,http://www.zjda.gov.cn/,2024-09-23,
45678901MB9E56473S/2024-00345,新型合成生物材料开发技术,生物材料,新技术,初审,2023/10/1,西安新材料有限公司,西安交通大学,审核中,2023-10-02,待审,西安新材料有限公司,合成生物聚合物,西安新材料有限公司,T20230907,材料科学,西安新材料有限公司,V1.0,陕西省科技厅,http://kjt.shaanxi.gov.cn/,2024-09-23,
56789012MB1F67894T/2024-00456,合成免疫调节剂技术,免疫生物技术,新药研发,初审,2023/10/5,天津生物医药公司,南开大学生物科学与技术学院,审核中,2023-10-06,待审,天津生物医药公司,人工合成免疫调节剂,天津生物医药公司,T20230908,医疗、免疫治疗,天津生物医药公司,V1.0,天津市科技局,http://www.tj.gov.cn/zwgk/tjnews/,2024-09-23,
67890123MB3G78905U/2024-00567,合成抗体生成新技术,抗体工程,生物制药,初审,2023/9/10,深圳生物制药有限公司,深圳市生物医疗研究所,审核中,2023-09-11,待审,深圳生物制药有限公司,单克隆抗体技术,深圳生物制药有限公司,T20230805,医疗、免疫,深圳生物制药有限公司,V1.0,广东省科学技术厅,http://www.gdstc.gov.cn,2024-09-23,
78901234MB5H89016V/2024-00678,新型生物燃料合成平台,生物能源,可再生能源,初审,2023/9/12,江苏绿色能源科技公司,南京生物工程研究院,审核中,2023-09-13,待审,江苏绿色能源科技公司,合成生物制品,江苏绿色能源科技公司,T20230806,能源、环境,江苏绿色能源科技公司,V1.0,江苏省能源局,http://www.jiangsu.gov.cn,2024-09-23,
89012345MB7I90127W/2024-00789,新型细胞治疗技术,细胞工程,新药研发,初审,2023/9/15,天津细胞医学公司,天津医学科学院,审核中,2023-09-16,待审,天津细胞医学公司,干细胞技术应用,天津细胞医学公司,T20230807,医疗、肿瘤,天津细胞医学公司,V1.0,天津市科技局,http://www.tianjin.gov.cn,2024-09-23,
90123456MB9J01238X/2024-00890,植物基因组编辑系统,基因编辑,农业科技,初审,2023/9/20,重庆农业生物科技公司,重庆农科院,审核中,2023-09-21,待审,重庆农业生物科技公司,基因组编辑技术,重庆农业生物科技公司,T20230808,农业、环境,重庆农业生物科技公司,V1.0,重庆市科学技术委员会,http://www.cq.gov.cn,2024-09-23,
21450301XC3E38999Q/2024-00083,自适应微生物群落构建技术,微生物工程,环境保护,初审,2023/9/25,河南环境修复技术公司,河南省环境科学研究院,审核中,2023-09-26,待审,河南环境修复技术公司,微生物群落研究,河南环境修复技术公司,T20230809,环境、生态修复,河南环境修复技术公司,V1.0,河南省科技厅,http://www.henan.gov.cn,2024-09-23,
31460302YD4F49000R/2024-00017,合成生物催化剂开发技术,生物催化,新材料,初审,2023/10/1,浙江生物化工有限公司,浙江省化工研究院,审核中,2023-10-02,待审,浙江生物化工有限公司,合成生物催化剂技术,浙江生物化工有限公司,T20230810,化工、材料,浙江生物化工有限公司,V1.0,浙江省科技厅,http://www.zhejiang.gov.cn,2024-09-23,
41470303ZF5G59111S/2024-00129,大规模细胞培养技术,细胞培养,生物制药,初审,2023/10/5,海南生物制药有限公司,海南农业生物研究中心,审核中,2023-10-06,待审,海南生物制药有限公司,大规模细胞培养设备,海南生物制药有限公司,T20230811,医疗、制药,海南生物制药有限公司,V1.0,海南省科技局,http://www.hainan.gov.cn,2024-09-23,
51480304AG6H60222T/2024-00042,合成生物基材料制技术,生物材料,新材料,初审,2023/10/10,福建生物材料技术公司,福建省材料研究所,审核中,2023-10-11,待审,福建生物材料技术公司,生物基材料研发,福建生物材料技术公司,T20230812,新材料、环境,福建生物材料技术公司,V1.0,福建省科技厅,http://www.fujian.gov.cn,2024-09-23,
61490305BH7J71333U/2024-00095,新型合成抗体技术,蛋白质工程,新技术,初审,2023/9/10,深圳生物医药公司,深圳大学生物技术研究中心,审核中,2023-09-11,待审,深圳生物医药公司,重组抗体生成,深圳生物医药公司,T20230805,医疗、免疫治疗,深圳生物医药公司,V1.0,深圳市科技创新委员会,https://www.sz.gov.cn,2024-09-23,
71400306CJ8K82444V/2024-00004,食品安全检测合成生物技术,食品检测,环保技术,初审,2023/9/12,杭州食品科技公司,浙江大学农业与生物技术学院,审核中,2023-09-13,待审,杭州食品科技公司,合成生物传感器,杭州食品科技公司,T20230806,食品安全,杭州食品科技公司,V1.0,杭州市市场监督管理局,https://www.hangzhou.gov.cn,2024-09-23,
81410307DK9L93555W/2024-00112,个人化疫苗开发技术,疫苗研发,新药研发,初审,2023/9/15,南京基因生物公司,南京医科大学,审核中,2023-09-16,待审,南京基因生物公司,T细胞选择技术,南京基因生物公司,T20230807,医疗、肿瘤治疗,南京基因生物公司,V1.0,江苏省卫生健康委员会,https://www.jiangsu.gov.cn,2024-09-23,
91420308EL0M04666X/2024-00025,多功能细胞工厂技术,细胞培养,新技术,初审,2023/9/20,武汉生物工程有限公司,华中科技大学,审核中,2023-09-21,待审,武汉生物工程有限公司,合成代谢路径,武汉生物工程有限公司,T20230808,可再生能源,武汉生物工程有限公司,V1.0,武汉市科技局,https://www.wuhan.gov.cn,2024-09-23,
01430309FM1N15777Y/2024-00088,基因驱动技术,基因编辑,新技术,初审,2023/9/25,重庆生物科技公司,重庆大学生物学院,审核中,2023-09-26,待审,重庆生物科技公司,基因组修改,重庆生物科技公司,T20230809,生态保护,重庆生物科技公司,V1.0,重庆市科委,https://www.cq.gov.cn,2024-09-23,
11440310GN2O26888Z/2024-00009,工业微生物合成技术,微生物工程,新技术,初审,2023/9/30,青岛海洋生物公司,中国海洋大学,审核中,2023-10-01,待审,青岛海洋生物公司,微生物代谢调控,青岛海洋生物公司,T20230810,生物材料,青岛海洋生物公司,V1.0,青岛市科技局,https://www.qd.gov.cn,2024-09-23,
43820100MB3A12345Q/2024-00234,合成代谢工程技术,代谢工程,新技术,初审,2023/10/5,沈阳生物创新公司,沈阳工业大学,审核中,2023-10-06,待审,沈阳生物创新公司,代谢网络优化,沈阳生物创新公司,T20230811,工业生产,沈阳生物创新公司,V1.0,沈阳市科技局,https://www.shenyang.gov.cn,2024-09-23,
72150600MB1B98765R/2024-00478,植物合成生物技术,植物工程,新技术,初审,2023/10/10,厦门农业生物公司,厦门大学生物科学系,审核中,2023-10-11,待审,厦门农业生物公司,合成植物基因,厦门农业生物公司,T20230812,农业、环境修复,厦门农业生物公司,V1.0,厦门市科技局,https://www.xm.gov.cn,2024-09-23,
56310200MB4C54321S/2024-00120,合成微生物用于生物碳捕集,生物能源,新技术,初审,2023/9/5,深圳绿色科技有限公司,深圳环保研究院,审核中,2023-09-06,待审,深圳绿色科技有限公司,微生物碳捕集机制,深圳绿色科技有限公司,T20230805,环境保护、能源,深圳绿色科技有限公司,V1.0,深圳市科学技术创新委员会,https://www.sz.gov.cn/,2024-09-23,
99080700MB2D67890T/2024-00389,抗生素耐药性微生物监控技术,公共卫生,监测技术,初审,2023/9/7,杭州生物技术有限公司,杭州公共卫生研究所,审核中,2023-09-08,待审,杭州生物技术有限公司,抗生素耐药性筛查,杭州生物技术有限公司,T20230806,医疗、公共健康,杭州生物技术有限公司,V1.0,浙江省卫生健康委员会,https://www.zjwjw.gov.cn/,2024-09-23,
