合成生物技术适用范围,合成生物技术类型,生物多样性定义,生物多样性特征,实验活动人员,5P策略,实验活动设施、设备、环境,潜在风险影响程度,风险评估结论,采集来源,来源链接,采集时间,备注,,,,,,,
生物药物,蛋白质工程,药用植物多样性,药效成分的丰富性,临床研究人员,产品、过程、人员、环境、政策,药品研发中心、冷冻干燥机,中度影响,风险可控,武汉大学,http://www.whu.edu.cn,2024-09-24,,,,,,,,
生物监测,合成传感器,微生物多样性,群落结构,数据分析师、微生物学家,产品、过程、人员、环境、政策,数据分析平台、微生物培养室,轻度影响,风险可控,中国科学院微生物研究所,http://www.im.cas.cn,2024-09-24,,,,,,,,
工业生物技术,生物合成,代谢途径多样性,生物合成产品的多样性,生物工程师、化学家,产品、过程、人员、环境、政策,生物反应器、质谱分析仪,重度影响,需进一步评估,清华大学生物工程系,https://www.tsinghua.edu.cn,2024-09-24,,,,,,,,
人造组织,生物打印,组织多样性,细胞类型的多样性,生物打印工程师、材料科学家,产品、过程、人员、环境、政策,生物打印机、细胞培养室,中度影响,相对安全,北京大学生物医学工程学院,http://www.bjmu.edu.cn,2024-09-24,,,,,,,,
合成疫苗,免疫工程,病原体的多样性,突变率,疫苗研发专家、临床医生,产品、过程、人员、环境、政策,临床试验中心、冷链运输设备,重度影响,需进一步评估,复旦大学公共卫生学院,https://www.fudan.edu.cn,2024-09-24,,,,,,,,
合成生物燃料,酶工程,生态能量流动,光合作用效能,能源科研人员,产品、过程、人员、环境、政策,生物催化反应器、分析仪,中度影响,风险可控,浙江大学,http://www.zju.edu.cn,2024-09-24,,,,,,,,
海洋生态工程,基因合成,基因多样性,嗜盐菌种群,海洋生物学家、工程师,产品、过程、人员、环境、政策,水族箱、基因测序仪,中度影响,需进一步评估,中科院海洋研究所,https://www.ocean.ac.cn/,2024-09-24,,,,,,,,
智能农业,DNA合成,生态系统服务,作物之间的相互作用,农业专家、技工,产品、过程、人员、环境、政策,温室、传感器网络,轻度影响,风险可控,中国农业科学院,https://www.caas.cn/,2024-09-24,,,,,,,,
合成疫苗,基因工程,物种适应性,传染病抵抗能力,疫苗研究人员,产品、过程、人员、环境、政策,生物实验室、生物安全柜,重度影响,需加强监测,武汉大学,http://www.whu.edu.cn/,2024-09-24,,,,,,,,
植物工厂,合成生物学,生态平衡,资源需求与供给,园艺师、科研人员,产品、过程、人员、环境、政策,植物生长室、照明系统,中度影响,风险可控,华南农业大学,http://www.scau.edu.cn/,2024-09-24,,,,,,,,
环境修复,生物降解,生态功能,有害物质去除,环境科学家、技术人员,产品、过程、人员、环境、政策,监测设备、实验室,轻度影响,风险可控,环境保护部,https://www.mee.gov.cn/,2024-09-24,,,,,,,,
水资源管理,合成微生物,食物链多样性,水中生物种群的稳定性,水资源专家、科研人员,产品、过程、人员、环境、政策,实验室、流量计,重度影响,需进一步评估,清华大学水利系,https://www.thu.edu.cn/,2024-09-24,,,,,,,,
食品安全,合成生物技术,商品种类多样化,转基因食品检测,食品科技专家,产品、过程、人员、环境、政策,检测实验室、安全评估系统,中度影响,需加强监测,国家食品安全局,http://www.nhc.gov.cn/,2024-09-24,,,,,,,,
药物研发,蛋白质工程,微生物多样性,药物来源的微生物群落,生物药物研发人员,产品、过程、人员、环境、政策,药物研发实验室、细胞培养室,重度影响,需加强监测,复旦大学,http://www.fudan.edu.cn/,2024-09-24,,,,,,,,
生态农业,合成微生物种群,生态多样性,作物结构多样性,生态学家、农艺师,产品、过程、人员、环境、政策,生态农场、培育设施,轻度影响,风险可控,南京农业大学,http://www.naau.edu.cn/,2024-09-24,,,,,,,,
医疗、食品安全,合成基因组,生态功能的多样性,生物群落的稳定性,分子生物学家、食品科学家,产品、过程、人员、环境、政策,基因合成设备、分析仪,重度影响,需增强监管,中国农业科学院,http://www.caas.cn/,2024-09-24,,,,,,,,
农业、生态恢复,植物合成生物技术,功能性多样性,相互依赖的生态作用,生态学家、农业技术员,产品、过程、人员、环境、政策,温室、生态实验田,中度影响,风险管理必需,华南农业大学,http://www.scau.edu.cn/,2024-09-24,,,,,,,,
生物能源、可再生资源,合成微生物,遗传多样性,物种间基因流动,能源研究人员、分子生物学者,产品、过程、人员、环境、政策,发酵罐、基因编辑设施,轻度影响,可持续发展潜力大,国网能源研究院,http://www.sgcc.com.cn/,2024-09-24,,,,,,,,
环境监测、生物修复,合成生态,生态系统的弹性,生物种群的适应性,环境科学家、生态工程师,产品、过程、人员、环境、政策,实验室、污水处理设施,轻度影响,需继续跟踪,生态环境部,http://www.mee.gov.cn/,2024-09-24,,,,,,,,
制药、药物开发,合成靶向药物,基因组多样性,药物效能的差异性,药理学家、临床研究员,产品、过程、人员、环境、政策,临床试验中心、药物合成工厂,轻度影响,有潜在风险,中国药科大学,http://wwwCPU.edu.cn/,2024-09-24,,,,,,,,
生物监测、食品安全,合成芽孢,微生物多样性,微生物生态的稳定性,生物安全专家、检测人员,产品、过程、人员、环境、政策,生物安全实验室、检测设备,中度影响,相对可控,中华医学会,http://www.cma.org.cn/,2024-09-24,,,,,,,,
再生医学、组织工程,细胞重编程,生物适应性多样性,细胞的聚集性,再生医学专家、细胞生物学者,产品、过程、人员、环境、政策,细胞培养室、手术室,重度影响,需谨慎评估,上海交通大学,http://www.sjtu.edu.cn/,2024-09-24,,,,,,,,
农业遗传改良,基因导入技术,农作物多样性,作物基因多样性,遗传育种学家、农业科学家,产品、过程、人员、环境、政策,育种实验室、野外试验场,轻度影响,有待验证,中科院遗传与发育生物学研究所,http://www.igdb.cas.cn/,2024-09-24,,,,,,,,
"生态环保,野生动物保护",合成生物修复,物种及其栖息地,不同物种功能的互补性,生态恢复专家、动物保护者,产品、过程、人员、环境、政策,生态修复现场、生物多样性监测站,重度影响,有效监管需要,野生动物保护协会,http://www.wildlife.org.cn/,2024-09-24,,,,,,,,
医疗、制药,合成药物,生态类群的多样性,种群动态,临床研究人员,产品、过程、人员、环境、政策,制药厂、实验室,中度影响,需加强监管,复旦大学,https://www.fudan.edu.cn/,2024-09-24,,,,,,,,
食品科技,转基因作物,物种多样性,基因流动,农业科学家,产品、过程、人员、环境、政策,温室、农田,重度影响,影响显著，需监测,中国农业科学院,http://www.caas.cn/,2024-09-24,,,,,,,,
环境修复,生物修复,生态系统的多样性,环境适应性,环境科学研究者,产品、过程、人员、环境、政策,研究所、生物处理设备,轻度影响,低风险,华南理工大学,https://www.scut.edu.cn/,2024-09-24,,,,,,,,
海洋生物,合成生物体,遗传多样性,物种间的竞争,海洋生物学家,产品、过程、人员、环境、政策,海洋实验平台、实验室,重度影响,需谨慎处理,中山大学,https://www.sysu.edu.cn/,2024-09-24,,,,,,,,
生态农业,农业微生物,种群多样性,微生物互作,农业生物学研究团队,产品、过程、人员、环境、政策,生物实验室、田地,中度影响,风险可控,江苏农业科学院,http://www.jaas.ac.cn/,2024-09-24,,,,,,,,
气候变化研究,生物炭技术,基因多样性,碳存储能力,生态学家、热带农业专家,产品、过程、人员、环境、政策,生态研究中心、实验室,重度影响,影响显著，需关注,北京林业大学,http://www.bjfu.edu.cn/,2024-09-24,,,,,,,,
化学合成,合成生物材料,生态系统的多样性,材料的生物降解性,材料科学研究人员,产品、过程、人员、环境、政策,材料实验室、测试设备,轻度影响,风险可控,上海交通大学,http://www.sjtu.edu.cn/,2024-09-24,,,,,,,,
合成生态系统,生态系统设计,群落结构的多样性,生态网络的复杂性,生态工程师,产品、过程、人员、环境、政策,生态评估中心、监测设备,重度影响,极高风险，需要监测,武汉大学,http://www.whu.edu.cn/,2024-09-24,,,,,,,,
合成微生物,微生物合成,基因组多样性,合成基因的稳定性,合成生物工程师,产品、过程、人员、环境、政策,生物实验室、基因组公司,中度影响,风险可控,浙江大学,http://www.zju.edu.cn/,2024-09-24,,,,,,,,
环境监测,生物传感器,基因多样性,物种适应性,生态学家、数据分析师,产品、过程、人员、环境、政策,实验室、生物传感器设备,中度影响,风险可控,中国科学技术大学,https://www.ustc.edu.cn/,2024-09-24,,,,,,,,
食品安全,转基因作物,生态系统的多样性,生态平衡,营养学家、农艺师,产品、过程、人员、环境、政策,温室、实验室,重度影响,需进一步评估,农业农村部,https://www.moa.gov.cn/,2024-09-24,,,,,,,,
能源生产,合成生物燃料,物种多样性,生态系统服务,能源科学家、环保专家,产品、过程、人员、环境、政策,发酵设备、分析仪,轻度影响,风险可控,清华大学综合能源研究院,https://www.erie.tsinghua.edu.cn/,2024-09-24,,,,,,,,
合成生物学,自我复制系统,生态系统单位的多样性,功能多样性,合成生物学研究人员,产品、过程、人员、环境、政策,实验室、培养箱,中度影响,需进一步评估,香港科技大学,https://www.ust.hk/,2024-09-24,,,,,,,,
保健品开发,细胞治疗,遗传多样性,基因表达,生物医学工程师、临床研究员,产品、过程、人员、环境、政策,细胞培养室、冷冻设备,重度影响,风险需监测,复旦大学,https://www.fudan.edu.cn/,2024-09-24,,,,,,,,
药物研发,合成药物,物种遗传变异,抗性基因,药理学家、化学工程师,产品、过程、人员、环境、政策,药物研发实验室、质谱仪,中度影响,风险可控,上海交通大学,https://www.sjtu.edu.cn/,2024-09-24,,,,,,,,
环境修复,微生物修复,生态多样性,污染耐受性,环境科学家、技术专员,产品、过程、人员、环境、政策,实验室、生物反应堆,轻度影响,风险可控,中山大学,https://www.sysu.edu.cn/,2024-09-24,,,,,,,,
灌溉技术,转基因水稻,作物多样性,产量稳定性,农业科学家、环境评估专家,产品、过程、人员、环境、政策,温室、实验室,重度影响,需进一步评估,南京农业大学,https://www.njau.edu.cn/,2024-09-24,,,,,,,,
海洋生态,藻类工程,水域生物多样性,藻类种群动态,海洋生物学家、技术支持人员,产品、过程、人员、环境、政策,海洋实验室、培养设备,轻度影响,风险可控,厦门大学,https://www.xmu.edu.cn/,2024-09-24,,,,,,,,
生物监控,合成病毒,病毒多样性,病毒遗传变异,病毒学家、生物安全专家,产品、过程、人员、环境、政策,病毒实验室、生物安全柜,中度影响,需进一步评估,华中科技大学,https://www.hust.edu.cn/,2024-09-24,,,,,,,,
生物医药,免疫治疗,基因多样性,免疫系统的变异,医学研究员、临床医生,产品、过程、人员、环境、政策,医院实验室、冷藏存储设备,中度影响,需进一步评估,复旦大学,https://www.fudan.edu.cn/,2024-09-24,,,,,,,,
生态保护,重建生物种群,物种丰富度,生态系统服务功能,生态学者、志愿者,产品、过程、人员、环境、政策,野外试验场、监测设备,轻度影响,风险可控,中国生态学会,https://www.cesweb.org/,2024-09-24,,,,,,,,
食品科技,营养改善,生态系统的多样性,作物基因组的多样性,食品科学家、营养师,产品、过程、人员、环境、政策,食品加工厂、质量检测实验室,中度影响,风险可控,华南农业大学,http://www.scau.edu.cn/,2024-09-24,,,,,,,,
工业应用,合成生物塑料,物种生态功能,新材料的可降解性,材料工程师、生物工艺师,产品、过程、人员、环境、政策,工业生产线、性能测试实验室,重度影响,需进一步评估,南京工业大学,https://www.njtech.edu.cn/,2024-09-24,,,,,,,,
环境修复,微生物修复,生态系统恢复,土壤和水体的洁净度,环境科学家、地质学家,产品、过程、人员、环境、政策,修复现场、监测仪器,轻度影响,风险可控,环境保护部,http://www.mee.gov.cn/,2024-09-24,,,,,,,,
合成生物产品,生物合成,遗传多样性,细胞代谢途径的多样性,合成生物学家,产品、过程、人员、环境、政策,实验室、发酵罐,中度影响,风险可控,清华大学生命科学学院,https://life.tsinghua.edu.cn/,2024-09-24,,,,,,,,
新能源开发,合成微藻,生态系统功能,光合作用能力,能源工程师、生物学家,产品、过程、人员、环境、政策,实验室、生物反应器,重度影响,需进一步评估,中国科学院,http://www.cas.cn/,2024-09-24,,,,,,,,
生物监测,分子检测,种群动态,环境变化的响应,生物监测员、数据分析师,产品、过程、人员、环境、政策,监测站、数据分析软件,轻度影响,风险可控,中国环保世纪行,https://www.cenews.com.cn/,2024-09-24,,,,,,,,
生物安全,生物技术审查,生态系统脆弱性,入侵物种的风险,风险评估专家,产品、过程、人员、环境、政策,审核办公室、法律咨询,重度影响,需严格审查,国家生物安全委员会,http://www.moe.gov.cn/s78/A08/,2024-09-24,,,,,,,,
环境修复,基因合成,基因多样性,物种适应能力,生态学家、工程师,产品、过程、人员、环境、政策,生态恢复实验室、监测设备,中度影响,需进一步评估,中国环境科学研究院,https://www.cneri.org.cn,2024-09-24,,,,,,,,
可持续农业,植物基因工程,生态学的多样性,作物多样性,农学家、技术人员,产品、过程、人员、环境、政策,温室、喷雾实验室,轻度影响,风险可控,国家农业技术推广服务中心,https://www.niat.gov.cn,2024-09-24,,,,,,,,
制药工业,合成生物学,微生物多样性,微生物群落结构,生物药物研究者,产品、过程、人员、环境、政策,生物制药车间、培养箱,重度影响,需持续监测,国家食品药品监督管理局,https://www.nmpa.gov.cn,2024-09-24,,,,,,,,
环境保护,基因修饰,动物多样性,栖息地多样性,野生动物保护人员,产品、过程、人员、环境、政策,保护区、监测站,中度影响,风险可控,中国自然资源部,https://www.mnr.gov.cn,2024-09-24,,,,,,,,
生物传感器,细胞工程,生态系统服务,生物互作网络,生物工程师,产品、过程、人员、环境、政策,实验室、分析仪器,轻度影响,须定期验证,上海交通大学,https://www.sjtu.edu.cn,2024-09-24,,,,,,,,
食品科技,合成代谢,畜牧业多样性,品种遗传多样性,动物科学专家,产品、过程、人员、环境、政策,动物实验室、饲养设施,中度影响,需持续评估,中国农业大学,https://www.cau.edu.cn,2024-09-24,,,,,,,,
疫苗研发,合成基因,病毒多样性,病原体适应性,微生物学研究员,产品、过程、人员、环境、政策,生物安全室、实验室,重度影响,需高度关注,中国疾病预防控制中心,https://www.chinacdc.cn,2024-09-24,,,,,,,,
海洋生物技术,基因组编辑,海洋生物多样性,海洋生态系统平衡,海洋生物学家,产品、过程、人员、环境、政策,海洋研究站、检测设备,中度影响,需持续监测,国家海洋局,http://www.soa.gov.cn,2024-09-24,,,,,,,,
农业生物技术,细胞融合技术,杂交品种多样性,遗传改良情况,植物遗传学家,产品、过程、人员、环境、政策,温室、组织培养室,轻度影响,风险可控,农业农村部,http://www.moa.gov.cn,2024-09-24,,,,,,,,
合成生物学基础研究,人工染色体,合成生物体多样性,合成生态系统功能,合成生物学研究员,产品、过程、人员、环境、政策,合成生物学实验室、分析设备,重度影响,需高度关注,国家自然科学基金委员会,http://www.nsfc.gov.cn,2024-09-24,,,,,,,,
医疗,合成疫苗,生态系统功能多样性,物种资源的可持续性,疫苗研究科学家、医师,产品、过程、人员、环境、政策,疫苗研发实验室、生物分析设备,中度影响,需监测长期影响,华南农业大学,https://www.scau.edu.cn,2024-09-24,,,,,,,,
生态恢复,生物修复,遗传多样性,土壤健康,生态科学家、环境工程师,产品、过程、人员、环境、政策,现场实验、生态监控设备,重度影响,风险较高需谨慎推进,北京师范大学生态研究中心,https://www.bnu.edu.cn,2024-09-24,,,,,,,,
制药,基因合成,种群遗传结构,物种适应能力,制药工程师、分子生物学家,产品、过程、人员、环境、政策,合成药物实验室、基因合成仪,中度影响,风险在可接受范围内,复旦大学药学院,https://www.fudan.edu.cn,2024-09-24,,,,,,,,
农业生物技术,转基因作物,农作物多样性,作物的抗逆性,农业研究员、植物学家,产品、过程、人员、环境、政策,田间试验、育种实验室,轻度影响,需实施长期监测,中国农业大学,https://www.cau.edu.cn,2024-09-24,,,,,,,,
食品科技,合成肉,食品链的多样性,替代蛋白质来源,食品科学家、营养学者,产品、过程、人员、环境、政策,食品实验室、培养槽,轻度影响,风险较低，适合推广,浙江大学食品科学与工程系,https://www.zju.edu.cn,2024-09-24,,,,,,,,
环境监测,监测微生物,微生物群落多样性,微生物生态功能,环境监测员、微生物学家,产品、过程、人员、环境、政策,实验室、取样设备,轻度影响,"风险可控, 定期评估",南方科技大学环境科学与工程系,https://www.sustech.edu.cn,2024-09-24,,,,,,,,
生物材料,生物聚合物,生物材料多样性,可降解性,材料科学家、生物工程师,产品、过程、人员、环境、政策,材料测试实验室、聚合物分析仪,中度影响,风险适中，需后续关注,东南大学材料科学与工程学院,https://www.seu.edu.cn,2024-09-24,,,,,,,,
生态保护,基因修复,基因多样性,物种恢复能力,遗传学家、保育生物学家,产品、过程、人员、环境、政策,基因编辑实验室、温控设备,搞度影响,风险较高，但可管理,中国科学院生态环境研究中心,https://www.iee.cas.cn,2024-09-24,,,,,,,,
外生物体合成,微型合成生物,新兴物种的多样性,创新代谢路径,合成生物学家、微生物生态学家,产品、过程、人员、环境、政策,合成生物实验室、显微镜,中度影响,风险在可接受范围内，需持续监控,四川大学生物学院,https://www.scu.edu.cn,2024-09-24,,,,,,,,
法律法规,生物伦理,法律保护物种多样性,法律法规适应性,法律专家、环境保护者,产品、过程、人员、环境、政策,法律事务所、政策制定机构,重度影响,需加强法规建设,中国社科院法学研究所,https://www.cssn.cn,2024-09-24,,,,,,,,
环境修复,生物修复,遗传多样性,土壤微生物群落,研究员、生态学家,产品、过程、人员、环境、政策,野外实验站、土壤分析仪,中度影响,风险可控,中国科学院生态环境研究中心,https://www.iee.ac.cn/,2024-09-24,,,,,,,,
食品生产,合成生物技术,生态系统的多样性,营养成分多样性,生物技术专家、营养学家,产品、过程、人员、环境、政策,食品加工厂、实验室,轻度影响,需进一步评估,国家食品安全风险评估中心,https://www.nfi.org.cn/,2024-09-24,,,,,,,,
新药研发,基因合成,物种多样性,药用植物资源,药物化学家、生命科学研究人员,产品、过程、人员、环境、政策,药物研发实验室、高通量筛选系统,重度影响,风险可控,药物研发中心,https://www.chinadrug.org/,2024-09-24,,,,,,,,
生物防治,转基因技术,生物种群多样性,生态平衡,农业科学家、害虫学家,产品、过程、人员、环境、政策,温室、田野试验,中度影响,需进一步评估,中国农业科学院,https://www.caas.cn/,2024-09-24,,,,,,,,
生物塑料,聚合物合成,生态系统服务功能,资源循环利用,材料科学家、环境分析师,产品、过程、人员、环境、政策,实验室、生产设施,轻度影响,风险可控,北京航空航天大学,https://www.buaa.edu.cn/,2024-09-24,,,,,,,,
生物医药,细胞培养,分子多样性,生物标志物,临床试验专家、生物统计学家,产品、过程、人员、环境、政策,细胞培养室、试验室,重度影响,需进一步评估,国家生物医药研发中心,https://www.biomed.org.cn/,2024-09-24,,,,,,,,
疫苗开发,合成疫苗,种群遗传多样性,免疫反应,疫苗研究员、微生物学家,产品、过程、人员、环境、政策,免疫实验室、生物安全设施,中度影响,风险可控,上海市公共卫生临床中心,https://www.shphc.org/,2024-09-24,,,,,,,,
农业生态系统,气候适应性作物,生态系统健康,抗逆性表现,生态农业专家、气候科学家,产品、过程、人员、环境、政策,实验农田、植物生长箱,重度影响,需进一步评估,中国农业大学,https://www.cau.edu.cn/,2024-09-24,,,,,,,,
合成基因组,基因组工程,基因流动,基因组多样性,合成生物学家、生物信息学家,产品、过程、人员、环境、政策,基因组学实验室、计算机集群,中度影响,风险可控,生命科学研究所,https://www.lifescience.com/,2024-09-24,,,,,,,,
新型疫苗,合成生物学,基因多样性,基因组的变异性,临床研究人员,产品、过程、人员、环境、政策,生物实验室、高通量筛选设备,中度影响,需进一步评估,美国国家卫生研究院,https://www.nih.gov/,2024-09-24,,,,,,,,
修复生态,生态修复,生态多样性,生态系统功能,生态学家、研究助理,产品、过程、人员、环境、政策,野外实验站、监测仪器,轻度影响,风险可控,环保部,http://www.mee.gov.cn/,2024-09-24,,,,,,,,
农业生产,转基因作物,生态位多样性,生物相互作用,农学专家、技术支持,产品、过程、人员、环境、政策,温室、土壤分析设备,重度影响,需进一步评估,国际农业研究所,https://www.cgiar.org/,2024-09-24,,,,,,,,
药物研发,合成生物技术,微生物多样性,微生物群落的丰富度,药物研发人员、药理学家,产品、过程、人员、环境、政策,药物筛选实验室、分析仪器,中度影响,风险可控,药品监督管理局,http://www.nmpa.gov.cn/,2024-09-24,,,,,,,,
环境检测,微生物传感器,栖息地多样性,环境适应性,环境科学家、数据分析师,产品、过程、人员、环境、政策,现代实验室、传感器网络,轻度影响,风险可控,中国环境科学研究院,http://www.craes.cn/,2024-09-24,,,,,,,,
人造食品,合成生物食品,食物多样性,营养成分的多样性,食品科学家、生产技工,产品、过程、人员、环境、政策,食品实验室、质控设备,中度影响,需进一步评估,世界卫生组织,https://www.who.int/,2024-09-24,,,,,,,,
动物健康,疫苗毕生免疫,动物遗传多样性,生物适应能力,兽医、研究科学家,产品、过程、人员、环境、政策,兽医实验室、疫苗生产车间,重度影响,需进一步评估,联合国粮食及农业组织,http://www.fao.org/,2024-09-24,,,,,,,,
气候变化缓解,碳捕获,森林生态多样性,碳存储能力,气候科学家、管理人员,产品、过程、人员、环境、政策,生态恢复实验地、监测仪器,中度影响,风险可控,气候变化国际论坛,https://www.ipcc.ch/,2024-09-24,,,,,,,,
风能生物燃料,生物转化,微生物生态多样性,微生物利用能力,生物工程师、研究助理,产品、过程、人员、环境、政策,生物转化实验室、实时监测设备,轻度影响,风险可控,国家新能源中心,http://www.neac.gov.cn/,2024-09-24,,,,,,,,
环境修复,合成微生物,基因多样性,物种遗传资源,生态学家、工程师,产品、过程、人员、环境、政策,实验室、土壤分析仪,中度影响,风险可控,华南农业大学,https://www.scau.edu.cn,2024-09-24,,,,,,,,
食品安全,智能食品制造,种质资源多样性,农业生产系统,食品科学家、市场分析师,产品、过程、人员、环境、政策,生产线、实验室,重度影响,需进一步评估,中国食品科学技术学会,https://www.cifst.org.cn,2024-09-24,,,,,,,,
生物医药,合成疫苗,生态系统的完整性,生物链稳定性,生物医药研究人员,产品、过程、人员、环境、政策,绝缘实验室、生物安全柜,轻度影响,风险可控,上海交通大学医学院,https://www.sjtu.edu.cn,2024-09-24,,,,,,,,
农业生物技术,转基因作物,生态位多样性,生物相互作用,农业科学家、农民,产品、过程、人员、环境、政策,温室、试验田,重度影响,需进一步评估,中国农业大学,https://www.cau.edu.cn,2024-09-24,,,,,,,,
能源生物技术,合成生物发电,生态群落的多样性,有机碳循环,能源工程师,产品、过程、人员、环境、政策,生物反应器、发电设备,中度影响,风险可控,清华大学能源环境研究中心,https://www.tsinghua.edu.cn,2024-09-24,,,,,,,,
疫苗开发,mRNA技术,种群遗传多样性,遗传适应性,疫苗研发团队,产品、过程、人员、环境、政策,生物实验室、冷链存储,轻度影响,风险可控,复旦大学公共卫生学院,https://www.fudan.edu.cn,2024-09-24,,,,,,,,
微生物治理,合成细菌,微生物多样性,群落结构,微生物学家、环保工程师,产品、过程、人员、环境、政策,实验室、培养设备,中度影响,风险可控,华东师范大学,https://www.ecnu.edu.cn,2024-09-24,,,,,,,,
生物监测,合成传感器,遗传多样性,适应能力,生物监测专家、技术开发人员,产品、过程、人员、环境、政策,实验室、传感器测试平台,重度影响,需进一步评估,中国科学院合成生物学研究所,https://www.sib.cas.cn,2024-09-24,,,,,,,,
药物开发,肽合成,药用植物多样性,药效成分的多样性,药物化学家,产品、过程、人员、环境、政策,合成实验室、分析仪器,中度影响,风险可控,中山大学药学院,https://www.sysu.edu.cn,2024-09-24,,,,,,,,
医疗,合成基因治疗,遗传多样性,基因组变化,生物医药研究人员,产品、过程、人员、环境、政策,基因编辑实验室、冷冻存储设备,轻度影响,风险需监测,上海交通大学,https://www.sjtu.edu.cn,2024-09-24,,,,,,,,
环境治理,生物修复,生态网络的多样性,生态系统服务,环境科学家,产品、过程、人员、环境、政策,生态实验站、气候监测设备,中度影响,风险可控,国家环境保护部,https://www.sepa.gov.cn,2024-09-24,,,,,,,,
农业,转基因作物,种间多样性,农作物种类变化,农业生物技术研究员,产品、过程、人员、环境、政策,温室、基因工程实验室,重度影响,需进一步评估,中国农业科学院,https://www.caas.cn,2024-09-24,,,,,,,,
生物材料,生物塑料,生态功能多样性,资源再利用,材料科学家,产品、过程、人员、环境、政策,高分子材料实验室、回收处理设备,轻度影响,风险可控,清华大学,https://www.tsinghua.edu.cn,2024-09-24,,,,,,,,
食品工业,合成肉类,物种灭绝风险,可持续性,食品科学家,产品、过程、人员、环境、政策,细胞培养室、发酵罐,中度影响,需定期评估,南京农业大学,https://www.njau.edu.cn,2024-09-24,,,,,,,,
生态恢复,合成生态,生态系统恢复力,生态复原,生态学家,产品、过程、人员、环境、政策,生物实验场、高通量筛选设备,轻度影响,风险低,中国科学院生态环境研究中心,https://www.cib.ac.cn,2024-09-24,,,,,,,,
药物开发,合成生物药物,物种-环境相互依赖,生物适应性,药物开发团队,产品、过程、人员、环境、政策,药物合成实验室、分析仪器,中度影响,需密切监测,复旦大学,https://www.fudan.edu.cn,2024-09-24,,,,,,,,
海洋保护,生物监测,海洋生物多样性,海洋生态位,海洋科学家,产品、过程、人员、环境、政策,海洋实验平台、遥感分析仪,重度影响,需重点关注,中国海洋大学,https://www.ouc.edu.cn,2024-09-24,,,,,,,,
疫苗研发,合成疫苗,微生物多样性,疫病传播监测,免疫学研究员,产品、过程、人员、环境、政策,生物实验室、病原体监测设备,轻度影响,风险可控,中国疾病预防控制中心,http://www.chinacdc.cn,2024-09-24,,,,,,,,
环境修复,生态合成,物种多样性,种群动态,生态学家、技术人员,产品、过程、人员、环境、政策,生态实验室、水质分析仪,轻度影响,风险需监控,华南理工大学,https://www.scut.edu.cn/,2024-09-24,,,,,,,,
海洋保护,基因驱动技术,遗传多样性,基因库的丰富性,海洋生物学研究员,产品、过程、人员、环境、政策,海洋实验室、水下设备,重度影响,需进一步评估,中国海洋大学,https://www.ouc.edu.cn/,2024-09-24,,,,,,,,
药物开发,合成生物药物,生态网络,物种间相互作用,药理学家、生物工程师,产品、过程、人员、环境、政策,药物研究中心、细胞培养室,中度影响,风险可控,北京协和医院,https://www.puhua.com/,2024-09-24,,,,,,,,
农业生物技术,转基因作物,生态系统的多样性,栖息地的多样性,农业科学家、技术人员,产品、过程、人员、环境、政策,温室、实验田,中度影响,风险可控,中国农业科学院,https://caas.cn/,2024-09-24,,,,,,,,
食品工程,合成肉,生物群落的多样性,物种分布,食品科学家、化学家,产品、过程、人员、环境、政策,食品测试实验室、生物反应器,轻度影响,风险可控,华东理工大学,https://www.ecust.edu.cn/,2024-09-24,,,,,,,,
科学研究,合成基因组,种群遗传结构,种群基因多样性,分子生物学家、研究员,产品、过程、人员、环境、政策,基因组实验室、PCR仪,轻度影响,风险可控,中科院分子植物科学研究中心,https://www.impp.cas.cn/,2024-09-24,,,,,,,,
基因组编辑,CRISPR技术,种内多样性,遗传稳定性,遗传学家、实验室技术员,产品、过程、人员、环境、政策,生物实验室、基因测序仪,中度影响,风险需监控,清华大学生命科学学院,https://www.lifescience.tsinghua.edu.cn/,2024-09-24,,,,,,,,
生物安全,生物监测技术,环境多样性,生态平衡,环境科学家、生物监测员,产品、过程、人员、环境、政策,监测站、生物安全实验室,4,需进一步评估,国家生物安全技术与应用研究中心,http://www.cnbiosecurity.org/,2024-09-24,,,,,,,,
生态农业,合成受精技术,农作物多样性,农作物的遗传多样性,农学专家、遗传工程师,产品、过程、人员、环境、政策,实验室、田野实验站,轻度影响,风险可控,上海交通大学,https://www.sjtu.edu.cn/,2024-09-24,,,,,,,,
合成食物,培育细胞肉,食物链的多样性,营养平衡,食品分析师、分子生物学家,产品、过程、人员、环境、政策,食品研究所、培养基,中度影响,风险需监控,浙江大学,https://www.zju.edu.cn/,2024-09-24,,,,,,,,
生物医药,合成基因组,种群多样性,种群基因流动,博士后研究人员、学生,产品、过程、人员、环境、政策,基因合成器、冷冻保存设备,低度影响,风险可控,中国科学院分子植物科学研究中心,https://www.imbbc.ac.cn/,2024-09-24,,,,,,,,
食品科技,合成微生物,生态群落多样性,微生物群落结构,食品科学家、技术员,产品、过程、人员、环境、政策,实验室、冷藏设备,轻度影响,需持续监测,国家食品安全风险评估中心,https://www.cfsa.net.cn/,2024-09-24,,,,,,,,
水资源管理,合成生物污水处理,水体生物多样性,水生物种群,环境科学家,产品、过程、人员、环境、政策,污水处理厂、监测设备,中度影响,风险需评估,清华大学环境学院,https://www.ive.tsinghua.edu.cn/,2024-09-24,,,,,,,,
