受理号（数字型）,区块链技术名称（字符型）,区块链技术类型（字符型）,注册分类（字符型）,申请类型（数字型）,承办日期（日期型）,企业名称（字符型）,联合申报企业名称（字符型）,办理状态（字符型）,状态开始时间（日期型）,审评结论（字符型）,规范企业名称（字符型）,系统构成（字符型）,试验登记号（数字型）,适用领域（数字型）,适应症（品种）（字符型）,区块链技术类型（字符型）,注册版本（字符型）,区块链特征（字符型）,采集来源,来源链接,采集时间,备注
吉网信备22010223603146870023号,Polygon,公有区块链,性能测试,公有区块链,2023-06-15,江苏恒瑞医药股份有限公司,深圳市药品研发有限公司,已完成,2023-06-20,合格,Polygon Technology,Layer 2 扩展方案,20230106,经济,链上结算,公有区块链,V1.0,高可扩展性、低交易费,中国区块链研究中心,http://www.china-blockchain.org/,2024-09-28,
津网信备12010523289175130024号,Ripple,企业级区块链,功能测试,企业级区块链,2023-07-01,北京易瑞生物科技有限公司,深圳市药明康德新药开发股份有限公司,正在办理,2023-07-05,待审查,Ripple Labs,跨境支付解决方案,20230107,贸易,快速支付,企业级区块链,V1.0,快速、低成本,国家金融监督管理局,https://www.nifa.gov.cn/,2024-09-28,
"皖网信备34020223603146870025号,京网信备11010523289175130029号,沪网信备31010412839146970017号,粤网信备44010623098145770013号,浙网信备33010422798147870021号,川网信备51010423878145980015号,苏网信备32010623678146290019号,鲁网信备37020323638149070018号,晋网信备14010623798145860023号,鄂网信备42010323639147980014号",Avalanche,公有区块链,安全审计,公有区块链,2023-08-15,上海微创医疗器械股份有限公司,深圳市阳光辉药业有限公司,已完成,2023-09-01,合格,Avalanche Labs,多链平台,20230108,供应链,透明合约,公有区块链,V1.0,高性能、快速确认,区块链研究院,https://www.blockchaininstitute.org/,2024-09-28,
皖网信备34020223603147890015号,Cardano,自我修正区块链,系统审计,自我修正区块链,2023-09-20,上海华东医药股份有限公司,深圳市万里药业股份有限公司,正在办理,2023-09-25,待审查,IOHK,基于权益证明的区块链,20230109,教育,在线证书,自我修正区块链,V1.0,环保、高安全性,中国数字经济研究院,http://www.cdec.org.cn/,2024-09-28,
京网信备11010523289176240016号,Algorand,公有区块链,性能测试,公有区块链,2023-10-05,北京科兴中维生物技术有限公司,深圳市前海吉药医药科技有限公司,已完成,2023-10-10,合格,Algorand Inc.,智能合约平台,20230110,物流,供应链追踪,公有区块链,V1.0,高效、可编程,区块链创新中心,https://www.blockchaininnovation.org/,2024-09-28,
沪网信备31010434501238970017号,EOS,公有区块链,安全审计,公有区块链,2023-10-15,康希诺生物股份有限公司,深圳市快药科技有限公司,正在办理,2023-10-20,待审查,Block.one,区块链游戏引擎,20230111,游戏,区块链游戏,公有区块链,V1.0,去中心化、快速确认,中国区块链与数字货币论坛,http://www.cbcd.org.cn/,2024-09-28,
粤网信备44010656703421350018号,Hedera,公有区块链,功能测试,公有区块链,2023-11-01,北京华药集团有限公司,深圳市华大基因科技有限公司,已完成,2023-11-05,合格,Hedera Hashgraph,有向无环图,20230112,健康,健康记录,公有区块链,V1.0,高吞吐量、安全,国家区块链信息平台,http://www.nbi.gov.cn/,2024-09-28,
鄂网信备42010078904562320019号,NEO,公有区块链,安全审计,公有区块链,2023-11-15,上海医药集团股份有限公司,深圳市达尔优生物科技有限公司,正在办理,2023-11-20,待审查,NEO Foundation,智慧经济平台,20230113,金融,数字资产管理,公有区块链,V1.0,快速、隐私性,中国区块链协会,http://www.chinablockchain.org/,2024-09-28,
苏网信备32010612345678910020号,Algorand,公有区块链,性能测试,公有区块链,2023-06-15,南京信达生物药业股份有限公司,深圳生物制药有限公司,正在办理,2023-06-20,待审查,Algorand Foundation,治愈性协议,20230106,物流,供应链管理,公有区块链,V1.0,高效、低延迟,国际区块链协会,https://www.ibc.org,2024-09-28,
鲁网信备37020098765432130021号,Ripple,企业级区块链,功能测试,企业级区块链,2023-07-05,浙江浩阳生物科技有限公司,深圳生物医药研究院,已完成,2023-07-15,合格,Ripple Labs,支付网络,20230107,金融,跨境支付,企业级区块链,V1.0,快速、可扩展性,金融科技观察,https://www.fintechnews.org,2024-09-28,
川网信备51010023456789150022号,Cardano,公有区块链,系统审计,公有区块链,2023-08-10,成都倍特药业股份有限公司,深圳赛诺菲制药有限公司,正在办理,2023-08-20,待审查,IOHK,权益证明,20230108,供应链,产品溯源,公有区块链,V1.0,去中心化、可治理,区块链研究中心,https://www.blockchainresearch.org,2024-09-28,
渝网信备50010034567890160023号,EOS,公有区块链,安全审计,公有区块链,2023-09-05,天津华北制药股份有限公司,深圳康宁杰瑞生物科技有限公司,已完成,2023-09-10,合格,Block.one,去中心化平台,20230109,游戏,去中心化应用,公有区块链,V1.0,低延迟、可扩展性,IT技术杂志,https://www.techjournal.com,2024-09-28,
晋网信备14010087654321040024号,Polkadot,公有区块链,功能测试,公有区块链,2023-10-01,广东恩华药业股份有限公司,深圳康华生物科技有限公司,正在办理,2023-10-05,待审查,Web3 Foundation,多链架构,20230110,物联网,设备安全,公有区块链,V1.0,跨链互操作性、共享安全,国际区块链研究所,https://www.blockchaininstitute.org,2024-09-28,
粤网信备44010688812345678901号,Tezos,自我修正区块链,安全审计,自我修正区块链,2023-10-12,安徽康宁药业股份有限公司,深圳华大基因科技有限公司,已完成,2023-10-20,合格,Tezos Foundation,自我修正协议,20230111,文化产业,数字版权管理,自我修正区块链,V1.0,自我治理、高安全性,中国文化产业协会,https://www.chinaculture.org,2024-09-28,
浙网信备33010612345678901234号,Wavelet,分布式账本,功能测试,分布式账本,2023-10-22,湖北远大医药有限公司,深圳华大基因科技有限公司,正在办理,2023-10-30,待审查,Wavelet Network,分布式网络,20230112,物联网,数据安全,分布式账本,V1.0,低延迟、灵活性,智能科技论坛,https://www.smartforum.com,2024-09-28,
苏网信备32010298765432109876号,Fantom,公有区块链,系统审计,公有区块链,2023-10-30,江苏省制药有限公司,深圳创新药物研究院,已完成,2023-11-05,合格,Fantom Foundation,共识机制,20230113,供应链,智能合约,公有区块链,V1.0,快速、低成本,中国区块链研究院,https://www.blockchainresearch.cn,2024-09-28,
沪网信备31010411223344556677号,Algorand,公有区块链,功能测试,公有区块链,2023-05-20,华药集团有限公司,上海中医药大学附属医院制药厂,正在办理,2023-06-01,待审查,Algorand Foundation,高效共识机制,20230106,物流,供应链管理,公有区块链,V1.0,快速、低交易费,Crypto Research Institute,https://www.ibc.org,2024-09-28,
湘网信备43010455667788990011号,Polygon,混合区块链,性能测试,混合区块链,2023-07-15,中生制药有限公司,上海制药技术研究中心,已完成,2023-08-01,合格,Polygon Technology,子链协议,20230107,电子商务,去中心化交易,混合区块链,V1.0,可扩展性、交互性,区块链技术研究所,https://www.fintechnews.org,2024-09-28,
豫网信备41010533445566778890号,EOS,公有区块链,安全审计,公有区块链,2023-08-05,北京科兴生物技术有限公司,上海医药集团股份有限公司,正在办理,2023-08-15,待审查,Block.one,区块链操作系统,20230108,供应链,供应链透明化,公有区块链,V1.0,高性能、灵活性,国际标准化组织,https://www.blockchainresearch.org,2024-09-28,
晋网信备14010611223344556688号,Cardano,公有区块链,功能测试,公有区块链,2023-09-10,南京惠恒药业有限公司,上海医药集团股份有限公司,已完成,2023-09-20,合格,IOHK,分层架构,20230109,个人身份验证,身份管理,公有区块链,V1.0,安全、可替代性,新技术研究协会,https://www.techjournal.com,2024-09-28,
桂网信备45010599887766554433号,TRON,公有区块链,性能测试,公有区块链,2023-09-25,广东百利药业有限公司,上海医药工业有限公司,已经结束,2023-10-01,合格,TRON Foundation,内容共享平台,20230110,影视娱乐,去中心化内容分发,公有区块链,V1.0,开放、快速交易,数字产业发展协会,https://www.blockchaininstitute.org,2024-09-28,
皖网信备34020223603146870013号,Cosmos,公有区块链,系统审计,公有区块链,2023-10-05,上海药明康德新药研发有限公司,上海医疗器械有限公司,正在办理,2023-10-10,待审查,Tendermint,互操作性解决方案,20230111,物联网,设备连接,公有区块链,V1.0,多链支持、灵活性,区块链创新中心,https://www.chinaculture.org,2024-09-28,
京网信备11010523289175130015号,Zilliqa,公有区块链,安全审计,公有区块链,2023-10-15,浙江海正药业股份有限公司,上海药业股份有限公司,已完成,2023-10-20,合格,Zilliqa Research,分片技术,20230112,电子竞技,游戏开发,公有区块链,V1.0,高吞吐量、低延迟,国际区块链研究所,https://www.smartforum.com,2024-09-28,
浙网信备33010678901234567890号,Polygon,公有区块链,功能测试,公有区块链,2023-06-05,四川长春赛尔药业有限公司,上海药物研究所,正在办理,2023-06-10,待审查,Polygon Technology,分层架构,20230106,电子商务,支付与结算,公有区块链,V1.0,高效、可扩展性,中国互联网金融协会,https://www.blockchainresearch.cn,2024-09-28,
粤网信备44010612345678901234号,Cardano,公有区块链,性能测试,公有区块链,2023-07-12,武汉光明药业有限公司,上海药品研发中心,已完成,2023-07-15,合格,IOHK,权益证明机制,20230107,供应链,身份管理,公有区块链,V1.0,权益证明、安全性强,中国区块链技术研究中心,http://www.blockchainresearch.cn,2024-09-28,
苏网信备32011511223344556678号,Avalanche,公有区块链,安全审计,公有区块链,2023-08-01,江苏恒瑞医药股份有限公司,上海药品研发有限公司,正在办理,2023-08-05,待审查,Avalanche Labs,多链互动,20230108,互联网,智能合约,公有区块链,V1.0,高性能、低延迟,金融科技创新发展研究所,https://www.fedinstitute.org,2024-09-28,
川网信备51010598765432101234号,Tezos,自我修正区块链,功能测试,自我修正区块链,2023-08-15,天津中新药业集团有限公司,上海药品科技有限公司,已完成,2023-08-20,合格,Tezos Foundation,自我修正机制,20230109,文化创意,数字艺术,自我修正区块链,V1.0,自我治理、高透明度,文化和旅游部,http://www.mct.gov.cn,2024-09-28,
湘网信备43010523456789012345号,EOS,公有区块链,性能测试,公有区块链,2023-09-01,山东中科药业有限公司,上海药明康德新药研发有限公司,正在办理,2023-09-05,待审查,Block.one,去中心化应用,20230110,物流,货物跟踪,公有区块链,V1.0,快速、大规模应用,国家标准化管理委员会,https://www.sac.gov.cn,2024-09-28,
渝网信备50010609876543210012号,Hyperledger Sawtooth,企业级区块链,应用测试,企业级区块链,2023-09-15,福建南方医药有限公司,上海药明康德新药开发有限公司,已完成,2023-09-20,合格,Hyperledger,模块化架构,20230111,物联网,智能设备管理,企业级区块链,V1.0,高效能、低成本,中国信息通信研究院,http://www.caict.ac.cn,2024-09-28,
辽网信备21010634567890123456号,NEO,公有区块链,安全审计,公有区块链,2023-09-30,陕西生物制药公司,上海药明康德新药开发股份有限公司,正在办理,2023-10-05,待审查,NEO Foundation,智能合约平台,20230112,教育,学习记录,公有区块链,V1.0,可扩展性、易用性,教育部,http://www.moe.gov.cn,2024-09-28,
闽网信备35010645678901234567号,Ripple,企业级区块链,性能测试,企业级区块链,2023-06-01,黑龙江北大荒药业有限公司,上海药明康德新药开发股份有限公司,正在办理,2023-06-05,待审查,Ripple Labs,分布式账本,20230106,金融,跨境支付,企业级区块链,V1.1,速度快、低成本,Fintech Review,https://www.fintechreview.com,2024-09-28,
皖网信备34020223603146870025号,Polygon,公有区块链,功能测试,公有区块链,2023-07-15,华大基因有限公司,上海信谊药厂有限公司,已完成,2023-08-01,合格,Polygon Technology,多链架构,20230107,电子商务,去中心化金融,公有区块链,V1.0,链下合约、高可扩展性,区块链观察,https://www.blockchainobserver.com,2024-09-28,
京网信备11010523289175130017号,Cardano,公有区块链,安全审计,公有区块链,2023-08-30,中科院生物物理研究所,上海信谊药厂有限公司,正在办理,2023-09-05,待审查,IOHK,智能合约平台,20230108,物联网,治理与投票系统,公有区块链,V1.0,治理机制、高透明度,全球区块链指数,https://www.globalblockchainindex.com,2024-09-28,
沪网信备31010125603246870013号,Avalanche,公有区块链,功能测试,公有区块链,2023-09-20,赛诺菲（中国）投资有限公司,上海新阳光制药有限公司,已完成,2023-10-01,合格,Avalanche Labs,快速区块链,20230109,供应链,交易平台,公有区块链,V1.0,高吞吐量、低延迟,区块链技术日报,https://www.blockchaintechdaily.com,2024-09-28,
粤网信备44010612345678900011号,Chainlink,去中心化预言机,系统审计,去中心化预言机,2023-10-05,江苏恒瑞医药股份有限公司,上海现代制药股份有限公司,正在办理,2023-10-10,待审查,Chainlink Labs,预言机网络,20230110,金融,金融合约,去中心化预言机,V1.0,准确性、高可用性,数字货币市场报告,https://www.crypto-reports.com,2024-09-28,
苏网信备32010298765432100019号,Hedera,企业级区块链,性能测试,企业级区块链,2023-10-15,阿斯利康制药有限公司,上海现代药业集团,已完成,2023-10-20,合格,Hedera Hashgraph,分布式账本,20230111,电子科技,供应链管理,企业级区块链,V1.0,高速、安全,区块链技术分析,https://www.blockchainanalysis.com,2024-09-28,
浙网信备33010612345678900008号,EOS,公有区块链,安全审计,公有区块链,2023-10-25,山东齐鲁制药有限公司,上海微创医疗器械股份有限公司,正在办理,2023-11-01,待审查,Block.one,区块链平台,20230112,7,去中心化应用,公有区块链,V1.0,灵活性、高可扩展性,区块链产业研究院,https://www.blockchainresearch.org,2024-09-28,
川网信备51010487654321000016号,Algorand,公有区块链,系统审计,公有区块链,2023-11-05,北京康希诺生物股份有限公司,上海生物制药有限公司,已完成,2023-11-10,合格,Algorand Foundation,高性能区块链,20230113,8,数据共享,公有区块链,V1.0,快速、安全,区块链发展协会,https://www.blockchaindevelopment.org,2024-09-28,
陕网信备61010412345678900018号,Algorand,公有区块链,性能测试,公有区块链,2023-06-15,广州药业股份有限公司,上海生物制药公司,正在办理,2023-06-20,待审查,Algorand Foundation,速度优化框架,20230106,交通,智能交通系统,公有区块链,V1.0,高效、低延迟,中国信息通信研究院,http://www.caict.ac.cn,2024-09-28,
吉网信备22020012345678900020号,Cardano,公有区块链,功能测试,公有区块链,2023-07-01,百济神州制药有限公司,上海瑞金药业有限公司,已完成,2023-07-15,合格,IOHK,分层架构,20230107,保险,保险理赔,公有区块链,V1.0,安全性、可扩展,香港科技大学,https://www.ust.hk,2024-09-28,
闽网信备35010398765432100015号,Ripple,企业级区块链,支付解决方案,企业级区块链,2023-08-10,上海阿斯利康制药有限公司,上海瑞博药业股份有限公司,正在办理,2023-08-20,待审查,Ripple Labs,即时支付网络,20230108,贸易,跨境支付,企业级区块链,V1.0,快速、低成本,国际贸易中心,http://www.intracen.org,2024-09-28,
皖网信备34020223603146900013号,Polkadot,公有区块链,系统审计,公有区块链,2023-09-05,北京亚宝药业有限公司,上海人民制药有限公司,已完成,2023-09-20,合格,Web3 Foundation,互操作架构,20230109,物联网,智能家居,公有区块链,V1.0,灵活性、安全,行业协会,https://www.blockchainassociation.org,2024-09-28,
京网信备11010523289175130015号,EOS,公有区块链,功能开发,公有区块链,2023-10-01,同仁堂科技股份有限公司,上海青霖生物科技有限公司,正在办理,2023-10-05,待审查,Block.one,区块链应用平台,20230110,互联网,社交平台,公有区块链,V1.0,高性能、低费用,国际区块链技术协会,https://www.blockchaincouncil.org,2024-09-28,
豫网信备41010523504115270016号,Terra,公有区块链,钱包解决方案,公有区块链,2023-10-15,华瑞医药科技有限公司,上海盘古生物科技有限公司,已完成,2023-10-20,合格,Terra Labs,稳定币系统,20230111,电子商务,在线支付,公有区块链,V1.0,稳定、安全,电子商务研究中心,http://www.ecommerce.org,2024-09-28,
粤网信备44010623987415370017号,Hyperledger Sawtooth,企业级区块链,系统集成,企业级区块链,2023-11-01,先声药业有限公司,上海健凌医药科技股份有限公司,正在办理,2023-11-05,待审查,Hyperledger,模块化平台,20230112,供应链,供应链管理,企业级区块链,V1.0,合规性、追溯性,中国标准化研究院,http://www.sac.gov.cn,2024-09-28,
苏网信备32010423607115480018号,Flow,公有区块链,游戏应用,公有区块链,2023-11-20,浙江医药股份有限公司,上海吉药集团,正在办理,2023-11-25,待审查,Dapper Labs,游戏生态,20230113,文化,数字收藏品,公有区块链,V1.0,可编程、高互动性,游戏行业协会,http://www.gamingindustry.org,2024-09-28,
浙网信备33010623297615490019号,Polygon,公有区块链,性能测试,公有区块链,2023-06-15,深圳市药明康德新药开发股份有限公司,上海辉瑞制药有限公司,正在办理,2023-06-20,待审查,Polygon Technology,侧链架构,20230106,电子商务,交易处理,公有区块链,V1.0,交互能力、低延迟,中国区块链应用研究中心,https://www.blockchain.org.cn,2024-09-28,
闽网信备35010223983515500020号,Ripple,企业级区块链,安全审计,企业级区块链,2023-07-01,北京科学药物研究院,上海华康制药有限公司,已完成,2023-07-10,合格,Ripple Labs,金融网络,20230107,金融,跨境支付,企业级区块链,V1.1,高速度、低费用,金融与经济研究所,https://www.financialresearch.cn,2024-09-28,
湘网信备43010423608215510021号,Avalanche,公有区块链,功能测试,公有区块链,2023-08-10,上海恒瑞医药股份有限公司,上海华东医药股份有限公司,正在办理,2023-08-15,待审查,Avalanche Foundation,分层网络,20230108,供应链,资产管理,公有区块链,V1.0,高吞吐量、可扩展性,区块链技术研究所,https://www.blockchainresearch.cn,2024-09-28,
鄂网信备42010623894115520022号,Cardano,公有区块链,性能测试,公有区块链,2023-09-11,广州药业股份有限公司,上海恒瑞医药股份有限公司,已完成,2023-09-20,合格,IOHK,原生智能合约,20230109,教育,在线课程管理,公有区块链,V1.0,高安全性、灵活性,教育科技研究所,https://www.edutechresearch.cn,2024-09-28,
吉网信备22010423985715530023号,EOS,公有区块链,安全审计,公有区块链,2023-10-01,江苏恒瑞医药股份有限公司,上海方达生物制药有限公司,正在办理,2023-10-05,待审查,Block.one,高性能DApp平台,20230110,物流,追踪系统,公有区块链,V1.0,高可用性、快速确认,区块链技术与应用协会,https://www.btaa.org.cn,2024-09-28,
"皖网信备34020223603146870025号,京网信备11010523289175130029号,粤网信备44010612345678900018号,苏网信备32010298765432100012号,浙网信备33010623456789010011号,川网信备51010434567890120020号,黑网信备23010345678901230015号,鲁网信备37010267890123450013号,鄂网信备42010678901234560019号,闽网信备35010489012345670021号",Hedera,公有区块链,功能测试,公有区块链,2023-10-12,成都倍特药业有限公司,上海创新药业有限公司,已完成,2023-10-20,合格,Hedera Hashgraph,DAG技术,20230111,互联网,数据存储,公有区块链,V1.0,即时交易、低能耗,互联网科技发展中心,https://www.techcn.org,2024-09-28,
皖网信备34020225987452670013号,Zilliqa,公有区块链,性能测试,公有区块链,2023-10-25,重庆制药中国有限公司,上海创新药物研究院,正在办理,2023-11-01,待审查,Zilliqa Research,分片技术,20230112,区块链游戏,增强现实游戏,公有区块链,V1.0,即时可用、可扩展性,区块链游戏开发协会,https://www.blockchaingaming.org,2024-09-28,
京网信备11010524369485530015号,EOS,公有区块链,功能测试,公有区块链,2023-06-15,北京华大基因科技有限公司,上海创新药物开发有限公司,已完成,2023-06-20,合格,Block.one,多线程架构,20230106,电子商务,智能合同,公有区块链,V1.0,高可用性、低延迟,中国信息通信研究院,https://www.blockchaincouncil.org,2024-09-28,
鲁网信备37020245286396470011号,Polkadot,跨链区块链,安全审计,跨链区块链,2023-07-05,浙江天路药业有限公司,上海创生医药科技有限公司,正在办理,2023-07-10,待审查,Web3 Foundation,平行链架构,20230107,物联网,设备互联,跨链区块链,V1.0,互操作性、安全性,物联网国际协会,http://www.ecommerce.org,2024-09-28,
沪网信备31010537892145730016号,Nervos,公有区块链,性能测试,公有区块链,2023-08-15,天津天士力制药有限公司,上海博瑞医药有限公司,已完成,2023-08-20,合格,Nervos Network,层次化结构,20230108,金融,数字资产管理,公有区块链,V1.0,可扩展性、跨链解决方案,区块链产品研究院,http://www.sac.gov.cn,2024-09-28,
粤网信备44010683405213470012号,Chainlink,去中心化预言机,系统审计,去中心化预言机,2023-09-01,南京医药股份有限公司,上海阿斯利康制药有限公司,正在办理,2023-09-05,待审查,Chainlink Labs,预言机网络,20230109,数据交换,数据真实性验证,去中心化预言机,V1.0,可靠性、灵活性,链上分析机构,http://www.gamingindustry.org,2024-09-28,
苏网信备32010673912587370014号,Tron,公有区块链,功能测试,公有区块链,2023-09-20,安徽大丰制药有限公司,陕西天健生物医药科技有限公司,已完成,2023-09-25,合格,Tron Foundation,数字内容分发,20230110,媒体与娱乐,数字版权管理,公有区块链,V1.0,高效率、低成本,传媒技术协会,https://www.blockchain.org.cn,2024-09-28,
鄂网信备42010668512345670018号,Algorand,公有区块链,性能测试,公有区块链,2023-10-01,广西南宁制药厂,陕西省药物研发中心,正在办理,2023-10-05,待审查,Algorand Foundation,高性能区块链,20230111,数字货币,跨境支付,公有区块链,V1.0,快速、高通量,金融科技研究中心,https://www.financialresearch.cn,2024-09-28,
晋网信备14010045698123460017号,Cardano,公有区块链,安全审计,公有区块链,2023-10-15,湖北科技药业有限公司,陕西生物制药公司,已完成,2023-10-20,合格,IOHK,分层化设计,20230112,社交网络,用户数据控制,公有区块链,V1.0,可持续性、安全性,社交网络研究院,https://www.blockchainresearch.cn,2024-09-28,
湘网信备43010629483712170019号,Avalanche,公有区块链,功能测试,公有区块链,2023-10-25,辽宁中药集团有限责任公司,陕西赛特药业有限公司,正在办理,2023-10-30,待审查,Ava Labs,共识引擎,20230113,供应链,物品追踪,公有区块链,V1.0,快速、安全,供应链协会,https://www.edutechresearch.cn,2024-09-28,
桂网信备45010081526748370020号,Zilliqa,公有区块链,性能测试,公有区块链,2023-11-01,华药集团,陕西群星药业集团股份有限公司,已完成,2023-11-05,合格,Zilliqa Research,分片技术,20230114,广告与营销,广告投放,公有区块链,V1.0,高吞吐量、低费用,广告科技研究院,https://www.btaa.org.cn,2024-09-28,
皖网信备34020223603146870015号,Polygon,公有区块链,功能测试,公有区块链,2023-06-12,北京新药研究院,陕西康普拉制药股份有限公司,正在办理,2023-06-15,待审查,Polygon Technology,侧链,20230106,物流,去中心化物流解决方案,公有区块链,V1.0,高吞吐量、低费用,中国信息产业网,https://www.techcn.org,2024-09-28,
京网信备11010523289175130016号,Avalanche,公有区块链,安全审计,公有区块链,2023-07-05,上海生物制药公司,陕西康辉药业有限公司,已完成,2023-07-15,合格,Avalanche Labs,多链架构,20230107,供应链,智能合约执行,公有区块链,V1.0,高效性、可扩展性,国家发展和改革委员会,https://www.blockchaingaming.org,2024-09-28,
苏网信备32010623423146870017号,EOS,公有区块链,性能测试,公有区块链,2023-08-01,深圳医药科技有限公司,陕西冰峰制药有限公司,正在办理,2023-08-05,待审查,Block.one,信息共享平台,20230108,电子商务,交易确认,公有区块链,V1.1,高效性、用户友好,中国区块链技术创新研究中心,https://www.blockchaincouncil.org,2024-09-28,
粤网信备44010623789175130018号,Cardano,公有区块链,功能测试,公有区块链,2023-08-20,江苏药业股份有限公司,山东中科药业有限公司,待受理,2023-08-25,待审查,IOHK,公链,20230109,教育,去中心化教育平台,公有区块链,V1.0,可适应性、可扩展性,国家教育部,http://www.ecommerce.org,2024-09-28,
浙网信备33010623983146870019号,Fantom,公有区块链,系统审计,公有区块链,2023-09-12,中国药科大学,山东新华制药股份有限公司,正在办理,2023-09-15,待审查,Fantom Foundation,分布式账本,20230110,物流,货物追踪,公有区块链,V1.2,速度快、安全性高,中国物流与采购联合会,http://www.sac.gov.cn,2024-09-28,
川网信备51010623849175130020号,Harmony,公有区块链,性能测试,公有区块链,2023-09-25,苏州制药工业有限公司,山东新华制药股份有限公司,已完成,2023-10-01,合格,Harmony Protocol,分片技术,20230111,健康,医疗记录,公有区块链,V1.0,跨链互操作性、速度快,国家卫生健康委员会,http://www.gamingindustry.org,2024-09-28,
陕网信备61010623266146870021号,Zilliqa,公有区块链,安全审计,公有区块链,2023-10-07,广州医学研究院,山东时代药业有限公司,待受理,2023-10-10,待审查,Zilliqa Research,多链,20230112,金融,去中心化融资,公有区块链,V1.0,高吞吐量、低延迟,国家金融监督管理委员会,https://www.blockchain.org.cn,2024-09-28,
赣网信备36010623698175130022号,Algorand,公有区块链,性能测试,公有区块链,2023-06-15,浙江省药品研发中心,山东千山药机股份有限公司,正在办理,2023-06-20,待审查,Algorand Inc.,分片网络,20230106,物流,物流供应链,公有区块链,V1.0,高效率、可扩展性,国际区块链协会,https://www.financialresearch.cn,2024-09-28,
湘网信备43010623574146870023号,EOS,公有区块链,功能测试,公有区块链,2023-07-10,成都生物医药产业园,山东齐鲁制药有限公司,已完成,2023-07-15,合格,EOS.IO,DApp平台,20230107,传媒,去中心化媒体,公有区块链,V1.0,灵活性、社区驱动,区块链技术研究中心,https://www.blockchainresearch.cn,2024-09-28,
鄂网信备42010623738175130024号,Cardano,公有区块链,安全审计,公有区块链,2023-08-01,华医药品有限公司,山东齐鲁制药有限公司,正在办理,2023-08-05,待审查,IOHK,双层结构,20230108,保险,保险理赔,公有区块链,V1.0,高安全性、低能耗,区块链信息网,https://www.edutechresearch.cn,2024-09-28,
"桂网信备45010222764435290014号,鲁网信备37020233976648960012号,湘网信备43010523679432180013号,闽网信备35020323876512340015号,苏网信备32010623456789020011号,粤网信备44010623789045670016号,川网信备51010423761234580012号,沪网信备31010523987654320019号,鄂网信备42010623654321120018号,豫网信备41010323676543210017号",Polkadot,公有区块链,性能测试,公有区块链,2023-09-12,中科药业集团,山东罗欣药业集团有限公司,正在办理,2023-09-15,合格,Web3 Foundation,跨链技术,20230109,物联网,智能设备互联,公有区块链,V1.0,互操作性、模块化,区块链周刊,https://www.btaa.org.cn,2024-09-28,
皖网信备34020223603146870015号,Avalanche,公有区块链,系统审计,公有区块链,2023-10-05,德信医药科技,山东鲁药集团有限公司,已完成,2023-10-10,合格,Avalanche Labs,高效交易,20230110,传媒,音频流,公有区块链,V1.0,高性能、低延迟,音频技术协会,https://www.techcn.org,2024-09-28,
京网信备11010523289175130016号,VeChain,公有区块链,功能测试,公有区块链,2023-10-20,佳悦药物研究院,山东鲁药集团,正在办理,2023-10-25,待审查,VeChain Foundation,供应链管理,20230111,供应链,产品溯源,公有区块链,V1.0,透明性、追溯性,供应链研究所,https://www.blockchaingaming.org,2024-09-28,
粤网信备44010623289175130017号,Litecoin,公有区块链,安全审计,公有区块链,2023-11-02,众诚生物制药,山东鲁抗医药股份有限公司,已完成,2023-11-05,合格,Litecoin Foundation,数字货币,20230112,付款,数字交易,公有区块链,V1.0,快速交易、低费用,数字货币咨询网,https://www.blockchaincouncil.org,2024-09-28,
浙网信备33010623289175130018号,Cosmos,公有区块链,功能测试,公有区块链,2023-11-12,新诺药业有限公司,山东蓝海药业集团,正在办理,2023-11-15,待审查,Cosmos Network,区块链网络,20230113,物联网,设备管理,公有区块链,V1.0,互操作性、数据共享,物联网协会,http://www.ecommerce.org,2024-09-28,
苏网信备32010623289175130019号,Avalanche,公有区块链,功能测试,公有区块链,2023-06-01,明德药品开发公司,山东健康制药股份有限公司,正在办理,2023-06-10,待审查,Avalanche Foundation,分布式账本,20230106,供应链,供应链管理,公有区块链,V1.0,高速、低延迟,中国信息通信研究院,http://www.caict.ac.cn,2024-09-28,
湘网信备43010623289175130020号,Polygon,公有区块链,性能测试,公有区块链,2023-07-15,恒瑞医药股份有限公司,山东华光制药厂,已完成,2023-07-20,合格,Polygon Technology,侧链架构,20230107,旅游,旅游服务,公有区块链,V1.0,可扩展性、易用性,国家标准化管理委员会,https://www.gov.cn,2024-09-28,
鲁网信备37010623289175130021号,Cardano,公有区块链,安全审计,公有区块链,2023-08-05,合药创新科技,山东海洋药业有限公司,正在办理,2023-08-10,待审查,IOHK,去中心化平台,20230108,物联网,物联网连接,公有区块链,V1.0,可持续性、安全性,物联网联盟,http://www.iot.org,2024-09-28,
渝网信备50010623289175130022号,Hyperledger Sawtooth,企业级区块链,功能测试,企业级区块链,2023-08-20,赛米药业有限公司,山东富源制药有限公司,已完成,2023-09-01,合格,Hyperledger,多租户架构,20230109,贸易,贸易融资,企业级区块链,V1.0,灵活性、模块化,中国电子技术标准化研究院,http://www.caict.ac.cn,2024-09-28,
陕网信备61010623289175130023号,EOS,公有区块链,安全审计,公有区块链,2023-09-15,鼎信生物制药,厦门临床试验中心,正在办理,2023-09-20,待审查,Block.one,智能合约平台,20230110,传媒,社交平台,公有区块链,V1.0,高吞吐量、灵活,国信办,http://www.gxc.gov.cn,2024-09-28,
