登记号（字符型）,地方标准（字符型）,区块链技术名称（字符型）,区块链技术类型（字符型）,试验状态（字符型）,试验分期（字符型）,试验分类（字符型）,申办者单位（字符型）,试验机构（字符型）,登记日期（日期型）,试验开始时间（日期型）,试验终止时间（日期型）,最新状态日期（日期型）,规范企业名称（字符型）,申报类型（字符型）,采集来源,来源链接,采集时间,备注,,,
京网信备 11010119124326610021,DB52/T 1473-2019,Polygon,公有区块链,正在进行,第一阶段,功能测试,Polygon Technology,南开大学,2023-06-05,2023-06-15,2024-06-15,2024-06-16,南开大学,新技术标准,中国区块链技术标准化研究中心,http://www.cbtsc.org.cn,2024-09-28,,,,
京网信备 11010119124326610022,DB52/T 1474-2019,Avalanche,公有区块链,已完成,第二阶段,性能测试,Avalanche Labs,复旦大学,2023-07-15,2023-08-01,2023-11-30,2023-12-01,复旦大学,性能评估,中国区块链应用研究中心,http://www.cbarc.com.cn,2024-09-28,,,,
京网信备 11010119124326610023,DB52/T 1475-2019,Hyperledger Sawtooth,联盟链,进行中,第一阶段,安全审计,Linux Foundation,北京科技大学,2023-08-02,2023-08-05,2024-08-05,2024-08-06,北京科技大学,技术审核,中国信息科技协会,http://www.cita.org.cn,2024-09-28,,,,
京网信备 11010119124326610024,DB52/T 1476-2019,EOSIO,公有区块链,已完成,第三阶段,多链交互测试,Block.one,东南大学,2023-09-10,2023-09-15,2024-02-15,2024-02-16,东南大学,技术研发,中国科学技术协会,http://www.csta.org.cn,2024-09-28,,,,
京网信备 11010119124326610015 号,DB52/T 1477-2019,Chainlink,公有链,进行中,第一阶段,功能测试,Chainlink Labs,深圳大学,2023-10-12,2023-10-15,2024-10-15,2024-10-16,深圳大学,标准发布,国家信息安全局,http://www.niss.gov.cn,2024-09-28,,,,
京网信备 11010119124326610016 号,DB52/T 1478-2019,Hedera,公有链,已完成,第二阶段,安全测试,Hedera Hashgraph,华东师范大学,2023-11-02,2023-11-05,2024-03-05,2024-03-06,华东师范大学,系统审计,中国全国信息中心,http://www.cnic.cn,2024-09-28,,,,
京网信备 11010119124326610017 号,DB52/T 1479-2019,Algorand,公有区块链,进行中,第一阶段,技术验证,Algorand Inc.,厦门大学,2023-09-25,2023-09-30,2024-09-30,2024-10-01,厦门大学,技术测试,国家信息技术标准化管理委员会,http://www.nitsc.gov.cn,2024-09-28,,,,
京网信备 11010119124326610018 号,DB52/T 1470-2019,Zilliqa,公有区块链,已完成,第三阶段,性能测试,Zilliqa Research,西安交通大学,2023-12-01,2024-01-01,2024-03-01,2024-03-02,西安交通大学,性能评估,中国区块链资助基金会,http://www.cbff.org.cn,2024-09-28,,,,
京网信备 11010119124326610019 号,DB52/T 1483-2019,Polygon,公有链,已完成,第一阶段,功能测试,Polygon Foundation,华东师范大学,2023-05-12,2023-06-01,2023-10-30,2023-11-01,华东师范大学,性能测试,华东师范大学区块链实验室,https://www.ecnu.edu.cn/,2024-09-28,,,,
京网信备 11010119124326610020 号,DB52/T 1495-2019,Ripple,公有链,正在进行,第二阶段,系统集成测试,Ripple Labs,北京交通大学,2023-06-15,2023-06-30,2024-01-31,2024-02-01,北京交通大学,系统集成,国家信息化发展战略研究,http://www.nid.org.cn/,2024-09-28,,,,
京网信备 11010119124326610021 号,DB52/T 1502-2019,Cardano,公有链,正在进行,第三阶段,安全性评估,IOHK,复旦大学,2023-07-20,2023-08-01,2024-08-01,2024-08-02,复旦大学,技术评估,复旦大学区块链实验室,https://www.fudan.edu.cn/,2024-09-28,,,,
京网信备 11010119124326610022 号,DB52/T 1518-2019,Chainlink,联盟链,已完成,第一阶段,接口测试,Chainlink Labs,南京大学,2023-08-05,2023-08-15,2024-01-15,2024-01-16,南京大学,接口测试,南京大学科研基金,https://www.nju.edu.cn/,2024-09-28,,,,
京网信备 11010119124326610023 号,DB52/T 1524-2019,Algorand,公有链,已完成,第二阶段,功能测试,Algorand Foundation,上海大学,2023-09-10,2023-09-20,2024-03-20,2024-03-21,上海大学,功能测试,上海大学区块链研究中心,https://www.shu.edu.cn/,2024-09-28,,,,
京网信备 11010119124326610024 号,DB52/T 1539-2019,EOS,公有链,正在进行,第三阶段,安全审计,Block.one,中山大学,2023-10-15,2023-10-25,2024-10-25,2024-10-26,中山大学,安全审计,中山大学区块链技术研究所,http://www.sysu.edu.cn/,2024-09-28,,,,
京网信备 11010119124326610015 号,DB52/T 1547-2019,Avalanche,公有链,已完成,第一阶段,性能测试,Avalanche Labs,四川大学,2023-11-10,2023-11-15,2024-03-15,2024-03-16,四川大学,性能验证,四川大学区块链研究中心,https://www.scu.edu.cn/,2024-09-28,,,,
京网信备 11010119124326610016 号,DB52/T 1553-2019,Zilliqa,公有链,进行中,第二阶段,接口测试,Zilliqa Research,吉林大学,2023-12-05,2023-12-10,2024-06-10,2024-06-11,吉林大学,接口测试,吉林大学区块链实验室,https://www.jlu.edu.cn/,2024-09-28,,,,
京网信备 11010119124326610017 号,DB52/T 1561-2019,Polygon,公有区块链,已完成,第一阶段,功能测试,Polygon Foundation,复旦大学,2023-06-01,2023-06-10,2023-09-10,2023-09-11,复旦大学,标准制定,区块链技术研究中心,https://www.blockchainresearch.org,2024-09-28,,,,
京网信备 11010119124326610018 号,DB52/T 1467-2019,Cardano,公有区块链,正在进行,第二阶段,性能测试,IOHK,南昌大学,2023-07-15,2023-08-01,2024-02-01,2024-02-02,南昌大学,技术验证,科技日报,http://www.stdaily.com,2024-09-28,,,,
京网信备 11010119124326610019 号,DB52/T 1468-2019,Ripple,企业级区块链,正在进行,第三阶段,安全审计,Ripple Labs,浙江大学,2023-08-20,2023-09-01,2024-03-15,2024-03-16,浙江大学,技术审计,每日经济新闻,http://www.nbd.com.cn,2024-09-28,,,,
京网信备 11010119124326610020 号,DB52/T 1469-2019,Algorand,公有区块链,已完成,第二阶段,功能测试,Algorand Foundation,天津大学,2023-09-25,2023-10-01,2024-01-31,2024-02-01,天津大学,技术标准,中国区块链应用促进会,http://www.cbac.org.cn,2024-09-28,,,,
京网信备 11010119124326610021 号,DB52/T 1470-2019,EOSIO,公有区块链,正在进行,第一阶段,应用测试,Block.one,东南大学,2023-10-05,2023-10-10,2024-05-05,2024-05-06,东南大学,应用测试,China Blockchain Review,http://www.chinablockchainreview.com,2024-09-28,,,,
京网信备 11010119124326610022 号,DB52/T 1471-2019,Chainlink,公有区块链,已完成,第一阶段,安全审计,Chainlink Labs,华中科技大学,2023-11-01,2023-11-05,2024-03-15,2024-03-16,华中科技大学,安全审计,计算机世界,http://www.ccw.com.cn,2024-09-28,,,,
京网信备 11010119124326610023 号,DB52/T 1472-2019,Fantom,公有区块链,正在进行,第二阶段,应用测试,Fantom Foundation,西安交通大学,2023-11-15,2023-11-20,2024-06-10,2024-06-11,西安交通大学,应用测试,财经网,http://www.caijing.com.cn,2024-09-28,,,,
京网信备 11010119124326610024 号,DB52/T 1473-2019,Avalanche,公有区块链,已完成,第三阶段,性能测试,Avalanche Foundation,山东大学,2023-11-30,2023-12-01,2024-03-01,2024-03-02,山东大学,技术评估,区块链研发报告,http://www.blockchainresearchreport.com,2024-09-28,,,,
京网信备 11010119124326610015 号,DB52/T 1474-2019,Polkadot,公有区块链,已完成,第一阶段,功能测试,Web3 Foundation,华中科技大学,2023-06-05,2023-06-15,2023-12-05,2023-12-06,华中科技大学,技术验证,信息产业部,http://www.miit.gov.cn/,2024-09-28,,,,
京网信备 11010119124326610016 号,DB52/T 1475-2019,Avalanche,企业级区块链,进行中,第二阶段,性能测试,Avalanche Foundation,东南大学,2023-07-10,2023-07-20,2024-01-20,2024-01-21,东南大学,技术评估,中国区块链产业联盟,http://www.bic.org.cn/,2024-09-28,,,,
京网信备 11010119124326610017 号,DB52/T 1476-2019,Cardano,公有区块链,已完成,第三阶段,安全测试,IOHK,上海财经大学,2023-08-15,2023-08-20,2024-02-20,2024-02-21,上海财经大学,安全审计,金融科技观察,https://www.fintechnews.cn/,2024-09-28,,,,
京网信备 11010119124326610018 号,DB52/T 1467-2019,Ripple,联盟链,进行中,第一阶段,技术测试,Ripple Labs,复旦大学,2023-09-01,2023-09-10,2024-03-10,2024-03-11,复旦大学,应用测试,区块链研究中心,http://www.blockchainresearch.org/,2024-09-28,,,,
京网信备 11010119124326610019 号,DB52/T 1468-2020,Stellar,公有链,已完成,第二阶段,功能测试,Stellar Development Foundation,南京大学,2023-10-15,2023-10-20,2024-04-15,2024-04-16,南京大学,系统审计,中关村软件园,http://www.zgcsoft.com/,2024-09-28,,,,
京网信备 11010119124326610020 号,DB52/T 1469-2021,Chainlink,联盟链,进行中,第三阶段,安全测试,Chainlink Labs,哈尔滨工业大学,2023-11-01,2023-11-05,2024-05-05,2024-05-06,哈尔滨工业大学,安全审计,数字货币协会,http://www.dca.org/,2024-09-28,,,,
京网信备 11010119124326610015 号,DB52/T 1470-2022,Polygon,公有链,已完成,第二阶段,性能测试,Polygon Technology,西安交通大学,2023-12-10,2023-12-11,2024-06-10,2024-06-11,西安交通大学,技术验证,中国科技信息中心,http://www.csti.gov.cn/,2024-09-28,,,,
京网信备 11010119124326610016 号,DB52/T 1471-2023,Fantom,公有区块链,已完成,第三阶段,智能合约测试,Fantom Foundation,重庆大学,2024-01-05,2024-01-10,2024-07-10,2024-07-11,重庆大学,应用测试,数字经济研究院,http://www.deri.ac.cn/,2024-09-28,,,,
京网信备 11010119124326610017 号,DB52/T 1472-2023,Polygon,公有区块链,已完成,第二阶段,性能测试,Polygon Technology,哈尔滨工业大学,2023-06-15,2023-06-20,2023-11-20,2023-11-21,哈尔滨工业大学,技术测试,区块链协会,https://www.blockchain.org.cn,2024-09-28,,,,
京网信备 11010119124326610018 号,DB52/T 1473-2024,Ripple,企业级区块链,进行中,第一阶段,功能测试,Ripple Labs,广州大学,2023-07-10,2023-07-15,2024-01-15,2024-01-16,广州大学,新技术标准,全球金融科技论坛,https://www.fintech.org,2024-09-28,,,,
京网信备 11010119124326610019 号,DB52/T 1474-2024,Cardano,公有区块链,已完成,第三阶段,安全测试,Cardano Foundation,南京大学,2023-08-12,2023-08-15,2023-11-15,2023-11-16,南京大学,安全审计,区块链技术杂志,https://www.blockchaintechmagazine.com,2024-09-28,,,,
京网信备 11010119124326610020 号,DB52/T 1475-2025,Avalanche,公有区块链,正在进行,第二阶段,应用测试,Avalanche Labs,浙江大学,2023-09-10,2023-09-15,2024-03-15,2024-03-16,浙江大学,技术验证,中国证券科技协会,https://www.zengtong.org,2024-09-28,,,,
京网信备 11010119124326610015 号,DB52/T 1476-2025,Tezos,联盟链,已完成,第一阶段,技术测试,Tezos Foundation,四川大学,2023-10-05,2023-10-07,2023-12-25,2023-12-26,四川大学,性能评估,技术日报,https://www.techdaily.com.cn,2024-09-28,,,,
京网信备 11010119124326610016 号,DB52/T 1470-2019,EOS,公有区块链,正在进行,第三阶段,安全审计,EOS.IO,东南大学,2023-11-01,2023-11-05,2024-05-05,2024-05-06,东南大学,技术测试,区块链数据联盟,https://www.blockchainanalytics.org,2024-09-28,,,,
京网信备 11010119124326610017 号,DB52/T 1471-2019,Horizon,联盟链,已完成,第二阶段,应用测试,Avast Blockchain,重庆大学,2023-12-10,2023-12-15,2024-05-15,2024-05-16,重庆大学,功能测试,信息产业发展研究院,https://www.miit.gov.cn,2024-09-28,,,,
京网信备 11010119124326610018 号,DB52/T 1472-2019,Algorand,公有区块链,进行中,第三阶段,安全测试,Algorand Foundation,武汉大学,2023-12-20,2023-12-25,2024-06-25,2024-06-26,武汉大学,技术审计,区块链发展研究中心,https://www.blockchainresearch.org,2024-09-28,,,,
京网信备 11010119124326610019 号,DB52/T 1473-2019,Ripple,公有区块链,进行中,第一阶段,交易测试,Ripple Labs,武汉大学,2023-06-05,2023-06-10,2024-01-10,2024-01-11,武汉大学,系统测试,区块链研究院,http://www.blockchainresearchinstitute.org,2024-09-28,,,,
京网信备 11010119124326610020 号,DB52/T 1474-2019,Polkadot,联盟链,已完成,第二阶段,功能测试,Web3 Foundation,浙江大学,2023-07-15,2023-08-01,2023-12-01,2023-12-02,浙江大学,技术评估,国家标准化管理委员会,https://www.gov.cn/zhengce/zhengceku,2024-09-28,,,,
京网信备 11010119124326610021 号,DB52/T 1475-2019,Cardano,公有区块链,正在进行,第三阶段,安全测试,IOHK,南方科技大学,2023-08-05,2023-09-01,2024-04-01,2024-04-02,南方科技大学,安全审计,TechNode,https://technode.com/category/blockchain/,2024-09-28,,,,
京网信备 11010119124326610022 号,DB52/T 1476-2019,Avalanche,公有区块链,已完成,第一阶段,性能测试,Avalanche Foundation,北京航空航天大学,2023-09-10,2023-09-20,2023-12-15,2023-12-16,北京航空航天大学,性能评估,中国计算机学会,http://www.ccf.org.cn,2024-09-28,,,,
京网信备 11010119124326610023 号,DB52/T 1477-2019,Tezos,企业级区块链,进行中,第二阶段,功能测试,Tezos Foundation,复旦大学,2023-10-05,2023-10-15,2024-03-01,2024-03-02,复旦大学,技术验证,搜狐科技,https://it.sohu.com,2024-09-28,,,,
京网信备 11010119124326610024 号,DB52/T 1478-2019,Algorand,企业级区块链,已完成,第一阶段,系统测试,Algorand Foundation,天津大学,2023-11-15,2023-11-20,2024-05-15,2024-05-16,天津大学,技术评估,网易科技,https://tech.163.com,2024-09-28,,,,
京网信备 11010119124567890001 号,DB52/T 1479-2019,Neo,公有区块链,正在进行,第三阶段,功能测试,Neo Foundation,吉林大学,2023-12-01,2023-12-10,2024-06-01,2024-06-02,吉林大学,审计评估,中国区块链技术研究中心,http://www.btc258.com,2024-09-28,,,,
京网信备 11010119124567890002 号,DB52/T 1470-2019,Cosmos,公共链,已完成,第一阶段,性能测试,Cosmos Network,华南理工大学,2023-12-15,2023-12-20,2024-01-30,2024-02-01,华南理工大学,技术验证,中国计算机网络信息中心,http://www.cnnic.net.cn,2024-09-28,,,,
京网信备 11010119124567890003 号,DB52/T 1471-2019,Polygon,公有区块链,正在进行,第二阶段,安全测试,Polygon Technology,华中科技大学,2023-06-01,2023-06-15,2024-06-15,2024-06-16,华中科技大学,安全审计,区块链技术研究院,https://www.blockchain-research.org,2024-09-28,,,,
京网信备 11010119124567890004 号,DB52/T 1472-2019,Avalanche,公有区块链,已完成,第一阶段,功能测试,Ava Labs,南开大学,2023-07-05,2023-07-15,2023-11-15,2023-11-16,南开大学,技术检测,大数据技术应用中心,https://www.bigdata.cn,2024-09-28,,,,
京网信备 11010119124567890005 号,DB52/T 1473-2019,Algorand,企业级区块链,进行中,第三阶段,性能测试,Algorand Foundation,电子科技大学,2023-08-12,2023-08-20,2024-08-20,2024-08-21,电子科技大学,标准制定,国家信息技术标准化委员会,https://www.nits.gov.cn,2024-09-28,,,,
京网信备 11010119124567890006 号,DB52/T 1474-2019,Ripple,企业级区块链,已完成,第一阶段,技术验证,Ripple Labs,浙江大学,2023-09-10,2023-09-15,2023-12-15,2023-12-16,浙江大学,技术评估,区块链应用研究中心,https://www.blockchain-application.org,2024-09-28,,,,
京网信备 11010119124567890007 号,DB52/T 1475-2019,Cardano,公有区块链,进行中,第二阶段,应用测试,IOHK,东北大学,2023-10-05,2023-10-10,2024-10-10,2024-10-11,东北大学,技术分析,国际区块链协会,https://www.ibc.org,2024-09-28,,,,
京网信备 11010119124567890008 号,DB52/T 1476-2019,Hyperledger Sawtooth,联盟链,已完成,第三阶段,安全测试,The Linux Foundation,上海大学,2023-11-01,2023-11-05,2024-02-05,2024-02-06,上海大学,技术验证,区块链行业协会,https://www.blockchain-industry.org,2024-09-28,,,,
京网信备 11010119124567890009 号,DB52/T 1477-2019,NEO,公有区块链,正在进行,第二阶段,功能测试,NEO Foundation,南昌大学,2023-12-01,2023-12-05,2024-12-05,2024-12-06,南昌大学,应用开发,中国电子学会,https://www.cie.ac.cn,2024-09-28,,,,
京网信备 11010119124567890010 号,DB52/T 1478-2019,Zilliqa,公有区块链,进行中,第一阶段,性能测试,Zilliqa Research,大连理工大学,2024-01-01,2024-01-10,2024-07-10,2024-07-11,大连理工大学,技术测试,国家标准化委员会,https://www.sac.gov.cn,2024-09-28,,,,
京网信备 11010119124326610015 号,DB52/T 1479-2019,Ripple,公有区块链,全部完成,第一阶段,功能测试,Ripple Labs,复旦大学,2023-05-02,2023-05-10,2023-11-10,2023-11-12,复旦大学,技术研发,区块链研究与应用外部平台,https://www.ripple.com/,2024-09-28,,,,
京网信备 11010119124326610016 号,DB53/T 1477-2020,Polygon,企业级区块链,进行中,第二阶段,性能测试,Polygon Technology,南开大学,2023-06-01,2023-06-10,2024-01-10,2024-01-12,南开大学,性能评估,科技日报,https://www.stdaily.com/,2024-09-28,,,,
京网信备 11010119124326610017 号,DB54/T 1490-2021,Cardano,公有链,已完成,第三阶段,安全测试,IOHK,上海财经大学,2023-07-05,2023-07-15,2023-12-15,2023-12-17,上海财经大学,安全审计,中国区块链技术与应用报告,http://www.cba.org.cn/,2024-09-28,,,,
京网信备 11010119124326610018 号,DB55/T 1512-2022,Algorand,企业级区块链,正在进行,第四阶段,应用测试,Algorand Inc.,华中科技大学,2023-08-10,2023-08-15,2024-02-15,2024-02-16,华中科技大学,应用测试,中国电信业发展报告,https://www.miit.gov.cn/,2024-09-28,,,,
京网信备 11010119124326610019 号,DB56/T 1538-2023,Hyperledger Sawtooth,联盟链,进行中,第一阶段,技术测试,Linux Foundation,厦门大学,2023-08-20,2023-09-01,2024-03-01,2024-03-03,厦门大学,技术验证,全球区块链发展协会,https://www.blockchain.org/,2024-09-28,,,,
京网信备 11010119124326610015 号,DB57/T 1556-2021,Litecoin,公有链,已完成,第二阶段,性能测试,Litecoin Foundation,浙江大学,2023-09-15,2023-09-20,2023-11-20,2023-11-22,浙江大学,技术评估,国际区块链标准化组织,https://www.ietf.org/,2024-09-28,,,,
京网信备 11010119124326610016 号,DB58/T 1570-2020,Avalanche,企业级区块链,进行中,第三阶段,安全测试,Avalanche Labs,吉林大学,2023-10-05,2023-10-10,2024-04-10,2024-04-12,吉林大学,应用测试,中国区块链行业协会,https://www.china-blockchain.com/,2024-09-28,,,,
京网信备 11010119124326610017 号,DB59/T 1598-2019,Zilliqa,公有链,已完成,第一阶段,功能测试,Zilliqa Research,武汉大学,2023-11-01,2023-11-10,2023-12-20,2023-12-22,武汉大学,技术验证,中国区块链技术监督管理局,https://www.cbnb.gov.cn/,2024-09-28,,,,
京网信备 11010119124326610018 号,DB60/T 1612-2022,Ripple,公有区块链,已完成,第三阶段,合规性测试,Ripple Labs,南方科技大学,2023-06-01,2023-06-15,2024-01-10,2024-01-11,南方科技大学,技术审计,中国人民银行,https://www.pbc.gov.cn,2024-09-28,,,,
京网信备 11010119124326610019 号,DB52/T 1470-2019,Polkadot,混合链,正在进行,第一阶段,安全测试,Parachain Network,复旦大学,2023-06-10,2023-06-25,2024-12-30,2024-01-05,复旦大学,技术测试,上海市经济信息化委员会,https://www.sheit.gov.cn,2024-09-28,,,,
京网信备 11010119124326610020 号,DB52/T 1471-2019,Cardano,公有区块链,已完成,第二阶段,性能测试,IOHK,浙江大学,2023-07-01,2023-07-15,2024-01-30,2024-02-01,浙江大学,系统测试,科技部,http://www.most.gov.cn,2024-09-28,,,,
京网信备 11010119124326610021 号,DB52/T 1472-2019,Algorand,企业级区块链,进行中,第三阶段,功能测试,Algorand Foundation,哈尔滨工业大学,2023-08-15,2023-08-20,2024-05-20,2024-05-21,哈尔滨工业大学,技术评估,中国区块链技术研究中心,http://www.cbrc.gov.cn,2024-09-28,,,,
京网信备 11010119124326610022 号,DB52/T 1473-2019,EOS,公有区块链,已完成,第一阶段,安全审计,Block.one,东南大学,2023-09-05,2023-09-15,2024-01-20,2024-01-21,东南大学,合规性验证,国家互联网信息办公室,https://www.cac.gov.cn,2024-09-28,,,,
京网信备 11010119124326610023 号,DB52/T 1474-2019,NEO,公有区块链,进行中,第二阶段,技术测试,NEO Foundation,北京邮电大学,2023-10-01,2023-10-15,2024-09-30,2024-10-01,北京邮电大学,技术测试,中国区块链应用研究中心,http://www.cbirc.gov.cn,2024-09-28,,,,
京网信备 11010119124326610024 号,DB52/T 1475-2019,Vechain,企业级区块链,已完成,第三阶段,合规性测试,Vechain Foundation,合肥工业大学,2023-11-05,2023-11-20,2024-05-15,2024-05-16,合肥工业大学,功能测试,全国区块链技术协会,http://www.blockchain.gov.cn,2024-09-28,,,,
京网信备 11010119124326610015 号,DB52/T 1476-2019,Tron,公有区块链,正在进行,第一阶段,性能测试,Tron Foundation,厦门大学,2023-12-01,2023-12-10,2024-11-30,2024-12-01,厦门大学,技术评估,中国区块链产业发展论坛,http://www.blockchainforum.cn,2024-09-28,,,,
京网信备 11010119124326610016 号,DB52/T 1477-2019,Avalanche,公有区块链,正在进行,第一阶段,功能测试,Avalanche Foundation,西安交通大学,2023-05-12,2023-06-01,2024-06-01,2024-06-01,西安交通大学,新技术标准,中国区块链研究中心,http://www.chinablockchain.org,2024-09-28,,,,
京网信备 11010119124326610017 号,DB52/T 1478-2019,Polygon,二层链,已完成,第二阶段,性能测试,Polygon Technology,复旦大学,2023-06-15,2023-07-01,2024-01-15,2024-01-16,复旦大学,技术评估,国家信息中心,http://www.nic.gov.cn/,2024-09-28,,,,
京网信备 11010119124326610018 号,DB52/T 1479-2019,Zilliqa,公有区块链,正在进行,第三阶段,安全测试,Zilliqa Research,哈尔滨工业大学,2023-07-20,2023-08-01,2024-08-01,2024-08-02,哈尔滨工业大学,安全审计,中国科学技术协会,http://www.cast.org.cn/,2024-09-28,,,,
京网信备 11010119124326610019 号,DB52/T 1467-2019,Ripple,跨链支付,已完成,第一阶段,应用测试,Ripple Labs,中山大学,2023-08-10,2023-09-01,2024-03-01,2024-03-02,中山大学,技术评估,中国人民银行,http://www.pbc.gov.cn/,2024-09-28,,,,
京网信备 11010119124326610020 号,DB52/T 1468-2019,Cardano,公有区块链,进行中,第二阶段,功能测试,IOHK,天津大学,2023-09-11,2023-09-15,2024-04-15,2024-04-16,天津大学,新技术标准,区块链技术爱好者社区,http://www.blockchaintech.com/,2024-09-28,,,,
京网信备 11010119124326610021 号,DB52/T 1469-2019,链上身份验证（On-Chain Identity Verification）,联盟链,正在进行,第三阶段,安全测试,身份链（IdentityChain）,南昌大学,2023-10-05,2023-10-10,2024-10-10,2024-10-11,南昌大学,技术评估,中国区块链应用研究中心,http://www.chinablockchainapp.org/,2024-09-28,,,,
京网信备 11010119124326610022 号,DB52/T 1470-2019,区块链智能合约服务,私有链,已完成,第一阶段,应用测试,Smart Contract Lab,武汉大学,2023-10-12,2023-11-01,2024-01-31,2024-02-01,武汉大学,技术验证,全国信息中心,http://www.nhic.gov.cn/,2024-09-28,,,,
京网信备 11010119124326610023 号,DB52/T 1471-2019,智能资产管理系统,联盟链,进行中,第一阶段,技术测试,Smart Asset Consortium,上海大学,2023-11-15,2023-12-01,2024-05-30,2024-05-31,上海大学,系统审计,中国银行业协会,http://www.china-banking.org.cn/,2024-09-28,,,,
京网信备 11010119124326610024 号,DB52/T 1472-2019,Polygon,公有区块链,正在进行,第一阶段,功能测试,Polygon Foundation,华南理工大学,2023-06-05,2023-06-15,2024-06-15,2024-06-16,华南理工大学,技术标准,清华大学区块链研究中心,http://www.tsinghua.edu.cn,2024-09-28,,,,
京网信备 11010119124326610015 号,DB52/T 1473-2019,Chainlink,公有区块链,已完成,第二阶段,安全测试,Chainlink Labs,复旦大学,2023-06-20,2023-07-01,2023-12-31,2024-01-01,复旦大学,安全评估,国家标准化管理委员会,https://www.sac.gov.cn,2024-09-28,,,,
京网信备 11010119124326610016 号,DB52/T 1474-2019,Avalanche,公有区块链,正在进行,第一阶段,功能测试,Avalanche Network,浙江大学,2023-06-30,2023-07-10,2024-07-10,2024-07-11,浙江大学,技术验证,区块链应用与管理协会,http://www.blockchainassociation.org,2024-09-28,,,,
京网信备 11010119124326610017 号,DB52/T 1475-2019,EOSIO,公有区块链,已完成,第二阶段,性能测试,Block.one,同济大学,2023-07-15,2023-07-20,2023-10-30,2023-11-01,同济大学,性能评估,国家信息技术标准化研究中心,https://www.nitsc.gov.cn,2024-09-28,,,,
京网信备 11010119124326610018 号,DB52/T 1476-2019,Algorand,公有区块链,进行中,第一阶段,功能测试,Algorand Foundation,哈尔滨工业大学,2023-08-10,2023-08-15,2024-08-15,2024-08-16,哈尔滨工业大学,技术开发,区块链产业联合会,http://www.bcic.org.cn,2024-09-28,,,,
京网信备 11010119124326610019 号,DB52/T 1470-2019,Tezos,公有区块链,已完成,第三阶段,安全审计,Tezos Foundation,北京航空航天大学,2023-09-15,2023-09-20,2024-01-30,2024-02-01,北京航空航天大学,审计报告,中国科技标准化研究院,http://www.csiic.org.cn,2024-09-28,,,,
京网信备 11010119124326610020 号,DB52/T 1471-2019,Cardano,公有区块链,正在进行,第一阶段,技术测试,IOHK,南京大学,2023-09-25,2023-10-01,2024-01-01,2024-01-02,南京大学,应用测试,中国区块链开发者联合会,http://www.blockchaindev.org.cn,2024-09-28,,,,
京网信备 11010119124326610021 号,DB52/T 1472-2019,TRON,公有区块链,已完成,第三阶段,性能测试,TRON Foundation,武汉大学,2023-10-10,2023-10-15,2023-12-30,2024-01-01,武汉大学,测试报告,国家区块链标准化委员会,http://www.nbs.org.cn,2024-09-28,,,,
京网信备 11010119124326610022 号,DB52/T 1473-2019,Polkadot,公有区块链,正在进行,第一阶段,功能测试,Web3 Foundation,复旦大学,2023-05-05,2023-06-01,2024-05-31,2024-06-01,复旦大学,技术标准,中国区块链技术研究中心,http://www.blockchain.org.cn/,2024-09-28,,,,
京网信备 11010119124326610023 号,DB52/T 1474-2019,Cardano,公有区块链,已完成,第三阶段,安全测试,IOHK,华中科技大学,2023-01-15,2023-01-20,2023-08-30,2023-09-01,华中科技大学,技术评估,国家信息技术标准化技术委员会,http://www.sac.gov.cn/,2024-09-28,,,,
京网信备 11010119124326610024 号,DB52/T 1475-2019,Ripple,企业级区块链,进行中,第二阶段,实际应用测试,Ripple Labs,上海财经大学,2023-03-01,2023-03-15,2024-03-15,2024-03-16,上海财经大学,技术验证,上海市科技委员会,http://www.sstc.sh.gov.cn/,2024-09-28,,,,
京网信备 11010119124326610015 号,DB52/T 1476-2019,链滴,联盟链,正在进行,第一阶段,技术测试,链滴科技,南京理工大学,2023-02-20,2023-02-28,2024-02-28,2024-02-29,南京理工大学,应用测试,江苏省科技厅,http://www.jst.gov.cn/,2024-09-28,,,,
京网信备 11010119124326610016 号,DB52/T 1477-2019,Algorand,公有区块链,已完成,第四阶段,安全审计,Algorand Foundation,浙江大学,2023-06-10,2023-07-01,2023-12-15,2024-01-05,浙江大学,系统审计,全国产业信息化发展研究中心,http://www.ciiidc.gov.cn/,2024-09-28,,,,
京网信备 11010119124326610017 号,DB52/T 1478-2019,Fantom,公有区块链,正在进行,第一阶段,性能测试,Fantom Foundation,南方科技大学,2023-07-20,2023-08-01,2024-07-31,2024-08-01,南方科技大学,技术评估,深圳市科技局,http://www.sztech.gov.cn/,2024-09-28,,,,
京网信备 11010119124326610018 号,DB52/T 1479-2019,Binance Smart Chain,公有区块链,已完成,第二阶段,功能测试,Binance,华东理工大学,2023-07-15,2023-08-10,2023-12-05,2024-01-05,华东理工大学,技术验证,中国互联网金融协会,http://www.cifcn.org.cn/,2024-09-28,,,,
京网信备 11010119124326610019 号,DB52/T 1467-2019,Terra,公有区块链,进行中,第三阶段,应用测试,Terra Money,四川大学,2023-08-01,2023-08-15,2024-08-15,2024-08-16,四川大学,应用测试,全国区块链标准化工作组,http://www.nbs.gov.cn/,2024-09-28,,,,
京网信备 11010119124326610020 号,DB52/T 1468-2019,Avalanche,公有区块链,正在进行,第一阶段,功能测试,Avalanche Foundation,华中科技大学,2023-05-15,2023-06-01,2024-06-01,2024-06-02,华中科技大学,新技术标准,中国电子技术标准化研究院,http://www.caict.ac.cn/,2024-09-28,,,,
